Date,ADSK
1985-06-28,0.5
1985-07-01,0.5
1985-07-02,0.520833
1985-07-03,0.520833
1985-07-05,0.53125
1985-07-08,0.510417
1985-07-09,0.5
1985-07-10,0.510417
1985-07-11,0.520833
1985-07-12,0.520833
1985-07-15,0.520833
1985-07-16,0.5625
1985-07-17,0.583333
1985-07-18,0.5625
1985-07-19,0.5625
1985-07-22,0.5625
1985-07-23,0.572917
1985-07-24,0.572917
1985-07-25,0.59375
1985-07-26,0.604167
1985-07-29,0.614583
1985-07-30,0.604167
1985-07-31,0.625
1985-08-01,0.645833
1985-08-02,0.661458
1985-08-05,0.645833
1985-08-06,0.625
1985-08-07,0.604167
1985-08-08,0.635417
1985-08-09,0.645833
1985-08-12,0.645833
1985-08-13,0.65625
1985-08-14,0.661458
1985-08-15,0.661458
1985-08-16,0.65625
1985-08-19,0.635417
1985-08-20,0.604167
1985-08-21,0.604167
1985-08-22,0.604167
1985-08-23,0.65625
1985-08-26,0.65625
1985-08-27,0.65625
1985-08-28,0.661458
1985-08-29,0.6875
1985-08-30,0.6875
1985-09-03,0.6875
1985-09-04,0.677083
1985-09-05,0.661458
1985-09-06,0.6875
1985-09-09,0.6875
1985-09-10,0.677083
1985-09-11,0.661458
1985-09-12,0.677083
1985-09-13,0.677083
1985-09-16,0.677083
1985-09-17,0.625
1985-09-18,0.661458
1985-09-19,0.677083
1985-09-20,0.677083
1985-09-23,0.677083
1985-09-24,0.677083
1985-09-25,0.677083
1985-09-26,0.645833
1985-09-30,0.604167
1985-10-01,0.604167
1985-10-02,0.625
1985-10-03,0.614583
1985-10-04,0.604167
1985-10-07,0.572917
1985-10-08,0.552083
1985-10-09,0.541667
1985-10-10,0.541667
1985-10-11,0.5625
1985-10-14,0.59375
1985-10-15,0.572917
1985-10-16,0.572917
1985-10-17,0.583333
1985-10-18,0.59375
1985-10-21,0.59375
1985-10-22,0.59375
1985-10-23,0.59375
1985-10-24,0.59375
1985-10-25,0.59375
1985-10-28,0.59375
1985-10-29,0.59375
1985-10-30,0.614583
1985-10-31,0.614583
1985-11-01,0.604167
1985-11-04,0.604167
1985-11-05,0.604167
1985-11-06,0.614583
1985-11-07,0.614583
1985-11-08,0.625
1985-11-11,0.65625
1985-11-12,0.697917
1985-11-13,0.677083
1985-11-14,0.697917
1985-11-15,0.71875
1985-11-18,0.71875
1985-11-19,0.723958
1985-11-20,0.739583
1985-11-21,0.770833
1985-11-22,0.8125
1985-11-25,0.8125
1985-11-26,0.84375
1985-11-27,0.848958
1985-11-29,0.885417
1985-12-02,0.885417
1985-12-03,0.9375
1985-12-04,0.989583
1985-12-05,1.020833
1985-12-06,0.9375
1985-12-09,0.9375
1985-12-10,0.958333
1985-12-11,0.958333
1985-12-12,0.96875
1985-12-13,0.96875
1985-12-16,1.010417
1985-12-17,1.0
1985-12-18,0.96875
1985-12-19,0.96875
1985-12-20,0.947917
1985-12-23,0.947917
1985-12-24,0.96875
1985-12-26,0.973958
1985-12-27,0.989583
1985-12-30,0.989583
1985-12-31,1.03125
1986-01-02,1.083333
1986-01-03,1.072917
1986-01-06,1.03125
1986-01-07,1.03125
1986-01-08,1.036458
1986-01-09,0.989583
1986-01-10,0.989583
1986-01-13,0.96875
1986-01-14,0.927083
1986-01-15,0.9375
1986-01-16,0.9375
1986-01-17,0.9375
1986-01-20,0.947917
1986-01-21,0.96875
1986-01-22,0.911458
1986-01-23,0.885417
1986-01-24,0.90625
1986-01-27,0.911458
1986-01-28,0.989583
1986-01-29,1.020833
1986-01-30,1.020833
1986-01-31,1.020833
1986-02-03,1.03125
1986-02-04,1.03125
1986-02-05,1.03125
1986-02-06,1.03125
