Date,NOW
2013-05-29,36.720001
2013-05-30,36.77
2013-05-31,36.759997999999996
2013-06-03,36.75
2013-06-04,36.09
2013-06-05,35.91
2013-06-06,36.740002000000004
2013-06-07,39.16
2013-06-10,39.650002
2013-06-11,39.950001
2013-06-12,38.369999
2013-06-13,37.93
2013-06-14,37.25
2013-06-17,38.040001000000004
2013-06-18,37.669998
2013-06-19,38.689999
2013-06-20,38.330002
2013-06-21,39.240002000000004
2013-06-24,39.43
2013-06-25,39.599998
2013-06-26,40.889998999999996
2013-06-27,40.93
2013-06-28,40.389998999999996
2013-07-01,40.790001000000004
2013-07-02,41.209998999999996
2013-07-03,41.740002000000004
2013-07-05,43.310001
2013-07-08,42.869999
2013-07-09,43.290001000000004
2013-07-10,43.470001
2013-07-11,44.43
2013-07-12,45.459998999999996
2013-07-15,45.259997999999996
2013-07-16,43.990002000000004
2013-07-17,43.73
2013-07-18,44.84
2013-07-19,43.889998999999996
2013-07-22,43.830002
2013-07-23,43.52
2013-07-24,44.540001000000004
2013-07-25,45.380001
2013-07-26,44.139998999999996
2013-07-29,43.75
2013-07-30,43.209998999999996
2013-07-31,43.580002
2013-08-01,46.400002
2013-08-02,45.619999
2013-08-05,44.009997999999996
2013-08-06,42.299999
2013-08-07,41.639998999999996
2013-08-08,42.68
2013-08-09,42.490002000000004
2013-08-12,42.060001
2013-08-13,41.59
2013-08-14,43.509997999999996
2013-08-15,43.610001000000004
2013-08-16,44.470001
2013-08-19,43.880001
2013-08-20,44.48
2013-08-21,45.459998999999996
2013-08-22,45.560001
2013-08-23,45.740002000000004
2013-08-26,47.349998
2013-08-27,46.080002
2013-08-28,46.43
2013-08-29,47.0
2013-08-30,46.880001
2013-09-03,46.900002
2013-09-04,47.200001
2013-09-05,47.599998
2013-09-06,46.950001
2013-09-09,49.139998999999996
2013-09-10,49.880001
2013-09-11,49.889998999999996
2013-09-12,49.450001
2013-09-13,48.790001000000004
2013-09-16,48.75
2013-09-17,49.34
2013-09-18,51.220001
2013-09-19,51.57
2013-09-20,52.23
2013-09-23,51.82
2013-09-24,52.59
2013-09-25,52.349998
2013-09-26,52.389998999999996
2013-09-27,52.52
2013-09-30,51.950001
2013-10-01,51.490002000000004
2013-10-02,52.27
2013-10-03,52.150002
2013-10-04,54.43
2013-10-07,53.25
2013-10-08,48.91
2013-10-09,48.080002
2013-10-10,51.599998
2013-10-11,51.59
2013-10-14,51.900002
2013-10-15,49.689999
2013-10-16,51.849998
2013-10-17,51.709998999999996
2013-10-18,51.830002
2013-10-21,53.880001
2013-10-22,54.080002
2013-10-23,52.959998999999996
2013-10-24,58.369999
2013-10-25,56.689999
2013-10-28,54.84
2013-10-29,54.049999
2013-10-30,54.099998
2013-10-31,54.610001000000004
2013-11-01,53.810001
2013-11-04,54.16
2013-11-05,55.360001000000004
2013-11-06,53.73
2013-11-07,51.790001000000004
2013-11-08,51.860001000000004
2013-11-11,51.959998999999996
2013-11-12,52.349998
2013-11-13,53.540001000000004
2013-11-14,52.619999
2013-11-15,53.099998
2013-11-18,51.66
2013-11-19,51.849998
2013-11-20,51.150002
2013-11-21,52.84
2013-11-22,55.419998
2013-11-25,52.610001000000004
2013-11-26,54.5
2013-11-27,53.759997999999996
2013-11-29,53.110001000000004
2013-12-02,52.34
2013-12-03,51.98
2013-12-04,53.200001
2013-12-05,53.490002000000004
2013-12-06,52.709998999999996
2013-12-09,51.630001
2013-12-10,50.860001000000004
2013-12-11,49.349998
2013-12-12,49.0
2013-12-13,50.529999
2013-12-16,51.369999
2013-12-17,51.43
2013-12-18,51.009997999999996
2013-12-19,50.84
2013-12-20,54.209998999999996
2013-12-23,55.240002000000004
2013-12-24,55.049999
2013-12-26,55.07
2013-12-27,55.5
2013-12-30,55.509997999999996
2013-12-31,56.009997999999996
2014-01-02,55.689999
2014-01-03,55.18
2014-01-06,55.73
2014-01-07,57.779999
2014-01-08,57.889998999999996
2014-01-09,57.66
2014-01-10,59.380001
2014-01-13,57.09
2014-01-14,57.630001
2014-01-15,60.310001
2014-01-16,61.889998999999996
2014-01-17,62.049999
2014-01-21,60.799999
2014-01-22,61.48
2014-01-23,62.459998999999996
2014-01-24,58.560001
2014-01-27,58.0
2014-01-28,58.959998999999996
2014-01-29,57.599998
2014-01-30,65.610001
2014-01-31,63.43
2014-02-03,62.959998999999996
2014-02-04,64.150002
2014-02-05,63.529999
2014-02-06,62.650002
2014-02-07,66.290001
2014-02-10,65.839996
2014-02-11,66.129997
2014-02-12,66.190002
2014-02-13,67.650002
2014-02-14,67.529999
2014-02-18,67.519997
2014-02-19,66.75
2014-02-20,67.08000200000001
2014-02-21,69.279999
2014-02-24,68.900002
2014-02-25,68.760002
2014-02-26,68.68
2014-02-27,70.120003
2014-02-28,68.059998
2014-03-03,67.949997
2014-03-04,70.809998
2014-03-05,70.029999
2014-03-06,68.57
2014-03-07,67.139999
2014-03-10,66.900002
2014-03-11,66.940002
2014-03-12,68.82
2014-03-13,67.739998
2014-03-14,66.18
2014-03-17,66.989998
2014-03-18,68.459999
2014-03-19,67.440002
2014-03-20,66.599998
2014-03-21,62.560001
2014-03-24,61.540001000000004
2014-03-25,59.209998999999996
2014-03-26,57.549999
2014-03-27,59.009997999999996
2014-03-28,57.91
2014-03-31,59.919998
2014-04-01,62.529999
2014-04-02,61.27
2014-04-03,54.68
2014-04-04,52.32
2014-04-07,50.939999
2014-04-08,50.860001000000004
2014-04-09,54.880001
2014-04-10,50.630001
2014-04-11,49.669998
2014-04-14,49.650002
2014-04-15,51.709998999999996
2014-04-16,53.290001000000004
2014-04-17,53.259997999999996
2014-04-21,53.150002
2014-04-22,55.23
2014-04-23,53.07
2014-04-24,49.880001
2014-04-25,47.23
2014-04-28,46.419998
2014-04-29,49.169998
2014-04-30,49.720001
2014-05-01,50.48
2014-05-02,51.18
2014-05-05,52.220001
2014-05-06,49.490002000000004
2014-05-07,47.060001
2014-05-08,46.740002000000004
2014-05-09,46.459998999999996
2014-05-12,48.509997999999996
2014-05-13,47.330002
2014-05-14,47.57
2014-05-15,47.82
2014-05-16,47.389998999999996
2014-05-19,48.400002
2014-05-20,48.490002000000004
2014-05-21,48.369999
2014-05-22,50.439999
2014-05-23,52.529999
2014-05-27,54.299999
2014-05-28,53.810001
2014-05-29,54.389998999999996
2014-05-30,52.310001
2014-06-02,50.259997999999996
2014-06-03,50.41
2014-06-04,51.389998999999996
2014-06-05,53.889998999999996
2014-06-06,56.610001000000004
2014-06-09,55.939999
2014-06-10,55.970001
2014-06-11,57.799999
2014-06-12,57.48
2014-06-13,59.200001
2014-06-16,59.959998999999996
2014-06-17,60.0
2014-06-18,60.52
2014-06-19,60.02
2014-06-20,60.470001
2014-06-23,61.23
2014-06-24,61.09
2014-06-25,61.93
2014-06-26,61.630001
2014-06-27,61.400002
2014-06-30,61.959998999999996
2014-07-01,63.580002
2014-07-02,62.119999
2014-07-03,61.599998
2014-07-07,59.93
2014-07-08,55.880001
2014-07-09,56.639998999999996
2014-07-10,57.5
2014-07-11,57.02
2014-07-14,57.549999
2014-07-15,56.02
2014-07-16,56.32
2014-07-17,56.610001000000004
2014-07-18,57.52
2014-07-21,58.880001
2014-07-22,58.549999
2014-07-23,58.23
2014-07-24,59.43
2014-07-25,59.73
2014-07-28,58.330002
