Date,WU
2007-08-31,18.83
2007-09-04,20.1
2007-09-05,19.870001000000002
2007-09-06,19.9
2007-09-07,19.379998999999998
2007-09-10,19.32
2007-09-11,19.790001
2007-09-12,19.93
2007-09-13,20.1
2007-09-14,20.129998999999998
2007-09-17,19.77
2007-09-18,20.18
2007-09-19,20.030001000000002
2007-09-20,19.639999
2007-09-21,20.42
2007-09-24,21.16
2007-09-25,21.059998999999998
2007-09-26,21.440001000000002
2007-09-27,21.49
2007-09-28,20.969998999999998
2007-10-01,21.08
2007-10-02,21.01
2007-10-03,20.959999
2007-10-04,20.92
2007-10-05,20.879998999999998
2007-10-08,20.719998999999998
2007-10-09,20.91
2007-10-10,20.34
2007-10-11,20.08
2007-10-12,20.129998999999998
2007-10-15,19.690001000000002
2007-10-16,19.43
2007-10-17,19.309998999999998
2007-10-18,19.08
2007-10-19,18.43
2007-10-22,18.98
2007-10-23,20.290001
2007-10-24,21.389999
2007-10-25,21.690001000000002
2007-10-26,21.82
2007-10-29,22.08
2007-10-30,22.24
2007-10-31,22.040001
2007-11-01,21.780001000000002
2007-11-02,22.129998999999998
2007-11-05,22.1
2007-11-06,22.280001000000002
2007-11-07,22.690001000000002
2007-11-08,22.629998999999998
2007-11-09,22.0
2007-11-12,22.41
2007-11-13,23.049999
2007-11-14,22.73
2007-11-15,21.99
2007-11-16,22.639999
2007-11-19,22.02
2007-11-20,21.530001000000002
2007-11-21,21.1
2007-11-23,21.68
2007-11-26,20.52
2007-11-27,21.58
2007-11-28,22.5
2007-11-29,22.5
2007-11-30,22.6
2007-12-03,23.120001000000002
2007-12-04,22.93
2007-12-05,22.959999
2007-12-06,22.790001
2007-12-07,22.709999
2007-12-10,23.68
2007-12-11,23.1
2007-12-12,23.27
2007-12-13,23.389999
2007-12-14,23.66
2007-12-17,22.969998999999998
2007-12-18,22.959999
2007-12-19,23.530001000000002
2007-12-20,23.620001000000002
2007-12-21,24.1
2007-12-24,24.33
2007-12-26,24.719998999999998
2007-12-27,23.99
2007-12-28,23.950001
2007-12-31,24.280001000000002
2008-01-02,23.030001000000002
2008-01-03,23.25
2008-01-04,21.940001000000002
2008-01-07,21.860001
2008-01-08,21.370001000000002
2008-01-09,22.35
2008-01-10,22.299999
2008-01-11,21.34
2008-01-14,21.68
2008-01-15,21.42
2008-01-16,21.870001000000002
2008-01-17,21.219998999999998
2008-01-18,21.040001
2008-01-22,20.01
2008-01-23,19.75
2008-01-24,20.809998999999998
2008-01-25,20.469998999999998
2008-01-28,21.030001000000002
2008-01-29,20.92
2008-01-30,20.860001
2008-01-31,22.4
2008-02-01,23.040001
2008-02-04,22.59
2008-02-05,21.809998999999998
2008-02-06,22.030001000000002
2008-02-07,21.780001000000002
2008-02-08,21.67
2008-02-11,21.959999
2008-02-12,21.540001
2008-02-13,21.83
2008-02-14,21.09
2008-02-15,21.370001000000002
2008-02-19,21.4
2008-02-20,21.290001
2008-02-21,20.99
2008-02-22,21.440001000000002
2008-02-25,21.85
2008-02-26,21.59
2008-02-27,21.629998999999998
2008-02-28,21.290001
2008-02-29,20.799999
2008-03-03,21.120001000000002
2008-03-04,21.57
2008-03-05,22.190001000000002
2008-03-06,21.76
2008-03-07,21.280001000000002
2008-03-10,20.969998999999998
2008-03-11,21.780001000000002
2008-03-12,21.139999
2008-03-13,21.08
2008-03-14,20.620001000000002
2008-03-17,20.41
2008-03-18,21.700001
2008-03-19,21.940001000000002
2008-03-20,21.950001
2008-03-24,22.07
2008-03-25,21.799999
2008-03-26,21.18
2008-03-27,20.889999
2008-03-28,20.98
2008-03-31,21.27
2008-04-01,21.5
2008-04-02,21.4
2008-04-03,21.040001
2008-04-04,20.77
2008-04-07,21.059998999999998
2008-04-08,21.0
2008-04-09,20.82
2008-04-10,20.59
2008-04-11,20.280001000000002
2008-04-14,20.02
2008-04-15,20.540001
2008-04-16,21.110001
2008-04-17,21.129998999999998
2008-04-18,20.559998999999998
2008-04-21,21.16
2008-04-22,22.0
2008-04-23,22.5
2008-04-24,23.26
2008-04-25,23.059998999999998
2008-04-28,23.23
2008-04-29,23.01
2008-04-30,23.0
2008-05-01,23.639999
2008-05-02,23.35
2008-05-05,23.299999
2008-05-06,23.1
2008-05-07,22.74
2008-05-08,23.219998999999998
2008-05-09,22.969998999999998
2008-05-12,23.1
2008-05-13,23.9
2008-05-14,23.59
2008-05-15,23.4
2008-05-16,23.42
2008-05-19,23.76
2008-05-20,23.620001000000002
2008-05-21,23.299999
2008-05-22,23.25
2008-05-23,22.719998999999998
2008-05-27,23.139999
2008-05-28,23.35
2008-05-29,22.9
2008-05-30,23.639999
2008-06-02,23.32
2008-06-03,23.950001
2008-06-04,23.35
2008-06-05,23.77
2008-06-06,22.93
2008-06-09,23.129998999999998
2008-06-10,23.709999
2008-06-11,23.190001000000002
2008-06-12,23.76
2008-06-13,24.030001000000002
2008-06-16,23.52
2008-06-17,23.139999
2008-06-18,22.9
2008-06-19,23.16
2008-06-20,25.1
2008-06-23,25.889999
2008-06-24,25.16
2008-06-25,25.629998999999998
2008-06-26,24.75
2008-06-27,25.190001000000002
2008-06-30,24.719998999999998
2008-07-01,24.83
2008-07-02,23.889999
2008-07-03,23.33
2008-07-07,23.65
2008-07-08,24.280001000000002
2008-07-09,23.52
2008-07-10,24.07
2008-07-11,24.040001
2008-07-14,24.18
2008-07-15,24.67
2008-07-16,25.110001
2008-07-17,25.32
2008-07-18,25.860001
2008-07-21,25.07
2008-07-22,27.23
2008-07-23,27.780001000000002
2008-07-24,27.559998999999998
2008-07-25,27.41
2008-07-28,27.32
2008-07-29,26.99
2008-07-30,28.030001000000002
2008-07-31,27.639999
2008-08-01,27.57
2008-08-04,27.280001000000002
2008-08-05,27.24
2008-08-06,26.950001
2008-08-07,26.719998999999998
2008-08-08,26.84
2008-08-11,26.93
2008-08-12,26.959999
2008-08-13,27.34
2008-08-14,27.77
2008-08-15,28.35
2008-08-18,28.200001
2008-08-19,28.15
2008-08-20,28.1
2008-08-21,28.01
2008-08-22,28.200001
2008-08-25,27.91
2008-08-26,28.02
2008-08-27,28.200001
2008-08-28,27.91
2008-08-29,27.620001000000002
2008-09-02,28.16
2008-09-03,27.66
2008-09-04,26.33
2008-09-05,26.860001
2008-09-08,27.24
2008-09-09,26.26
2008-09-10,25.709999
2008-09-11,25.26
2008-09-12,25.51
2008-09-15,25.559998999999998
2008-09-16,25.469998999999998
2008-09-17,24.57
2008-09-18,25.139999
2008-09-19,25.719998999999998
2008-09-22,25.129998999999998
2008-09-23,24.85
2008-09-24,25.85
2008-09-25,25.370001000000002
2008-09-26,25.23
2008-09-29,23.559998999999998
2008-09-30,24.67
2008-10-01,22.9
2008-10-02,21.879998999999998
2008-10-03,21.24
2008-10-06,20.120001000000002
2008-10-07,18.42
2008-10-08,18.639999
2008-10-09,18.6
2008-10-10,18.129998999999998
2008-10-13,20.450001
2008-10-14,21.16
2008-10-15,19.09
2008-10-16,19.190001000000002
2008-10-17,19.209999
2008-10-20,20.379998999999998
2008-10-21,16.75
2008-10-22,14.95
2008-10-23,15.01
2008-10-24,14.53
2008-10-27,13.46
2008-10-28,16.290001
