Date,XRX
1977-11-21,21.354853
1977-11-22,21.848925
1977-11-23,22.123407
1977-11-25,22.068512
1977-11-28,21.629337
1977-11-29,20.915678
1977-11-30,20.860782999999998
1977-12-01,20.750988
1977-12-02,20.696091
1977-12-05,20.421608
1977-12-06,20.037331
1977-12-07,20.256916
1977-12-08,20.311813
1977-12-09,20.476503
1977-12-12,20.092226
1977-12-13,20.147123
1977-12-14,20.147123
1977-12-15,20.037331
1977-12-16,20.092226
1977-12-19,19.762846
1977-12-20,19.762846
1977-12-21,19.982433
1977-12-22,20.586298
1977-12-23,21.080368
1977-12-27,21.080368
1977-12-28,20.860782999999998
1977-12-29,20.970575
1977-12-30,20.531401000000002
1978-01-03,20.092226
1978-01-04,20.311813
1978-01-05,19.872639000000003
1978-01-06,20.037331
1978-01-09,19.762846
1978-01-10,19.927536
1978-01-11,19.762846
1978-01-12,19.762846
1978-01-13,19.762846
1978-01-16,19.707949
1978-01-17,20.202021
1978-01-18,20.147123
1978-01-19,19.762846
1978-01-20,19.653051
1978-01-23,19.323671
1978-01-24,19.488360999999998
1978-01-25,19.543259
1978-01-26,19.213879000000002
1978-01-27,19.378569
1978-01-30,19.653051
1978-01-31,19.817743
1978-02-01,20.092226
1978-02-02,20.147123
1978-02-03,19.653051
1978-02-06,19.817743
1978-02-07,20.311813
1978-02-08,20.421608
1978-02-09,20.311813
1978-02-10,20.092226
1978-02-13,20.092226
1978-02-14,19.927536
1978-02-15,19.872639000000003
1978-02-16,19.598156
1978-02-17,19.707949
1978-02-21,19.543259
1978-02-22,19.488360999999998
1978-02-23,19.104084
1978-02-24,19.158981
1978-02-27,18.115942
1978-02-28,18.006149
1978-03-01,18.225735
1978-03-02,18.445322
1978-03-03,18.610014000000003
1978-03-06,18.115942
1978-03-07,18.335529
1978-03-08,18.445322
1978-03-09,18.500219
1978-03-10,18.994291
1978-03-13,18.884497
1978-03-14,19.213879000000002
1978-03-15,18.939394
1978-03-16,18.884497
1978-03-17,19.049187
1978-03-20,18.884497
1978-03-21,18.555117000000003
1978-03-22,18.610014000000003
1978-03-23,18.610014000000003
1978-03-27,18.500219
1978-03-28,18.610014000000003
1978-03-29,18.610014000000003
1978-03-30,18.500219
1978-03-31,18.390427
1978-04-03,18.115942
1978-04-04,18.335529
1978-04-05,18.500219
1978-04-06,18.664908999999998
1978-04-07,18.884497
1978-04-10,18.939394
1978-04-11,18.939394
1978-04-12,18.994291
1978-04-13,19.543259
1978-04-14,20.311813
1978-04-17,20.970575
1978-04-18,20.311813
1978-04-19,20.805885
1978-04-20,20.970575
1978-04-21,20.750988
1978-04-24,21.299954999999997
1978-04-25,21.519543
1978-04-26,21.90382
1978-04-27,21.299954999999997
1978-04-28,21.57444
1978-05-01,22.068512
1978-05-02,21.794027
1978-05-03,21.245060000000002
1978-05-04,21.080368
1978-05-05,21.245060000000002
1978-05-08,21.245060000000002
1978-05-09,21.025473
1978-05-10,21.190163000000002
1978-05-11,21.90382
1978-05-12,22.123407
1978-05-15,23.056654
1978-05-16,23.605621
1978-05-17,23.495829
1978-05-18,23.166447
1978-05-19,23.111549
1978-05-22,23.715416
1978-05-23,23.166447
1978-05-24,22.891964
1978-05-25,22.837067
1978-05-26,22.946859
1978-05-30,22.837067
1978-05-31,23.056654
1978-06-01,22.946859
1978-06-02,23.495829
1978-06-05,23.989898999999998
1978-06-06,23.495829
1978-06-07,23.935001
1978-06-08,24.154589
1978-06-09,24.374176000000002
1978-06-12,24.319281
1978-06-13,24.648660999999997
1978-06-14,24.648660999999997
1978-06-15,24.319281
1978-06-16,23.715416
1978-06-19,23.276241
1978-06-20,22.946859
1978-06-21,22.782169
1978-06-22,22.782169
1978-06-23,22.068512
1978-06-26,22.288099
1978-06-27,22.837067
1978-06-28,23.166447
1978-06-29,23.221344000000002
1978-06-30,23.001757
1978-07-03,22.727272
1978-07-05,22.837067
1978-07-06,23.001757
1978-07-07,23.166447
1978-07-10,23.770311
1978-07-11,23.715416
1978-07-12,23.495829
1978-07-13,23.550724
1978-07-14,24.483971
1978-07-17,24.044795999999998
1978-07-18,23.715416
1978-07-19,24.264383
1978-07-20,23.935001
1978-07-21,23.770311
1978-07-24,24.429073000000002
1978-07-25,24.703557999999997
1978-07-26,24.483971
1978-07-27,24.593763
1978-07-28,24.923145
1978-07-31,25.362318
1978-08-01,25.307423
1978-08-02,26.350462
1978-08-03,26.624945
1978-08-04,26.734739
1978-08-07,26.295565000000003
1978-08-08,26.789634999999997
1978-08-09,27.173914
1978-08-10,26.789634999999997
1978-08-11,27.119017
1978-08-14,26.844532
1978-08-15,27.228809000000002
1978-08-16,27.887571
1978-08-17,27.393499
1978-08-18,26.844532
1978-08-21,26.295565000000003
1978-08-22,26.405357000000002
1978-08-23,26.789634999999997
1978-08-24,26.350462
1978-08-25,26.295565000000003
1978-08-28,25.801493
1978-08-29,25.801493
1978-08-30,25.746597
1978-08-31,25.417215
1978-09-01,25.581905
1978-09-05,26.130875
1978-09-06,26.350462
1978-09-07,26.460255
1978-09-08,27.228809000000002
1978-09-11,26.899428999999998
1978-09-12,26.350462
1978-09-13,25.746597
1978-09-14,24.703557999999997
1978-09-15,24.978041
1978-09-18,24.868248
1978-09-19,24.209486
1978-09-20,23.715416
1978-09-21,24.264383
1978-09-22,24.209486
1978-09-25,24.154589
1978-09-26,24.154589
1978-09-27,23.715416
1978-09-28,24.154589
1978-09-29,24.538866
1978-10-02,24.703557999999997
1978-10-03,24.264383
1978-10-04,24.648660999999997
1978-10-05,24.538866
1978-10-06,24.264383
1978-10-09,24.923145
1978-10-10,25.032938
1978-10-11,25.581905
1978-10-12,24.923145
1978-10-13,24.209486
1978-10-16,23.935001
1978-10-17,23.440931
1978-10-18,23.056654
1978-10-19,22.397892000000002
1978-10-20,22.452789000000003
1978-10-23,23.221344000000002
1978-10-24,22.617479
1978-10-25,22.946859
1978-10-26,22.837067
1978-10-27,22.727272
1978-10-30,23.221344000000002
1978-10-31,22.397892000000002
1978-11-01,23.715416
1978-11-02,23.276241
1978-11-03,23.221344000000002
1978-11-06,23.166447
1978-11-07,22.727272
1978-11-08,23.001757
1978-11-09,23.166447
1978-11-10,23.440931
1978-11-13,23.056654
1978-11-14,22.617479
1978-11-15,22.727272
1978-11-16,23.276241
1978-11-17,23.056654
1978-11-20,23.221344000000002
1978-11-21,23.276241
1978-11-22,23.495829
1978-11-24,23.715416
1978-11-27,23.715416
1978-11-28,23.495829
1978-11-29,22.946859
1978-11-30,23.331137
1978-12-01,23.935001
1978-12-04,23.989898999999998
1978-12-05,24.703557999999997
1978-12-06,24.319281
1978-12-07,24.319281
1978-12-08,23.605621
1978-12-11,23.715416
1978-12-12,23.550724
1978-12-13,22.946859
1978-12-14,23.221344000000002
1978-12-15,22.946859
1978-12-18,22.178304999999998
1978-12-19,22.452789000000003
1978-12-20,22.782169
1978-12-21,22.891964
1978-12-22,23.605621
1978-12-26,24.264383
1978-12-27,23.495829
1978-12-28,23.440931
1978-12-29,23.386034
1979-01-02,23.770311
1979-01-03,24.099693
1979-01-04,24.429073000000002
1979-01-05,24.813351
1979-01-08,24.758453
1979-01-09,25.417215
1979-01-10,25.252525
1979-01-11,26.295565000000003
1979-01-12,26.734739
1979-01-15,26.624945
1979-01-16,26.075976999999998
1979-01-17,26.075976999999998
1979-01-18,26.240667
1979-01-19,25.85639
1979-01-22,25.85639
1979-01-23,25.746597
1979-01-24,25.417215
1979-01-25,25.911286999999998
1979-01-26,26.240667
1979-01-29,26.021079999999998
1979-01-30,25.911286999999998
