Date,EXPE
2005-07-21,48.040001000000004
2005-07-22,49.720001
2005-07-25,48.48
2005-07-26,48.0
2005-07-27,48.139998999999996
2005-07-28,48.099998
2005-07-29,48.68
2005-08-01,48.700001
2005-08-02,48.099998
2005-08-03,47.700001
2005-08-04,47.200001
2005-08-05,46.740002000000004
2005-08-08,45.0
2005-08-09,47.700001
2005-08-10,47.400002
2005-08-11,45.740002000000004
2005-08-12,44.599998
2005-08-15,42.880001
2005-08-16,42.900002
2005-08-17,43.380001
2005-08-18,43.5
2005-08-19,43.299999
2005-08-22,43.200001
2005-08-23,42.900002
2005-08-24,43.200001
2005-08-25,44.32
2005-08-26,44.220001
2005-08-29,44.68
2005-08-30,44.799999
2005-08-31,44.52
2005-09-01,44.439999
2005-09-02,44.740002000000004
2005-09-06,44.18
2005-09-07,44.560001
2005-09-08,44.900002
2005-09-09,44.119999
2005-09-12,44.200001
2005-09-13,44.139998999999996
2005-09-14,43.639998999999996
2005-09-15,42.82
2005-09-16,42.0
2005-09-19,42.099998
2005-09-20,41.880001
2005-09-21,41.299999
2005-09-22,40.5
2005-09-23,40.16
2005-09-26,40.080002
2005-09-27,39.84
2005-09-28,39.459998999999996
2005-09-29,40.040001000000004
2005-09-30,39.619999
2005-10-03,40.82
2005-10-04,41.18
2005-10-05,40.18
2005-10-06,40.080002
2005-10-07,40.200001
2005-10-10,40.599998
2005-10-11,40.099998
2005-10-12,39.299999
2005-10-13,39.52
2005-10-14,40.279999
2005-10-17,40.84
2005-10-18,39.740002000000004
2005-10-19,39.18
2005-10-20,39.0
2005-10-21,39.16
2005-10-24,38.540001000000004
2005-10-25,37.66
2005-10-26,37.48
2005-10-27,37.66
2005-10-28,37.560001
2005-10-31,37.700001
2005-11-01,38.080002
2005-11-02,38.799999
2005-11-03,41.419998
2005-11-04,45.459998999999996
2005-11-07,45.259997999999996
2005-11-08,45.18
2005-11-09,44.599998
2005-11-10,44.0
2005-11-11,43.0
2005-11-14,43.139998999999996
2005-11-15,43.02
2005-11-16,42.82
2005-11-17,43.299999
2005-11-18,43.400002
2005-11-21,45.200001
2005-11-22,46.799999
2005-11-23,45.599998
2005-11-25,46.279999
2005-11-28,46.380001
2005-11-29,47.32
2005-11-30,49.779999
2005-12-01,49.68
2005-12-02,49.799999
2005-12-05,48.759997999999996
2005-12-06,48.619999
2005-12-07,49.16
