Date,MAR
1994-08-31,6.08075
1994-09-01,6.1323099999999995
1994-09-02,6.08075
1994-09-06,6.10652
1994-09-07,6.08075
1994-09-08,6.15808
1994-09-09,6.00345
1994-09-12,5.9004
1994-09-13,5.77157
1994-09-14,5.79734
1994-09-15,5.9261800000000004
1994-09-16,5.84886
1994-09-19,5.84886
1994-09-20,5.83747
1994-09-21,5.6825
1994-09-22,5.785830000000001
1994-09-23,5.785830000000001
1994-09-26,6.12162
1994-09-27,5.9408199999999995
1994-09-28,5.9924800000000005
1994-09-29,5.81166
1994-09-30,5.96664
1994-10-03,5.81166
1994-10-04,5.76001
1994-10-05,5.63087
1994-10-06,5.6825
1994-10-07,5.76001
1994-10-10,5.785830000000001
1994-10-11,5.96664
1994-10-12,5.96664
1994-10-13,6.12162
1994-10-14,6.14745
1994-10-17,6.09581
1994-10-18,6.14745
1994-10-19,6.06998
1994-10-20,6.09581
1994-10-21,6.12162
1994-10-24,6.06998
1994-10-25,5.915
1994-10-26,5.86335
1994-10-27,5.915
1994-10-28,6.04415
1994-10-31,6.04415
1994-11-01,5.96664
1994-11-02,5.88917
1994-11-03,6.06998
1994-11-04,6.01828
1994-11-07,5.9924800000000005
1994-11-08,6.06998
1994-11-09,6.01828
1994-11-10,6.09581
1994-11-11,6.04415
1994-11-14,6.04415
1994-11-15,5.915
1994-11-16,5.915
1994-11-17,5.9408199999999995
1994-11-18,5.96664
1994-11-21,5.86335
1994-11-22,5.73419
1994-11-23,5.55339
1994-11-25,5.579219999999999
1994-11-28,5.579219999999999
1994-11-29,5.5275300000000005
1994-11-30,5.4242300000000006
1994-12-01,5.45006
1994-12-02,5.50171
1994-12-05,5.55339
1994-12-06,5.50171
1994-12-07,5.5275300000000005
1994-12-08,5.47587
1994-12-09,5.4242300000000006
1994-12-12,5.47587
1994-12-13,5.50171
1994-12-14,5.63087
1994-12-15,5.785830000000001
1994-12-16,5.88917
1994-12-19,5.7083699999999995
1994-12-20,5.6825
1994-12-21,5.63087
1994-12-22,5.64534
1994-12-23,5.61947
1994-12-27,5.67127
