Date,WDAY
2013-09-11,77.93
2013-09-12,76.41999799999999
2013-09-13,76.839996
2013-09-16,76.989998
2013-09-17,78.120003
2013-09-18,81.099998
2013-09-19,83.129997
2013-09-20,80.940002
2013-09-23,80.41999799999999
2013-09-24,80.58000200000001
2013-09-25,80.269997
2013-09-26,82.370003
2013-09-27,81.650002
2013-09-30,80.93
2013-10-01,82.68
2013-10-02,82.629997
2013-10-03,82.400002
2013-10-04,82.389999
2013-10-07,81.269997
2013-10-08,78.41999799999999
2013-10-09,77.41999799999999
2013-10-10,81.82
2013-10-11,81.699997
2013-10-14,81.5
2013-10-15,80.18
2013-10-16,81.160004
2013-10-17,80.290001
2013-10-18,80.099998
2013-10-21,81.18
2013-10-22,79.690002
2013-10-23,78.75
2013-10-24,81.459999
2013-10-25,79.779999
2013-10-28,77.059998
2013-10-29,75.620003
2013-10-30,75.349998
2013-10-31,74.870003
2013-11-01,75.349998
2013-11-04,77.190002
2013-11-05,77.599998
2013-11-06,77.339996
2013-11-07,75.190002
2013-11-08,74.08000200000001
2013-11-11,73.849998
2013-11-12,74.290001
2013-11-13,74.199997
2013-11-14,74.199997
2013-11-15,75.730003
2013-11-18,73.66999799999999
2013-11-19,73.860001
2013-11-20,72.209999
2013-11-21,73.879997
2013-11-22,74.07
2013-11-25,73.300003
2013-11-26,82.599998
2013-11-27,82.059998
2013-11-29,82.349998
2013-12-02,80.5
2013-12-03,78.16999799999999
2013-12-04,79.279999
2013-12-05,81.82
2013-12-06,81.440002
2013-12-09,80.230003
2013-12-10,80.33000200000001
2013-12-11,79.209999
2013-12-12,79.720001
2013-12-13,79.980003
2013-12-16,80.0
2013-12-17,79.900002
2013-12-18,80.5
2013-12-19,80.129997
2013-12-20,81.849998
2013-12-23,82.66999799999999
2013-12-24,82.370003
2013-12-26,82.510002
2013-12-27,82.059998
2013-12-30,82.41999799999999
2013-12-31,83.160004
2014-01-02,81.769997
2014-01-03,82.470001
2014-01-06,84.589996
2014-01-07,88.129997
2014-01-08,89.0
2014-01-09,88.839996
2014-01-10,89.690002
2014-01-13,87.879997
2014-01-14,91.290001
2014-01-15,90.839996
2014-01-16,94.0
2014-01-17,92.480003
2014-01-21,93.150002
2014-01-22,92.32
2014-01-23,91.489998
2014-01-24,88.989998
2014-01-27,87.089996
2014-01-28,87.589996
2014-01-29,86.199997
2014-01-30,89.769997
2014-01-31,89.540001
2014-02-03,87.940002
2014-02-04,88.620003
2014-02-05,88.589996
2014-02-06,90.699997
2014-02-07,92.559998
2014-02-10,92.0
2014-02-11,95.870003
2014-02-12,94.970001
2014-02-13,98.32
2014-02-14,96.800003
2014-02-18,97.349998
2014-02-19,97.540001
2014-02-20,98.199997
2014-02-21,100.449997
2014-02-24,100.360001
2014-02-25,98.75
2014-02-26,100.279999
2014-02-27,115.470001
2014-02-28,109.91999799999999
2014-03-03,106.300003
2014-03-04,109.08000200000001
2014-03-05,107.029999
2014-03-06,104.790001
2014-03-07,102.08000200000001
2014-03-10,100.949997
2014-03-11,100.910004
2014-03-12,102.629997
2014-03-13,101.209999
2014-03-14,100.910004
2014-03-17,101.57
2014-03-18,104.25
2014-03-19,102.050003
2014-03-20,100.150002
2014-03-21,97.099998
2014-03-24,95.58000200000001
2014-03-25,94.41999799999999
2014-03-26,92.589996
2014-03-27,90.900002
2014-03-28,90.760002
2014-03-31,91.43
2014-04-01,95.279999
2014-04-02,92.16999799999999
2014-04-03,83.910004
2014-04-04,80.68
2014-04-07,78.139999
2014-04-08,81.199997
2014-04-09,83.019997
2014-04-10,75.620003
2014-04-11,71.860001
2014-04-14,73.0
2014-04-15,77.809998
2014-04-16,77.57
2014-04-17,79.800003
2014-04-21,77.93
2014-04-22,81.370003
2014-04-23,76.639999
2014-04-24,72.589996
2014-04-25,67.610001
2014-04-28,67.309998
2014-04-29,73.300003
2014-04-30,73.07
2014-05-01,74.83000200000001
2014-05-02,75.730003
2014-05-05,76.239998
2014-05-06,73.260002
2014-05-07,67.480003
2014-05-08,67.059998
2014-05-09,68.209999
2014-05-12,72.440002
2014-05-13,72.029999
2014-05-14,71.0
2014-05-15,70.690002
2014-05-16,71.760002
2014-05-19,74.519997
2014-05-20,75.510002
2014-05-21,75.370003
2014-05-22,76.83000200000001
2014-05-23,78.300003
2014-05-27,82.129997
2014-05-28,84.040001
2014-05-29,80.959999
2014-05-30,78.370003
2014-06-02,75.43
2014-06-03,75.790001
2014-06-04,76.800003
2014-06-05,80.010002
2014-06-06,81.010002
2014-06-09,80.279999
2014-06-10,79.83000200000001
2014-06-11,81.199997
2014-06-12,81.519997
2014-06-13,83.860001
2014-06-16,85.599998
2014-06-17,85.83000200000001
2014-06-18,87.239998
2014-06-19,86.629997
2014-06-20,84.860001
2014-06-23,85.739998
2014-06-24,86.33000200000001
2014-06-25,87.059998
2014-06-26,88.459999
2014-06-27,88.849998
2014-06-30,89.860001
2014-07-01,90.93
2014-07-02,90.019997
2014-07-03,88.959999
2014-07-07,87.25
2014-07-08,81.790001
2014-07-09,81.93
2014-07-10,80.57
2014-07-11,80.389999
2014-07-14,81.519997
2014-07-15,79.470001
2014-07-16,79.279999
2014-07-17,77.470001
2014-07-18,79.050003
2014-07-21,79.260002
2014-07-22,79.870003
2014-07-23,79.83000200000001
2014-07-24,81.959999
2014-07-25,81.41999799999999
2014-07-28,79.870003
2014-07-29,80.849998
2014-07-30,86.0
2014-07-31,83.839996
2014-08-01,82.650002
2014-08-04,85.120003
2014-08-05,83.709999
2014-08-06,82.110001
2014-08-07,83.629997
2014-08-08,83.910004
2014-08-11,85.870003
2014-08-12,84.800003
2014-08-13,86.440002
2014-08-14,86.559998
2014-08-15,86.540001
2014-08-18,88.440002
2014-08-19,88.660004
2014-08-20,88.410004
2014-08-21,87.809998
2014-08-22,88.41999799999999
2014-08-25,89.0
2014-08-26,90.779999
2014-08-27,90.300003
2014-08-28,85.889999
2014-08-29,91.07
2014-09-02,89.949997
2014-09-03,88.599998
2014-09-04,88.239998
2014-09-05,90.07
2014-09-08,93.980003
2014-09-09,91.349998
2014-09-10,91.809998
2014-09-11,92.58000200000001
2014-09-12,91.290001
2014-09-15,85.610001
2014-09-16,86.16999799999999
2014-09-17,85.720001
2014-09-18,85.989998
2014-09-19,89.050003
2014-09-22,84.0
2014-09-23,83.599998
2014-09-24,84.599998
2014-09-25,82.089996
2014-09-26,82.040001
2014-09-29,82.769997
2014-09-30,82.5
2014-10-01,80.519997
2014-10-02,81.639999
2014-10-03,83.33000200000001
2014-10-06,82.989998
2014-10-07,80.059998
2014-10-08,81.57
2014-10-09,81.099998
2014-10-10,79.279999
2014-10-13,78.41999799999999
2014-10-14,78.610001
2014-10-15,78.550003
2014-10-16,80.540001
2014-10-17,82.970001
2014-10-20,82.699997
2014-10-21,84.620003
2014-10-22,82.559998
2014-10-23,85.730003
2014-10-24,89.510002
2014-10-27,89.58000200000001
2014-10-28,93.860001
2014-10-29,91.220001
2014-10-30,92.5
2014-10-31,95.480003
2014-11-03,95.629997
2014-11-04,95.510002
2014-11-05,92.650002
2014-11-06,94.989998
2014-11-07,94.559998
2014-11-10,95.160004
2014-11-11,94.620003
2014-11-12,94.470001
2014-11-13,94.199997
2014-11-14,95.290001
2014-11-17,93.309998
2014-11-18,92.870003
2014-11-19,90.900002
2014-11-20,91.650002
2014-11-21,93.0
2014-11-24,92.489998
2014-11-25,87.370003
2014-11-26,87.870003
2014-11-28,87.050003
2014-12-01,85.010002
2014-12-02,83.559998
2014-12-03,82.730003
2014-12-04,82.290001
2014-12-05,83.360001
2014-12-08,81.959999
2014-12-09,83.650002
2014-12-10,82.449997
2014-12-11,82.980003
2014-12-12,81.58000200000001
2014-12-15,80.889999
2014-12-16,78.870003
2014-12-17,80.620003
2014-12-18,84.57
2014-12-19,85.449997
2014-12-22,84.139999
2014-12-23,84.860001
2014-12-24,84.279999
2014-12-26,84.959999
2014-12-29,83.690002
2014-12-30,83.07
2014-12-31,81.610001
2015-01-02,80.410004
2015-01-05,80.010002
2015-01-06,79.41999799999999
2015-01-07,79.349998
2015-01-08,82.779999
2015-01-09,82.599998
2015-01-12,83.489998
2015-01-13,83.849998
2015-01-14,81.010002
2015-01-15,78.059998
2015-01-16,78.400002
2015-01-20,78.32
2015-01-21,80.389999
2015-01-22,81.400002
2015-01-23,83.199997
2015-01-26,82.779999
2015-01-27,80.629997
2015-01-28,78.660004
2015-01-29,79.16999799999999
2015-01-30,79.459999
2015-02-02,81.389999
2015-02-03,84.739998
2015-02-04,84.91999799999999
2015-02-05,87.629997
2015-02-06,86.43
2015-02-09,86.089996
2015-02-10,86.139999
2015-02-11,88.870003
2015-02-12,91.16999799999999
2015-02-13,91.839996
2015-02-17,90.91999799999999
2015-02-18,91.300003
2015-02-19,91.870003
2015-02-20,92.739998
2015-02-23,91.989998
2015-02-24,93.029999
2015-02-25,93.940002
2015-02-26,88.650002
2015-02-27,85.5
2015-03-02,88.809998
2015-03-03,88.120003
2015-03-04,82.639999
2015-03-05,84.209999
2015-03-06,82.610001
2015-03-09,83.029999
2015-03-10,81.290001
2015-03-11,82.33000200000001
2015-03-12,83.16999799999999
2015-03-13,82.559998
2015-03-16,83.870003
2015-03-17,83.400002
2015-03-18,84.889999
2015-03-19,85.349998
2015-03-20,84.910004
2015-03-23,85.220001
2015-03-24,86.489998
2015-03-25,83.260002
2015-03-26,83.980003
2015-03-27,85.059998
2015-03-30,86.139999
2015-03-31,84.410004
2015-04-01,83.410004
2015-04-02,86.230003
2015-04-06,88.5
2015-04-07,87.480003
2015-04-08,88.0
2015-04-09,87.690002
2015-04-10,88.699997
2015-04-13,87.269997
2015-04-14,86.379997
2015-04-15,88.18
2015-04-16,89.720001
2015-04-17,84.370003
2015-04-20,86.110001
2015-04-21,86.019997
2015-04-22,87.589996
2015-04-23,87.900002
2015-04-24,88.529999
2015-04-27,87.769997
