Date,IDXX
1991-06-21,0.945313
1991-06-24,0.90625
1991-06-25,0.90625
1991-06-26,0.90625
1991-06-27,0.90625
1991-06-28,0.90625
1991-07-01,0.929688
1991-07-02,0.90625
1991-07-03,0.875
1991-07-05,0.875
1991-07-08,0.859375
1991-07-09,0.875
1991-07-10,0.882813
1991-07-11,0.875
1991-07-12,0.859375
1991-07-15,0.859375
1991-07-16,0.882813
1991-07-17,0.859375
1991-07-18,0.867188
1991-07-19,0.890625
1991-07-22,0.875
1991-07-23,0.875
1991-07-24,0.898438
1991-07-25,0.882813
1991-07-26,0.9375
1991-07-29,0.945313
1991-07-30,0.929688
1991-07-31,0.90625
1991-08-01,0.9375
1991-08-02,0.921875
1991-08-05,0.921875
1991-08-06,0.921875
1991-08-07,0.929688
1991-08-08,0.9375
1991-08-09,0.921875
1991-08-12,0.9375
1991-08-13,0.921875
1991-08-14,0.929688
1991-08-15,0.929688
1991-08-16,0.929688
1991-08-19,0.84375
1991-08-20,0.882813
1991-08-21,0.898438
1991-08-22,0.914063
1991-08-23,0.921875
1991-08-26,0.921875
1991-08-27,0.898438
1991-08-28,0.929688
1991-08-29,1.03125
1991-08-30,1.03125
1991-09-03,0.992188
1991-09-04,0.984375
1991-09-05,0.984375
1991-09-06,0.960938
1991-09-09,0.992188
1991-09-10,0.992188
1991-09-11,0.992188
1991-09-12,0.960938
1991-09-13,0.992188
1991-09-16,0.96875
1991-09-17,1.0
1991-09-18,1.03125
1991-09-19,1.0234379999999998
1991-09-20,1.03125
1991-09-23,1.03125
1991-09-24,1.0390629999999998
1991-09-25,1.0234379999999998
1991-09-26,1.0390629999999998
1991-09-27,1.0859379999999998
1991-09-30,1.1171879999999998
1991-10-01,1.125
1991-10-02,1.140625
1991-10-03,1.1328129999999998
1991-10-04,1.140625
1991-10-07,1.1484379999999998
1991-10-08,1.1484379999999998
1991-10-09,1.203125
1991-10-10,1.25
1991-10-11,1.28125
1991-10-14,1.296875
1991-10-15,1.296875
1991-10-16,1.296875
1991-10-17,1.234375
1991-10-18,1.2265629999999998
1991-10-21,1.296875
1991-10-22,1.25
1991-10-23,1.3828129999999998
1991-10-24,1.421875
1991-10-25,1.453125
1991-10-28,1.53125
1991-10-29,1.65625
1991-10-30,1.59375
1991-10-31,1.65625
1991-11-01,1.75
1991-11-04,1.640625
1991-11-05,1.734375
1991-11-06,1.78125
1991-11-07,1.796875
1991-11-08,1.8125
1991-11-11,1.78125
1991-11-12,1.75
1991-11-13,1.578125
1991-11-14,1.609375
1991-11-15,1.625
1991-11-18,1.609375
1991-11-19,1.59375
1991-11-20,1.625
1991-11-21,1.609375
1991-11-22,1.4375
1991-11-25,1.359375
1991-11-26,1.203125
1991-11-27,1.25
1991-11-29,1.25
1991-12-02,1.390625
1991-12-03,1.4375
1991-12-04,1.515625
1991-12-05,1.515625
1991-12-06,1.515625
1991-12-09,1.46875
1991-12-10,1.515625
1991-12-11,1.515625
1991-12-12,1.515625
1991-12-13,1.46875
1991-12-16,1.46875
1991-12-17,1.4375
1991-12-18,1.3125
1991-12-19,1.28125
1991-12-20,1.265625
1991-12-23,1.28125
1991-12-24,1.3125
1991-12-26,1.25
1991-12-27,1.28125
1991-12-30,1.390625
1991-12-31,1.390625
1992-01-02,1.375
1992-01-03,1.390625
1992-01-06,1.421875
1992-01-07,1.5
1992-01-08,1.5
1992-01-09,1.5625
1992-01-10,1.59375
1992-01-13,1.59375
1992-01-14,1.5625
1992-01-15,1.515625
1992-01-16,1.53125
1992-01-17,1.546875
1992-01-20,1.5078129999999998
1992-01-21,1.5078129999999998
1992-01-22,1.53125
1992-01-23,1.5234379999999998
1992-01-24,1.546875
1992-01-27,1.515625
1992-01-28,1.4453129999999998
1992-01-29,1.5
1992-01-30,1.609375
1992-01-31,1.5625
1992-02-03,1.5625
1992-02-04,1.5625
1992-02-05,1.546875
1992-02-06,1.5625
1992-02-07,1.515625
1992-02-10,1.5234379999999998
1992-02-11,1.546875
1992-02-12,1.546875
1992-02-13,1.5
1992-02-14,1.5
1992-02-18,1.53125
1992-02-19,1.375
1992-02-20,1.328125
1992-02-21,1.328125
1992-02-24,1.25
1992-02-25,1.21875
1992-02-26,1.203125
1992-02-27,1.25
1992-02-28,1.2109379999999998
1992-03-02,1.234375
1992-03-03,1.28125
1992-03-04,1.3125
1992-03-05,1.296875
1992-03-06,1.3125
1992-03-09,1.328125
1992-03-10,1.3125
1992-03-11,1.328125
1992-03-12,1.34375
1992-03-13,1.34375
1992-03-16,1.3125
1992-03-17,1.3125
1992-03-18,1.328125
1992-03-19,1.4296879999999998
1992-03-20,1.421875
1992-03-23,1.421875
1992-03-24,1.421875
1992-03-25,1.421875
1992-03-26,1.3984379999999998
1992-03-27,1.3203129999999998
1992-03-30,1.359375
1992-03-31,1.28125
1992-04-01,1.28125
1992-04-02,1.2890629999999998
1992-04-03,1.28125
1992-04-06,1.265625
1992-04-07,1.28125
1992-04-08,1.2734379999999998
1992-04-09,1.265625
1992-04-10,1.28125
1992-04-13,1.265625
1992-04-14,1.265625
1992-04-15,1.28125
1992-04-16,1.265625
1992-04-20,1.25
1992-04-21,1.25
1992-04-22,1.234375
1992-04-23,1.21875
1992-04-24,1.1953129999999998
1992-04-27,1.171875
1992-04-28,1.1875
1992-04-29,1.1875
1992-04-30,1.328125
1992-05-01,1.328125
1992-05-04,1.4375
1992-05-05,1.4375
1992-05-06,1.46875
1992-05-07,1.46875
1992-05-08,1.453125
1992-05-11,1.453125
1992-05-12,1.4453129999999998
1992-05-13,1.40625
1992-05-14,1.390625
1992-05-15,1.375
1992-05-18,1.375
1992-05-19,1.453125
1992-05-20,1.484375
1992-05-21,1.546875
1992-05-22,1.515625
1992-05-26,1.46875
1992-05-27,1.46875
1992-05-28,1.453125
1992-05-29,1.5
1992-06-01,1.5
1992-06-02,1.515625
1992-06-03,1.5
1992-06-04,1.53125
1992-06-05,1.5
1992-06-08,1.5
1992-06-09,1.484375
1992-06-10,1.515625
1992-06-11,1.484375
1992-06-12,1.53125
1992-06-15,1.515625
1992-06-16,1.484375
1992-06-17,1.40625
