,AABA,ABBV,ACCL,ACF,ACN,ADBE,AET,ALA,ALR,APD,ATVI,AVGO,AVY,AXTA,BAX,BCR,BF,BHP,BIIB,CHTR,CMCSA,CME,CNC,CNI,COL,COLD,COP,COTY,COWN,CRESY,CSWC,CXO,D,DB,DG,DISCA,DISCK,DISH,DRI,DVMT,DXC,EMC,EMN,ENWV,EQNR,FANG,FB,FCX,FDX,FEIC,FNB,FOX,FOXA,FRGI,FTI,FWONA,FWONK,GD,GEOI,GLIBA,GLPW,GOLD,HES,HPE,HPQ,HRG,HRS,HUN,IAAC,IAC,INTL,ITC,JEF,JNS,KEQU,LBRDA,LCAHW,LGF,LONE,LSXMA,LSXMK,LTRPA,LVLT,LVNTA,MAM,MBLY,MEG,MHK,MLI,MNRL,MOMO,MON,MSG,NDAQ,NSAM,NWSA,NXPI,NYRT,PAHC,PE,PG,PGR,PVTB,QCP,RAD,RAI,REGI,REGN,RTLR,SABR,SBLK,SE,SIG,SINA,SMCG,SMMX,SNI,SODA,SPB,SPNC,STBZ,STJ,STZ,SXT,SYT,T,TA,TEX,TGT,TPIC,TRCO,TTD,TWX,UA,UNH,URBN,UWBK,VAR,VECO,VLO,VZ,WINN,WNG,WPX,WR,WTRH,XL,YHOO,ZBH,ZEUS
2020 Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02,,,,,,,,,,,,,,,,,,,,,,,,28.25,,,,,,,,,2.49,,,,,,,,,,,,,,,55.07,2.17,,,,,,,,,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38,,,,
2019 Q4,,,,,,,,,,1.6,,,,,,,,,,,,,,1.13,,2.86,,,,,,0.82,,,,,,,,,,,,,,1.46,,,,,,,,33.83,,,,,,,,,1.3,,,,,,,,,,,,,,,47.44,6.75,,,,,,,,,,,1.2,,,,,,,,,,0.75,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,
2019 Q3,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.13,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,11.05,,,,,,,,,1.38,,,,,,,,,,,,,,,,2.18,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.81,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,1.01,,,,
2019 Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,,,,,0.93,,,,,,,,,,,,,,1.7,,,,,,,,12.54,,,,,,,,,1.17,,,,,,,,,,,,,,,,1.65,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,73.29,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,4.44,,,,
2019 Q1,,0.22,,,,,,,,,0.24,,,,,,,,,,0.23,,0.19,,,,2.61,,,,,1.69,,,,0.21,,0.21,,,,,,,,2.81,,0.22,,,,,,8.07,,,,,,,,,2.22,,0.22,,,,,,,,,,,,,,2.59,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,66.96,,,,0.23,0.17,,,,,,,,,,,,,,,,,0.23,,,,,7.79,,,,
2018 Q4,,0.66,,,,,,,,,,,,,,,,,0.61,,0.59,,,,,,2.81,,,,,2.74,,,,,,,,,,,,,1.66,2.1,0.63,0.58,,,,0.66,0.66,9.91,,,,,,,,,0.94,,0.6,,,,,,,,,,,,,,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,55.9,,,,,,,,,,,,,,,,0.6,,,,,,,,,1.1,,7.65,,,,
2018 Q3,5.69,,,,,,2.11,,,,,,,,,,,,,,,,,,1.56,,,,,,,0.57,,,,,2.68,,,1.51,0.57,,,,,,,,,,,0.75,0.95,7.66,,,,,,,,0.46,,,,,,,,2.91,,,,,,,0.73,,2.71,2.05,,,,,,,,,,,,,0.55,,,,1.38,,,,,,,,,,,,,,0.86,,,,,,,0.76,49.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018 Q2,6.09,,,,,,1.77,,,,,,,0.94,,,,,,,,,,,1.05,,,,,,,,,,,,2.2,,,2.14,0.55,,,,,,,,,,,1.02,,7.62,,,,,,,,,,,,49.54,,,,1.78,,,,,,,,,2.73,1.98,,,,,,,,,,,,,,,,,3.8,,,,,,,1.64,,,0.49,,,,0.99,,,,,,,,,,0.75,,,,,0.57,,,,,,,,,,,,,,,,,,,,,1.28,,,
2018 Q1,4.75,,,,,,2.0,,,,,,,0.8,,,,,,,,,,,2.03,,,,,,,,0.56,,,,1.44,,,1.79,,,,,,,,,,,,,,4.54,,0.44,,,,1.1,,,,,,57.64,,,,2.21,,,,,,,,,1.3,1.66,,,,,,,,,,,,1.43,,,,,3.46,,,,,,,0.73,,,,,,,0.69,,,0.43,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,
2017 Q4,4.11,,,,,,2.26,,,,,,,,,,,0.77,,,,,,,0.83,,,,,,,,,,,,,,,2.21,,,,,,,,,,,,,,3.62,,1.12,,,,,,,,,,60.72,,,,1.31,,,,,,1.48,0.38,,1.21,1.61,0.42,,,,,,,,,,,2.21,,,,,2.45,,,,,,,,,,,,,,0.39,,,,,,1.22,,,,,,,,,,,,,,,0.45,4.99,,,,,,,,,,,,,,,,,
