,AABA,AAL,AAPL,ADBE,AGN,AIG,ALL,ALLY,AMAT,AMLP,AMR,AMZN,APA,APC,AVGO,AXLL,AY,BA,BABA,BAC,BBT,BC,BEE,BKNG,BRCM,BSX,BZH,C,CBI,CBS,CCI,CF,CFG,CHK,CLMT,CNC,CNO,COF,COOP,COP,CRM,CSCO,CVI,CVX,CWEN,CYH,CZR,DAL,DAN,DDAIF,DDS,DF,DG,DIS,DLPH,DTV,DVN,EMC,EMN,ET,ETFC,ETP,EXP,F,FB,FITB,FLR,FOXA,GM,GOOG,GOOGL,GPT,GT,HAIN,HAL,HCA,HDS,HFC,HIG,HOT,HPQ,HUM,HUN,I,IP,JAVA,JBLU,JNJ,JPM,KEY,KLAC,KMI,KMT,LCC,LNG,LO,LRCX,LUV,M,MAS,MDT,MEE,MET,MGM,MHK,MOS,MPG,MRK,MRO,MS,MSFT,MU,MWA,MYL,NAV,NFLX,NRG,NXPI,NXY,OC,ODP,OMX,ORCL,OXY,PAH,PCG,PCX,PCZ,PENN,PFE,PHH,PNC,PPG,PRU,QCOM,RAD,RBS,RF,RIG,RTH,S,SBAC,SLM,SMH,STI,STT,SYF,TERP,TEVA,TEX,TGI,TLM,TMO,TMUS,TPX,TSLA,TWTR,UAL,UAUA,UBS,UNH,URI,USG,VCI,VLO,VST,WB,WDC,WFC,WHR,WLTW,WMB,WNR,WPZ,XL,XLE,XPO,XTO,YHOO
2020 Q1,,,,2.17,3.77,,,,,0.64,,14.92,,,1.69,,,,13.49,,,,,,,,,,,,,,,,,,,,,,2.05,,,,,,,,,,,,,,,,,,,,,2.29,,,12.32,,,,,12.85,,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.41,,,,2.93,,,,,,,,,,3.12,,,,,,,,,1.15,,,,,,1.68,,,,,,,,,,,,,1.98,,0.67,4.16,,,,1.91,,,,,,,,,,,,,,,,,,
2019 Q4,,,,2.04,6.38,,,,,,,13.87,,,2.24,,,,13.11,,,,,,,,,,,,,,,,,,,,,,2.09,,,,0.30000000000000004,,3.52,,,,,,,,,,,,,,,3.71,,,14.93,,,,,15.15,,,,,,,,,,,,0.71,,0.52,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,11.22,,,,,,,,,,,,,,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,,,,,,,2.27,,,,,1.02,,,,,,,,,,,,,
2019 Q3,8.18,,,1.72,6.61,,,,,,,13.96,,,2.3,,,0.35,6.6,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,3.96,,,,,,,,,,,,,2.32,,,,,15.27,,,,,16.46,,,,,,,,,,,,0.58,,,,,,,,,,,,,0.78,,,,,,,,,,,,,,,,,7.8,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,,,,,,,1.65,,,,,1.39,,,,,,,,,,,,,
2019 Q2,3.25,,,1.47,9.67,,,,,,,15.62,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.46,,3.38,,,,,,5.9,,,,,,,,,,,,,3.67,,,,,15.92,,,,,10.36,,,,,,,,,,,,1.13,,0.51,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,1.55,,,,,,,,,,,,,,17.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,,,,,,,3.64,,,,,1.74,,,,,,,,,,,,,
2019 Q1,5.26,,,0.81,13.86,,,,,,,8.88,,,,,,,3.86,,,,,,,,,,,,,,,,,,,,0.76,,0.96,,,,0.5,,3.61,,,,,,,,,,,,,,,3.11,,,10.07,,,,,5.14,,,,,,,,,,,,,,,,,,,,,,,,,1.21,,,,,,,,,,,,,,,,,24.04,,,,,,,,,,,,,,12.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,,,,,,,1.87,,,,,1.78,,,,,,,,,,,,,
2018 Q4,7.04,,,,7.96,,2.6,,,,,,,,,,3.04,,,,,,,,,,,,,,,,,,,,,,2.48,,,,,,,,4.67,,,,,,,,,,,,,5.28,,,,,9.68,,,,,7.81,,,,,,,,,,,,,,,,,,,,,,,0.34,,1.8,,,,,,,,,,,,,,,,,26.3,,,,,0.95,,,,,,,,0.14,7.95,,,,,,,,,,,,,,,,,,,,,,1.56,,,,,,3.42,,,,,,,3.23,,,,,3.0,,,0.72,,,,,,,,,,
2018 Q3,4.11,,,,6.77,,,,,,,,,,,,1.23,,4.41,1.78,,,,,,,,,,,,,,,,1.52,,,1.56,,,,,,,,2.65,,,,,,1.45,,,,,,,,,2.88,,,9.68,,,,,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18,,,,,,,,,,,,,,,29.03,,,,,1.75,,,,,,,,,3.27,,,,,,,,,,,,,,,,,,,,1.77,,,,,,,,3.37,,,,,,,1.65,,,,,,,,,,,,,,,,2.75,,
2018 Q2,5.43,,,,6.54,,,1.46,,,,,,,,,,,5.67,2.36,,,,,,,,,,,,,,,,1.46,,,,,,,,,,,1.95,,,,,,1.05,,,,,,,,,2.41,,,11.4,,,,,4.27,,,,,,,,,,,,,,,,,,,,1.21,,,,,,,2.76,,,,,,,,,,,,,,,24.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,2.76,,,,,,1.22,1.5,,,,,,,,2.09,,,,,,,,1.91,,
2018 Q1,6.37,,,,6.68,,,2.32,,,,,,,,,,,7.98,3.53,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,1.53,,,,,,1.22,,,,,,,,,,,,10.65,,,,,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82,,,,,,,1.53,,,,,,,,19.81,,,,,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,2.72,,,,,,1.31,1.62,,,,,,,,1.65,,,,,,,,2.33,,
2017 Q4,7.08,,8.87,,6.48,,,2.68,,,,,,,,,,,8.51,5.79,,,,,,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,,,11.15,,,,,4.25,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.93,,,,,3.18,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,2.8,,,,,,,1.49,1.5,,,,,,,,,,,,1.65,,,2.31,,
