,AABA,AAL,AAPL,ADBE,AGN,AIG,ALL,ALLY,AMAT,AMLP,AMR,AMZN,APA,APC,AVGO,AXLL,AY,BA,BABA,BAC,BBT,BC,BEE,BKNG,BRCM,BSX,BZH,C,CBI,CBS,CCI,CF,CFG,CHK,CLMT,CNC,CNO,COF,COOP,COP,CRM,CSCO,CVI,CVX,CWEN,CYH,CZR,DAL,DAN,DDAIF,DDS,DF,DG,DIS,DLPH,DTV,DVN,EMC,EMN,ET,ETFC,ETP,EXP,F,FB,FITB,FLR,FOXA,GM,GOOG,GOOGL,GPT,GT,HAIN,HAL,HCA,HDS,HFC,HIG,HOT,HPQ,HUM,HUN,I,IP,JAVA,JBLU,JNJ,JPM,KEY,KLAC,KMI,KMT,LCC,LNG,LO,LRCX,LUV,M,MAS,MDT,MEE,MET,MGM,MHK,MOS,MPG,MRK,MRO,MS,MSFT,MU,MWA,MYL,NAV,NFLX,NRG,NXPI,NXY,OC,ODP,OMX,ORCL,OXY,PAH,PCG,PCX,PCZ,PENN,PFE,PHH,PNC,PPG,PRU,QCOM,RAD,RBS,RF,RIG,RTH,S,SBAC,SLM,SMH,STI,STT,SYF,TERP,TEVA,TEX,TGI,TLM,TMO,TMUS,TPX,TSLA,TWTR,UAL,UAUA,UBS,UNH,URI,USG,VCI,VLO,VST,WB,WDC,WFC,WHR,WLTW,WMB,WNR,WPZ,XL,XLE,XPO,XTO,YHOO
2017 Q3,4.64,,3.14,,5.79,,2.02,2.47,,,,,,,,,,,9.21,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.27,,,8.44,,,,,8.15,,,,,,,,,,,,,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.04,,,,,3.23,,,2.47,,,,,,,,,,,,1.86,,,,,,,,,,,,,,,,1.69,,,,,,,,,,,,,1.96,1.93,,,,,,3.33,,,,,,4.33,,,,,
2017 Q2,4.4,,1.42,,9.6,,2.37,,,,,,,,,,1.58,,8.19,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.76,,,5.6,,,,,8.36,,,,,,,,,,,,,2.18,,,,,,,,,,,,,,,,,,,,,,1.76,,,,,,,6.06,,,,,,,,2.63,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,1.64,,,,,,,,,,,,,1.36,2.05,,,,,,3.58,,,,,,5.8,,,,,
2017 Q1,,,,,12.3,,2.65,,,,,,,,,,1.91,,,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.65,,,4.75,,,,3.21,6.9,,,,,,,,,,,,,2.39,,,,,,,,,2.01,,,,,,2.91,,,,,,,2.27,,,,,,,3.39,,,,,,,,2.81,,,,,,,,,,1.81,,4.11,,,,,,2.24,,,,,,,,,,1.89,,,,,,,,,,,,,,,,,,,,1.88,,,,,,7.13,,,,,
2016 Q4,,,,,16.72,,3.59,,,,,,,,,,2.1,,,,,,,,,,,,,,,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,4.69,,,,,6.97,,,,,,1.58,,,,,,,2.04,,,,,,,,,,,,,,,,,,,,,,2.36,,,,,,,,,2.33,,,,,,2.62,,,,,,,,,,2.92,,4.26,,,1.71,,,1.97,,,,,,,,,,2.08,3.42,,,,,,,,,,,,,,,,,,,,,1.93,,,,6.74,,,,,
2016 Q3,,,2.38,,7.39,,5.68,,,,,,,,,,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.32,,,5.01,,,,,9.66,,,,,,2.46,2.38,,,,,,2.72,,,,,,,,,2.22,,,,,,,,,,,,,3.05,,,,,,,,,,,,,,,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07,3.19,,,,,,,1.77,,,,,,,,,,,,,1.77,,4.95,,,,9.08,,,,,2.04
2016 Q2,,,,,7.79,,6.24,,,,,,,,,,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,,,,,,,,,,,,,,,,11.63,,,,,,2.37,,11.67,,,,1.71,,2.51,2.57,,,,,,2.42,,,,,,,,,,,,,,,3.65,,,,,,,3.86,,,,,,,,,,,,,2.93,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,2.54,,,,,,,,,,,,,,,,,,,,1.83,,5.82,,,,8.59,,,,,
2016 Q1,,,,,,,4.45,,,,,,,,,,2.34,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,,8.65,,,,,,,,,,,,,,10.81,,,3.84,,,1.71,,9.25,,,,,,5.12,2.27,,,,,,2.21,,,,,,,,,1.66,,,,,,4.04,,,,,,,2.19,,,,,,,,,,,,,2.42,,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,,,,,,,,,,,,,,,,,,,,,,,5.26,,,,5.6,,,,,
2015 Q4,,,3.08,,,,4.19,,,,,,,,,,2.81,,,,,,,3.24,,,,,,,,,,,,,,,,,,,,,,,,8.58,,,,,,,,,,,,,,4.01,,,,,,,9.89,9.4,,,1.62,,,7.09,2.22,,,,,,2.11,,,,,,,,,3.26,,,,,,4.27,,,,,,,,,,,,,,,,,,,,1.56,,3.65,,,,,,,,,,1.8,,,1.72,,,,,,,,,,,,,,,2.21,,,,,,,,,,,,,,,,,,,,,,5.48,,,,,,,,,
2015 Q3,,,5.13,,,,1.29,,,,,,,,,,,,,,,,,4.31,,,,,1.77,,,,,,,,,,1.55,,,,,,,,,9.69,,,,,,,,,,,1.8,,,,1.88,,,,,,13.74,4.03,,,6.18,,,9.77,2.31,,,,,,2.77,,,,4.11,,,,,,,,,,,2.21,,,,,,,,,,,,,,,,,,,,7.1,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,,,,,,,,5.93,,,,,,,,,
2015 Q2,,,7.83,,,,,,,,,,,,,,,,2.77,,,,,6.55,,,,,1.49,,,,,,,,,,,,,,,,,,,4.35,,,,,,,,,,,1.75,,,,,,,,,,15.54,4.51,,,7.47,,,9.41,2.19,,,,,,4.42,,,,2.55,,,,,,,,,,,,,1.56,,,,,,,,,,,,,,1.67,,,,4.05,,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,,,,,,,1.99,,,,,,,,,,,,4.76,,,,,,,,,
2015 Q1,,,,,,,,,,,,,,,,,,,,,,,,8.53,,,,,1.4,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,1.5,,,,,,,,,,13.64,5.32,4.52,,6.43,,,8.78,2.11,,,,,,4.26,,,,2.17,,,,,,,,,1.31,,,,2.74,,,,,,,,,,,,2.29,,,,,,4.36,,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35,,,,,1.2,,,,,,,5.44,,,,,,,,,
2014 Q4,,5.81,,,,,,,,,,,,,,1.2,,,,,,,,8.99,,,,,1.41,,,,,,,,,,,,,,,,,,,3.94,,,,,,,,,,,,,,,,,,,,,12.75,6.55,4.88,,7.28,,,9.15,0.96,,,,,,3.47,,,,,,,,,,,,,1.69,,,,2.88,,,,,,,,,,,,,,,,,,4.47,,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,1.27,,,,,,,8.19,,,,,,,,,,,,8.19,,,,,,,,,
2014 Q3,,4.18,1.89,,,,,,,,,,,,,,,,,,,,,6.87,,,,6.97,,2.47,,,,,,,,,,,,,,,,,,4.37,,,,,,,,,,,,,,,,1.74,4.58,,,,7.68,5.95,4.21,,4.12,,5.24,6.08,,,,,,,3.08,,,,,,,,,,,,,,,,,2.24,,,,,,,,,,,,,,,,,,2.8,,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,4.71,,,,,,,,,
2014 Q2,,7.64,2.39,,,,,,,,,,,,,,,,,,,,,5.78,,,,6.2,,2.05,,,,,,,,,,,,,,,,,,3.79,,,,,,1.8,,,,,,,,,,1.92,3.68,,,,7.19,5.59,3.95,,4.78,,5.45,4.58,,,,,,,3.14,,,,,,,,,,,,,,,,,2.09,,,,,,,,,,,,,,,,,,,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.24,,,,,,,,,,,,2.15,,,,,,,,,
2014 Q1,,5.49,2.34,,,,,,,,,,,,,,,,,,,,,3.8,,,,8.36,1.86,1.36,,,,,,,,,,,,,,,,,,3.6,,,,,,1.92,,,,,1.73,,,,,1.98,,,,,4.73,,8.59,,5.14,,5.16,4.87,,,,,,,3.11,,,,,,,,,,,,,,,,,,,,,1.62,,,,,,,,,,,,,,,,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61,,,,,,,,,,,,2.65,,,,,,,,,
2013 Q4,,3.51,2.39,,,2.55,,,,,,,,,,,,,,,,,,,,,,9.98,2.04,,,,,,,,,,,,,,,,,,,3.06,,,,,,,,,,,,,,,,2.23,,,1.93,,4.02,,5.25,,5.74,,,4.82,,,1.85,,,,3.72,,,,,,,,,,,,,,,,,,,,2.58,2.99,,,,,,,,,,,,,,,,2.43,,,,,,,,,,,,,,2.57,,,,,,,,,,,,,,,,1.7,,,,,,,,4.53,,,,,,,,,,,,,,,,,,,,,
2013 Q3,,,2.35,,,2.73,,,,,,,,,,,,,,,,,,,,,,9.54,2.01,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,2.62,,,2.09,,3.62,,2.57,,8.55,,,3.95,,,2.55,,,,3.26,,,,,,,,,,,3.6,,,,,,,,,3.83,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,3.43,,,,2.03,,,,,,,,,,,,,,,,,,,5.29,,,,,,,,,,,,,,,,,,,,,
2013 Q2,,,3.03,,,2.53,,,,,,,,,,,,,,,,,,,2.18,,,9.19,,,,,,,,,,,,,,,,,,,,3.84,,,,,,,,,,,,,,,,3.23,,,,,3.37,,2.9,,6.71,,,2.82,,,2.55,,,,2.3,,,,,,,,,,,3.06,,,,,,,,,3.75,1.98,,,,,,,,,,,,,,,,1.96,,,,,,,,,,,,,,2.52,3.65,,,,2.45,,,,,,,,,,,,,,,,,,,4.82,,,,,,,,,,,,,,,,,,,,,
2013 Q1,,,5.26,,,3.7,,,,,,,,,,,,,,,,,,,2.76,,,8.3,,,,,,,,,,,,,,,,,,,,3.57,,,,,,,,,,2.12,,,,,,3.39,,,,,3.48,,3.24,,4.23,,,3.87,,,3.01,,,,3.03,,,,,,,,,,,4.0,,,,,,,,,3.85,,,,,,,,2.2,,,,,,,,,2.35,,,,,,,,,,,,,,,4.39,,,,2.93,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,
2012 Q4,,,11.2,,,4.92,,,,,,,,,,,,,,,,,,,2.61,,,8.37,,,,,,,,,,,,,,,,,,,,2.82,,,,,,,,,,2.41,,,,,,3.33,,,,,3.56,,3.02,,4.56,,,3.0,,,2.57,,,,2.71,,,,,,2.33,,,,,3.75,,,,,,,,,2.57,,,,,,,,1.94,,,,,,,,,2.02,,,,,,,,,,,,,,,3.95,,,,,,,,,,,,,,,,,,,,,,,4.91,,,,,,,,,,,,,,,,,,,,,
2012 Q3,,,9.81,,,7.63,,,,,,,,,,,,,,,,,,,3.48,,,9.41,,,,,,,,,,,,,,,,,,,,2.68,,,,,,,,,,2.16,,,,,,3.23,,,,,3.82,,4.15,,4.92,,,,,,1.98,,,,3.34,,,,,,2.74,,,,,4.02,,,,,,2.24,,,,2.09,,,,,,,,,,,,,,,,2.29,,,2.46,,,,,,,,,,,,4.06,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,
2012 Q2,,,11.58,,,,,,,,,,,,,,,,,,,,,,3.23,,,9.75,,,,,,,,,,,,,,,,,,,,4.01,,,,1.57,,,,,,2.67,,,,,,2.82,,,,,3.57,,4.93,,5.1,,,,,,,,,,3.14,,,,,,,,,,,6.62,,,,,,2.04,,,,,,,,,,,1.33,,,,,,,,,2.47,,,3.53,,,,,,,,,,,,4.93,,,,,,,,,,,,,,,,,,,,,,,8.86,,,,,,,2.14,,,,,1.65,,,,,,,,,
2012 Q1,,,16.49,,,,,,,,,,,,,,,,,2.86,,,,,3.81,,,8.94,,,,,,,,,,,,,,,3.45,,,,,2.68,,,,2.15,,,,,,,,,,,,3.28,,,,,2.27,,4.17,,3.9,,,,,,2.42,,,,2.89,,,,,,,,,,,3.25,,,,,,2.23,,,,,,,,,,,,,,,,,,,,2.13,,,2.73,,,,,,,,,,,,4.13,,,,,,,,,,,,,,,,,,,,,,,6.88,,,,,,,2.64,,,,,,,,,,,,,,
2011 Q4,,,12.49,,,,,,,,,,,,,,,,,,,,,,,7.06,0.12,,,,,1.21,,,4.41,,,,,,,,15.9,,,,,,,,,11.74,,,0.84,,,,,,,,,,,,,,,,,,14.56,,,,,,,,,,,,3.66,,,,,,,,,2.79,,,,,4.06,0.26,,,,,,,1.45,,,,3.19,,3.91,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,3.24,,,,,,,,,,,,,,
2011 Q3,,,,,,,,,3.08,,,,,,,,,,,,,,,,,,,4.64,,,,4.79,,,,,,,,,,,9.59,,,,,,,,,5.06,,,,,,,,,,,,,,,,,,,1.9,,7.81,,,,,3.02,,,,,,,5.54,,,,,,2.85,,,3.67,,,2.47,,6.22,,,,,,,2.6,,,,,3.06,3.18,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.59,,,,,,,7.11,,,,,,,,1.83,,,,,,
2011 Q2,,,,,,,,,2.13,,,,,,,,,,,2.74,,,,,,,,7.51,,,,3.08,,,,,,,,,,,4.52,,,,,,,,,2.78,,,,,,,,,,,,,,,,,,,,,5.88,,,,,,,,2.61,,,,3.8,,,,,,,,,2.74,,,,,4.62,,,,,,,4.05,,1.87,,,2.57,2.72,,,,,,,,,,,,,,,,,,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,,,1.71,,,,4.97,,,,2.04,,,,,,,,,,
2011 Q1,,,1.76,,,,,,3.13,,,,,,,,,,,5.8,,,,,,,,8.55,,,,3.21,,,,,,,,,,,,,,,,,,,,3.31,,,,,,,,,,,,,,,,,,,,,5.77,,,,,,,,6.55,,,,4.37,,,,,,1.91,,,2.74,,,1.97,,4.11,,,,,,,,,1.87,,,3.06,3.53,,,,,,,,,,,,,,,,,,7.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33,,,,,,,1.93,,,,2.47,,,,,,,,,,
2010 Q4,,,,,,,,,2.99,,,,,,,,,,,7.82,,,,,,,,13.0,,,,2.05,,,,,,,,,,2.86,,,,,,,,,,2.23,,,,,,,,,,,,,,3.25,,,,,,,2.79,,,,,,,,5.76,,,,3.44,,,1.91,,,,,,,,,1.85,,3.09,,,,,,,,,3.11,,,3.95,3.33,,,,,,,,,,,,,,,,,,6.79,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,2.15,,,,,,,,,,,5.41,,,,,,,,,,
2010 Q3,,,,,,,,,1.6,,,,,,,,,,,10.75,,,,,,,,7.29,,,,2.26,,,,,,2.06,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,4.53,,,,,,,,,,,,,,,5.71,,,,1.54,,,2.99,,,,,,,,,,,3.73,,1.73,,,,,,,4.95,,,2.5,,,,,,,,,,,,,,,,,,,10.37,,,,,,,,,,,,,,1.73,3.63,,,,,,,,,,,,,,2.26,,1.48,,,,,,,,5.88,,,,,,,,,,
2010 Q2,,,,,,,,,,,,,,,,,,,,16.81,,0.87,,,,,,9.29,,,,3.3,,,,,,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.67,,,,,,,1.16,,,,,,5.85,,,,,,,,,3.35,,,,,,,,,,,3.7,,,,,,,,,5.75,,,2.35,,,,1.58,,,,,,,,,,,,,,,6.92,,,,,,,,,,,,,,,4.72,,,,,,,,,,,,,,1.86,,,,,,2.01,,,,8.65,,1.72,,,,,,,,1.81
2010 Q1,,,,,,,,,,,1.15,,,,,,,,,20.47,,1.02,,,,,,9.55,,,,,,,,,,3.5,,,,,,,,,,1.05,,,,,,,,,,,,,,,,,,8.74,,,,,,,1.26,,,,,,7.07,,,,,,,,,3.13,,,,,,,,,,,,,,,,,,,,2.43,,,2.7,,,,1.29,,,,,,,,,,,,,,,4.18,,,,,,,,,,,,,,,5.56,,,,,,,,,,,,,,1.66,,,,,,2.14,,,,10.54,,1.64,,,,,,,,1.96
2009 Q4,,,,,,,,,,,1.94,,,,,,,,,20.38,1.02,1.14,,,,,,19.18,,,,,,,,,,4.83,,,,,,,,,,1.45,,,,,,,,,,,,,0.58,,,,,9.97,,,,,,,1.18,,,,,,6.1,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,3.84,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,7.27,,,,,,,,,,,,,,1.65,,,,,1.09,,,,,12.46,,1.32,,,,0.75,,,,
2009 Q3,,,,,,,,,,,,,,,,,,,,29.47,2.8,1.65,0.15,,,,,19.85,,,,,,,,,0.42,5.51,,,,,,,,,,,,,,,,,,,,,,,0.71,,,,,12.69,,,,,,0.27,1.39,,,,,,6.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,3.97,,,,,,,,,,0.43,0.29,,,,,,,,,,,,,,0.84,,,,,,,,,9.9,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,0.87,,,,
2009 Q2,,,,,,,,,,,,,,,,,,,,53.58,,0.84,,,,,,,,,,,,,,,0.32,5.69,,,,,,,,,,,0.02,,,,,,,,,,,,2.61,,,,,17.49,,,,,,,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.5,0.24,,,,,,,,,0.66,,,,,1.39,0.13,0.18,,,,,,,12.17,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,0.96,,,,
2009 Q1,,,,,,,,,,,,,,,,,,,,62.87,,1.19,,,,,,,,,,,,,,,0.28,2.37,,,,,,,,,,,0.02,,0.53,,,,,,,,,,1.44,,,,,12.37,,,,,,,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.32,0.27,,,,,,,,,1.14,,,,,0.76,0.14,,,,,,,,11.49,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,1.45,,,,
2008 Q4,,,,,,,,,1.35,,,,,,,,,,,,,1.13,,,,,,,,,,,,,,,2.43,,,1.94,,1.1,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,31.88,,,,,,,,,,,1.71,1.31,3.11,1.43,,,,1.15,1.92,,1.96,,,,,,,,,,2.51,,,,,,,,,,,1.05,,,,,,,,,,,,,,,18.48,,,,,,,,3.76,,,,
2008 Q3,,,,,,,,,,,,,2.64,2.37,,,,,,,,,,,,,,,,,,2.52,,,,,,2.39,,8.75,,2.43,,8.84,,,,,,,,,,,,,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,7.2,,,,,,,,,,,,5.74,5.87,,,1.61,3.82,2.44,,1.35,,,,,,,,,2.36,,,,,,,,,,,,3.01,,,,,,,,,,,,,,,17.13,,,,,1.67,,,,,,,
2008 Q2,,,,,,,,,,,,,3.53,3.86,,,,,,,,,,,,,,,,,,2.28,,4.1,,,,,,11.59,,1.52,,11.2,,,,,,,,,,,,,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,,,3.82,,4.51,,,,,,,,2.09,,,,3.61,6.92,,,,5.5,1.95,,,,,,,,,,,,,,,,,,,,,,,4.39,,,,,,,,,,,,,,,,,,,,2.51,,,,10.87,,1.68,
2008 Q1,,,,,,1.32,,,5.65,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,27.8,,,,,,,0.41,8.37,,,,,,0.56,,,,,0.5,,,,,,,,,,3.8,,2.98,,,,,,,0.55,,,,,,3.6,,,,,,,,,,,,,,,,,,,,0.47,,,,,18.86,,,,,,,,,,,,14.07,,,,,,0.72,,2.22,,,,,,,,,,,0.36,5.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,
