,ADP,BDX,BF,CHKP,CL,CLX,EFX,EL,FB,IDXX,INTU,JNJ,MAR,MASI,MKC,MMM,MSFT,NKE,PEP,PM,PYPL,SABR,SBUX,SYK,V,VRSK,WAT
2020 Q1,4.83,4.93,3.08,0.49,,1.55,,6.04,6.04,5.79,5.77,3.97,,,5.66,,10.63,1.08,5.4,6.99,6.69,,0.98,5.56,5.53,,4.87
2019 Q4,5.21,4.91,3.08,,,1.22,0.43,6.71,6.39,5.67,5.87,4.18,,0.43,5.92,,9.08,,5.47,6.79,7.76,,,6.03,5.7,0.44,5.64
2019 Q3,5.35,4.94,2.97,,,,0.45,6.88,5.9,6.33,6.34,3.94,,0.44,5.83,,8.66,,5.81,6.57,8.16,0.42,,6.57,5.67,0.43,5.85
2019 Q2,5.28,5.01,,,,,0.44,6.36,6.51,6.41,6.33,3.92,,0.45,5.5,3.19,8.5,,5.65,6.25,9.18,0.42,,6.21,5.54,0.4,5.74
2019 Q1,5.44,5.35,,0.38,,,0.39,6.24,6.03,5.68,6.66,3.65,,0.39,4.45,4.18,8.14,,5.76,6.69,9.05,,,6.27,5.14,0.39,7.19
2018 Q4,5.67,6.19,,0.31,0.95,,0.31,5.8,6.39,7.03,6.39,4.02,,0.33,2.25,4.66,8.73,,5.8,6.42,8.48,,,6.24,5.46,,6.16
2018 Q3,5.87,6.55,,,2.27,,,5.73,6.57,7.41,6.24,4.25,0.14,,,4.93,9.26,,6.13,6.79,8.96,,,6.58,5.75,,6.56
2018 Q2,5.78,6.66,,,1.73,,,5.22,7.98,7.18,6.04,4.11,0.13,,,4.98,8.87,,6.22,6.29,9.43,,,6.93,5.64,,6.81
