,ACXM,AN,AVP,AZO,BAC,BIG,C,CIT,COF,CSCO,CTX,FNMA,FOSL,GNW,GPS,HD,HIG,HOS,HRB,HSNI,IBM,KBH,LE,NFLX,OSH,PHH,SFI,SHLD,SHLDQ,SHOS,SLM,SRG,SRSC,STX,SWY,WAC,WFC
2020 Q1,,68.2,,,,,,,,,,,,,,,,,,,,,25.96,,,,,,,,,5.85,,,,,
2019 Q4,,57.47,,,,,,,,,,,,,,,,,,,,,37.91,,,,,,,,,4.62,,,,,
2019 Q3,,60.57,,,,,,,,,,,,,,,,,,,,,27.95,,,,,,,6.53,,4.95,,,,,
2019 Q2,,63.42,,,,,,,,,,,,,,,,,,,,,26.74,,,,,,,4.75,,5.09,,,,,
2019 Q1,,51.94,,,,,,,,,,,,,,,,,,,,,37.73,,,,,,,4.22,,6.1,,,,,
2018 Q4,,55.99,,,,,,,,,,,,,,,,,,,,,34.81,,,,,,,4.41,,4.79,,,,,
2018 Q3,,50.22,,,,,,,,,,,,,,,,,,,,,33.14,,,,,0.03,6.65,4.55,,5.42,,,,,
2018 Q2,,43.15,,,,,,,,,,,,,,,,,,,,,38.71,,,,,0.16,11.96,2.46,,3.56,,,,,
2018 Q1,,44.19,,,,,,,,,,,,,,,,,,,,,34.46,,,,,0.39,14.1,3.68,,3.17,,,,,
2017 Q4,,47.55,,,,,,,,,,,,,,,,,,,,,28.29,,,,,0.35,16.98,2.86,,3.96,,,,,
2017 Q3,,45.7,,,,,,,,,,,,,,,,,,,,,16.15,,,,,1.83,29.26,2.37,,4.69,,,,,
2017 Q2,,38.21,,,,,,,,,,,,,,,,,,,,,16.84,,,,,1.68,33.42,2.37,,4.02,3.46,,,,
2017 Q1,,31.5,,,,,,,,,,,,,,,,,,,,,19.92,,,,,1.93,35.62,2.81,,3.43,4.79,,,,
2016 Q4,,36.76,,,,,,,,,,,,,0.98,,,0.35,,,,,15.59,,,,,2.36,31.78,3.43,,2.31,6.12,,,0.32,
2016 Q3,,33.66,,,,,,,,,,,0.51,,6.44,,,,,,5.93,,11.05,,,,,1.68,29.03,2.67,,2.51,6.53,,,,
2016 Q2,,28.12,,,,,,,,,,,0.54,,7.15,,,,,,8.49,,10.84,,,,,1.7,29.86,3.16,,2.13,6.86,1.16,,,
2016 Q1,,25.21,,,,,,,,,,,,,8.48,,,,,,8.59,,15.19,,,,,1.7,30.31,2.71,,1.97,5.83,,,,
2015 Q4,,27.8,,,,,,,,,,,,,7.22,,,,,,6.01,,10.8,,,,,3.64,31.51,2.62,,1.23,9.18,,,,
2015 Q3,,25.2,,,,,,,,,,,,,7.14,,,,,,4.07,,11.58,,,,,5.39,32.21,2.44,,1.06,10.91,,,,
2015 Q2,,27.02,,,,,,,,,,,,,4.67,,,,,,,,11.29,,,,,4.5,40.35,2.69,,,9.48,,,,
2015 Q1,,25.1,,,,,,,,,,,,,,,,,,,,,12.75,,,,,,48.88,1.71,,,11.56,,,,
2014 Q4,,23.86,,,,,,,,,,,,,0.57,,,,,,1.57,,19.41,,,,,,39.43,2.95,,,12.21,,,,
2014 Q3,,29.1,,,,,,,,,,,,,,,,,,,,,21.65,,,,,,44.17,5.08,,,,,,,
2014 Q2,,31.08,,,,,,,,,,,,,5.11,,,,,,,,11.77,,,,,,46.57,5.48,,,,,,,
2014 Q1,,30.33,,,,,,,,,,,,,5.15,,,,,,,,,,,,,,58.21,6.31,,,,,,,
2013 Q4,,31.43,,,,,,,,,,,,,10.62,,,,,,,,,,,,,,52.02,5.92,,,,,,,
2013 Q3,,29.17,,,,,,,,,,,,,7.63,,,,,,,,,,,,,,57.92,5.28,,,,,,,
2013 Q2,,29.42,,,,,,,,,,,,,14.47,,,,,,,,,,,,,,47.65,8.46,,,,,,,
2013 Q1,,34.18,,,,,,,0.01,,,,,2.08,12.24,,,,,,,,,,0.1,,0.23,,42.04,9.11,,,,,,,
2012 Q4,,35.84,,0.03,,1.06,,,1.28,,,,,2.37,11.59,,,,,,,,,,0.23,,0.32,,39.19,7.71,,,,,0.4,,
2012 Q3,,37.7,,1.31,,0.76,,,3.06,,,,,1.14,12.43,,,,,,,,,0.69,0.44,,0.35,,42.14,,,,,,,,
2012 Q2,,29.53,0.04,4.67,,0.37,,0.41,4.16,,,,,1.19,13.91,,,,,,,,,,0.49,,0.32,,44.7,,,,,0.21,,,
2012 Q1,,25.44,,11.07,,0.36,,0.42,3.85,,,,,1.21,12.41,,,,,,,,,,0.69,,0.16,,43.95,,,,,0.42,,,
2011 Q4,,35.06,,16.86,,1.09,,3.13,3.76,,,,,1.08,10.1,,,,,,,,,,,,0.25,,26.67,,,,,2.0,,,
2011 Q3,,22.24,,31.26,,0.72,,1.92,2.58,1.28,,,,0.68,6.47,,,,,,,,,,,,0.12,,30.41,,,,,1.1,,,1.22
2011 Q2,,22.47,,27.51,,0.43,,2.34,3.19,1.16,,,,1.1,5.42,,,,,,,,,,,,,,33.95,,,,,1.15,,,1.28
2011 Q1,,20.59,,27.06,,0.53,,1.65,3.57,1.17,,,,1.37,5.74,,,,,,,,,,,,,,37.25,,,,,1.07,,,
2010 Q4,,18.97,,33.1,,,,1.81,3.39,1.41,,,,1.54,0.68,,,,0.05,,,,,,,,,,38.42,,,,,0.63,,,
2010 Q3,,17.15,,34.0,,,1.02,1.72,3.33,,,,,1.57,,,,,,,,,,,,,,,41.2,,,,,,,,
2010 Q2,,16.05,,34.59,,,1.22,1.6,3.78,,,,,1.57,,,,,,,,,,,,,,,41.19,,,,,,,,
2010 Q1,0.15,11.36,,27.21,,,1.03,1.44,3.09,,,,,1.21,,,,,,,,,,,,,,,54.27,,0.11,,,,,,0.14
2009 Q4,0.31,13.84,,28.89,0.06,,0.94,1.13,3.34,,,,,0.9,,,,,,,,,,,,,,,49.93,,0.3,,,,,,0.37
2009 Q3,0.3,15.48,,31.66,,,0.97,,3.76,,,,,1.13,,,,,,,,,,,,,,,46.3,,0.4,,,,,,
2009 Q2,0.3,14.25,,32.55,,,0.58,0.34,2.27,,0.02,0.13,,1.06,,2.42,0.09,,,,,,,,,0.23,,,45.24,,0.53,,,,,,
2009 Q1,0.28,12.72,,43.67,,,0.55,0.5,1.58,,0.05,0.24,,0.25,,4.81,0.07,,,0.0,,0.05,,,,0.23,,,34.68,,0.31,,,,,,
2008 Q4,0.34,10.1,,42.02,,,1.65,0.9,4.06,,0.08,0.34,,0.42,,5.85,0.16,,,0.0,,0.06,,,,0.23,,,33.09,,0.69,,,,,,
