num,name,all_name,sector,industry_group,industry,sub_industry
256,IPG,Interpublic Group,Communication Services,Media & Entertainment,Media,Advertising
359,OMC,Omnicom Group,Communication Services,Media & Entertainment,Media,Advertising
97,CTL,CenturyLink Inc,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Alternative Carriers
148,DISCA,"Discovery, Inc.?(Class A)",Communication Services,Media & Entertainment,Media,Broadcasting
149,DISCK,"Discovery, Inc.?(Class C)",Communication Services,Media & Entertainment,Media,Broadcasting
101,CHTR,Charter Communications,Communication Services,Media & Entertainment,Media,Cable & Satellite
119,CMCSA,Comcast Corp.,Communication Services,Media & Entertainment,Media,Cable & Satellite
150,DISH,Dish Network,Communication Services,Media & Entertainment,Media,Cable & Satellite
55,T,AT&T Inc.,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
472,VZ,Verizon Communications,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
6,ATVI,Activision Blizzard,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
169,EA,Electronic Arts,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
436,TTWO,Take-Two Interactive,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
24,GOOGL,Alphabet Inc.?(Class A),Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
25,GOOG,Alphabet Inc.?(Class C),Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
187,FB,"Facebook, Inc.",Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
452,TWTR,"Twitter, Inc.",Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
204,FOXA,Fox Corporation?(Class A),Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
205,FOX,Fox Corporation?(Class B),Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
295,LYV,Live Nation Entertainment,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
336,NFLX,Netflix Inc.,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
474,VIAC,ViacomCBS,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
482,DIS,The Walt Disney Company,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
339,NWSA,News Corp. Class A,Communication Services,Media & Entertainment,Media,Publishing
340,NWS,News Corp. Class B,Communication Services,Media & Entertainment,Media,Publishing
434,TMUS,T-Mobile US,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
208,GPS,Gap Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
283,LB,L Brands Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
408,ROST,Ross Stores,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
446,TJX,TJX Companies Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
223,HBI,Hanesbrands Inc,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
343,NKE,Nike,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
390,PVH,PVH Corp.,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
395,RL,Ralph Lauren Corporation,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
437,TPR,"Tapestry, Inc.",Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
445,TIF,Tiffany & Co.,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
457,UAA,Under Armour?(Class A),Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
458,UA,Under Armour?(Class C),Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
466,VFC,V.F. Corp.,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
50,APTV,Aptiv PLC,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
74,BWA,BorgWarner,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
200,F,Ford Motor Company,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
214,GM,General Motors,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
9,AAP,Advance Auto Parts,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
288,LVS,Las Vegas Sands,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
318,MGM,MGM Resorts International,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
496,WYNN,Wynn Resorts Ltd,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
