,Mkt-RF,SMB,HML,RMW,CMA,RF,R_ME,R_IA,R_ROE,R_EG,rSP500,HiTec,NASDQ
196602,-1.21,4.86,0.27,-0.15,-1.44,0.35,,,,,-0.017872481,5.03,
196603,-2.51,0.22,-2.07,1.3,-0.01,0.38,,,,,-0.021815369,-0.9,
196604,2.14,3.36,-0.54,0.41,-0.91,0.34,,,,,0.020508741,7.65,
196605,-5.66,-5.18,-1.55,1.66,-1.52,0.41,,,,,-0.05414014,-6.05,
196606,-1.44,1.34,0.5,0.06,0.8,0.38,,,,,-0.016138384,-0.13,
196607,-1.63,-0.5,0.96,-0.45,1.77,0.35,,,,,-0.013452915,-1.76,
196608,-7.91,-3.03,0.47,0.05,0.77,0.41,,,,,-0.077751198,-5.98,
196609,-1.06,-1.18,0.53,-1.65,2.5,0.4,,,,,-0.007003891,-1.9,
196610,3.86,-6.53,2.87,-3.64,4.28,0.45,,,,,0.047544398,0.3,
196611,1.4,3.37,-4.46,4.17,-6.53,0.4,,,,,0.003117207,10.88,
196612,0.13,1.91,-1.22,0.68,-0.13,0.4,,,,,-0.001491548,0.41,
196701,8.15,9,2.22,0.62,-2.97,0.43,6.7282,-2.9434,1.8866,-2.2469,0.078177503,10.2,
196702,0.78,3.03,-2.17,1.94,-0.94,0.36,1.6918,-0.2064,3.5317,2.5812,0.001962799,6.17,
196703,3.99,1.9,0.31,0.9,-1.51,0.39,1.9517,-1.6933,1.8876,-1.4789,0.03940998,5.44,
196704,3.89,0.46,-2.64,2.43,-3.75,0.32,-0.7446,-2.9519,1.0983,-2.2351,0.042239525,7.73,
196705,-4.33,2.37,0.8,-1.75,1.61,0.33,2.9132,2.4686,0.5234,0.2749,-0.052441229,-4.44,
196706,2.41,6.46,0.96,-0.64,-2.39,0.27,6.235,-2.17,0.2945,-0.4518,0.017512314,6.32,
196707,4.58,3.48,2.65,0.51,2.72,0.31,3.0119,2.3713,-0.7125,-0.1554,0.04534423,3.92,
196708,-0.89,0.76,1.46,0.42,1.41,0.31,0.2796,1.8169,-0.678,-0.0121,-0.01171505,-1.01,
196709,3.11,2.46,-2.47,0.22,-0.95,0.32,1.7933,-0.4427,0.764,-0.5957,0.032785135,8.36,
196710,-3.09,0.47,-3.39,0.81,-2.55,0.39,0.7602,-2.4696,3.3736,0.1947,-0.035260015,4.8,
196711,0.37,-0.06,-1.71,1.29,-2.29,0.36,0.1462,-2.7052,0.7948,0.2268,0.007502647,1.37,
196712,3.05,5.75,-0.39,-0.65,0.03,0.33,4.5301,0.3024,0.8415,1.5013,0.026276606,2.19,
196801,-4.06,4.49,4.75,-4.58,6.45,0.4,5.3829,4.7175,-2.7611,1.1872,-0.043847859,-8.69,
196802,-3.75,-2.91,1.17,-0.14,2.49,0.39,-1.5916,2.7512,-0.3786,3.3638,-0.031222865,-4.55,
196803,0.2,-1.52,-0.59,1.17,-1.15,0.38,-2.2592,-1.1343,1.6762,1.1894,0.009400134,4.16,
196804,9.05,6.25,-1.03,2.79,-3.66,0.43,5.3526,-2.6056,3.7654,-1.9498,0.08048783,12.38,
196805,2.28,7.04,0.84,0.39,-1.82,0.45,6.6977,-2.3165,1.96,-0.3907,0.012517966,3.81,
196806,0.69,-0.26,0.67,-1.33,2.68,0.43,-0.4317,2.4451,-0.477,-0.0139,0.009120409,-2,
196807,-2.72,-1.33,5.48,-3,3.61,0.48,-1.1638,2.7644,-2.101,3.3461,-0.018477646,-5.6,
196808,1.34,2.29,1,-0.6,0.4,0.42,2.1609,0.369,-0.7607,1.5628,0.011459004,0.53,
196809,4.03,2.77,0.24,-2.03,0.92,0.43,1.4565,-0.5757,-3.4236,-1.1965,0.038539318,2.95,
196810,0.42,-0.43,2.89,-1.3,2.81,0.44,-0.6765,2.6934,0.6051,2.5335,0.007207617,-4.99,
196811,5.43,2.41,-0.9,0.46,-2.52,0.42,2.818,-1.35,-0.4084,-0.9061,0.047964402,8.62,
