,Mkt-RF,SMB,HML,RMW,CMA,RF,R_ME,R_IA,R_ROE,R_EG,rSP500,HiTec,NASDQ
198208,11.14,-4.29,1.16,-1.96,0.18,0.76,-3.4109,-0.524,-1.2378,-2.8913,0.115977276,12.78,
198209,1.29,2.57,0.34,2.12,-0.04,0.51,3.158,1.0037,3.6253,3.4271,0.007614392,1.2,
198210,11.3,1.92,-3.68,0.3,-0.37,0.59,0.8638,-1.0627,-0.7911,-0.6491,0.110446796,16.96,
198211,4.67,4.53,-1.96,-1.05,0.32,0.63,4.5172,1.401,3.2276,3.7709,0.03597067,10.67,
198212,0.55,-0.01,0.01,-0.07,1.03,0.67,-0.8142,0.4203,-0.7457,-0.1808,0.015231358,2.7,
198301,3.6,3.28,-0.86,-1.5,-0.46,0.69,2.1224,-0.7363,-2.4907,-1.8943,0.033134272,8.39,
198302,2.59,2.9,0.67,-0.57,1.02,0.62,3.8293,1.5546,3.1079,2.0041,0.018995148,3.59,
198303,2.82,1.42,2.07,-0.07,2.81,0.63,1.6463,2.8076,1.2412,2.0384,0.033094753,0.67,
198304,6.67,0.49,0.6,-0.16,1.6,0.71,-0.349,2.1438,0.5924,2.3433,0.07498683,7.49,
198305,0.52,6.22,-1.4,-1.85,-1.53,0.69,6.0475,-1.5267,-3.6447,-3.8832,-0.012406459,2.74,
198306,3.07,1.15,-3.87,2.52,-0.89,0.67,2.1432,-1.105,1.6774,2.6106,0.032329577,6.13,
198307,-4.07,0.98,5.62,-0.03,2.84,0.74,0.6786,2.7744,1.194,2.9509,-0.030303036,-5.39,
198308,-0.5,-4.34,5.55,0.45,1.95,0.76,-4.685,1.1896,-0.4458,0.3393,0.011318873,-1.1,
198309,0.91,0.25,1.09,1.21,0.59,0.76,0.4251,1.3672,3.2784,2.9057,0.01015823,2.12,
198310,-3.44,-3.82,5.06,-0.81,2.97,0.76,-3.8336,2.6752,1.6521,3.6911,-0.015174348,-6.9,
198311,2.16,1.88,-0.62,-0.48,0.64,0.7,2.0489,1.1084,-0.2409,-1.7574,0.017425808,2.27,
198312,-1.78,-0.47,1.67,1.59,1.21,0.73,-1.1725,1.3314,-1.5443,1.0862,-0.008834141,0.38,
198401,-1.92,-0.07,7.63,-0.93,3,0.76,-0.9688,2.328,-3.7142,0.8412,-0.009215965,-6.16,
198402,-4.82,-1.62,3.36,0.82,1.57,0.71,-1.7978,0.9164,-0.7799,0.691,-0.038859347,-5.95,
198403,0.63,-0.28,0.48,-0.93,1.09,0.73,-0.184,0.7269,-0.6017,1.3117,0.013497995,1.85,
198404,-0.51,-1.01,1.29,3.27,0.76,0.81,-0.926,1.0354,2.1327,2.3962,0.005465574,-0.44,
198405,-5.97,0.08,0.26,2.32,-0.5,0.78,-0.4082,-1.4655,1.8025,1.8991,-0.05935645,-5.51,
198406,1.82,0.07,-2.6,3.08,-1.51,0.75,0.4929,-2.2535,1.8586,0.7168,0.017469213,1.79,
198407,-2.74,-2.22,0.49,3.69,-2.17,0.82,-2.2901,-1.2812,3.6501,3.0351,-0.016451163,-2.33,
198408,10.28,-0.3,-1.85,-0.89,-0.81,0.83,0.2333,-0.4724,0.9506,0.0303,0.106332063,13.87,
198409,-0.8,0,5.32,1.4,2.53,0.86,-0.6953,2.5778,0.2349,1.2388,-0.003479644,-3.9,
198410,-0.84,-1.43,0.51,1.17,-1.16,1,-1.3706,-0.3578,2.6866,1.8068,-6.03E-05,-0.51,
198411,-1.76,-0.98,4.08,0.81,2.08,0.73,-1.0569,2.2392,0.8011,1.6722,-0.015112253,-3.84,
198412,1.84,-0.69,-0.17,1.21,-1.26,0.64,-0.4099,-0.8247,2.5505,1.3251,0.022374391,2.43,
198501,7.99,3.49,-5.43,-0.83,-3.36,0.65,3.4395,-3.4515,0.9728,-1.6141,0.074085145,12.56,
198502,1.22,1,-0.12,1.26,1.03,0.58,0.7735,1.0906,1.5462,2.2266,0.008628781,-1.3,
198503,-0.84,-1.48,4.1,1.18,2.94,0.62,-2.0449,3.3007,0.9211,2.0067,-0.002870013,-6.02,
198504,-0.96,-0.1,3.73,1.59,0.71,0.72,-0.688,1.4025,0.1247,1.8031,-0.004594276,-3.62,
198505,5.09,-2.33,-0.86,1.3,-1.39,0.66,-1.5727,-1.2263,3.2192,1.511,0.054051053,2.87,
198506,1.27,0.31,0.4,1.73,-0.59,0.55,-0.5306,-0.1952,2.9012,1.6929,0.012134017,-0.72,
198507,-0.74,2.89,-1.63,-0.45,-0.31,0.62,2.3309,-0.8273,-1.8254,1.3245,-0.004847579,4.46,
198508,-1.02,-0.32,2.28,-0.04,1.88,0.55,-0.1823,2.0991,0.4306,1.1911,-0.011994516,-2.52,
198509,-4.54,-1.81,1.32,1.16,1.61,0.6,-1.8169,1.9838,1.2,1.7401,-0.034724078,-4.75,
198510,4.02,-1.55,0.78,0.92,-1.11,0.65,-0.2065,0.262,2.1957,2.8545,0.042508814,3.05,
198511,6.48,0,-2.87,0.29,-2.33,0.61,-0.2586,-1.6424,1.8021,-0.9075,0.065061588,8.66,0.09161755
198512,3.88,-0.39,-1.53,0.97,-1.8,0.65,0.3142,-1.4693,1.7907,-0.9129,0.045061093,8.27,0.049460575
198601,0.65,1.01,0.53,-2.02,-2.05,0.56,1.0622,-0.7089,1.7395,1.8057,0.002366528,-0.26,0.004762123
198602,7.13,-0.76,-0.94,1.15,-1.39,0.53,-0.4444,-1.4614,2.2439,0.8796,0.071489277,4.99,0.056422794
198603,4.88,-0.57,-0.44,1.12,0.99,0.6,0.6332,1.0696,2.0588,1.7284,0.052793919,-0.07,0.060067636
198604,-1.31,2.92,-2.85,2.91,0.02,0.52,1.0631,-1.5629,0.6536,0.0689,-0.014148138,3.92,0.040642234
198605,4.62,-1.26,-0.11,2.08,1.11,0.49,-1.1615,1.2742,3.4486,1.0156,0.050229288,0.99,0.053256728
198606,1.03,-0.87,1.4,1.83,0.87,0.52,-0.2989,1.6352,5.297,0.9327,0.014109521,-3.97,-0.003340273
198607,-6.45,-3.54,4.78,-0.57,0.61,0.52,-2.7338,1.3587,3.0072,2.8047,-0.058682831,-8.34,-0.110137456
198608,6.07,-4.36,3.52,-1.74,3.24,0.46,-4.3963,3.0888,-2.7171,1.6136,0.071192607,6.97,0.04833969
198609,-8.6,1.97,3.19,-0.05,3.62,0.45,0.5282,3.3936,-3.8269,-0.3289,-0.085438606,-7.06,-0.093638776
198610,4.66,-2.33,-1.32,0.13,0.89,0.46,-2.006,0.0726,0.9132,0.6079,0.05472933,0.63,0.050801856
198611,1.17,-1.88,-0.06,1.12,0.61,0.39,-2.0096,0.3937,1.0802,3.7208,0.021477191,3.52,0.023947993
198612,-3.27,0.07,0.37,0.83,-0.03,0.49,0.8289,1.0972,1.867,1.62,-0.028288271,-3.68,-0.044173333
198701,12.47,-1.51,-3.18,0.2,-1.09,0.42,-1.2075,-1.2057,0.9773,2.8945,0.131766896,16.45,0.178706582
198702,4.39,3.41,-5.99,-0.9,-2.76,0.43,3.36,-1.9813,2.1111,-1.0486,0.036923619,9.41,0.096445158
198703,1.64,0.21,1.66,1.36,4.03,0.47,-0.7154,4.1787,-1.1975,1.3333,0.026389865,2.68,0.018002698
198704,-2.11,-1.55,-0.33,-0.46,1.22,0.44,-2.4642,0.2809,-1.4873,0.5919,-0.011450212,4.37,-0.00650393
198705,0.11,-0.59,0.13,0.52,1.32,0.38,-1.2248,-0.089,-2.3887,-0.152,0.006034197,0.3,0.021316896
198706,3.94,-2.29,1.07,1.73,0.83,0.48,-1.5125,1.3796,1.4062,-0.2125,0.047914491,0.01,0.002489808
198707,3.85,-1.11,0.66,-0.5,1.56,0.46,-2.0695,0.0906,-1.774,-0.6777,0.048223697,1.03,0.037571342
198708,3.52,-0.9,-0.9,2.03,-1.59,0.47,-0.2032,-0.24,3.8224,2.4264,0.03495884,7.4,0.067354167
198709,-2.59,0.37,0.28,-0.9,1.89,0.45,0.6282,1.8849,0.5862,1.8495,-0.024166165,-2.71,-0.019420217
198710,-23.24,-8.09,4.23,2.01,2.39,0.6,-7.3612,3.3037,0.571,2.5112,-0.217630416,-25.93,-0.269750111
198711,-7.77,2.83,3.14,-1.92,0.71,0.35,3.2813,0.6495,-0.7044,0.8775,-0.085348865,-9.8,-0.086259788
198712,6.81,0.09,-4.49,3.01,-2.36,0.39,0.1934,-2.4618,3.8851,1.512,0.07286148,11.86,0.139471285
198801,4.21,-0.54,5.08,-1.12,2.09,0.29,-0.7378,1.3266,-4.0738,-1.7589,0.040432269,-2.44,0.018432032
198802,4.75,3.32,-1.65,1.56,-0.11,0.46,3.5224,-0.5932,1.0481,-0.548,0.041817403,7.47,0.084899099
198803,-2.27,6.26,0.74,-0.16,1.91,0.44,5.7105,1.6329,-2.1454,-2.0242,-0.03334326,-4.65,0.003591265
198804,0.56,1.12,1.69,-0.23,1.9,0.46,0.9133,2.1413,0.6524,0.9063,0.009424744,2.59,0.015352667
198805,-0.29,-2.59,2.3,-0.7,0.38,0.51,-1.1736,0.4606,-0.1385,1.3565,0.003176126,-1.31,-0.014637318
198806,4.79,2.19,-1.07,1.42,-3.25,0.49,2.8763,-3.0728,2.3096,1.8386,0.043256011,9.4,0.090455409
198807,-1.25,-0.17,2.27,-0.59,1.45,0.51,0.1952,1.1126,-1.183,0.09,-0.005411375,-5.1,-0.041608201
198808,-3.31,-0.02,2.03,-0.76,1.74,0.59,0.0699,1.6595,-2.1331,-0.4089,-0.038600104,-8.19,-0.056110669
198809,3.3,-1.31,-0.68,1.72,-0.48,0.62,-1.4901,-0.3702,2.1637,0.8178,0.039729334,2.84,0.04894886
198810,1.15,-2.95,1.71,1.4,1.04,0.61,-2.7997,0.4982,0.1131,0.6627,0.025964462,0,-0.025562433
198811,-2.29,-1.66,1.24,-0.31,1.6,0.57,-1.9117,1.3915,-0.4641,0.3461,-0.018890881,-3.15,-0.032011678
198812,1.49,2.01,-1.55,0.64,-0.37,0.63,2.4781,0.4733,0.8732,0.4898,0.014687573,4.89,0.048615457
198901,6.1,-2.23,0.51,-1.03,0.16,0.55,-2.2241,0.0239,-0.3618,1.5782,0.071114792,7.09,0.051068129
198902,-2.25,2.67,0.87,-0.82,1.89,0.61,2.9549,1.586,-0.4831,-0.145,-0.028944149,-3.76,-0.014372328
198903,1.57,0.76,0.46,0.01,0.79,0.67,1.3223,1.296,-0.0879,0.7068,0.020805962,-5.49,0.011317276
198904,4.33,-0.7,-1.45,0.76,-0.54,0.67,-0.9292,-0.274,1.1675,-0.2083,0.050089939,5.19,0.078549558
198905,3.35,-0.01,-0.82,0.49,-0.04,0.79,0.0302,0.1261,1.31,0.3702,0.035137493,2.46,0.070209991
198906,-1.35,-1.08,2.19,0.24,1.52,0.71,-0.7235,1.5784,-0.1784,-0.9204,-0.007924554,-3.26,-0.046423786
198907,7.2,-4.04,-2.84,1.99,-0.62,0.7,-3.4714,-0.3429,4.9021,2.471,0.088370259,2.95,0.047364111
198908,1.44,0.43,0.72,0.41,-0.5,0.74,0.4844,-0.4271,1.6706,0.2146,0.015516716,2.53,0.036075189
198909,-0.76,0.46,-1.34,1.4,0.59,0.65,0.764,1.1867,1.6168,1.9062,-0.006544367,-2.71,0.01975178
198910,-3.67,-3.33,-1.03,0,0.02,0.68,-3.3425,1.2867,1.3911,2.3063,-0.025175452,-4.42,-0.016674738
198911,1.03,-1.3,-1.12,-0.91,1.47,0.69,-1.3368,1.6249,0.2317,-0.4967,0.016541325,-1.8,0.008220479
198912,1.16,-2.3,0.28,-0.1,1.45,0.61,-1.9386,1.579,1.0581,2.4312,0.021416816,-1.09,-0.002717815
199001,-7.85,-1.33,0.87,-1.13,1.32,0.57,-1.2251,0.9053,0.0231,-0.2384,-0.068817225,-1.28,-0.097817608
199002,1.11,1.18,0.61,-0.19,-0.64,0.57,1.1806,-1.0975,-0.401,0.0992,0.008539043,4.11,0.029587952
199003,1.83,1.64,-2.9,2.15,-1.02,0.64,1.2076,-0.3595,2.243,1.665,0.024254984,4.46,0.025154564
199004,-3.36,-0.4,-2.55,1.72,-0.98,0.69,-0.4589,-0.787,2.2141,0.5999,-0.026887139,-2,-0.034389743
199005,8.42,-2.4,-3.74,1.65,-1.57,0.68,-1.6575,-0.8183,3.7639,2.6215,0.09198919,12.54,0.147389606
199006,-1.09,1.38,-1.94,-1,-0.34,0.63,1.8543,0.2713,2.2175,-0.2309,-0.008886366,-1.17,0.009781974
199007,-1.9,-3.27,-0.01,-0.27,3.1,0.68,-2.4725,3.9945,2.5795,0.0509,-0.005223158,-7.43,-0.063218198
199008,-10.15,-3.85,1.58,-0.43,2.99,0.66,-4.5174,3.7185,-1.0206,1.2605,-0.094314184,-12.04,-0.133267635
199009,-6.12,-3.78,0.73,-0.16,3.71,0.6,-3.447,2.575,-0.4876,2.6992,-0.051184307,-6.66,-0.085530623
199010,-1.92,-5.07,0.22,2.87,-0.49,0.68,-5.0339,0.2264,2.102,3.0656,-0.006698213,-3.5,-0.025415832
199011,6.35,-0.06,-3.16,0.82,-4.75,0.57,0.4131,-3.9682,1.5223,-0.829,0.059934214,11.19,0.116050012
199012,2.46,0.61,-1.54,2.86,-2,0.6,1.2575,-1.942,3.9192,1.4869,0.024827757,4.18,0.041281529
199101,4.69,3.86,-1.84,1.55,-4.08,0.52,3.3666,-3.9407,0.1517,1.5811,0.041517752,14.96,0.159053529
199102,7.19,3.96,-0.54,-0.27,-0.16,0.48,3.621,0.1596,-1.2271,-0.681,0.067281175,6.41,0.076110581
199103,2.65,3.82,-1.23,-0.39,-0.99,0.44,3.9364,-0.9255,1.6607,0.0336,0.022202833,0.75,0.059132774
199104,-0.28,0.33,1.42,0.53,0.71,0.53,-0.7132,0.4803,1.3908,0.6355,0.000319799,-2.89,-0.004718673
199105,3.65,0.17,-0.57,2.11,-2.45,0.47,-0.577,-1.9576,-0.6927,-1.0672,0.038604975,3.61,0.058201062
199106,-4.94,0.17,1.21,1.75,0.63,0.42,0.0759,0.6187,1.3632,0.474,-0.047892629,-8.82,-0.088906785
199107,4.24,-0.96,-1.25,1.61,-1.41,0.49,-0.5747,-0.614,3.1421,0.3736,0.044859343,4.63,0.070654385
199108,2.32,1.44,-0.78,0.88,-0.55,0.46,1.2362,0.0166,1.2334,-0.2208,0.019648784,2.81,0.056034245
199109,-1.59,1.55,-1,-1.81,0.16,0.46,1.8296,-0.8092,-0.383,0.277,-0.019143738,-1.3,0.000452341
199110,1.29,0.95,-0.43,-1.73,-0.29,0.42,0.636,1.2809,0.1098,3.1848,0.011834237,1.99,0.017284856
199111,-4.19,-0.87,-1.93,1.08,0.12,0.39,-0.3546,0.3441,3.45,0.4427,-0.043903709,-4.37,-0.026375603
199112,10.84,-2.42,-4.03,3.58,-3.12,0.38,-1.552,-2.0468,6.8643,-0.4819,0.111587855,9.13,0.161750766
199201,-0.59,9.26,4.51,-1.33,3.15,0.34,8.3338,1.5253,-3.9617,1.4792,-0.01992375,6.63,0.022547614
199202,1.09,1.35,6.37,0.09,2.04,0.28,1.3226,2.2887,0.8278,2.2066,0.009589542,3.86,0.022360826
199203,-2.66,-0.9,3.65,-0.08,1.93,0.34,-1.2396,2.0219,1.0721,1.961,-0.021831863,-5.17,-0.066005599
199204,1.07,-5.73,4.31,1.71,2.22,0.32,-6.9751,1.8166,-1.6567,1.9513,0.027892715,-1.02,-0.047020596
199205,0.3,0.21,1.28,-0.96,0.43,0.28,-0.3332,0.3615,-0.1166,-0.6787,0.000963957,0.03,0.02415068
199206,-2.34,-2.71,3.4,-0.03,1.07,0.32,-2.5932,0.567,0.7956,0.8133,-0.017358832,-4.09,-0.044609021
199207,3.77,-0.61,-0.53,1.57,-0.72,0.31,-0.7794,0.3704,2.6153,-0.0495,0.039373684,2.98,0.032085043
199208,-2.38,-0.42,-1.03,3.79,-1.62,0.26,-0.3192,-0.7675,1.4734,-0.9092,-0.02399753,-4.55,-0.037424145
199209,1.19,0.48,-0.21,1.53,-0.5,0.26,0.6636,-0.3957,2.3068,-0.8426,0.009105594,3.36,0.046531403
199210,1.02,2.02,-2.1,1.31,-0.8,0.23,1.5359,-0.3914,2.1402,0.5989,0.002106283,2.12,0.050992229
199211,4.13,3.91,-1.48,-0.84,-1.91,0.23,3.6534,-1.2252,0.9023,-0.2352,0.030261807,6.35,0.066245362
199212,1.53,1.64,2.52,-0.44,0.75,0.28,2.7691,1.4433,1.8416,1.033,0.010107766,0,0.026285067
199301,0.93,2.09,5.87,-1.77,2.78,0.23,2.3154,2.9767,-1.4159,0.0751,0.007045989,4.84,0.028804642
199302,0.12,-3.42,6.42,-0.5,4.05,0.22,-3.3516,3.6442,-1.4748,2.274,0.010483627,-0.35,-0.052407122
199303,2.3,0.05,1.22,-0.29,0.92,0.25,0.0049,0.9528,1.8004,0.4903,0.018697298,2.21,0.023580332
199304,-3.05,-0.86,2.61,-3.69,1.52,0.24,-1.151,1.2198,-3.0085,2.0296,-0.02541681,-3.68,-0.054184534
199305,2.89,1.88,-3.41,-0.01,-1.18,0.22,1.8254,-0.8001,-0.5424,-0.3906,0.022717463,8.78,0.082851571
199306,0.31,0.11,2.62,-1.06,1.09,0.25,1.5941,1.8326,2.9356,1.6362,0.00075523,-0.43,-0.005392369
199307,-0.34,0.9,3.25,-2.18,2.03,0.24,1.415,1.4857,-0.5377,0.7905,-0.005327046,-3.89,-0.036217166
199308,3.71,0.25,-0.45,-1.15,-0.04,0.25,-0.0177,-0.0651,0.467,0.7241,0.034431957,6.41,0.056069615
199309,-0.12,3.06,-0.44,0.77,-0.08,0.26,3.0943,0.2739,0.9383,1.4226,-0.00998793,1.33,0.027009264
199310,1.41,1.61,-1.54,-0.1,0.6,0.22,0.4125,-0.5554,-1.429,-1.4347,0.019392923,1.6,0.02160874
199311,-1.89,-1.43,-0.27,1.55,-0.95,0.25,-1.8563,-0.7638,-0.7219,0.1243,-0.012910626,0.01,-0.010805978
199312,1.65,1.36,0.57,0.7,-0.32,0.23,2.1015,-0.2397,2.3752,2.2608,0.010091173,2.98,0.029785885
199401,2.87,-0.14,2.09,-2.29,1.44,0.25,0.1844,1.1615,-0.8224,0.9359,0.032500745,4.72,0.039444589
199402,-2.55,2.65,-1.45,2.45,-1.03,0.21,2.6468,-0.4624,2.6564,1.6242,-0.030044996,1.66,-0.004396186
199403,-4.78,-1.02,1.29,0.77,1.27,0.27,-0.9399,0.9673,0.2169,1.3591,-0.045746511,-3.89,-0.070868867
199404,0.68,-1.05,1.68,1.01,1.12,0.27,-0.8094,1.2677,1.4826,1.5047,0.011530644,-1.6,-0.025355106
199405,0.58,-2.46,0.2,0.9,0.7,0.31,-1.9911,0.5192,-0.7221,1.2093,0.012397143,2.09,0.015003365
199406,-3.03,-0.52,1.69,1.16,1.53,0.31,-0.8614,0.9418,0.191,1.3344,-0.026790824,-5.23,-0.048964017
199407,2.82,-1.83,0.62,-0.89,0.11,0.28,-1.4246,0.4364,0.7146,-0.1197,0.031489908,3.87,0.027366129
199408,4.01,1.29,-2.81,0.87,-1.45,0.37,2.0916,-0.6882,2.0678,2.6417,0.037598699,9.27,0.074940538
199409,-2.31,2.67,-1.91,0.6,0.93,0.37,2.2055,0.5683,1.0702,0.996,-0.026877535,-0.49,-0.010178407
199410,1.34,-2.3,-1.74,0.58,-0.62,0.38,-1.8404,0.2235,0.3868,2.4575,0.020833816,7.23,0.048749477
199411,-4.04,0.11,-0.94,0.81,-0.44,0.37,0.5281,-1.0009,1.3627,1.4756,-0.039504613,-2.14,-0.019924903
199412,0.86,-0.02,0.54,0.42,0.31,0.44,1.196,1.2826,4.0151,3.701,0.012299118,2.5,-0.001358673
199501,1.8,-2.76,0.81,0.61,-0.83,0.42,-2.4135,-0.032,-0.0282,1.1286,0.024277711,-0.82,0.002622005
199502,3.63,-0.55,1.09,0.58,-0.33,0.4,-0.6971,-0.8327,0.5089,1.1642,0.03607415,6.75,0.067031835
199503,2.19,-0.72,-1.1,-0.33,0.16,0.46,-1.2207,0.1458,1.2495,0.7807,0.027329193,4.52,0.033872818
199504,2.11,-0.34,2.27,0.05,1,0.44,0.0106,0.0043,0.1905,3.4517,0.027960359,8.29,0.05011742
199505,2.9,-2.06,1.72,0.46,0.09,0.54,-2.2114,0.8572,-0.9955,1.4486,0.036311712,3.08,0.039483789
199506,2.72,2.95,-2.28,-0.48,-2.44,0.47,3.2142,-1.7442,2.1324,1.8437,0.021278544,9.79,0.102294658
199507,3.72,2.1,-1.67,0.45,-1.7,0.45,1.7425,-2.5244,0.9478,0.3118,0.03177604,7.91,0.057338762
199508,0.55,1.83,2.71,-1.36,1.64,0.47,2.3651,2.1659,0.1635,1.2812,-0.000320238,-0.08,0.013869384
199509,3.35,-1.88,-0.75,1.33,0.36,0.43,-0.7735,1.8764,1.4294,3.124,0.040097472,1.28,0.014407817
199510,-1.52,-4.05,-0.74,2.14,-0.03,0.47,-5.0011,0.7869,2.8045,4.4602,-0.004979335,1.45,0.023415621
199511,3.96,-1.17,0.94,-0.82,1.19,0.42,-0.7635,1.1519,-0.2423,-1.3147,0.041049003,-0.68,-0.008450613
199512,1.03,0.67,0.87,-1.33,2.99,0.49,0.6345,3.1218,0.2894,0.4123,0.017443874,-4.2,-0.029458317
199601,2.26,-2.59,0.3,-0.64,2.28,0.43,-2.6934,2.4345,-1.5145,1.4312,0.032617387,1.95,0.027055217
199602,1.33,1.82,-1.42,0.4,-1.8,0.39,2.7365,-0.995,3.1343,0.7526,0.006933702,6.33,0.052397705
199603,0.73,1.54,1.01,1.3,-0.97,0.39,1.855,-0.6444,0.2568,-1.3527,0.007916567,-3.42,-0.021097273
199604,2.06,4.64,-3.91,0.18,-2.2,0.46,5.1454,-1.7122,2.8427,1.1859,0.013431422,10.01,0.093555705
199605,2.36,3.17,-1.2,0.43,-0.22,0.42,4.4318,1.0609,1.7912,-1.4628,0.022853406,3.85,0.038486397
199606,-1.14,-3.47,1.56,3.46,1.09,0.4,-4.2909,1.7015,0.8619,1.6746,0.00225671,-4.92,-0.021794114
199607,-5.97,-3.68,4.45,2.83,2.6,0.45,-3.3604,2.024,2.4171,2.9716,-0.045748017,-7.52,-0.060962614
199608,2.77,2.54,-0.46,-0.3,-2.42,0.41,2.4752,-1.8438,0.1208,-1.3861,0.018813935,4.42,0.043332647
199609,5.01,-1.33,-3.15,1.51,-2.18,0.44,-1.4527,-1.7281,2.1972,2.9831,0.054203328,10.58,0.111518
199610,0.86,-3.88,5.12,1.32,2.98,0.42,-2.4072,3.6469,1.9016,3.2911,0.026101003,-1.25,0.019550663
199611,6.25,-3.78,1.16,2,-0.73,0.41,-3.5352,-1.3062,0.8143,5.3909,0.073376152,12.02,0.109070627
199612,-1.7,3.21,0.88,0.54,1.51,0.46,3.3386,1.2042,0.9562,1.7017,-0.021505415,-2.53,-0.015167714
199701,4.98,-1.82,-1.64,1.31,-0.28,0.45,-0.8141,-0.6163,1.781,2.6005,0.061317039,9.38,0.121980623
199702,-0.49,-2.53,5.19,0.68,3.42,0.39,-2.4784,2.9357,-1.5541,0.6443,0.00592759,-7.44,-0.077141736
199703,-5.02,-0.48,3.81,0.36,1.66,0.43,-0.5358,1.7651,1.7604,0.2147,-0.04261401,-5.55,-0.062789576
199704,4.04,-5.73,-0.07,3.25,-0.89,0.43,-4.7283,-1.8757,3.856,2.9686,0.058405579,8.15,0.097458149
199705,6.74,4.65,-3.87,-0.97,-2.91,0.49,5.0056,-3.2146,-0.2413,-1.4727,0.058576884,10.14,0.096154271
199706,4.1,1.26,1.23,1.01,0.55,0.37,1.0392,0.2212,2.1184,0.1438,0.043452616,1.34,-0.001616507
199707,7.33,-2.84,0.82,-0.24,-2.56,0.43,-1.3948,-2.9906,1.3313,1.2966,0.07814581,15.96,0.156408694
199708,-4.15,7.66,1.38,-0.93,-0.02,0.41,7.4864,-0.769,-1.4326,0.4372,-0.057465632,-1.3,-0.029791405
199709,5.35,2.56,0.01,-1.39,-0.93,0.44,2.4315,-0.1147,-1.0519,-2.6029,0.05315359,3.47,0.021516674
199710,-3.8,-0.51,1.95,1.09,1.87,0.42,-1.0912,2.6402,-1.0299,-1.4217,-0.034477697,-8.42,-0.070673408
199711,2.98,-5.03,0.79,3.07,1.66,0.39,-5.5249,2.8658,1.4063,3.6419,0.044586855,1.46,0.030295615
199712,1.32,-2.01,3.45,1.19,1.92,0.48,-2.2209,2.2279,1.5733,-2.3996,0.015731598,-4.18,-0.056810494
199801,0.15,-1.41,-1.45,0.46,-0.85,0.43,-1.2128,-1.1806,2.1906,2.5971,0.010150177,5.25,0.081043152
199802,7.04,-0.02,-0.13,-0.86,-2.41,0.39,1.0517,-2.4559,1.1398,-0.2694,0.070449193,10.42,0.114831999
199803,4.76,-0.65,1.05,-1.02,-0.47,0.39,-0.3319,0.4864,-0.1748,-1.0906,0.049945714,1.33,0.022217036
199804,0.73,-0.02,0.74,-2.13,-0.23,0.43,0.4928,0.1799,-0.1997,2.2943,0.009076469,5.08,0.022495994
199805,-3.07,-3.11,4.16,0.96,2.54,0.4,-2.6325,2.2656,1.7802,1.0587,-0.018826224,-6.95,-0.04490758
199806,3.18,-3.68,-2.33,-0.52,-2.93,0.41,-3.2856,-1.514,3.1588,0.4178,0.039438241,8.73,0.121863671
199807,-2.46,-5.32,-0.96,1.82,0.45,0.4,-5.7035,1.8861,0.9701,2.8503,-0.011615327,0.47,0.029850334
199808,-16.08,-5.02,3.4,3.47,5.84,0.43,-6.1936,5.4493,3.0576,6.7098,-0.145796719,-17.6,-0.172022742
199809,6.15,-0.84,-3.31,-1.51,-2.91,0.46,-2.0586,-3.0781,-1.8245,1.2778,0.062395516,15.2,0.179893734
199810,7.13,-3.51,-2.21,0.59,0.29,0.32,-2.1604,-0.9494,0.6375,-0.5727,0.080294228,6.35,0.040907365
199811,6.1,0.64,-3.15,-1.24,-1.15,0.31,0.8964,-0.0252,1.3693,1.2943,0.059125996,11.62,0.112415345
199812,6.16,-1.51,-4.46,-0.75,-3.33,0.38,-1.8778,-2.9398,2.9291,-2.247,0.056375287,15.25,0.1784706
199901,3.5,-0.75,-4.03,-2.69,-6.86,0.35,-1.886,-4.462,-3.2508,-1.0641,0.041009442,15.09,0.158593869
199902,-4.08,-5.15,1.4,-1.71,4.09,0.35,-4.2281,4.814,0.016,0.0032,-0.032282563,-11.46,-0.09491861
199903,3.45,-4.29,-2.65,-4.2,-1.4,0.43,-5.5963,0.2962,-0.6922,0.3901,0.038794215,8.51,0.094069362
199904,4.33,4.67,2.53,-2.42,0.92,0.37,3.977,2.6497,-5.1524,0.4438,0.037944028,2.36,0.014242377
199905,-2.46,3.73,2.4,1.09,3.36,0.34,4.9459,0.4521,0.6807,2.0544,-0.024970481,-0.67,-0.021854598
199906,4.77,2.25,-3.6,1.32,-3.38,0.4,3.1452,-2.1207,2.3906,4.3237,0.054438331,11.72,0.099090814
199907,-3.49,2.53,-0.76,0.49,3.11,0.38,2.2716,3.4204,1.0146,1.9684,-0.032046092,-1.8,-0.011250621
199908,-1.38,-1.93,-1.31,-0.3,0.31,0.39,-1.551,-1.1996,-0.027,4.6439,-0.006254092,5.45,0.055457539
199909,-2.79,2.57,-3.39,-0.72,-1.07,0.39,1.7315,-1.3841,-0.183,-0.8624,-0.028551792,-0.21,0.004601745
199910,6.12,-7.09,-2.89,-1.72,-1.25,0.39,-5.6664,0.3587,2.0652,1.8345,0.062539542,3.25,0.095327899
199911,3.37,5.9,-6.51,-3.85,-1.58,0.36,5.729,-3.8975,-2.9734,1.1586,0.019061859,12.87,0.124844557
199912,7.72,5.42,-8.73,-7.91,-5.29,0.44,4.1838,-5.4989,-5.4542,-1.2125,0.057843895,20.76,0.249812124
200001,-4.74,4.15,-0.28,-6.05,4.73,0.41,5.6532,2.8805,-5.0544,0.6177,-0.050903549,-4.71,-0.037159208
