,AABA,ABKFQ,ADBE,ADSK,ANTM,AXP,AY,BIDU,CHTR,CMCSA,CNI,CP,EFX,FOX,FOXA,FWONK,GOOG,GOOGL,MCO,MON,MSFT,NOC,NSC,PCG,RTN,SPGI,TDG,TWC,TWX,UNP,UNVR,V,YHOO
2019 Q4,,,0.01,0.09,5.35,,,,21.84,,8.19,12.38,,,,,18.45,3.66,6.33,,7.45,0.26,,,6.6,2.39,0.21,,,4.01,1.79,0.98,
2019 Q3,,,,0.09,5.08,,,,21.76,,8.91,12.47,0.57,,,,22.43,3.92,6.4,,7.7,,,,1.19,2.52,,,,4.1,1.8,1.06,
2019 Q2,,,,,4.59,,,,20.71,,9.48,12.9,1.19,,,,20.27,3.21,6.35,,11.87,,,,,2.44,,,,4.31,1.87,0.81,
2019 Q1,,,,,,,,,22.4,,7.53,13.23,1.27,0.82,2.65,,18.34,1.51,7.13,,13.48,,,,,2.73,,,,8.4,0.52,,
2018 Q4,,,,,,,,,16.78,,3.98,6.96,,5.3,27.57,0.37,14.45,2.25,4.19,,11.09,,,,,1.74,,,,5.32,,,
2018 Q3,,,,,,,,,23.16,,0.83,5.45,,5.32,27.78,0.05,16.63,2.41,1.78,,7.91,,3.55,0.34,,0.45,,,,4.34,,,
2018 Q2,19.64,,,,,,,,18.76,,,1.99,,5.14,26.75,,14.55,2.02,1.36,,6.4,,1.79,,,0.43,,,,1.16,,,
2018 Q1,32.85,,,,,,,,18.38,2.26,,0.09,,2.34,14.59,,13.54,2.2,1.52,0.31,7.01,,0.45,,,0.47,,,3.94,0.05,,,
2017 Q4,37.21,0.2,,,,,,,20.68,17.6,,,0.04,0.25,1.59,,12.45,2.52,1.52,,4.28,,0.53,,,0.44,,,0.18,0.53,,,
2017 Q3,39.37,0.24,,,,,,,29.52,24.48,,,0.04,,,,3.23,,1.6,,,,0.47,,,0.45,,,0.14,0.46,,,
2017 Q2,35.26,0.26,,,,,,,35.14,26.84,,,,,,,,,1.38,,,,0.26,,,0.54,,,0.15,0.16,,,
2017 Q1,,0.32,,,,,,,35.45,29.17,,,,,,,,,0.64,,,,,,,0.2,,,0.04,,,,34.18
2016 Q4,,0.47,,,,,,,38.42,26.0,,,,,,,,,0.01,,,,,,,,,,,,,,35.09
2016 Q3,,0.41,,,,,0.39,,36.07,21.54,,,,,,,,,0.12,,,,,,,,,,,,,,41.47
2016 Q2,,0.44,,,,,1.12,,36.08,25.82,,,,,,,,,0.13,,,,,,,,,,,,,,36.41
2016 Q1,,0.58,,,,,1.46,4.22,,22.62,,,,,,,,,0.18,,,,,,,,,61.12,,,,,9.82
2015 Q4,,0.56,,,,3.81,1.71,4.41,,22.81,,,,,,,,,6.18,,,,,,,,,60.51,,,,,
