,ABT,BF,BRK,BTI,BUD,CFRHF,CMCSA,CMCSK,DEO,GHC,GOOG,HAS,HKHHF,HRL,JCDXF,JPM,MA,MKL,MLHR,MLM,MO,NSRGY,PDRDF,PG,PM,SBMRY,SNI,UHR,UN,V,WFC,XOM
2020 Q1,,2.83,14.32,,3.56,4.63,1.95,,2.01,,4.63,,6.86,,1.12,3.49,14.6,,,3.16,,12.91,6.83,,6.3,,,2.06,6.1,0.84,,
2019 Q4,,2.69,13.86,,4.77,6.12,1.99,,2.07,,3.21,,6.7,,1.5,,14.61,,,3.62,0.85,10.63,6.65,,5.79,,,2.24,5.47,,5.22,
2019 Q3,,2.69,13.19,,5.78,5.95,2.07,,2.08,,2.42,,7.1,,1.38,,14.11,,,3.71,1.05,11.04,6.85,,5.37,,,2.25,5.93,,5.02,
2019 Q2,,2.45,13.469999999999999,,5.37,6.9,1.95,,2.19,,1.61,,7.5,,1.55,,13.91,,,3.14,1.8,10.55,7.11,,5.56,,,2.44,5.96,,4.55,
2019 Q1,,2.43,13.36,,5.29,6.17,1.95,,2.42,,0.85,,7.54,,1.63,,13.6,,,2.9,2.28,10.28,7.33,,6.61,,,2.59,6.04,,4.75,
2018 Q4,,2.62,15.43,,4.3,6.09,1.92,,2.67,,0.8,,7.23,,1.68,,12.65,,,2.78,2.19,10.04,7.67,,5.56,,,2.88,6.41,,5.1,
2018 Q3,,2.5,14.489999999999998,,5.13,6.9,1.79,,2.43,,,,6.95,,2.02,,13.44,,,2.61,2.38,9.29,6.94,,6.07,,,3.47,5.93,0.67,5.08,
2018 Q2,,2.49,12.95,,5.97,7.11,1.7,,2.52,,,,7.4,,1.88,,12.42,,,3.25,2.3,8.89,7.02,,6.13,,,3.99,6.09,0.6,4.97,
2018 Q1,,2.68,13.29,2.14,5.88,7.27,1.7,,2.37,,,,7.7,,1.88,,10.93,,,2.92,2.45,8.77,6.98,,7.2,,,3.55,6.02,,4.52,
2017 Q4,,2.7,13.0,2.44,5.55,7.23,1.96,,2.69,,,,7.36,,2.15,,9.53,,,3.06,2.75,9.43,6.65,,7.38,,,3.23,5.75,,5.21,
2017 Q3,,2.34,12.629999999999999,2.35,6.03,7.68,1.95,,2.56,,,,7.31,,2.06,,9.49,,,2.97,2.55,9.59,6.14,,8.0,,,3.17,6.29,,4.96,
2017 Q2,,,12.23,2.55,5.77,7.21,2.03,,2.41,,,,7.47,,1.74,,8.57,,,2.9,2.94,10.38,6.19,,8.83,,0.58,2.85,6.17,,5.17,
2017 Q1,,,12.66,2.63,5.98,7.3,2.08,,2.49,,,,6.88,,1.96,,8.29,,,3.01,2.97,9.54,5.79,,9.01,,0.7,2.9,5.88,,5.88,
2016 Q4,,,13.68,2.49,6.22,6.69,2.12,,2.47,,,,6.41,,1.73,,8.39,,,3.4,3.15,9.7,5.72,,8.02,,0.7,2.68,5.31,,6.83,
2016 Q3,,,12.09,2.7,7.29,6.06,2.09,,2.7,,,,7.21,,1.69,,8.28,,,3.08,3.1,10.42,6.2,,8.34,,0.62,2.31,5.51,,5.82,
2016 Q2,,,12.21,2.76,7.22,5.69,2.08,,2.63,,,,7.36,,1.71,,7.18,,,3.35,3.42,10.26,5.87,,8.94,,0.62,2.35,5.64,,6.02,
2016 Q1,,,12.149999999999999,2.54,6.87,6.38,1.98,,2.56,,,,7.15,,2.06,,7.77,,,2.84,3.15,10.06,5.58,,8.71,0.94,,2.54,5.42,,6.0,
2015 Q4,,,11.46,2.42,6.92,6.32,1.89,,2.62,,,,7.17,,1.63,,8.07,,,2.45,3.01,10.14,5.63,,7.94,2.5,,2.22,5.32,,6.84,
2015 Q3,,,11.84,2.48,4.98,6.2,,2.1,2.71,,,,6.96,,1.26,,8.08,,,2.84,3.16,10.71,5.14,,7.51,6.17,0.55,,5.15,,6.76,
2015 Q2,,,12.14,2.36,5.54,5.99,,2.19,2.83,,,,6.72,,1.05,,8.24,,,2.61,2.79,10.08,5.65,,7.35,5.54,0.73,,5.28,,7.25,
2015 Q1,,,13.120000000000001,2.33,5.71,5.9,,2.25,2.72,,,,6.72,,0.71,,7.79,,,2.61,2.95,10.65,5.82,,6.84,5.62,0.79,,5.34,,7.18,
2014 Q4,,,13.77,2.45,5.29,6.48,,2.44,2.72,0.47,,,6.15,,,,7.84,,,2.06,3.12,10.33,5.39,,7.33,5.59,0.86,,5.0,,7.3,
2014 Q3,,,13.11,2.58,5.34,5.6,,2.38,2.82,0.44,,,6.56,,,,6.93,,,2.4,3.08,10.41,5.54,,8.06,6.07,0.94,,4.98,,7.15,
2014 Q2,,,11.76,2.64,5.37,6.82,,2.33,3.0,,,,6.3,,0.5,,6.72,,,2.41,2.77,10.55,5.5,,7.97,6.17,0.96,,5.24,,7.12,
2014 Q1,,,12.17,2.61,5.13,6.49,,2.25,3.0,,,,6.5,,0.62,,7.1,,,2.47,2.59,10.65,5.54,,8.07,5.57,1.01,,5.05,,7.07,
2013 Q4,,,11.66,2.53,5.22,6.85,,2.35,3.19,,,,6.38,,0.6,,8.19,,,1.91,2.69,10.58,5.34,,8.6,5.62,1.2,,4.71,,6.53,
2013 Q3,,,11.690000000000001,2.8,5.11,7.24,,2.19,3.23,,,,6.7,,0.58,,7.16,,,1.86,2.81,10.49,5.84,,8.84,5.77,1.16,,4.28,,6.1,
2013 Q2,,,12.54,2.82,4.83,7.0,,2.17,3.04,0.49,,,6.36,,,,6.57,,,2.0,3.08,10.11,5.36,,9.29,5.64,1.09,,4.63,,6.52,
2013 Q1,,,11.51,2.91,5.04,6.75,,2.13,3.27,0.57,,,7.18,,,,5.98,,,2.04,2.96,10.81,5.77,,9.58,6.09,1.06,,4.3,,5.49,
2012 Q4,,,11.08,3.08,4.8,7.51,,2.24,3.41,0.58,,,6.93,,,,6.02,,,2.16,3.02,10.68,5.89,,9.2,5.91,1.12,,4.36,,5.48,
2012 Q3,,,11.31,3.18,4.82,6.15,,2.32,3.47,0.63,,,6.5,,,,5.76,,,2.0,3.35,10.77,5.97,,10.17,5.82,1.28,,4.17,,5.4,
2012 Q2,,,10.98,3.53,4.6,5.68,,2.29,3.39,0.71,,,6.17,,,,5.57,,,2.01,3.97,10.27,5.93,,11.09,5.61,1.29,,4.02,,5.24,
2012 Q1,,,10.48,3.53,4.16,6.34,,2.26,3.23,0.76,,,6.09,,,,5.52,,,2.2,3.61,10.74,5.64,,11.52,5.61,1.18,,3.94,,5.31,
2011 Q4,,,10.68,3.73,3.67,6.03,,2.14,3.33,0.87,,,5.87,,,,5.31,,,2.2,3.93,10.85,5.54,,11.93,5.53,1.24,,4.29,,4.68,
2011 Q3,,,10.899999999999999,3.74,3.41,5.89,,3.01,3.34,0.86,,,5.95,,,,5.04,,,2.09,4.01,11.58,5.0,,10.78,5.72,1.27,,4.4,,4.4,
2011 Q2,,,10.33,3.4,3.14,7.35,,3.16,3.2,0.99,,,6.78,,,,4.24,,,2.34,3.53,11.66,5.27,,10.25,5.56,1.5,,4.03,,4.28,
2011 Q1,,,11.37,3.25,2.96,6.85,,3.31,3.12,1.15,,,6.63,,,,3.48,,,2.76,3.62,11.27,5.04,,10.52,5.52,1.74,,3.89,,4.36,
