,ACT,ALGT,ASCMA,AZN,BAC,BB,BHC,BP,BRK,C,CBI,CHT,CYD,DELL,DVA,ENDP,FCAU,GS,GSK,JPM,LE,MBI,MGA,NOK,OSTK,PKX,PTGI,RFP,RSH,RYAAY,S,SAVE,SD,SHLDQ,SHOS,SNY,SRSC,TEVA,UTSI,VOD,VZ,WFC
2019 Q4,,0.44,,,,1.98,28.19,,29.65,3.15,,,0.57,,4.4,,0.26,2.68,,,,3.53,0.64,,,0.62,,11.18,,0.23,,1.17,,,,0.58,,,,,,
2019 Q3,,0.4,,,,1.71,22.2,,28.83,2.88,,,0.59,,4.25,0.75,0.24,2.55,,,,3.71,0.66,,,0.61,,13.24,,0.19,,1.12,,,,0.57,,,,,,
2019 Q2,,0.29,,,,1.87,19.68,,22.6,4.31,,,0.52,,3.21,1.72,0.2,4.84,,,,4.2,0.47,,,0.53,,15.58,,,,1.13,,,1.46,0.41,,,,,,
2019 Q1,,0.24,,,,2.09,18.02,,20.12,3.59,,,0.51,,3.36,3.14,0.2,4.26,,,,4.19,0.43,,,0.52,,16.28,,,,1.15,,,1.2,4.89,,,,,,
2018 Q4,,0.21,,,,1.79,14.52,,21.88,3.23,,,0.44,,3.45,3.06,0.21,3.98,,,,4.05,0.43,,,0.55,,17.29,,,,1.38,,,1.32,6.17,,,,,,
2018 Q3,,0.2,0.17,,,2.17,15.33,,17.38,3.38,,,0.46,,3.65,5.36,,4.06,,,,3.71,,,,0.5,,21.44,,,,0.85,,0.18,1.35,5.82,,,,,,
2018 Q2,,,0.33,,,1.97,14.76,,16.3,5.41,,,0.61,,3.76,3.2,,6.37,,,,3.76,,1.44,,0.6,,18.23,,,,0.7,,1.03,1.07,6.32,,,,,,
2018 Q1,,,0.48,,,2.61,11.29,,19.29,6.09,,,0.67,,,2.25,,8.12,,,,4.3,,2.0,,0.71,,16.41,,0.24,,,0.85,1.3,1.71,7.07,,,,,,
2017 Q4,,,1.54,,,2.58,1.35,,19.49,6.82,,,0.77,,,0.27,,8.34,,,,3.45,,1.73,,0.72,,22.18,,0.21,,,1.25,1.77,1.5,7.7,,,,,,
2017 Q3,,,1.42,,,2.1,15.56,,14.65,5.43,,,,,,2.89,,6.32,,,,3.34,,1.81,3.03,,,8.91,,0.62,,,1.12,2.94,1.2,7.26,,3.16,,,,
2017 Q2,,,1.48,,,1.66,16.64,,12.03,6.53,,,,,,3.34,,5.24,,,,3.21,,2.42,2.99,,,6.88,,0.56,,,0.85,3.16,1.12,6.19,,5.28,,,,
2017 Q1,,,1.46,,,1.38,8.76,,12.64,8.27,0.7,,,,,3.58,,5.81,,,,3.09,,5.03,3.38,,,9.12,,,,,0.98,4.38,1.74,6.26,,2.33,,,,
2016 Q4,,,1.63,,,1.2,9.35,,12.03,8.0,0.7,,,,,,,5.9,,,,3.8,,5.92,3.35,,,8.72,,0.45,,,0.37,3.45,2.04,5.44,0.43,,,,,
2016 Q3,,,2.97,,,1.59,13.4,,12.24,7.31,0.71,,,,,,,4.56,,,,3.18,,8.19,3.37,0.4,,8.75,,0.47,,,,6.19,2.46,5.91,0.72,,,,,
2016 Q2,,,2.04,,,1.38,11.33,,12.66,6.76,0.91,,,,,,,4.33,,,,2.87,,8.3,3.65,0.36,,10.09,,0.45,,,,7.58,3.47,6.67,0.9,,,,,
2016 Q1,,,7.89,,,1.6,9.59,,11.95,6.39,0.92,,,,,,,4.39,,,,3.57,,8.27,3.13,0.37,,10.09,,0.53,,,,5.9,3.17,6.15,0.81,,,,,
2015 Q4,,,1.96,0.3,,1.69,,,20.44,7.31,0.91,,0.27,,,,,4.66,,,,2.41,,9.07,2.46,,,12.27,,0.49,,,,6.35,3.64,6.02,1.36,,,,,
2015 Q3,,,3.0,0.28,,1.12,,,20.26,7.03,0.93,,0.31,,,,,4.51,,,,2.27,,8.79,3.46,,,12.3,,0.46,,,,7.0,3.66,6.73,1.75,,,,,
2015 Q2,,,1.84,0.25,,1.33,,,18.92,6.97,1.04,,0.13,,,,,4.82,,,,2.0,,7.91,4.04,,,14.13,,0.37,,,,7.36,3.87,6.25,1.45,,,,,
