"","V1"
"CTAS",0.0481975444940211
"MSFT",0.0324242582059078
"NTES",0.00920323841212122
"DLTR",0.0504351648722524
"ILMN",0.0116741763426547
"ALXN",0.0311247823730569
"VRSN",0.0113543765175453
"BIDU",0.0167834439180175
"CRM",0.0737456046530933
"AAPL",0.104194836309818
"INTU",0.0452224267143115
"AMZN",0.083646995268926
"SNPS",0.139107623428739
"SWKS",0.00906538522545738
"ADSK",0.0169564664614239
"AMGN",0.0168097446558697
"REGN",0.0177024138890328
"GOOGL",0.00486653420761088
"ADBE",0.129898174209587
"CERN",0.00458339150869104
"BKNG",0.143003418331863
