,0,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31
1,Assets  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cash and equivalents  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"42,706.0","26,418.0","25,963.0","28,048.0","84,835.0","72,679.0","58,342.0","67,161.0","66,260.0","66,587.0","63,711.0","63,269.0","62,380.0","55,455.0","48,948.0","48,186.0","42,079.0","35,695.0","49,089.0","46,992.0","47,776.0","40,661.0","37,826.0","37,299.0","34,776.0","47,891.0","41,178.0","38,227.0","34,461.0","27,953.0","25,670.0","30,558.0","26,919.0","25,551.0","25,539.0","33,369.0","31,159.0","35,566.0","44,329.0","47,083.0","46,950.0","46,027.0","43,743.0",0.0,0.0,0.0,"44,660.0"
3,Inventories  ,"19,852.0","19,951.0","19,834.0","19,454.0","19,069.0","16,793.0","16,194.0","16,244.0","17,366.0","16,931.0","16,442.0","16,115.0","15,727.0","15,763.0","15,720.0","15,837.0","11,916.0","11,995.0","12,072.0","11,681.0","10,236.0","10,182.0","10,199.0","10,245.0","9,860.0","9,880.0","9,877.0","9,673.0","9,675.0","9,476.0","9,525.0","9,055.0","8,975.0","9,265.0","7,960.0","7,564.0","7,101.0", , , ,"6,147.0", ,"6,802.0", ,"7,319.0","7,081.0","6,715.0","5,793.0","14,171.0","14,095.0","20,336.0", , , , ,"12,397.0"
4,Other current assets  ,"17,527.0","17,135.0","16,807.0","16,432.0","16,280.0", , , ,"13,748.0", , , , , , , ,"79,077.0","78,255.0","78,659.0","75,392.0","73,505.0","72,562.0","65,654.0","59,193.0","58,046.0","51,959.0","45,572.0","58,762.0","56,667.0","57,252.0","50,186.0","46,881.0","46,274.0","44,041.0","55,851.0","48,742.0","45,328.0","34,461.0","27,953.0","25,670.0", , ,"25,152.0", , , , , ,"5,928.0","5,598.0","5,437.0","5,257.0", , , ,"4,143.0"
5,Total current assets  ,"37,379.0","37,086.0","36,641.0","35,886.0","35,349.0","16,793.0","16,194.0","16,244.0","31,114.0","59,637.0","42,860.0","42,078.0","43,775.0","100,598.0","88,399.0","74,179.0","62,708.0","62,692.0","62,799.0","62,879.0","60,714.0","58,669.0","58,792.0","58,264.0","57,011.0","54,735.0","54,372.0","54,407.0","54,523.0","54,143.0","53,145.0","53,166.0","53,213.0","53,310.0","49,125.0","49,080.0","49,006.0","49,196.0","49,113.0", ,"36,705.0","26,919.0","57,505.0","25,539.0","40,688.0","38,240.0","42,281.0","50,122.0",691.0,802.0,834.0, ,"3,730.0","4,005.0","4,017.0","1,003.0"
6,Goodwill  ,"81,882.0","81,228.0","81,269.0","81,220.0","81,025.0","81,327.0","81,250.0","81,337.0","81,258.0","80,882.0","80,175.0","79,951.0","79,486.0","79,392.0","79,177.0","79,114.0","552,257.0","545,468.0","540,774.0","531,076.0","525,867.0","517,363.0","504,379.0","494,944.0","484,931.0","458,081.0","446,563.0","442,302.0","427,452.0","424,115.0","411,356.0","411,362.0","392,647.0","385,494.0","382,696.0","376,496.0","372,229.0","363,979.0","349,187.0","356,320.0", , ,"28,736.0", ,"28,020.0","27,195.0","26,555.0","26,221.0","67,873.0","67,445.0","72,634.0","49,000.0","3,730.0","4,005.0","4,017.0","62,203.0"
7,Total assets  ,"817,729.0","788,482.0","760,108.0","738,724.0","707,794.0","736,459.0","711,932.0","702,651.0","702,095.0","681,554.0","665,590.0","654,451.0","620,854.0","604,038.0","592,816.0","586,315.0",,,,,,,,,,,,,,,,,,,,,,,,,"33,972.0", ,"33,779.0", ,"33,531.0","33,524.0","33,544.0","32,862.0","25,544.0","24,922.0","24,574.0","24,039.0", , , , 
8,   ,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , ,"22,946.0", ,"19,293.0","19,165.0","18,928.0","17,913.0","32,729.0","32,428.0","32,610.0","32,238.0", , , ,"23,644.0"
9,Short-term debt  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"297,119.0","292,010.0","142,966.0","267,399.0","121,532.0","118,124.0","121,308.0","127,118.0","17,287.0","17,217.0","16,878.0","17,669.0", , , ,"9,802.0"
10,Total current liabilities  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"293,630.0","294,147.0","291,572.0","286,237.0","282,840.0","277,061.0","267,619.0","264,655.0","260,446.0","246,650.0","241,575.0","240,196.0","235,864.0","235,041.0","229,641.0","231,093.0","223,686.0","221,613.0","215,912.0","212,231.0","209,295.0","209,382.0","201,673.0","204,396.0",,,,,,,,,"143,433.0","142,012.0","146,696.0","122,946.0","3,730.0","4,005.0","4,017.0","95,649.0"
11,Long-term debt  ,"438,600.0", , , , , , , ,"350,141.0","369,702.0","361,497.0","358,171.0","335,426.0","331,423.0","326,558.0","324,478.0","293,630.0","294,147.0","291,572.0","286,237.0","282,840.0","277,061.0","267,619.0","264,655.0","260,446.0","246,650.0","241,575.0","240,196.0","235,864.0","235,041.0","229,641.0","231,093.0","223,686.0","221,613.0","215,912.0","212,231.0","209,295.0","209,382.0","201,673.0","204,396.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
12,Other liabilities  ,"-49,434.0","386,924.0","373,717.0","366,133.0","355,294.0","357,040.0","350,174.0","351,599.0","350,141.0","369,702.0","361,497.0","358,171.0","335,426.0","331,423.0","326,558.0","324,478.0",,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Total liabilities  ,"389,166.0","386,924.0","373,717.0","366,133.0","355,294.0","357,040.0","350,174.0","351,599.0",,,,,,,,,"258,627.0","251,321.0","249,202.0","244,839.0","243,027.0","240,302.0","236,760.0","230,289.0","224,485.0","211,431.0","204,988.0","202,106.0","191,588.0","189,074.0","181,715.0","180,269.0","168,961.0","163,881.0","166,784.0","164,265.0","162,934.0","154,597.0","147,514.0","151,924.0","161,334.0","161,328.0","153,623.0","153,692.0","157,225.0","155,568.0","157,401.0","149,759.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,   ,,,,,,,,,"351,954.0","311,852.0","304,093.0","296,280.0","285,428.0","272,615.0","266,258.0","261,837.0","35,620.0","35,610.0","35,584.0","35,565.0","35,573.0","35,560.0","35,491.0","35,465.0","35,472.0","36,082.0","36,101.0","37,270.0","37,230.0","37,890.0","37,856.0","37,846.0","37,807.0","37,786.0","37,771.0","37,578.0","37,533.0","38,123.0","38,077.0","38,034.0","161,334.0","161,328.0","153,623.0","153,692.0","157,225.0","155,568.0","157,401.0","149,759.0","154,051.0","151,346.0","149,424.0","137,756.0","135,622.0","132,865.0","133,118.0","121,498.0"
15,Shareholders' equity   [+],"428,563.0","401,558.0","386,391.0","372,591.0","352,500.0","379,419.0","361,758.0","351,052.0","35,694.0","35,684.0","35,663.0","35,699.0","35,681.0","35,730.0","35,710.0","35,670.0","187,703.0","182,225.0","172,797.0","168,784.0","163,620.0","159,465.0","154,848.0","148,453.0","143,748.0","138,758.0","133,705.0","129,164.0","124,272.0","119,721.0","115,801.0","112,693.0","109,448.0","106,400.0","104,122.0","100,705.0","99,194.0","94,817.0","91,828.0","89,860.0",,,,,,,,,"154,051.0","151,346.0","149,424.0","137,756.0","135,622.0","132,865.0","133,118.0","121,498.0"
16,        Paid-in capital  ,"35,658.0","35,612.0","35,610.0","35,622.0","35,707.0","35,713.0","35,694.0","35,681.0","255,786.0","224,166.0","220,099.0","215,837.0","210,846.0","205,491.0","198,293.0","193,292.0","-1,763.0","-1,763.0","-1,763.0","-1,763.0","-1,763.0","-1,763.0","-1,763.0","-1,363.0","-1,363.0","-1,363.0","-1,363.0","-1,363.0","-1,363.0",-67.0,-67.0,-67.0,-67.0,-18.0, , , , , , ,"135,785.0","130,682.0","-10,657.0","113,707.0","-35,693.0","-37,444.0","-36,093.0","-22,641.0",,,,,,,,
17,        Retained earnings  ,"402,493.0","373,334.0","356,846.0","342,773.0","321,112.0","346,503.0","327,963.0","315,952.0","-1,763.0","-1,763.0","-1,763.0","-1,763.0","-1,763.0","-1,763.0","-1,763.0","-1,763.0","195,919.0","188,629.0","186,403.0","181,960.0","182,313.0","181,633.0","177,968.0","172,025.0","167,474.0","156,696.0","150,616.0","147,699.0","137,065.0","134,931.0","128,570.0","127,103.0","115,748.0","110,571.0","117,659.0","115,185.0","113,928.0","105,401.0","98,401.0","151,924.0","27,074.0", , ,"27,133.0","27,133.0","27,132.0","27,100.0","26,952.0","-10,618.0","-9,334.0","-2,728.0","-14,810.0","-131,892.0","-128,860.0","-129,101.0","-25,849.0"
18,        Treasury stock  ,"-8,125.0","-5,937.0","-5,242.0","-4,799.0","-3,109.0","-2,691.0","-1,763.0","-1,763.0","270,696.0","230,970.0","223,918.0","216,329.0","205,942.0","193,223.0","187,081.0","182,723.0",,,,,,,,,,,,,,,,,,,,,,,,,"86,227.0","83,171.0","76,638.0","78,172.0","77,030.0","75,973.0","73,093.0","72,153.0","26,946.0","26,927.0","26,549.0","26,522.0","26,498.0","26,476.0","26,424.0","26,399.0"
19,Tangible shareholders' equity  ,"346,681.0","320,330.0","305,122.0","291,371.0","271,475.0","298,092.0","280,508.0","269,715.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"101,813.0","130,682.0","-44,436.0","113,707.0","-69,224.0","-70,968.0","-69,637.0","-55,503.0","69,206.0","64,653.0","61,535.0","58,912.0","55,329.0","52,557.0","50,210.0","47,717.0"
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-43,347.0","-41,762.0","-35,338.0","-47,048.0","-131,892.0","-128,860.0","-129,101.0","-49,493.0"
