,0,2019-10-31,2019-07-31,2019-04-30,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2007-01-31,2006-10-31,2006-07-31,2006-01-31
1,Assets  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cash and equivalents  ,605,691,252,292,198,313,982,"1,522",980,970,525,725,"2,885",795,934,313,861,636,675,578,685,597,734,573,753,500,762,776,942,984,"1,099","1,198","1,236",955,"1,529","1,426","1,274",530,444,353,424,284,289,216,294, ,481, , ,507,436,341, ,319, ,134
3,"Accounts receivable, net  ",584,527,535,561,528,527,501,400,358,356,355,370,440,395,418,324, , , , ,326,234, , ,348,352,368,301,302,323,341,286,281,295,311,256,249,260,303,239,241,278,283,229,251, ,268, , , , , , , , ,61
4,Inventories  , , , , , , , ,13,15,31,34,37,255,255,210,40,355,350,373,325,373,352,354,319,300,319,288,313,291,305,291,273,186,173,156,189,149,138,113,122,116,134,124,143,157, ,130, , ,250,252,278, ,220, ,258
5,Other current assets  ,338,330,335,354,443,363,406,"1,002",646,428,363,721,423,434,401,520,230,279,276,301,266,282,258,294,429,434,480,535,544,619,694,564,648,418,440,442,503,536,544,494,425,375,369,363,436, ,421, , ,96,98,97, ,93, ,84
6,Total current assets  ,"1,527","1,548","1,122","1,207","1,169","1,203","1,889","2,937","1,999","1,785","1,277","1,853","4,003","1,879","1,963","1,197",473,464,459,349,420,417,463,505,"1,830","1,605","1,898","1,925","2,079","2,231","2,425","2,321","2,351","1,841","2,436","2,313","2,175","1,464","1,404","1,208","1,206","1,071","1,065",951,"1,138", ,"1,300", , ,312,318,325, ,269, ,356
7,"Property, plant, and equipment, net  ","1,170","1,151","1,193","1,237","1,378","1,533","1,651","1,697","1,861","2,021","2,084","2,113","4,010","4,096","4,111","2,347","1,919","1,729","1,783","1,553","2,070","1,882","1,809","1,691","4,257","4,252","4,258","4,250","4,119","4,102","4,041","4,042","3,872","3,907","3,852","3,830","3,770","3,694","3,766","3,899","3,844","3,807","3,670","3,710","3,884", ,"3,807", , ,"1,165","1,104","1,041", ,901, ,893
8,Intangibles  ,244,243,243,242,84,90,105,110,116,147,150,151,258,264,265,164,"4,263","4,372","4,374","4,498","4,480","4,425","4,378","4,459",644,717,693,690,713,733,811,299,286,407,408,475,440,444,453,462,447,341,332,335,322, ,327, , ,"3,600","3,552","3,570", ,"3,631", ,"3,295"
9,Goodwill  ,530,521,526,525,489,502,514,512,525,540,539,536,635,649,644,571,287,294,299,318,622,615,633,638,882,"1,110","1,026","1,034","1,006","1,010",962,681,672,672,669,659,700,613,623,640,686,760,615,605,656, ,661, , ,336,340,343, ,347, ,327
10,Other fixed assets  ,"1,313","1,316","1,378",724,886,787,490,346, , , , ,64,46,36, ,674,684,684,700,886,875,881,889,42,29,31,72,58,42,33,167, , , ,154, , , , , ,23,32, ,57, ,33, , ,675,656,660, ,662, ,540
11,Total assets  ,"5,231","5,003","4,674","4,130","4,155","4,326","4,836","5,311",304,340,357,376,562,528,500,330,53,39,32,52,58,49,40,53,567,571,571,575,528,512,531,475,486,516,507,519,529,529,539,544,549,582,558,561,572, ,477, , ,140,118,108, ,138, ,157
12,   ,,,,,,,,,"5,454","5,596","5,151","5,453","10,432","8,184","8,221","4,916",547,554,547,560,561,557,563,566,"8,730","8,764","8,945","9,013","8,974","9,177","9,343","8,834","8,549","8,207","8,426","8,316","8,088","7,145","7,141","7,148","7,121","6,924","6,570","6,527","6,820", ,"6,913", , ,388,395,369, ,369, ,505
13,Accounts payable  ,173, , ,202, , , ,119,,,,,,,,,"8,306","8,294","8,305","8,334","9,177","8,810","8,705","8,695",,,,,,,,,,,,,,,,,,,,,,,,, ,"6,598","6,430","6,379", ,"6,368", ,"5,717"
14,Accrued expenses  ,223, , ,206, , , ,252, , , ,142, , , ,181,,,,,,,,, , , ,684, , , ,712, , , ,540, , , ,499,35,32,30,25,23, ,312, ,,,,,,,,
15,Short-term and curr portion of long-term debt   [+],868,84,325,652,295,54,61,375, , , ,372, , , ,281, , , ,694, , , ,692, , , ,487, , , ,440, , , ,357, , , ,342,35,32,30,25,23, ,312, , ,291,306,34, ,227, ,223
16,        Short-term debt  ,431,84,325,321,295,54,61,375,372,375,393,66,48,39,"2,321",921, , , ,419, , , ,442,15,68,21,10,18,316,319,320,287,19,670,673,724,717,56,59,"1,499","1,520","1,475","1,697","1,680", ,"1,648", , ,291,306,34, ,227, ,223
17,        Current portion of long-term debt  ,437, , ,331, , , , ,372,375,393,66,48,39,"2,321",921,566,568,266,267,72,70,70,71,15,68,21,10,18,316,319,320,287,19,670,673,724,717,56,59,"1,534","1,552","1,505","1,722","1,703", ,"1,960", , ,"1,575","1,389","1,454", ,"1,497", ,"1,428"
18,Other current liabilities  ,277,903,861,241,899,870,"1,048",676, , , , , ,30, ,313,566,568,266,267,72,70,70,71,"1,974","1,922","2,068","1,098","2,039","1,997","2,072",978, , , , , , , ,56,"3,258","3,516","3,512","3,564","3,596", ,"3,372", , ,"1,866","1,695","1,488", ,"1,724", ,"1,651"
19,Total current liabilities  ,"1,541",987,"1,186","1,301","1,194",924,"1,109","1,422","1,031","1,103","1,165",800,"2,251","2,240","2,327",984, , , ,264, , , , ,"1,989","1,990","2,089","2,279","2,057","2,313","2,391","2,450","1,980","1,692","1,618",878,"1,577","1,496","1,540",753,"1,340","1,299","1,377","1,335","1,155", ,"1,202", , ,"2,124","2,088","2,208", ,"2,045", ,"1,710"
20,Long-term debt  ,"10,131","10,491","9,869","9,751","9,405","9,612","9,419","9,429","1,403","1,478","1,558","1,380","2,299","2,279","4,648","2,367","2,076","2,121","2,024","1,029","2,040","2,083","2,080","1,060","2,917","2,918","2,924","2,932","3,003","2,995","3,006","2,997","2,267","1,711","2,288","2,448","2,301","2,213","1,596","1,653","6,132","6,367","6,394","6,621","6,454", ,"6,534", , ,"1,186","1,190","1,224", ,"1,147", ,"1,026"
21,Other liabilities  ,"1,575","1,622","1,613","1,004","1,014","1,037","1,062",704,"9,479","9,474","8,715","9,059","9,119","5,324","2,510","3,007","2,642","2,689","2,290","2,409","2,112","2,153","2,150","2,265","1,524","1,512","1,515","1,490","1,575","1,597","1,667","1,471","2,940","3,269","2,918","2,915","2,905","2,518","3,219","3,207",,,,,,,,, ,"5,176","4,973","4,920", ,"4,916", ,"4,387"
22,Total liabilities  ,"13,247","13,100","12,668","12,056","11,613","11,573","11,590","11,555",693,746,690,703,844,912,846,745,"2,651","2,831","3,121","3,077","3,315","3,095","2,949","2,918","6,430","6,420","6,528","6,701","6,635","6,905","7,064","6,918","1,259","1,339","1,361","1,284","1,239","1,188","1,209","1,174",989,557,176,-94,366, ,379, ,,,,,,,,
23,   ,,,,,,,,,"11,575","11,698","10,963","11,142","12,262","8,515","8,004","6,119","1,120","1,141","1,123","1,235","1,146","1,200","1,233","1,244",,,,,,,,,"6,466","6,319","6,567","6,647","6,445","5,919","6,024","6,034",979,646,521,303,349, ,374, , ,"1,422","1,457","1,459", ,"1,452", ,"1,330"
24,Shareholders' equity   [+],"-8,016","-8,097","-7,994","-7,926","-7,458","-7,247","-6,754","-6,244",,,,,,,,,"6,413","6,661","6,534","6,721","6,573","6,448","6,332","6,427","2,300","2,344","2,417","2,312","2,339","2,272","2,279","1,916",,,,,,,,,-144,-544,-771,"-1,034",-612, ,-609, , ,"1,541","1,579","1,613", ,"1,608", ,"1,484"
25,        Retained earnings  ,"-7,628","-7,669","-7,614","-7,592","-7,141","-6,965","-6,539","-6,063","-6,121","-6,102","-5,812","-5,689","-1,830",-331,217,"-1,203",,,,,,,,,"2,326","2,324","2,413","2,286","2,450","2,378","2,362","2,052","2,083","1,888","1,859","1,669","1,643","1,226","1,117","1,114",,,,,,,,, ,411,461,456, ,443, ,463
26,Tangible shareholders' equity  ,"-8,790","-8,861","-8,763","-8,693","-8,031","-7,839","-7,373","-6,866","-5,817","-5,710","-5,433","-5,157","-1,572",-123,454,"1,150","1,893","1,633","1,771","1,613","2,604","2,362","2,373","2,268",774,517,698,588,620,529,506,936,"2,082","1,907","1,960","1,717","1,681","1,325","1,138",996,,,,,,,,,,,,,,,,
27,,,,,,,,,,"-6,762","-6,789","-6,501","-6,376","-2,723","-1,244",-692,"-1,938","2,079","1,726","1,978","1,737","2,462","2,258","2,248","2,102",,,,,,,,,"1,125",809,782,535,503,169,41,12,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,932,655,788,595,"1,096",872,859,741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
