,0,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31,2004-10-31,2004-07-31,2004-04-30,2004-01-31,2003-10-31,2003-07-31,2003-04-30,2003-01-31,2002-10-31,2002-07-31
1,Assets  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cash and equivalents  ,"9,354.0","7,224.0","6,549.0","5,324.0","5,803.0","4,388.0","6,343.0","6,055.0","5,687.0","6,291.0","7,891.0","7,155.0","7,526.0","5,304.3","4,714.0","4,160.8","3,993.0","4,671.2","4,531.0","3,125.6","3,896.4","4,102.3","4,119.1","4,940.6","5,784.8","6,256.6","6,302.5","5,518.4","6,422.8","6,323.5","5,843.7","5,473.7","5,219.3","4,978.4","4,482.2","4,546.0","3,154.1","2,347.4","1,828.1","1,458.3","1,560.4","1,562.8","2,322.4","1,468.3","1,852.4","1,685.0","1,476.8","1,573.7","1,562.6","1,513.4","1,753.0","1,606.8","1,904.6","1,494.3","1,686.6","1,741.4"
3,Short-term investments  ,"2,407.0","2,577.0","2,726.0","2,318.0","1,939.0","2,062.0","1,978.0","2,092.0","1,962.0","1,964.0","2,773.0","3,442.0","3,620.0","1,223.5","1,422.0","1,284.9","1,660.2","1,667.8","1,787.0","1,635.5","1,436.3","1,491.5","1,256.2","1,712.4","1,015.1",641.6,392.8,617.5,835.5,928.3,963.3,392.8,642.6,635.1,"1,644.7","1,281.9","1,436.9","1,936.8","1,521.9","1,211.2","1,237.6","2,042.4","1,615.5","2,996.5","1,720.6","1,378.0","1,236.7",877.0,726.5,981.3,"1,044.7","1,007.1",969.5,"1,010.8",864.7,795.4
4,"Accounts receivable, net  ","2,896.0","2,941.0","3,977.0","3,134.0","3,345.0","2,966.0","4,413.0","3,185.0","3,344.0","2,981.0","3,861.0","2,934.0","3,204.0","2,784.2","3,433.0","3,164.0","2,973.7","2,661.9","2,937.5","2,650.4","2,620.4","2,379.2","2,569.5","2,120.7","1,976.3","1,735.0","2,108.6","1,864.1","1,856.0","1,700.1","2,252.6","2,064.6","2,190.2","1,897.7","2,307.5","1,920.2","1,669.2","1,542.4","1,692.2","1,449.8","1,264.5","1,201.8","1,405.6","1,166.2","1,163.9","1,085.3","1,162.4",950.2,962.2,994.4,952.4,722.3,734.3,789.9,881.3,753.5
5,Inventories  ,"1,243.0","1,233.0","1,245.0","1,224.0","1,224.0","1,292.0","1,276.0","1,390.0","1,397.0","1,421.0","1,334.0","1,375.0","1,233.0","1,180.0","1,201.0","1,158.3","1,029.5","1,034.3","1,010.0","1,104.1","1,005.7",921.0,856.4,838.6,813.8,851.5,886.3,810.9,773.5,820.5,842.8,980.9,972.0,953.1,877.2,886.7,823.3,824.8,834.8,895.1,763.8,693.5,724.8,756.2,696.7,594.3,514.1,547.0,544.0,545.5,514.0,525.8,523.1,572.3,437.8,515.2
6,Other current assets  ,650.0,625.0,566.0,"1,737.0","1,776.0","1,855.0",653.0,"1,697.0","1,555.0","1,538.0","1,419.0","1,541.0","1,591.0","1,557.0","1,249.0","1,343.5","1,278.1","1,265.1","1,436.7","1,432.0","1,274.6","1,278.5",982.1,983.9,956.3,890.4,848.1,817.6,798.5,823.8,762.6,815.0,784.6,845.8,741.4,745.8,699.9,668.3,643.5,624.7,588.1,501.1,505.8,470.7,475.0,468.5,440.9,411.9,435.2,404.2,423.2,344.1,365.8,335.5,346.8,342.9
7,Total current assets  ,"16,550.0","14,600.0","15,063.0","13,737.0","14,087.0","12,563.0","14,663.0","14,419.0","13,945.0","14,195.0","17,278.0","16,447.0","17,174.0","12,049.0","12,019.0","11,111.4","10,934.5","11,300.3","11,702.2","9,947.7","10,233.4","10,172.5","9,783.3","10,596.2","10,546.3","10,375.1","10,538.3","9,628.6","10,686.3","10,596.2","10,665.0","9,727.0","9,808.8","9,310.1","10,053.1","9,380.6","7,783.4","7,319.7","6,520.6","5,639.1","5,414.4","6,001.5","6,574.0","6,857.9","5,908.7","5,210.9","4,830.9","4,359.9","4,230.5","4,438.8","4,687.3","4,206.0","4,497.3","4,202.8","4,217.2","4,148.3"
8,"Property, plant, and equipment, net  ","3,725.0","3,806.0","3,850.0","3,791.0","3,788.0","3,742.0","3,766.0","3,629.0","3,606.0","3,568.0","3,478.0","3,373.0","3,291.0","3,170.2","3,145.0","2,983.4","2,942.1","2,879.3","2,833.1","2,756.0","2,701.8","2,565.3","2,528.4","2,430.7","2,286.0","2,226.2","2,224.3","2,218.6","2,229.1","2,192.1","2,223.0","2,190.3","2,168.8","2,141.9","2,159.4","2,106.2","2,081.4","2,076.0","2,035.6","1,970.3","1,836.4","1,800.9","1,754.0","1,679.6","1,619.5","1,584.0","1,571.8","1,564.3","1,583.2","1,593.9","1,610.2","1,565.0","1,577.4","1,578.9","1,624.4","1,704.0"
9,Intangibles  ,"1,998.0","2,059.0","2,149.0","2,239.0","1,953.0","2,041.0","2,125.0","2,069.0","2,147.0","1,941.0","1,780.0","1,831.0","1,833.0","1,937.5","2,035.0","2,053.4","1,758.1","1,713.8","1,766.1","1,852.0","1,872.2","1,556.7","1,624.3","1,213.7","1,144.6","1,194.1","1,185.6","1,245.4",698.2,738.3,795.6,873.5,921.7,939.2,940.1,942.5,949.4,956.2,"1,003.5","1,019.2",555.7,538.1,563.0,485.0,491.2,516.7,499.5,517.6,537.4,562.9,475.3, , , ,70.2, 
10,Goodwill  ,"17,137.0","17,099.0","17,090.0","17,083.0","16,185.0","16,174.0","16,134.0","15,859.0","15,802.0","15,301.0","14,424.0","14,306.0","13,994.0","13,993.9","13,840.0","13,728.3","12,654.8","12,216.7","12,155.0","12,153.7","12,108.2","11,790.0","11,772.7","9,787.3","9,434.8","9,402.9","9,210.4","9,222.7","7,109.6","7,042.5","7,046.8","7,002.2","6,918.9","6,774.7","6,531.5","6,409.0","6,137.8","5,995.9","6,017.2","5,949.8","4,114.9","3,882.2","3,883.5","3,607.1","3,532.7","3,526.1","3,284.4","3,261.4","3,212.3","3,225.3","2,711.7",217.1,216.7,205.0,205.0, 
