,0,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2006-07-31,2005-07-31
1,Assets  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cash and equivalents  ,"8,768.0","7,838.0","7,912.0","7,648.0","8,289.0","8,162.0","8,505.0","8,142.0","8,138.0","9,874.0","7,437.0","6,427.0","5,824.0","5,619.0","5,887.0","15,943.0","12,837.0","3,518.0","2,147.0","2,039.0","2,085.0","1,971.0","2,058.0","1,820.0","2,121.0","2,186.0","1,453.0","1,377.0","1,334.0","2,074.0","1,558.0","2,042.0","1,942.0","2,127.0","3,600.0","3,512.0","3,684.0","3,867.0","5,205.0","4,560.0","4,160.0","4,617.0","4,200.0","3,363.0","2,613.0","4,979.0","5,762.0","5,041.0","4,979.0","5,762.0","5,041.0","1,698.0",275.0,0.0, , 
3,Short-term investments  , ,"4,110.0", , , ,"3,434.0","3,302.0","3,483.0","3,307.0","3,482.0","2,674.0","1,417.0","3,615.0","3,248.0","2,796.0","3,885.0","8,428.0","2,431.0","2,504.0","2,496.0","2,417.0","1,910.0","2,006.0","1,674.0","1,969.0","1,994.0","1,895.0","1,342.0","1,451.0",743.0,745.0,915.0,799.0,"1,271.0",220.0,197.0,201.0,184.0,85.0,85.0,93.0,115.0,130.0,50.0,103.0,355.0, , ,355.0, , , , , , , 
4,"Accounts receivable, net  ","1,661.0","1,542.0","1,531.0","1,404.0","1,405.0","1,208.0","1,220.0","1,259.0","1,281.0","1,132.0","1,105.0","1,081.0","1,120.0","1,041.0","1,066.0",944.0,922.0,847.0,892.0,896.0,900.0,822.0,824.0,832.0,840.0,761.0,779.0,802.0,801.0,723.0,793.0,655.0,629.0,560.0,551.0,538.0,527.0,476.0,501.0,502.0,536.0,444.0,419.0,372.0,378.0,342.0,342.0,321.0,342.0,342.0,321.0,347.0,245.0, , , 
5,Other current assets  ,"11,890.0","7,480.0","8,862.0","9,438.0","10,413.0","5,412.0","5,464.0","5,652.0","4,561.0","4,535.0","4,502.0","6,580.0","4,130.0","4,405.0","4,625.0","3,531.0","3,286.0","3,225.0","4,525.0","4,674.0","4,462.0","4,859.0","4,137.0","4,181.0","2,835.0","2,881.0","2,814.0","3,393.0","3,801.0","8,246.0","7,803.0","6,683.0","6,608.0","5,232.0","5,145.0","5,359.0","4,943.0","4,207.0","4,059.0","3,968.0","3,964.0","4,065.0","4,813.0","4,440.0","4,995.0","5,498.0","4,657.0","4,724.0","5,498.0","4,657.0","4,724.0","3,768.0","1,987.0", , , 
6,Total current assets  ,"22,319.0","20,970.0","18,305.0","18,490.0","20,107.0","18,216.0","18,491.0","18,536.0","17,287.0","19,023.0","15,718.0","15,505.0","14,689.0","14,313.0","14,374.0","24,303.0","25,473.0","10,021.0","10,068.0","10,105.0","9,864.0","9,562.0","9,025.0","8,507.0","7,765.0","7,822.0","6,941.0","6,914.0","7,387.0","11,786.0","10,899.0","10,295.0","9,978.0","9,190.0","9,516.0","9,606.0","9,355.0","8,734.0","9,850.0","9,115.0","8,753.0","9,241.0","9,562.0","8,225.0","8,089.0","11,174.0","10,761.0","10,086.0","11,174.0","10,761.0","10,086.0","5,813.0","2,507.0",0.0, , 
7,"Property, plant, and equipment, net  ","2,739.0","2,695.0","2,549.0","2,456.0","2,437.0","2,472.0","2,387.0","2,366.0","2,238.0","2,253.0","2,202.0","2,133.0","2,201.0","2,150.0","2,136.0","1,883.0","1,884.0","1,888.0","1,847.0","1,843.0","1,861.0","1,892.0","1,772.0","1,760.0","1,746.0","1,732.0","1,689.0","1,674.0","1,641.0","1,634.0","1,581.0","1,540.0","1,542.0","1,541.0","1,510.0","1,453.0","1,380.0","1,357.0","1,185.0","1,183.0","1,203.0","1,204.0","1,170.0", , ,"1,080.0", , ,"1,080.0", , , , , , , 
8,Intangibles  ,"27,137.0","26,780.0","27,272.0","26,966.0","27,301.0","27,558.0","27,628.0","28,537.0","28,109.0","27,848.0","27,322.0","26,416.0","26,381.0","27,234.0","27,078.0","11,335.0","11,348.0","11,361.0","11,375.0","11,379.0","11,395.0","11,411.0","11,427.0","11,317.0","11,334.0","11,351.0","11,368.0","11,385.0","11,403.0","11,420.0","11,437.0","11,437.0","11,454.0","11,436.0","11,453.0","11,464.0","11,463.0","11,478.0","10,883.0","10,883.0","10,883.0","10,883.0","10,883.0","10,883.0","10,883.0","10,883.0","10,883.0","10,883.0","10,883.0","10,883.0","10,883.0","10,883.0", , , , 
9,Goodwill  ,"15,767.0","15,656.0","15,313.0","15,088.0","15,149.0","15,194.0","15,204.0","15,372.0","15,162.0","15,110.0","15,009.0","14,825.0","14,892.0","15,066.0","15,044.0","11,836.0","11,825.0","11,825.0","11,825.0","11,753.0","11,753.0","11,753.0","11,741.0","11,681.0","11,681.0","11,681.0","11,681.0","11,681.0","11,681.0","11,681.0","11,681.0","11,668.0","11,668.0","11,668.0","11,668.0","11,588.0","11,447.0","11,447.0","10,208.0","10,208.0","10,208.0","10,208.0","10,213.0","10,213.0","10,213.0","10,213.0","10,139.0","10,216.0","10,213.0","10,139.0","10,216.0","9,055.0", , , , 
10,Long-term investments  ,"1,719.0","2,157.0","2,918.0","3,506.0","4,132.0","4,082.0","2,835.0","2,602.0","2,674.0","1,926.0","2,117.0","2,882.0","3,802.0","3,931.0","3,762.0","3,577.0","3,487.0","3,384.0","3,300.0","2,779.0","3,028.0","3,015.0","2,798.0","3,066.0","3,040.0","2,760.0","3,189.0","2,974.0","3,401.0","3,283.0","2,923.0","1,696.0",899.0,711.0,7.0,7.0,13.0,138.0,128.0,154.0,159.0,168.0,181.0, , ,244.0, , ,244.0, , , , , , , 
