,0,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2011-10-31
1,Assets  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cash and equivalents  ,538,719,635,382,403,621,423,610,570,670,784,862,"1,062",859,810,692,609,628,511,547,566,543,545,435,545,435,594,724,661,777,755, 
3,"Accounts receivable, net  ","1,261","1,193","1,190","1,102","1,150","1,051","1,041",980,"1,005",928,921,911,755,"1,021","1,005",913,876,929,937,899,844,862,858,784,858,784,731, , , ,719, 
4,Other current assets  ,294,343,390,392,430,363,380,418, , , , , ,508,459,469,442,430,424,421,404,350,359,397,359,397,396, , , ,415, 
5,Total current assets  ,"2,093","2,255","2,215","1,876","1,983","2,035","1,844","2,008",432,307,294,296,"1,740",636,656,664,658,659,629,622,685,659,655,679,655,679,662,502,625,550,938, 
6,"Property, plant, and equipment, net  ",380,380,418,412,367,361,351,358,"2,007","1,905","1,999","2,069","3,557","3,024","2,930","2,738","2,585","2,646","2,501","2,489","2,499","2,414","2,417","2,295","2,417","2,295","2,383","1,226","1,286","1,327","2,827", 
7,Intangibles  ,"2,488","2,430","4,874","4,872","2,454","4,876","4,878","4,902",353,346,338,341,341,"9,020","9,107","9,098","9,119","9,132","9,191","9,193","7,483","9,124","9,036","9,031","9,036","9,031","9,058", , , ,"9,197", 
8,Goodwill  ,"5,159","5,137","5,157","5,162","5,160","5,170","5,174","5,211","4,890","4,887","4,872","4,856","4,848","4,908","4,911","4,920","4,919","4,929","4,940","4,925","4,963","4,987","5,016","5,013","5,016","5,013","5,013", , , ,"5,773", 
9,Other fixed assets  ,280,248,222,220,239,281,316,314,"5,190","5,183","5,164","5,135","5,218","5,855","5,862","5,890","5,887","5,902","5,945","5,916","6,154","6,185","6,227","6,222","6,227","6,222","6,220", , , ,"6,197", 
10,Total assets  ,"14,957","15,067","15,140","14,853","13,995","14,143","13,986","14,260", , , , , ,132,129,127,138,154,156,156,170,174,257,264,257,264,260, , , ,291, 
11,   ,,,,,,,,,291,468,452,443,408,359,313,297,274,368,358,349,356,390,410,391,410,391,403, , , ,262, 
12,Accounts payable  ,303, , , ,283, , , ,"14,228","14,223","14,269","14,287","26,211","25,871","25,853","25,721","25,622","25,932","26,051","25,905","26,125","26,324","26,497","26,393","26,497","26,393","26,562","26,729","26,785","26,911","27,066", 
13,Accrued expenses  ,649, , , ,731, , , ,,,,,,,,,,,,,,,,,,,,,,,,
14,Current portion of long-term debt  ,37,38,37,35,16,15,11,47,282, , , ,314, , , ,331, , , ,299, , , , , ,319, , , , , 
15,        Current portion of long-term debt  ,37,38,37,35,16,15,11,47,691, , , ,560, , , ,565, , , ,557, , , , , ,599, , , , , 
16,Deferred revenues  ,332,290,298,323,350,299,308,342,46,49,48,41,33,181,186,193,204,116,10,10,10,3,3,3,3,3,4,0,0,0,392, 
17,Other current liabilities  ,"1,550","2,572","2,445","2,436","1,235","2,099","2,059","2,099", , , , ,73,80,88,96,110, , , , , , , ,3,3,4, , , , , 
18,Total current liabilities  ,"2,871","2,900","2,780","2,794","2,615","2,413","2,378","2,488",46,49,48,41,33,101,98,97,94,116,10,10,10,3,3,3, , ,48, , , , , 
19,Long-term debt  ,"7,956","7,767","7,772","7,330","7,266","7,559","7,564","6,558",366, , , ,65, , , ,65, , , ,52, , , ,"2,117","1,983","1,172", , , ,"1,957", 
20,Other liabilities  ,"4,602","4,599","4,611","4,621","3,556","3,591","3,484","3,467","1,077","1,984","1,941","1,926","1,712","2,417","2,477","2,352","1,278","2,442","2,416","2,288","1,339","2,137","2,117","1,983","2,120","1,986","2,142",0,0,0,"2,349", 
21,Total liabilities  ,"15,429","15,266","15,163","14,745","13,437","13,563","13,426","12,513","2,462","2,033","1,989","1,967","2,684","2,598","2,663","2,545","2,443","2,558","2,426","2,298","2,257","2,140","2,120","1,986","11,314","11,551","11,751","14,279","14,668","15,467","15,183", 
