,0,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31
1,Assets  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cash and equivalents  ,"1,500.4","1,403.9","1,949.2","1,826.2","2,785.6","1,490.3","2,170.0","2,293.6","1,773.4","2,363.6","2,780.4","2,995.5","2,705.2","2,776.6","3,191.1","2,941.4","2,794.9","3,184.7","1,639.3","1,808.6","1,850.8","2,175.7","1,584.0","1,671.0","1,267.1","1,149.0","1,699.1","1,647.7","1,390.9","1,117.4","1,548.1","1,665.1","1,331.3","1,248.9","1,389.4","1,600.9","1,305.7","1,176.7","1,643.3","1,965.0","1,741.1","1,582.8","2,265.3","1,363.4","1,304.9","1,396.4",917.5,"1,644.7","1,320.5","1,428.6","1,746.1","2,473.5","1,294.7","1,401.2","1,800.1","1,214.1"
3,Short-term investments  ,7.2,"3,545.1", , , , , , , , , , , ,41.0, ,23.7,26.9,27.2,26.6,26.9,101.9,"2,261.6","2,032.2",22.9,22.5,541.9,28.0,32.6,43.9,35.7,30.4,28.0,23.9,19.1,36.3,43.6,36.3,40.4,27.9,38.5,40.6,36.6,30.8,32.5,66.7,"1,522.7",666.3,31.6,20.8,146.4,70.4,207.8,249.4,468.7,327.5,406.7
4,"Accounts receivable, net  ","2,587.9","2,490.4","2,439.3","2,485.2","2,638.1","2,216.4","1,984.2","2,043.4","2,045.5","1,788.7","1,703.6","1,811.5","1,839.5","1,620.6","1,742.8","2,074.4","1,634.2","1,565.2","1,546.9","1,580.7","1,595.6","1,390.3","1,498.8","1,835.2","1,730.4","1,585.8","1,595.3","1,723.6","1,604.1","1,463.4","1,391.7","1,372.7","1,353.9","1,236.9","1,364.8","1,293.8","1,136.6","1,161.5","1,127.7","1,131.0","1,089.4",994.3,"1,050.7","1,043.8","1,166.3",993.6,"1,034.6","1,179.1","1,069.8",957.8,"1,041.9",915.0,"1,280.7","1,178.9",752.2,"1,241.5"
5,Other current assets  ,"37,269.5","22,069.1","29,953.8","36,612.6","26,258.9","26,249.2","27,669.1","34,377.0","35,531.1","26,850.3","28,174.7","34,707.4","31,263.4","25,686.0","34,566.5","41,779.5","31,203.2","25,399.0","25,596.4","29,376.6","35,567.7","19,965.8","22,378.0","27,003.5","29,281.1","17,759.1","22,892.1","31,029.3","24,513.5","21,356.1","22,302.4","30,487.7","24,018.0","19,949.1","25,793.0","33,145.0","24,892.9","23,300.6","19,517.8","27,180.5","22,055.3","17,104.7","17,358.7","22,042.5","26,119.5","15,436.5","16,190.5","24,964.6",680.1,545.5,"18,995.0",460.1,"1,467.3","1,542.5","2,603.0","2,162.3"
6,Total current assets  ,"41,365.0","29,508.5","34,342.3","40,924.0","31,682.6","29,955.9","31,823.3","38,714.0","39,350.0","31,002.6","32,658.7","39,514.4","35,808.1","30,124.2","39,500.4","46,819.0","35,659.2","30,176.1","28,809.2","32,792.8","39,116.0","25,793.4","27,493.0","30,532.6","32,301.1","21,035.8","26,214.5","34,433.2","27,552.4","23,972.6","25,272.6","33,553.5","26,727.1","22,454.0","28,583.5","36,083.3","27,371.5","25,679.2","22,316.7","30,315.0","24,926.4","19,718.4","20,705.5","24,482.2","28,657.4","19,349.2","18,808.9","27,820.0","3,091.2","3,078.3","21,853.4","4,056.4","4,292.1","4,591.3","5,482.8","5,024.6"
7,"Property, plant, and equipment, net  ",761.3,767.1,764.2,765.8,772.7,787.7,793.7,794.6,799.9,800.4,779.9,750.6,733.2,701.0,685.0,668.8,679.6,680.3,672.7,646.0,650.3,650.7,667.1,767.5,739.3,735.2,728.6,716.7,712.9,703.9,706.3,710.2,707.9,708.3,716.2,685.4,676.9,664.9,673.8,690.0,707.4,723.5,734.3,715.5,721.0,730.8,742.9,732.6,731.0,722.2,723.8,710.1,780.6,773.5,700.0,742.8
8,Intangibles  ,"1,102.5","1,078.9","1,071.5","1,062.9",926.7,917.2,886.4,875.3,832.7,687.3,620.2,594.8,552.4,553.8,534.2,513.9,495.3,476.2,503.2,498.3,499.3,500.4,491.0,636.2,644.5,639.1,643.2,644.4,670.6,683.8,688.3,723.1,731.5,686.7,715.7,718.7,682.8,684.1,542.4,554.2,558.3,557.4,578.7,578.7,573.2,604.5,637.1,659.2,678.9,689.3,688.0,717.0,738.3,606.3,526.2,626.6
9,Goodwill  ,"2,314.9","2,303.3","2,323.0","2,316.1","2,321.4","2,325.0","2,243.5","2,263.3","2,164.3","1,757.3","1,741.0","1,726.7","1,652.9","1,698.5","1,682.0","1,689.3","1,671.2","1,684.6","1,793.5","1,785.5","1,833.4","1,857.6","1,883.5","3,102.0","3,108.6","3,095.7","3,039.2","3,068.5","3,100.7","3,088.8","3,062.0","3,163.7","3,130.0","2,997.5","3,073.6","3,072.0","2,878.8","2,789.1","2,383.3","2,431.2","2,413.2","2,409.8","2,375.5","2,269.9","2,281.8","2,369.4","2,426.7","2,420.7","2,415.7","2,373.9","2,353.6","2,317.5","2,753.4","2,486.0","1,976.2","2,466.2"
10,Other fixed assets  ,596.6,"1,129.4",934.4,740.3,739.7,"1,053.4",699.3,"1,391.0", , , , , ,7.8, ,7.8,21.0,21.3,28.9,29.2,46.3,46.6,54.1,54.3,59.9,"2,549.0",314.0,77.0,82.4,522.4,86.9,96.8,98.7,99.7,98.0,96.6,99.3,99.1,104.3,104.1,90.6,99.2,92.4,77.7,81.0,66.1,76.5,59.1,68.2,301.6,68.1,105.9,155.6,210.7,333.7,353.4
