,0,2020-01-31,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-04-30,2007-04-30,2009-04-30,2009-01-31,2008-10-31,2008-04-30,2007-04-30,2007-01-31,2006-04-30,2005-04-30
1,Assets  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cash and equivalents  ,0.0, ,"9,304.0","4,239.0","2,738.0","3,696.0","2,545.0","2,569.0","5,326.0","7,432.0","5,024.0","5,569.0","5,817.0","6,051.0","7,456.0","7,102.0","7,895.0","9,403.0","7,705.0","6,836.0","8,374.0","8,204.0","7,486.0","8,558.0","8,182.0","6,929.0","6,122.0","5,947.0","5,876.0","6,643.0","5,302.0","4,436.0","3,991.0","4,414.0","3,582.0","2,768.0","2,946.0","3,249.0","2,603.0","2,879.0","4,899.0","4,130.0","6,294.0","4,781.0","4,781.0","4,781.0","3,313.0","5,354.0","4,781.0","4,781.0","4,781.0","3,313.0","5,354.0","3,994.0","6,693.0", 
3,Short-term investments  , , , ,"6,048.0","7,085.0","8,421.0","8,708.0", ,"10,208.0","11,326.0","10,983.0", ,"8,510.0","7,403.0","6,615.0", ,"5,924.0","4,874.0","4,901.0", ,"4,786.0","4,047.0","3,360.0", ,"1,570.0","1,574.0","1,580.0", , , , , ,"6,200.0","6,905.0","6,584.0","6,275.0","6,264.0","6,551.0","6,082.0","5,335.0", , , , , , , ,202.0, , , , ,202.0,236.0,"1,133.0", 
4,"Accounts receivable, net  ","4,640.0", ,"5,143.0","4,951.0","5,198.0","5,055.0","5,035.0","4,686.0","5,149.0","5,182.0","4,942.0","4,594.0","4,358.0","4,729.0","4,713.0","4,373.0","4,591.0","4,721.0","4,724.0","4,568.0","4,990.0","5,802.0","6,197.0","6,386.0","6,353.0","6,911.0","6,555.0","6,508.0","6,669.0","7,183.0","6,993.0","6,068.0","7,239.0","7,444.0","8,001.0","7,379.0","7,619.0","7,423.0","7,277.0","6,384.0","5,860.0","6,544.0","6,239.0","5,836.0","6,085.0","5,061.0","6,761.0","6,629.0","5,836.0","6,085.0","5,061.0","6,761.0","6,629.0","6,757.0","5,725.0", 
5,Inventories  ,"5,330.0", ,"5,465.0","5,017.0","5,358.0","5,281.0","5,182.0","4,738.0","5,207.0","5,131.0","5,023.0","4,624.0","4,754.0","4,787.0","4,999.0","4,716.0","4,957.0","5,125.0","5,239.0","4,979.0","5,893.0","6,477.0","7,100.0","6,759.0","7,227.0","7,379.0","7,394.0","6,909.0","7,240.0","7,219.0","7,332.0","6,721.0","5,678.0","4,888.0","4,958.0","5,548.0","4,985.0","4,607.0","4,534.0","4,184.0","6,750.0","6,864.0","7,050.0","6,880.0","6,567.0","6,055.0","8,416.0","6,819.0","6,880.0","6,567.0","6,055.0","8,416.0","6,819.0","7,091.0","6,291.0", 
6,Other current assets  ,"17,170.0", ,"2,013.0","2,218.0","1,933.0","1,978.0","1,876.0","11,327.0","2,070.0","2,143.0","2,124.0","11,707.0","2,446.0","2,602.0","11,388.0","17,591.0","10,950.0","12,224.0","13,051.0","13,263.0","7,519.0","8,648.0","4,964.0","9,914.0","4,794.0","4,674.0","4,671.0","4,626.0","4,513.0","4,556.0","4,497.0","4,685.0","23,108.0","23,651.0","23,125.0","21,970.0","21,814.0","21,830.0","20,496.0","18,782.0","3,981.0","4,223.0","4,934.0","4,408.0","4,472.0","6,008.0","6,025.0","5,027.0","4,408.0","4,472.0","6,008.0","6,025.0","5,027.0","4,636.0","4,487.0", 
7,Total current assets  ,"27,140.0", ,"21,925.0","22,473.0","22,312.0","24,431.0","23,346.0","23,320.0","27,960.0","31,214.0","28,096.0","26,494.0","25,885.0","25,572.0","35,171.0","33,782.0","34,317.0","36,347.0","35,620.0","29,646.0","31,562.0","33,178.0","29,107.0","31,617.0","28,126.0","27,467.0","26,322.0","23,990.0","24,298.0","25,601.0","24,124.0","21,910.0","20,384.0","20,372.0","20,765.0","21,293.0","20,521.0","19,952.0","19,877.0","19,244.0","21,490.0","21,761.0","24,517.0","21,905.0","21,905.0","21,905.0","24,515.0","24,031.0","21,905.0","21,905.0","21,905.0","24,515.0","24,031.0","22,714.0","24,329.0", 
8,"Property, plant, and equipment, net  ","20,459.0", ,"20,901.0","21,271.0","20,993.0","20,822.0","20,590.0","20,600.0","20,925.0","20,420.0","20,108.0","19,893.0","19,219.0","18,778.0","19,310.0","19,385.0","19,186.0","18,910.0","19,081.0","19,655.0","20,043.0","20,745.0", ,"22,304.0", , , ,"21,666.0","21,191.0","21,204.0","20,877.0","20,377.0","31,429.0","31,325.0","31,858.0","32,620.0","32,598.0","32,251.0","32,369.0","31,636.0","19,427.0","19,646.0","19,591.0","19,462.0","19,462.0","19,462.0","20,640.0","19,540.0","19,462.0","19,462.0","19,462.0","20,640.0","19,540.0","19,178.0","18,770.0", 
9,Intangibles  ,"23,834.0", ,"24,002.0","24,215.0","25,836.0","25,947.0","23,919.0","23,902.0","24,129.0","24,224.0","24,262.0","24,187.0","24,153.0","24,185.0","24,429.0","24,527.0","24,629.0","24,495.0","24,715.0","25,010.0","26,908.0","27,567.0","30,210.0","30,843.0","31,306.0","31,595.0","31,715.0","31,572.0","31,739.0","32,147.0","31,163.0","30,988.0","54,833.0","54,307.0","56,079.0","57,562.0","57,030.0","55,760.0","56,171.0","54,012.0","32,201.0","32,624.0","32,686.0","32,606.0", , ,"34,233.0","33,626.0","32,606.0", , ,"34,233.0","33,626.0","33,463.0","33,721.0", 
10,Goodwill  ,"39,617.0", ,"39,605.0","40,273.0","46,753.0","46,932.0","45,225.0","45,175.0","46,175.0","45,624.0","45,189.0","44,699.0","43,682.0","43,458.0","44,458.0","44,350.0","44,679.0","44,157.0","44,612.0","44,622.0","46,856.0","48,875.0","51,361.0","53,704.0","56,226.0","56,293.0","55,874.0","55,188.0","55,067.0","55,687.0","54,332.0","53,773.0","4,851.0","4,656.0","4,790.0","4,909.0","4,575.0","4,480.0","4,779.0","4,498.0","55,538.0","56,979.0","57,011.0","56,512.0", , ,"59,767.0","56,552.0","56,512.0", , ,"59,767.0","56,552.0","56,471.0","55,306.0", 
11,Other fixed assets  ,"7,510.0", ,"7,625.0","6,863.0","5,779.0","5,555.0","5,360.0","5,313.0","5,180.0","5,162.0","5,196.0","5,133.0","5,152.0","5,040.0","5,675.0","5,092.0","4,697.0","5,234.0","5,237.0","5,358.0","5,568.0","5,898.0","5,706.0","5,798.0","5,265.0","5,420.0","5,338.0","6,847.0","6,836.0","5,264.0","5,392.0","5,196.0","134,605.0","134,311.0","136,617.0","138,354.0","136,538.0","134,273.0","133,692.0","128,172.0","4,330.0","4,283.0","4,576.0","4,348.0","24,246.0","24,246.0","4,837.0","4,265.0","4,348.0","24,246.0","24,246.0","4,837.0","4,265.0","3,869.0","3,569.0", 
12,Total assets  ,"118,560.0", ,"114,058.0","115,095.0","121,673.0","123,687.0","118,440.0","118,310.0","124,369.0","126,644.0","122,851.0","120,406.0","118,091.0","117,033.0","129,043.0","127,136.0","127,508.0","129,143.0","129,265.0","129,495.0","130,937.0","136,263.0","138,183.0","144,266.0","143,197.0","142,927.0","141,125.0","139,263.0","139,131.0","139,903.0","135,888.0","132,244.0",,,,,,,,,"132,986.0","135,293.0","138,381.0","134,833.0","134,833.0","134,833.0","143,992.0","138,014.0","134,833.0","134,833.0","134,833.0","143,992.0","138,014.0","135,695.0","135,695.0", 
13,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,684.0","6,735.0","7,290.0","8,022.0","6,458.0","6,267.0","6,716.0","7,251.0",,,,,,,,,,,,,,,,
14,Accounts payable  ,"10,464.0", ,"10,951.0","11,260.0","10,207.0","10,266.0","10,243.0","10,344.0","9,716.0","9,740.0","9,458.0","9,632.0","8,076.0","8,300.0","9,024.0","9,325.0","7,795.0","7,717.0","7,758.0","8,138.0","7,285.0","7,733.0","8,280.0","8,461.0","7,512.0","7,156.0","7,489.0","8,777.0","7,422.0","7,157.0","7,498.0","7,920.0","8,449.0","8,939.0","9,202.0","9,290.0","9,996.0","9,816.0","9,412.0","8,559.0","5,785.0","5,433.0","5,581.0","5,980.0","5,980.0","5,980.0","6,775.0","5,710.0","5,980.0","5,980.0","5,980.0","6,775.0","5,710.0","4,371.0","4,910.0", 
15,Accrued expenses  ,"9,731.0", ,"9,950.0","9,054.0","9,252.0","8,868.0","8,469.0","7,470.0","8,133.0","7,820.0","7,240.0","7,024.0","7,225.0","7,584.0","8,032.0","7,449.0","7,652.0","7,945.0","8,494.0","8,091.0","8,406.0","8,853.0","9,554.0","8,999.0","9,078.0","9,480.0","9,428.0","8,828.0","8,892.0","9,254.0","9,086.0","8,289.0","11,771.0","14,118.0","11,476.0","9,981.0","9,721.0","11,158.0","11,512.0","8,472.0","10,449.0","10,463.0","9,610.0","8,601.0", , , , ,"8,601.0", , , , , , , 
16,Short-term debt  ,"12,701.0", ,"9,352.0","9,697.0","8,911.0","12,113.0","10,508.0","10,423.0","12,862.0","15,547.0","14,026.0","13,554.0","13,781.0","13,007.0","12,215.0","11,653.0","13,681.0","13,931.0","13,093.0","12,018.0","15,075.0","16,329.0","14,228.0","15,606.0","15,528.0","14,091.0","16,300.0","12,432.0","11,098.0","9,819.0","8,314.0","8,698.0","11,771.0","14,118.0","11,476.0","9,981.0","9,721.0","11,158.0","11,512.0","8,472.0","7,038.0","7,780.0","12,957.0","16,320.0","16,320.0","16,320.0","13,084.0","12,039.0","16,320.0","16,320.0","16,320.0","13,084.0","12,039.0","12,168.0","2,128.0", 
17,        Short-term debt  ,"12,701.0", ,"9,352.0","9,697.0","8,911.0","12,113.0","10,508.0","10,423.0","12,862.0","15,547.0","14,026.0","13,554.0","13,781.0","13,007.0","12,215.0","11,653.0","13,681.0","13,931.0","13,093.0","12,018.0","15,075.0","16,329.0","14,228.0","15,606.0","15,528.0","14,091.0","16,300.0","12,432.0","11,098.0","9,819.0","8,314.0","8,698.0", , , ,"2,994.0", , , ,564.0,"7,038.0","7,780.0","12,957.0","16,320.0", , , , ,"16,320.0", , , , , , , 
18,Total current liabilities  ,"32,896.0", ,"30,253.0","30,011.0","28,370.0","31,247.0","29,220.0","28,237.0", , , , , , ,"12,215.0","11,653.0","13,681.0", , ,"2,772.0", , , ,"4,307.0", , , ,"4,506.0", , , ,"4,083.0","26,904.0","29,792.0","27,968.0","27,293.0","26,175.0","27,241.0","27,640.0","24,282.0", , , ,"6,941.0", , , ,"12,039.0","6,941.0", , , ,"12,039.0","12,168.0", , 
19,Long-term debt  ,"23,310.0", ,"20,161.0","20,395.0","21,359.0","21,514.0","20,779.0","20,863.0", , , , , , ,"3,130.0","2,343.0","2,229.0","2,460.0","2,222.0","1,543.0","1,115.0","1,237.0",9.0,660.0,"32,118.0","30,727.0","33,217.0","30,037.0","27,412.0","26,230.0","24,898.0","24,907.0","21,341.0","19,270.0","22,372.0","22,033.0","21,699.0","21,317.0","21,464.0","21,360.0", , ,526.0, ,"43,910.0","43,910.0","11,099.0","12,968.0", ,"43,910.0","43,910.0","11,099.0","12,968.0","14,382.0","12,947.0", 
20,Other liabilities  ,"16,413.0", ,"16,660.0","17,110.0","16,392.0","16,483.0","15,937.0","16,327.0","30,711.0","33,107.0","30,724.0","30,210.0","29,082.0","28,891.0","32,401.0","30,770.0","31,357.0","32,053.0","31,567.0","29,790.0","31,881.0","34,152.0","32,071.0","33,726.0","20,837.0","21,517.0","18,480.0","19,111.0","21,125.0","23,607.0","23,563.0","21,080.0","20,451.0","20,349.0","20,643.0","21,027.0","21,232.0","21,002.0","21,387.0","21,091.0","23,272.0","23,676.0","28,674.0","30,901.0","66,210.0","66,210.0","30,958.0","30,717.0","30,901.0","66,210.0","66,210.0","30,958.0","30,717.0","30,921.0","19,985.0", 
21,Total liabilities  ,"72,619.0", ,"67,074.0","67,516.0","66,121.0","69,244.0","65,936.0","65,427.0","22,437.0","22,186.0","20,188.0","18,038.0","16,633.0","16,460.0","18,910.0","18,945.0","19,134.0","17,595.0","17,394.0","18,327.0","17,364.0","18,124.0","19,004.0","19,811.0","20,201.0","20,545.0","20,612.0","21,406.0","22,641.0","22,743.0","22,479.0","22,222.0","68,696.0","69,411.0","70,983.0","70,353.0","69,106.0","69,560.0","70,491.0","66,733.0","22,938.0","22,309.0","22,439.0","20,652.0","20,652.0","20,652.0","23,581.0","23,375.0","20,652.0","20,652.0","20,652.0","23,581.0","23,375.0","21,257.0","35,976.0", 
