,0,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31,2004-10-31,2004-07-31,2004-04-30,2004-01-31,2003-10-31,2003-07-31,2003-04-30,2003-01-31,2002-10-31,2002-07-31,2002-04-30,2002-01-31,2001-10-31
1,Assets  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cash and equivalents  ,368.0,226.9,328.4,319.0,222.0,217.6,168.7,209.3,163.3,225.1,504.5,282.8,255.6,224.8,169.2,201.4,812.9,637.5,559.0,507.6,339.4,265.5,174.0,204.6,133.3,74.9,73.6,154.2,735.2,600.4,559.7,467.5,472.2,488.7,333.4,298.7,595.2,473.4,449.9,318.0,610.0,535.8,415.7,230.2,249.0,268.4,170.5,193.7
3,Short-term investments  ,5.5,8.0,9.0,9.0,12.4,7.4,13.5,14.9,9.2,8.9,10.3,21.4,10.3,11.3,13.1,25.9,13.1,13.4,11.8,13.2,12.7,12.7,12.7,11.8,11.7,10.5,9.0,6.6,171.5,169.0,168.1,152.5,162.4,161.0,383.1,381.7,13.6,19.5,19.0,255.7,40.7,46.7,34.7,42.6,58.3,69.4,90.1,135.7
4,"Accounts receivable, net  ","1,366.2","1,372.3","1,275.5","1,303.4",924.8,876.0,"1,030.8","1,165.7",700.5,824.3,532.7,560.9,523.1,502.1,543.8,517.4,377.1,356.6,353.6,305.0,314.5,297.2,273.3,267.1,275.8,301.6,375.6,384.7,264.3,347.8,269.8,333.8,290.6,271.3,230.0,251.5,230.1,210.6,214.2,211.2,122.3,130.7,157.1,178.6,181.2,177.9,174.4,173.1
5,Inventories  ,"3,446.7","3,326.4","3,192.6","3,197.6","1,817.6","1,788.0","1,855.3","1,819.3","1,404.2","1,302.9","1,235.9","1,313.4",673.1,699.3,710.7,"1,462.3",505.7,499.3,476.2,473.1,481.6,490.7,521.3,490.6,524.1,553.9,492.3,517.2,318.2,310.4,300.8,278.1,271.7,289.3,314.8,321.3,340.1,385.1,395.8,393.4,399.6,375.8,364.7,348.8,315.8,278.5,255.0,252.3
6,Other current assets  ,"4,748.2","4,622.9","4,514.4","4,584.8","2,838.7","2,668.4","2,699.6","2,860.1","2,128.2","2,324.7","2,233.8","2,087.6",302.1,319.6,332.9,"2,114.3",176.5,181.7,163.2,159.5,175.2,179.3,182.3,199.7,179.0,153.7,151.2,198.9,133.3,144.4,129.2,121.7,110.8,110.7,106.4,117.1,126.0,141.2,141.9,145.2,119.2,117.7,109.7,113.3,95.1,120.6,109.5,134.9
7,Total current assets  ,"9,934.6","9,556.5","9,319.9","9,413.8","5,815.5","5,557.4","5,767.9","6,069.3","4,405.4","4,685.9","4,517.2","4,266.1","1,764.2","1,757.1","1,769.7","4,321.3","1,885.3","1,688.5","1,563.8","1,458.4","1,323.3","1,245.4","1,163.6","1,173.8","1,124.0","1,094.6","1,101.7","1,261.7","1,622.5","1,572.1","1,427.6","1,353.5","1,307.8","1,321.1","1,367.7","1,370.2","1,305.1","1,229.8","1,220.8","1,323.5","1,291.7","1,206.7","1,081.9",913.5,899.4,914.9,799.5,889.7
8,"Property, plant, and equipment, net  ","1,415.5","1,417.7","1,450.4","1,479.8",708.0,727.8,733.7,713.7,703.2,690.0,626.7,642.3,648.9,652.2,678.1,694.2,625.1,635.4,649.0,658.5,660.5,672.7,684.5,688.2,683.4,694.4,696.1,697.4,444.0,449.4,451.2,436.1,443.2,445.2,428.1,427.4,433.0,447.8,435.9,425.0,384.6,340.8,317.9,304.7,273.5,258.7,243.0,234.9
9,Intangibles  ,"3,775.5","3,856.6","3,798.3","3,830.0","1,392.0","1,460.7","1,703.9","1,613.6","1,867.2","1,975.4","1,612.5","1,632.0","1,690.3","1,599.6","1,684.5","1,713.5",510.2,531.7,546.0,560.0,543.9,563.9,583.8,603.7,647.5,691.6,735.5,779.3,561.4,600.7,710.9,751.8,790.4,831.4,872.1,912.7,908.6,971.0,983.5,"1,001.3","1,014.1","1,031.0","1,048.8",889.0,903.1,868.6,882.8,825.9
10,Goodwill  ,"4,202.7","4,192.5","4,837.5","4,762.1","1,924.8","1,919.5","1,931.6","1,708.3","1,709.6","1,719.2","1,528.1","1,528.1","1,528.1","1,524.4","1,670.9","1,501.0",868.1,868.1,868.1,868.1,868.1,876.4,876.4,876.4,875.4,875.4,875.4,890.5,479.9,479.9,479.9,455.6,455.6,455.6,455.6,455.6,455.6,455.6,455.6,455.6,446.3,446.3,446.3,446.3,443.0,443.0,443.0,443.0
