,0,2020-01-31,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30
1,Assets  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cash and equivalents  ,386.0,157.0,175.0,171.0,333.0,168.0,182.0,181.0,458.0,360.0,500.0,520.0,887.0,355.0,600.0,581.0,"1,019.0",790.0,"1,151.0","1,219.0","1,437.0",825.0,"1,225.0","1,346.0","1,628.0","1,378.0","1,733.0",984.0,"1,051.0",666.0,"1,059.0","1,023.0","1,682.0","1,290.0","1,795.0","2,013.0","2,791.0","1,865.0","2,229.0","2,598.0","3,174.0","2,129.0","2,312.0","2,138.0","2,519.0","1,624.0","2,109.0","1,940.0","2,532.0","1,660.0","2,180.0","3,068.0","2,747.0","1,976.0", , 
3,Inventories  ,"2,166.0","2,934.0","2,471.0","2,477.0","2,437.0","3,223.0","2,824.0","2,948.0","2,803.0","3,365.0","2,777.0","2,949.0","2,854.0","3,691.0","2,981.0","2,925.0","2,721.0","3,669.0","3,005.0","2,811.0","2,652.0","3,358.0","2,848.0","2,835.0","2,935.0","3,747.0","3,155.0","2,798.0","2,341.0","3,362.0","2,993.0","3,084.0","2,916.0","4,376.0","3,572.0","3,408.0","3,213.0","4,267.0","3,490.0","3,214.0", , , , , , ,500.0,431.0, ,716.0,624.0,501.0,263.0,300.0, , 
4,Other current assets  ,174.0,285.0,275.0,287.0,189.0,224.0,221.0,223.0,190.0,68.0,37.0,71.0,160.0,290.0,295.0,292.0,278.0,274.0,206.0,227.0,242.0,257.0,200.0,214.0,270.0,217.0,126.0,150.0,291.0,602.0,684.0,575.0,483.0,444.0,284.0,212.0,366.0,487.0,478.0,336.0,"3,024.0","4,018.0","3,258.0","3,237.0","3,259.0","4,471.0","3,693.0","3,694.0","3,641.0","4,734.0","3,649.0","3,497.0","3,400.0","4,275.0", , 
5,Total current assets  ,"2,726.0","3,376.0","2,921.0","2,935.0","2,959.0","3,615.0","3,227.0","3,352.0","3,451.0","3,793.0","3,314.0","3,540.0","3,901.0","4,336.0","3,876.0","3,798.0","4,018.0","4,733.0","4,362.0","4,257.0","4,331.0","4,440.0","4,273.0","4,395.0","4,833.0","5,342.0","5,014.0","3,932.0","3,683.0","4,630.0","4,736.0","4,682.0","5,081.0","6,110.0","5,651.0","5,633.0","6,370.0","6,619.0","6,197.0","6,148.0",454.0,773.0,702.0,"6,964.0",442.0,"7,890.0","7,270.0","7,058.0",578.0,"8,142.0","7,455.0","8,105.0",238.0,"7,535.0", , 
6,"Property, plant, and equipment, net  ","3,488.0","3,548.0","3,591.0","3,669.0","3,938.0","4,005.0","4,058.0","4,200.0","4,281.0","4,316.0","4,390.0","4,437.0","4,599.0","4,651.0","4,686.0","4,735.0","4,816.0","4,905.0","4,989.0","5,049.0","5,148.0","5,312.0","5,415.0","5,510.0","5,619.0","5,753.0","5,820.0","5,690.0","5,353.0","5,493.0","5,153.0","5,126.0","5,176.0","5,242.0","5,237.0","5,226.0","5,231.0","5,285.0","5,298.0","5,307.0","6,652.0","6,920.0","6,272.0","12,339.0","6,220.0","13,985.0","13,572.0","13,123.0","6,751.0","15,252.0","13,908.0","15,171.0","6,648.0","14,086.0", , 
7,Intangibles  ,275.0, , , ,275.0, , , ,275.0, , , ,275.0, , , ,268.0, , , ,268.0, , , ,268.0, , , ,277.0, , , ,"1,167.0",731.0,753.0,739.0,704.0,657.0,627.0,626.0,"5,357.0","5,319.0","5,368.0", ,"5,367.0", , , ,"4,959.0", , , ,"4,162.0", , , 
8,Other fixed assets  ,657.0,658.0,657.0,665.0,677.0,695.0,686.0,679.0,661.0,632.0,622.0,610.0,618.0,608.0,604.0,593.0,608.0,623.0,615.0,690.0,610.0,718.0,723.0,705.0,686.0,744.0,798.0,743.0,745.0,767.0,923.0,"1,231.0","11,424.0","12,751.0","12,429.0","12,374.0","13,068.0","12,952.0","12,509.0","12,081.0",572.0,534.0,499.0, ,424.0, , , ,569.0, , , ,628.0, , , 
9,Total assets  ,"7,989.0","8,699.0","8,260.0","8,342.0","7,721.0","8,415.0","8,058.0","8,305.0","8,454.0","8,744.0","8,326.0","8,587.0","9,118.0","9,595.0","9,166.0","9,126.0","9,442.0","10,550.0","10,232.0","10,239.0","10,309.0","11,165.0","11,112.0","11,292.0","11,801.0","11,875.0","11,654.0","10,372.0","9,781.0","10,890.0","10,812.0","11,039.0",,,,,,,,,"12,581.0","12,798.0","12,169.0","11,745.0","12,011.0","14,098.0","13,796.0","13,448.0","14,309.0","13,967.0","13,079.0","13,453.0","12,673.0","12,818.0", , 
10,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,022.0","1,831.0","1,386.0","1,274.0","1,133.0","1,766.0","1,410.0","1,303.0",,,,,,,,,,,,,,,,
11,Accounts payable  ,786.0,"1,105.0",878.0,842.0,847.0,"1,234.0",910.0,933.0,973.0,"1,342.0",950.0,893.0,977.0,"1,493.0","1,094.0",995.0,925.0,"1,453.0","1,122.0","1,063.0",997.0,"1,289.0",984.0,841.0,948.0,"1,409.0","1,276.0","1,248.0","1,162.0","1,408.0","1,015.0",984.0,"1,503.0","1,404.0","1,381.0","1,396.0","1,514.0","1,459.0","1,422.0","1,350.0","1,226.0","1,794.0","1,302.0","1,102.0","1,194.0","1,915.0","1,477.0","1,307.0","1,472.0","2,322.0","1,635.0","1,497.0","1,366.0","1,806.0", , 
12,Accrued expenses  ,931.0,899.0,970.0,925.0,995.0,960.0,"1,025.0",957.0,"1,156.0","1,056.0","1,091.0","1,035.0","1,164.0","1,170.0","1,121.0","1,125.0","1,360.0","1,246.0","1,170.0","1,028.0","1,103.0","1,163.0","1,176.0","1,167.0","1,198.0","1,269.0","1,350.0","1,524.0","1,380.0","1,344.0","1,219.0","1,222.0",231.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,630.0","1,486.0","1,478.0","1,340.0","1,600.0","1,500.0","1,469.0","1,350.0","1,663.0","1,435.0","1,492.0","1,370.0","1,692.0","1,339.0", , 
