,0,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31
1,Assets  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cash and equivalents  ,9.4,15.9,11.2,11.6,10.8,11.5,11.3,12.0,12.0,11.6,11.4,14.3,13.8,63.6,13.4,37.2,14.6,326.7,284.8,180.2,340.2,489.6,297.3,80.0,160.5,213.6,471.0,20.2,54.1,27.4,23.6,22.4,59.4,26.5,30.2,27.0,61.0,40.2,95.7,157.7,86.6,281.6,16.8,26.3,26.1,335.1,20.2,208.2,120.7,348.8, ,21.8,57.6,372.6,23.0,21.3
3,"Accounts receivable, net  ",17.1,62.2,63.7,66.3,19.4,63.0,73.9,64.0,16.2,70.4,75.7,102.3,124.9,69.4,82.4,99.8,60.3,261.8,158.5,120.3,144.0,296.8,193.3,150.8,149.4,387.5,224.5,144.3,169.9,396.9,240.6,156.5,150.3,356.5,185.3,111.1,106.6,246.6,146.0,93.7,70.7,81.0,99.3,107.8,93.8,107.1,109.7,124.5,103.2,100.5, ,131.4,97.3,99.1,115.8,112.1
4,Inventories  ,923.7,"1,000.3","1,145.7",940.4,958.2,975.1,"1,177.1",950.7,946.9,"1,010.3","1,218.8",988.2,933.7,"1,043.9","1,219.9","1,785.1",995.7,"1,493.4","1,544.5","1,683.6","1,234.6","1,441.9","1,591.9","1,747.7","1,410.8","1,784.9","1,796.2","1,947.4","1,561.8","1,814.9","1,836.7","1,814.4","1,375.4","1,615.9","1,761.1","1,787.7","1,370.1","1,518.4","1,730.9","1,229.8","1,233.8","1,203.5","1,558.1","1,372.8","1,365.3","1,358.2","1,665.5","1,400.0","1,378.2","1,354.6", ,"1,375.9","1,366.5","1,314.0","1,563.5","1,336.2"
5,Other current assets  ,114.0,68.2,77.9,76.0,110.3,79.2,141.2,110.3,152.9,62.2,129.4,118.6,105.9,184.5,266.4,240.8,541.6,285.7,316.3,220.8,261.7,306.0,354.3,292.0,326.5,186.3,223.3,192.3,221.3,169.5,180.4,156.6,161.9,118.5,126.3,187.4,181.8,90.6,101.6,130.1,121.6,151.3,128.4,135.9,125.2,165.3,126.8,128.3,124.2,118.6, ,85.4,77.1,65.3,126.7,102.4
6,Total current assets  ,"1,064.2","1,146.6","1,298.5","1,094.3","1,098.7","1,128.7","1,403.6","1,137.0","1,128.0","1,154.6","1,435.3","1,223.3","1,178.4","1,361.3","1,582.0","2,162.9","1,612.2","2,367.6","2,304.0","2,204.9","1,980.4","2,534.3","2,436.7","2,270.6","2,047.1","2,572.4","2,715.1","2,304.3","2,007.2","2,408.7","2,281.3","2,150.0","1,747.0","2,117.4","2,102.9","2,113.2","1,719.5","1,895.7","2,074.2","1,611.3","1,512.6","1,717.4","1,802.6","1,642.8","1,610.3","1,965.7","1,922.2","1,861.0","1,726.2","1,922.4", ,"1,614.4","1,598.5","1,851.0","1,829.1","1,572.0"
7,"Property, plant, and equipment, net  ",256.8,245.6,259.1,245.4,255.5,262.4,271.9,270.5,276.1,281.5,288.7,289.9,298.6,307.2,323.2,439.4,341.7,454.1,470.3,478.5,490.7,530.3,554.8,562.4,584.9,573.4,585.1,596.7,622.7,636.5,674.1,679.0,704.7,732.4,756.4,779.9,812.0,818.0,852.3,777.8,800.7,820.7,838.9,848.7,820.0,813.9,810.7,795.9,787.9,806.1, ,793.8,794.3,806.4,808.4,807.3
8,Intangibles  ,303.7,303.7,309.4,309.5,309.6,309.8,309.9,310.0,310.2,310.4,310.5,310.7,310.9,311.1,315.0,510.9,315.7,517.1,520.2,524.4,528.6,532.8,539.2,543.6,547.9,553.1,558.2,562.5,564.1,569.5,575.0,563.0,566.6,570.1,573.8,577.3,581.0,584.7,587.9,89.8,82.7,83.4,84.6,85.7,86.8,88.0,89.1,89.9,90.5,91.2, ,92.5,93.1,93.8,94.5,95.4
9,Goodwill  ,70.0,71.6,71.6,71.6,71.6,73.8,207.4,207.4,207.4,211.3,211.3,211.3,211.3,215.2,215.2,489.3,215.2,493.2,493.2,493.2,493.2,495.5,495.5,495.5,495.5,514.4,515.5,518.6,519.7,520.8,521.9,523.0,524.1,525.2,526.3,527.4,528.5,522.7,524.1,255.8,254.8,240.0,251.2,253.1,254.2,242.6,256.6,257.6,258.6,259.7, ,261.7,262.7,263.7,264.8,265.9
10,Other fixed assets  ,10.9,16.7,17.5,17.7,14.1,13.3,10.0,10.5,11.2,11.3,11.9,12.9,13.6,11.6,12.3,51.3,7.9,44.3,48.0,47.7,44.5,48.4,52.1,55.2,57.1,63.0,57.2,62.7,61.1,54.4,55.8,56.6,54.1,51.5,59.8,62.1,64.7,65.1,68.9,13.3,13.4,8.0,10.8,11.6,13.6,8.4,11.8,14.6,14.2,13.3, ,25.5,24.3,26.0,24.1,36.9
