,0,2020-01-31,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30
1,Assets  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cash and equivalents  ,"2,577.0",969.0,"1,656.0","1,173.0","1,556.0",825.0,"1,180.0","1,060.0","2,643.0","2,725.0","2,291.0","2,680.0","2,512.0","1,231.0","1,480.0","4,036.0","4,046.0","1,977.0","2,742.0","2,768.0","2,210.0",780.0,803.0,715.0,670.0,706.0,"1,018.0","1,819.0",784.0,"1,469.0","1,442.0",675.0,794.0,821.0,890.0,0.0,"1,712.0",936.0,"1,540.0","1,578.0","2,200.0",864.0,957.0,0.0,864.0,918.0,"1,527.0",620.0,"2,450.0",627.0,555.0,969.0,813.0,451.0,477.0,989.0
3,Inventories  ,"8,992.0","11,396.0","9,122.0","9,060.0","9,497.0","12,393.0","9,112.0","8,652.0", , , ,"1,135.0", , ,303.0, , , , ,"2,073.0", , , , ,"8,278.0","10,376.0","8,441.0","8,099.0","7,903.0","9,533.0","7,733.0","7,670.0", , , , , ,349.0, ,"1,015.0", ,273.0,385.0, , , , , , ,"7,120.0","6,397.0","6,006.0","6,194.0","5,634.0","5,540.0","5,368.0"
4,Other current assets  ,"1,333.0","1,440.0","1,341.0","1,374.0","1,466.0","1,421.0","1,211.0","1,164.0","8,597.0","10,517.0","8,192.0","7,986.0","8,309.0","10,057.0","8,631.0","8,459.0","8,601.0","10,374.0","8,269.0","8,610.0","8,282.0","11,066.0","8,918.0","8,450.0","2,625.0","2,071.0","1,944.0","1,939.0","7,701.0","7,493.0","7,240.0","7,246.0","7,918.0","9,890.0","7,926.0","7,696.0","7,596.0","9,550.0","7,728.0","7,249.0","7,179.0","9,382.0","7,528.0","6,993.0","6,705.0","9,050.0","7,313.0","6,836.0","6,780.0","8,746.0","6,645.0","6,387.0","6,254.0","7,797.0","6,275.0","6,030.0"
5,Total current assets  ,"12,902.0","13,805.0","12,119.0","11,607.0","12,519.0","14,639.0","11,503.0","10,876.0","1,300.0","1,444.0","1,114.0",-62.0,"1,169.0","1,554.0","1,089.0","1,453.0","1,483.0","2,853.0","2,347.0",-253.0,"3,132.0","1,992.0","1,833.0","1,858.0","11,573.0","13,153.0","11,403.0","11,857.0","16,388.0","18,495.0","16,415.0","15,591.0","7,737.0","7,661.0","7,243.0","8,672.0","7,905.0","7,511.0","7,977.0","7,380.0","9,045.0","9,064.0","8,813.0","10,558.0","9,919.0","10,271.0","9,780.0","9,303.0","9,676.0","1,841.0","1,535.0","1,347.0","1,445.0","1,466.0","1,297.0","1,169.0"
6,"Property, plant, and equipment, net  ","26,283.0","26,384.0","26,012.0","25,706.0","25,533.0","25,607.0","25,172.0","24,767.0","12,540.0","14,686.0","11,597.0","11,739.0","11,990.0","12,842.0","11,503.0","13,948.0","14,130.0","15,204.0","13,358.0","13,198.0","13,624.0","13,838.0","11,554.0","11,023.0","26,412.0","31,726.0","31,405.0","31,074.0","30,653.0","30,069.0","29,774.0","29,508.0","16,449.0","18,372.0","16,059.0","16,368.0","17,213.0","18,346.0","17,245.0","17,222.0","18,424.0","19,583.0","17,683.0","17,551.0","17,488.0","20,239.0","18,620.0","16,759.0","18,906.0","18,334.0","15,132.0","14,709.0","14,706.0","15,348.0","13,589.0","13,556.0"
7,Goodwill  ,633.0, , , ,633.0, , , ,"24,536.0","24,649.0","24,404.0","24,682.0","24,658.0","24,902.0","24,934.0","25,049.0","25,217.0","25,472.0","25,583.0","25,778.0","25,952.0","30,886.0","31,195.0","31,359.0",151.0, , , ,59.0, , , ,"29,149.0","29,040.0","28,373.0","25,648.0","25,493.0","25,590.0","25,401.0","25,212.0","25,280.0","25,591.0","25,712.0","25,800.0","25,756.0","25,525.0","25,152.0","24,666.0","24,095.0","23,606.0","23,027.0","22,260.0","21,431.0","20,926.0","20,257.0","19,614.0"
8,Other fixed assets  ,"1,358.0","1,401.0","1,373.0","1,287.0","1,273.0","1,329.0","1,345.0","1,328.0",630.0, , , ,133.0, , , ,133.0, , , ,147.0, , , ,"1,107.0","1,494.0","1,354.0","1,303.0","1,122.0","1,015.0","1,136.0","1,076.0",59.0, , , ,59.0, , , ,59.0, , , , , , , ,"1,559.0","1,349.0","1,307.0","1,315.0","1,212.0","1,593.0","1,577.0","1,579.0"
9,Total assets  ,"42,779.0","43,741.0","41,566.0","40,619.0","41,290.0","43,572.0","39,996.0","38,929.0","1,343.0",813.0,809.0,787.0,783.0,842.0,834.0,830.0,840.0,978.0,989.0,"1,012.0",879.0,"1,737.0","1,706.0","1,660.0","44,553.0","46,373.0","44,162.0","44,234.0","48,163.0","49,579.0","47,325.0","46,175.0","1,032.0","1,035.0","1,067.0",980.0,999.0,"1,013.0","1,009.0",889.0,829.0,805.0,838.0,861.0,862.0,"1,277.0","1,368.0","1,405.0","44,560.0","43,289.0","39,466.0","38,284.0","37,349.0","37,867.0","35,423.0","34,749.0"
10,   ,,,,,,,,,"40,303.0","42,009.0","38,667.0","37,218.0","37,431.0","38,603.0","37,288.0","39,908.0","40,262.0","41,696.0","40,386.0","40,446.0","41,172.0","46,461.0","44,455.0","44,042.0",,,,,,,,,"46,630.0","48,447.0","45,499.0","42,996.0","43,705.0","44,949.0","43,655.0","43,323.0","44,533.0","45,979.0","44,233.0","44,212.0","44,106.0","47,041.0","45,140.0","42,830.0",,,,,,,,
11,Accounts payable  ,"9,920.0","11,258.0","9,152.0","8,360.0","9,761.0","11,959.0","9,116.0","8,131.0",,,,,,,,,,,,,,,,,"7,335.0","8,806.0","7,078.0","6,721.0","7,056.0","8,050.0","6,505.0","6,292.0",,,,,,,,,,,,,,,,,"6,721.0","7,852.0","6,101.0","5,877.0","6,575.0","7,086.0","5,868.0","5,707.0"
12,Accrued expenses  ,"4,406.0", ,"4,059.0", ,"4,201.0", , ,"3,630.0","8,677.0","9,986.0","7,584.0","6,537.0","7,252.0","8,250.0","6,811.0","6,391.0","7,418.0","8,904.0","6,944.0","6,799.0","7,759.0","9,229.0","7,263.0","6,793.0","3,610.0","3,623.0","3,705.0","3,915.0","3,981.0","3,631.0","3,539.0","3,671.0","6,857.0","8,053.0","6,519.0","6,296.0","6,625.0","7,761.0","6,228.0","6,150.0","6,511.0","7,641.0","6,233.0","6,004.0","6,337.0","7,590.0","6,606.0","5,959.0",0.0,"2,899.0","2,160.0","1,322.0","1,362.0","2,253.0","1,257.0","1,254.0"
13,Current portion of long-term debt  ,161.0,0.0,"1,153.0",0.0,"1,052.0",0.0,0.0,283.0,"4,094.0", , ,"4,137.0","3,737.0","3,662.0","3,544.0","3,833.0","4,236.0","3,868.0","3,768.0","3,673.0","3,783.0", ,"3,767.0","3,770.0",0.0,"2,122.0","1,833.0",523.0,0.0,"4,028.0","3,285.0","2,483.0","3,644.0","3,273.0","3,721.0", ,"3,326.0","3,179.0","3,057.0","3,183.0","3,120.0","3,117.0","3,004.0", ,"2,913.0", , , ,"5,061.0","2,812.0","2,761.0","2,898.0","3,180.0","2,582.0","2,535.0","2,747.0"
14,        Current portion of long-term debt  ,161.0, ,"1,153.0", ,"1,052.0", , ,283.0,281.0,0.0,0.0,"1,717.0","1,718.0",729.0,647.0,"1,627.0",815.0,825.0,841.0,112.0,0.0,0.0,306.0,"1,477.0","1,160.0","2,122.0","1,833.0",523.0,970.0,"2,528.0","2,535.0","2,483.0","3,786.0","2,813.0","1,380.0",0.0,119.0,814.0,782.0,797.0,796.0,577.0,517.0,0.0,"1,262.0",0.0,0.0,0.0,"11,782.0","13,563.0","11,022.0","10,097.0","11,117.0","11,921.0","9,660.0","9,708.0"
15,Other current liabilities  , ,"5,350.0", ,"4,879.0", ,"5,631.0","4,922.0", , , , ,"1,717.0","1,718.0",729.0,647.0,"1,627.0", ,825.0,841.0,112.0,91.0, ,306.0,"1,477.0","1,080.0", , , ,"1,500.0","1,500.0",750.0, ,"3,036.0","2,313.0","1,130.0", ,119.0,814.0,782.0,797.0,796.0,577.0,517.0, ,"1,262.0", , , , ,"11,239.0","10,152.0","10,151.0","8,675.0","9,123.0","9,351.0","8,596.0"
16,Total current liabilities  ,"14,487.0","16,608.0","14,364.0","13,239.0","15,014.0","17,590.0","14,038.0","12,044.0",281.0, , , ,"1,718.0", , , ,815.0, , , , , , , ,"1,832.0", , , ,"2,994.0", , , ,750.0,500.0,250.0, , , , , ,900.0,"1,063.0",56.0,"4,245.0", ,"5,906.0","4,753.0","5,000.0","17,471.0","2,327.0","2,338.0","2,325.0","1,924.0","2,023.0","2,039.0","2,075.0"
