,0,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-07-31,2018-04-30,2017-10-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-07-31,2007-04-30,2006-10-31,2006-10-31,2006-07-31,2006-04-30
11,Long-term investments  ,199.8,220.0,222.6,251.9,601.1,267.7,584.8,590.7,363.5,542.3,708.3,"1,070.1","1,278.3","1,141.7",819.5,605.0,366.9,664.5,390.1,662.1,628.4,833.3,832.7,962.6,969.3,554.8,488.9,468.9,534.3,575.9,554.4,539.7,528.1,479.3,473.7,447.5,483.5,533.3,592.8,588.8,393.4,423.5,408.4,77.2, ,374.0,311.1,305.6,270.3,21.0,242.5,230.6,248.2,224.9,241.4,214.8
12,Other fixed assets  ,484.7,479.6,458.0,464.5,472.7,412.2,404.7,541.8,526.3,362.8,365.3,368.0,394.9,403.3,391.1,401.2,416.9,415.9,443.3,395.2,382.2,198.9,193.0,195.9,205.8,185.3,485.8,514.8,428.5,144.7,404.0,392.1,386.0,409.6,312.1,323.4,317.9,346.5,311.1,319.0,310.5,253.8,287.9,303.4,294.2,261.1,258.3,245.0,247.0,219.4,235.1,228.1,205.7,186.9,147.6,125.2
13,Total assets  ,"27,731.3","19,219.6","20,894.4","17,641.9","19,981.3","24,156.4","17,182.1","17,553.5","18,518.5","14,365.6","14,522.7","14,227.9","14,017.3","14,312.5","13,833.2","12,519.4","12,943.5","12,416.3","12,868.8","12,190.7","12,351.1","10,752.9","10,385.3","10,097.0","10,255.2","11,516.7","9,062.4","8,502.8","8,490.1","8,219.2","8,308.9","8,006.5","7,835.6","7,360.4","7,097.8","7,027.6","6,931.1","6,385.9","6,206.9","6,144.7","6,101.6","5,576.8","5,333.1","5,281.3","5,530.4","5,672.6","5,552.3","5,534.1","5,506.4","5,343.9","4,903.9","4,636.9","4,527.6","4,428.9","4,052.4","3,817.7"
14,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Accounts payable  ,"1,085.6","1,189.7","1,145.4","1,096.7","1,100.5","1,179.3",921.1,869.7,852.1,782.5,702.2,686.9,662.5,730.6,675.7,662.7,648.0,684.2,603.2,601.3,547.7,533.7,474.5,472.6,444.2,491.7,415.2,355.7,380.8,398.1,402.2,388.3,365.9,540.0,339.9,330.2,296.8,282.6,288.2,286.8,241.9,267.1,258.9,266.5,268.6,324.9,329.4,313.4,340.8,390.8,314.6,280.0,275.7,340.9,255.2,230.7
16,Accrued expenses  ,"1,637.8","1,753.7","3,238.7","2,569.3","2,564.0","1,752.5","2,320.7","2,261.6","3,761.1","1,934.5","1,770.6","1,730.6","1,944.9","1,999.1","1,714.5","1,695.7","1,686.0","1,755.3","1,656.9","1,685.9","1,561.7","1,514.4","1,376.0","1,260.1","1,309.2","3,484.4","1,149.7","1,075.4","1,055.5","1,133.8",935.6,896.3,963.1,940.9,650.6,614.3,620.6,662.8,614.4,542.9,440.1,455.0,429.5,375.7,412.8,418.0,605.1,595.9,603.7,452.7,558.2,545.6,498.2,513.1,509.0,477.9
17,Short-term and curr portion of long-term debt   [+],996.6,0.0,0.0,75.0,0.0,349.9,649.8,349.7,349.9,0.0,0.0,25.0,0.0,399.9,399.8,548.9,399.8,0.0,549.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,226.5,290.8,713.7,616.6,702.5,530.3,711.1,880.7,847.8,365.8,700.8,200.8,95.8
18,        Short-term debt  ,497.9, , ,75.0, , ,300.0, , , , ,25.0, , , ,149.1,399.8, ,549.8, , , , , ,"1,013.4",653.7,682.0,667.9,785.5,510.2,520.8,530.9,673.8,449.3,489.9,487.0,608.2,414.1,434.3,433.9, , , ,226.0,290.2,713.0,615.9,701.8,529.5,710.3,880.0,847.0,365.0,700.0,200.0,95.0
19,        Current portion of long-term debt  ,498.7, , , , ,349.9,349.8,349.7,349.9, , , , ,399.9,399.8,399.8,"1,448.8",983.8,"1,024.6","1,018.5","1,230.9",794.5,830.8,816.3,186.2,747.5,177.5,170.7,169.1,167.7,159.6,155.9,156.0,145.6,379.0,362.7,430.8,419.6,389.7,383.0,0.2,0.2,0.4,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
20,Deferred revenues  ,"1,694.1","1,269.0","1,300.2","1,311.4","1,554.2","1,642.9","1,444.6","1,484.0","1,668.0","1,288.5","1,342.2","1,339.7","1,578.3","1,171.2","1,216.6","1,203.5",237.5,224.8,214.7,215.5,217.2,196.1,202.6,184.5,"2,953.0","5,377.3","2,424.4","2,269.7","2,390.9","2,209.8","2,018.2","1,971.4","2,158.8","2,075.8","1,859.4","1,794.2","1,956.4","1,779.1","1,726.6","1,646.6",569.9,388.7,419.7,431.4,598.3,368.4,373.5,376.3,512.7,296.9,309.7,300.6,422.6,231.9,235.5,233.3
