,0,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31
1,Assets  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cash and equivalents  ,142.9,58.7,34.0,162.3,36.9,0.0,0.0,0.0,0.0,55.7,63.8,65.1,61.2,47.9,55.2,64.5,50.8,45.2,46.8,164.5,29.0,29.2,33.8,38.4,55.8,67.6,46.9,49.6,84.4,102.5,313.0,83.2,91.1,75.8,85.3,81.4,111.3,145.1,78.3,77.9,81.3,107.0,112.1,93.2,299.7,219.0,330.2,163.1,210.5,337.5,258.0,257.2,229.8,182.3,323.5,224.3
3,Other current assets  ,34.8,34.5,31.9,36.1,35.7, , , , , , , , ,109.5,375.1,90.2,113.6,93.2,89.1,95.4,91.4,166.0,223.6,160.8, ,32.9,29.9,34.5, ,36.5,35.6,43.0,41.8,40.8,41.3,59.3,49.9,48.1,47.2,44.9,59.8,61.6,67.7,80.7,90.3,91.7,78.4,71.9,71.5,77.0,76.3,66.4,87.2,56.6,65.8,61.3
4,Total current assets  ,177.7,93.2,65.9,198.4,72.6,0.0,0.0,0.0,0.0,55.7,63.8,65.1,61.2,157.4,430.3,154.6,164.4,138.5,135.9,259.9,120.4,195.2,257.4,199.2,127.0,346.6,339.2,257.8,145.6,259.3,269.1,273.6,283.3,209.5,196.4,199.2,303.1,216.4,211.8,221.1,218.7,246.8,257.4,265.6,253.3,307.0,316.9,302.0,313.7,306.5,333.0,314.7,346.0,348.3,341.3,355.2
5,"Property, plant, and equipment, net  ","6,019.3","6,050.9","5,719.0","5,643.9","5,723.5", , , ,37.8, , , ,37.8, , , ,43.9, , , ,45.1, , , ,182.8,447.2,416.0,341.9,230.0,398.4,617.6,399.8,416.1,326.2,323.0,340.0,464.3,409.6,337.3,343.8,359.7,415.4,437.3,439.6,643.3,617.7,725.5,537.0,595.6,720.9,667.3,638.3,663.0,587.2,730.6,640.8
6,Goodwill  ,37.8, , ,37.8,37.8, , , , , , , , ,329.8,360.7,460.1,448.4,479.0,457.6,465.3,476.7,470.3,500.9,514.5,49.0, , , ,49.0, , , , , , , , , , ,"6,913.4", ,"7,439.8","7,692.9","8,022.4","7,125.6","8,371.0","8,864.5","9,285.5","7,887.0","9,227.6","9,189.7","9,116.4","8,758.7","9,136.3","9,151.9","9,255.7"
7,Other fixed assets  ,351.5,395.1,455.9,403.7,351.5, , , ,"6,079.0","6,169.3","6,199.2","6,187.4","6,232.8","6,293.8","6,274.2","6,142.2","6,118.7","6,217.7","6,157.7","6,215.5","6,097.0","5,937.5","6,078.7","6,083.2",505.4,513.4,513.2,529.6,543.8,328.5,338.7,359.4,54.5, , , ,61.9, , , ,185.9,204.4,222.1,199.2,198.7,202.0,192.9,205.2,207.9,208.3,199.3,195.4,202.8,233.3,221.2,214.1
8,Total assets  ,"6,828.7","6,539.2","6,240.8","6,283.8","6,190.0","6,185.0","6,544.4","6,255.3",,,,,,,,,,,,,,,,,"6,079.4","6,489.5","6,470.7","6,370.4","6,401.4","6,565.4","6,947.1","6,823.6",382.9,250.3,239.8,188.5,194.7,180.6,184.7,201.4,"7,906.5","8,474.5","8,841.4","9,082.2","9,441.9","9,897.2","10,326.7","10,551.8","10,606.5","10,519.0","10,399.6","10,306.1","10,289.8","10,221.4","10,392.4","10,365.8"
9,   ,,,,,,,,, , , , , ,47.9,43.4,37.8,36.1,37.3,35.2,50.9,41.9,40.2,37.2,35.8,,,,,,,,,"6,871.9","7,042.7","7,165.0","7,261.8","7,378.6","7,617.1","7,707.8","7,885.1",,,,,,,,,,,,,,,,
10,Accrued expenses  ,360.6,397.2,299.3, ,226.2, , , , , , , , ,212.0,206.1,305.6,317.5,324.7,280.1,270.2,279.1,288.7,282.5, ,43.2,27.4,33.4,25.2,30.7,28.5,27.1,22.8,,,,,,,,,29.8,36.3,33.3,32.9,64.2,36.5,30.9,31.8,65.2,57.6,42.1,31.3,55.0,39.3,30.5,28.2
