,0,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31
1,Assets  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cash and equivalents  ,898.5,"1,177.3","1,134.5","2,289.1",866.0,"2,574.5","1,623.5","2,468.0","2,463.8","2,671.2","2,392.4","2,412.2","1,223.4","2,266.7","3,128.0","3,310.1","7,685.5","2,452.5","3,998.5","1,634.8","2,077.9","2,825.8","3,670.6","2,743.8","2,798.7","2,544.3","2,278.4","1,869.3","2,336.1","2,178.5","2,484.6","2,289.1","2,335.7","2,388.8","2,070.0","1,939.9","2,387.0","2,495.0","1,665.5","2,007.3","1,796.0","2,201.0","2,160.6","1,978.7","2,063.4","1,487.2","2,342.5","2,922.2","1,981.3","2,992.5","2,142.1","2,438.4","2,128.1","4,282.7","3,290.4","3,803.1"
3,"Accounts receivable, net  ","2,224.2","2,005.3","2,055.0","1,992.7","2,441.5","2,266.8","2,217.2","1,951.6","1,976.2","1,569.0","1,457.3","1,336.7","1,474.1","1,349.8","1,267.1","1,162.1", , , , , ,407.5, , ,"1,319.8","1,285.3","1,301.9","1,230.0","1,375.3","1,277.3","1,290.6","1,234.4","1,334.7","1,203.9","1,249.1","1,160.3","1,179.1","1,013.6",964.1,930.0,"1,060.4",879.4,930.5,903.4,931.2,856.8,"1,030.6",895.9,"1,053.8",788.0,784.6,848.0,806.9,812.5,858.0,742.4
4,Inventories  ,50.2,42.6,44.2,40.8,51.1,41.9,49.6,53.8,58.8,54.2,56.7,56.8,58.9,90.5,87.4,93.7,"1,298.7","1,136.2","1,178.6","1,091.8","1,214.4","1,226.7","1,294.5","1,229.7",123.7,113.1,107.8,105.2,121.7,109.1,111.7,111.7,116.8,115.0,115.0,111.5,109.9,103.6,94.4,99.3,106.2,106.8,102.6, ,111.5, , , ,546.8,664.0,"1,434.7",593.0,"2,257.2",740.5,712.6,722.8
5,Other current assets  ,385.0,379.7,681.7,641.8,694.6,669.9,465.3,435.9,828.4,495.9,"1,986.1","2,101.5","2,092.2",595.1,564.1,485.7,100.1,99.3,102.3,98.8,110.0,105.0,110.7,106.2,807.9,791.4,944.0,986.7,"1,089.0",643.0,613.2,619.6,615.8,714.2,591.3,612.5,692.5,564.3,442.5,435.7,453.7,415.6,403.3,568.3,411.5,467.6,510.2,507.5,"3,581.9","4,444.5","4,361.4","3,879.4","5,192.2","5,835.7","4,861.0","5,268.3"
6,Total current assets  ,"3,557.9","3,604.9","3,915.4","4,964.4","4,053.2","5,553.1","4,355.6","4,909.3","5,327.2","4,790.3","5,892.5","5,907.2","4,848.6","4,302.1","5,046.6","5,051.6",558.7,804.6,692.8,767.4,783.2,645.4,837.9,756.6,"5,050.1","4,734.1","4,632.1","4,191.2","4,922.1","4,207.9","4,500.1","4,254.8","4,403.0","4,421.9","4,025.4","3,824.2","4,368.5","4,176.5","3,166.5","3,472.3","3,416.3","3,602.8","3,597.0","3,450.4","3,517.6","2,811.6","3,883.3","4,325.6","20,984.7","20,490.3","20,106.6","20,975.2","19,438.1","20,526.2","20,539.3","20,064.0"
7,"Property, plant, and equipment, net  ","24,160.0","23,325.3","23,504.2","23,283.5","22,842.7","22,613.6","22,361.2","22,704.0","22,448.3","21,978.6","21,689.3","21,214.1","21,257.6","22,985.7","22,849.9","23,421.8","9,643.0","4,492.6","5,972.2","3,592.8","4,185.5","5,210.4","5,913.7","4,836.3","25,747.3","25,081.5","24,280.4","24,290.1","24,677.2","23,751.7","23,067.8","23,304.5","22,834.5","22,337.9","23,015.8","22,644.8","22,060.6","21,477.5","20,293.0","21,070.0","21,531.5","21,350.3","20,754.1","19,754.2","20,254.5","20,596.9","21,741.2","21,589.3","2,301.3","2,290.5","2,198.3","2,254.3","2,073.6","2,156.1","2,125.5","2,043.2"
8,Goodwill  ,"2,677.4","2,541.8","2,580.5","2,317.8","2,331.5","2,345.0","2,347.2","2,404.8","2,379.7","2,373.3","2,345.2","2,299.2","2,336.5","2,504.7","2,498.6","2,569.8","23,117.6","23,239.4","23,691.2","23,301.7","24,557.5","24,985.3","25,877.3","25,650.0","2,872.7","2,853.8","2,778.6","2,789.5","2,804.0","2,744.2","2,680.7","2,719.1","2,653.2","2,638.4","2,725.4","2,669.6","2,586.1","2,521.5","2,413.9","2,471.1","2,425.2","2,408.2","2,339.4","2,198.0","2,237.4","2,272.0","2,382.5","2,371.5","1,156.4","1,124.6","1,060.1","1,064.4","1,035.4","1,032.3","1,040.4","1,018.0"
9,Long-term investments  ,"1,270.3","1,245.4","1,227.3","1,190.2","1,202.8","1,135.5","1,127.6","1,147.4","1,085.7",999.8,779.7,766.5,725.9,878.0,852.1,820.1,"2,516.3","2,581.6","2,627.5","2,593.5","2,735.3","2,811.2","2,902.3","2,891.5","1,209.1","1,262.5","1,239.8","1,290.4","1,380.5","1,460.3","1,411.1","1,366.0","1,427.0","1,392.1","1,355.6","1,317.5","1,335.3","1,295.9","1,212.5","1,157.2","1,212.7","1,228.7","1,129.2","1,101.7","1,222.3","1,126.0","1,128.8","1,256.6","4,825.1","4,738.8","4,526.9","4,618.9","4,344.2","4,467.3","4,372.7","4,269.0"
10,Other fixed assets  ,"9,115.7","9,031.2","8,707.0","8,279.0","8,296.3","8,293.5","8,508.4","8,667.0","8,591.0","8,208.3","7,281.9","6,932.3","6,773.0","7,015.5","7,149.3","7,254.1",792.7,846.7,860.3,900.5,"1,004.5","1,106.4","1,231.6","1,223.8","7,576.0","7,355.1","7,063.4","7,205.1","7,389.9","7,525.3","7,437.2","7,464.7","7,424.6","7,004.9","7,502.6","7,235.3","7,170.8","7,211.6","6,805.4","6,938.3","6,916.3","6,601.7","6,243.4","4,606.0","5,919.1","4,725.9","4,896.8","5,007.1","29,391.7","29,673.6","28,994.9","29,473.5","28,974.5","30,829.2","29,773.0","29,601.3"
