,0,2020-01-31,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-07-31,2008-04-30,2008-01-31,2008-07-31,2008-04-30,2008-01-31,2007-07-31,2006-07-31,2005-07-31,2004-07-31,2003-07-31
12,Other fixed assets  ,870.4,784.6,604.1,698.8,671.0,666.7,654.5,687.9,603.6,617.5,641.8,736.9,730.2,772.0,671.0,763.7,"16,810.8","17,260.3","17,334.5","17,671.5","17,493.8","17,635.4","17,779.1","18,316.2","17,963.0","17,915.2","17,850.1","17,491.3","17,221.2","17,393.1","16,941.8","14,880.9","14,955.8","14,391.3","14,290.7","14,451.5","13,820.7","13,459.7","13,505.9","12,999.4","13,152.6","12,914.5","13,029.1","12,243.5","11,878.9","12,571.3", , ,,,,,,,,
13,Total assets  ,"19,501.2","19,651.6","18,942.8","19,531.9","19,244.5","19,142.0","19,178.3","19,206.0","18,511.1","18,208.8","18,467.2","17,853.8","17,871.5","15,956.2","18,028.6","17,083.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.4, , ,693.1,569.6,447.0,280.1,342.1
14,   ,,,,,,,,,,,,,,,,, , ,621.9, , , ,740.6, , , ,"1,025.5", , , ,"1,004.9", , , ,793.6, , , ,662.2, , , ,138.8, , , , , ,419.3, , , , , , , 
15,Accounts payable  , , , , , , ,594.6, , , ,659.5, , , ,578.8, , , ,272.9, , , ,155.0, , , ,133.5, , , ,137.7, , , ,204.5, , , ,207.5, ,874.9,713.6,785.9,389.4,645.8,451.4, , ,32.1, , , , , , , 
16,Accrued expenses  , , , , , , ,201.4, , , ,187.1, , , ,217.1, ,"2,244.8","1,947.3","1,929.9","1,172.7","1,418.7","1,337.7","1,294.0","1,185.0","1,173.9","1,147.5","1,217.3","1,482.1","1,336.5",928.4,707.7,421.4,859.6,731.8,634.0,443.4,684.1,374.6,468.5,821.6,344.9,269.1,333.8,385.6, ,419.3, , ,"1,760.6", , ,"1,729.6","1,753.8","1,496.2","1,425.5","1,239.1"
17,Short-term and curr portion of long-term debt   [+],67.4,75.6,98.6,546.4,488.6,453.3,460.9,95.4,124.1,98.4,564.9,559.4,542.8,"1,029.4","1,301.2","1,758.1","1,480.9","1,539.4","1,494.3","1,087.8","1,261.0","1,283.5","1,228.7","1,115.2","1,061.5","1,030.5",709.9,"1,406.0","1,239.8",835.9,633.4,370.7,353.0,267.9,561.8,430.4,662.1,320.9,286.0,341.2,530.0,444.5,452.1,3.8, ,32.1, , ,"2,212.0", , ,"2,422.7","2,323.4","1,943.2","1,705.6","1,581.2"
18,        Short-term debt  ,29.0,36.5,58.2,79.9,54.1,23.0,54.3,90.4,112.5,87.1,148.5,143.4,122.3,156.1,935.8,"1,043.0",763.9,407.9,435.6,84.9,157.7,54.2,65.3,69.8,112.4,117.0,507.4,76.1,96.7,92.5,74.3,50.7,506.6,463.9,72.2,13.0,22.0,53.7,182.5,480.4,"1,470.8","1,431.3","1,578.9","1,403.4","1,350.5","1,760.6", , ,"3,515.4", , ,"2,974.7","2,280.2","2,046.7","2,113.6","2,168.6"
19,        Current portion of long-term debt  ,38.4,39.1,40.4,466.5,434.5,430.3,406.6,5.0,11.6,11.3,416.4,416.0,420.5,873.3,365.4,715.1,"1,594.3","1,625.1",819.7,"1,746.2","1,662.6","1,664.2",773.4,"1,971.1","1,936.4","1,997.7",851.3,"1,875.6","1,885.1","2,038.5",839.6,"1,714.0","1,679.8","1,605.4",709.9,"1,660.4","1,527.2","1,562.5",905.9,"1,491.2","2,345.7","2,144.9","2,503.6","1,792.8","1,996.3","2,212.0", , ,"1,677.0", , ,"1,589.2","1,475.1","1,662.3","1,608.3","1,753.1"
20,Other current liabilities  ,"1,739.5","1,743.4","1,722.3","1,608.8","1,584.4","1,850.2","1,081.4","2,014.4","1,628.2","1,733.2","1,077.5","1,873.8","2,059.5","1,900.4","1,186.0","1,900.8","3,839.1","3,572.4","3,644.4","2,918.9","3,081.3","3,001.9","2,963.0","3,156.1","3,110.3","3,145.2","3,227.6","3,357.7","3,221.6","2,966.9","2,689.9","2,135.4","2,539.4","2,337.2","2,342.0","2,103.8","2,211.3","1,937.1","2,244.1","2,312.8","3,468.5","3,705.1","3,721.8","3,755.8","3,456.6","3,515.4", , ,"7,404.4", , ,"6,986.6","6,078.7","5,652.2","5,427.5","5,502.9"
21,Total current liabilities  ,"1,806.9","1,819.0","1,820.9","2,155.2","2,073.0","2,303.5","2,338.3","2,109.8","1,752.3","1,831.6","2,489.0","2,433.2","2,602.3","2,929.8","3,283.1","3,658.9","3,573.2","3,870.5","3,949.1","4,690.5","4,511.5","4,751.3","4,824.5","4,951.0","4,993.2","5,020.8","5,056.3","4,648.2","4,644.7","5,107.3","4,584.2","3,795.5","3,879.8","3,884.2","3,932.8","4,054.3","3,711.8","3,617.4","3,668.2","3,366.4","1,920.1","1,880.4","1,873.7","1,632.0","1,661.2","1,677.0", , ,,,,,,,,
22,Long-term debt  ,"2,922.1","2,937.0","2,907.3","2,951.7","2,933.0","2,954.4","2,967.4","3,377.1","3,442.4","3,414.9","3,402.4","3,366.6","3,300.4","3,289.0","3,909.7","3,925.6","2,345.4","2,318.4","2,359.9","2,052.9","2,144.7","2,090.2","2,183.0","2,011.5","1,988.1","1,967.8","1,991.5","2,422.2","2,438.8","2,477.0","2,651.9","2,302.6","2,129.2","2,112.8","2,077.2","1,896.4","1,898.4","1,928.0","1,896.0","1,948.3","7,734.3","7,730.4","8,099.1","7,180.6","7,114.1","7,404.4", , ,"5,166.9", , ,"5,672.9","5,102.0","4,756.6","4,612.9","3,970.6"
23,Other liabilities  ,"3,048.5","2,965.8","2,826.3","2,698.4","2,735.1","2,680.7","2,696.3","2,909.1","2,623.2","2,641.1","2,390.3","2,544.1","2,548.6","2,476.3","3,622.4","2,318.8","9,757.7","9,761.3","9,953.4","9,662.3","9,737.5","9,843.4","9,970.5","10,118.6","10,091.6","10,133.8","10,275.4","10,428.1","10,305.1","10,551.2","9,926.0","8,233.5","8,548.4","8,334.2","8,352.0","8,054.5","7,821.5","7,482.5","7,808.3","7,627.5",,,,,,,,,811.7, , ,759.5,682.5,573.6, ,493.9
24,Total liabilities  ,"7,777.5","7,721.8","7,554.5","7,805.3","7,741.1","7,938.6","8,002.0","8,396.0","7,817.9","7,887.6","8,281.7","8,343.9","8,451.3","8,695.1","10,815.2","9,903.3",,,,,,,,,,,,,,,,,,,,,,,,,"5,418.3","5,184.1","4,930.0","5,062.9","4,764.8","5,166.9", , ,"6,990.2", , ,"6,458.5","5,743.5","5,317.2", ,"4,516.6"
25,   ,,,,,,,,,,,,,,,,,"7,053.1","7,499.0","7,381.1","8,009.2","7,756.3","7,792.0","7,808.6","8,197.6","7,871.4","7,781.4","7,574.7","7,063.2","6,916.1","6,841.9","7,015.8","6,647.4","6,407.4","6,057.1","5,938.7","6,397.0","5,999.2","5,977.2","5,697.6","5,371.9",820.7,809.7,822.9,821.6,812.2,811.7, , ,"-2,471.3", , ,"-1,828.9","-1,529.7","-1,161.5", ,-766.1
26,Shareholders' equity   [+],"11,723.7","11,929.8","11,388.3","11,726.6","11,503.4","11,203.4","11,176.3","10,810.0","10,693.2","10,321.2","10,185.5","9,509.9","9,420.2","7,261.1","7,213.4","7,180.2",919.6,901.9,904.7,889.3,877.7,852.8,842.0,828.8,813.2,805.0,799.2,802.5,799.0,792.3,810.5,807.4,800.2,794.8,805.6,800.1,793.7,784.9,802.2,803.0,"7,537.0","7,389.8","7,234.6","7,086.6","7,068.7","6,990.2", , ,"3,949.2", , ,"4,505.6","4,005.1","3,779.6","3,681.0","3,140.7"
27,        Paid-in capital  ,"1,074.6","1,061.7","1,070.9","1,059.9","1,047.7","1,030.4","1,029.3","1,020.0","1,011.3",998.1,"1,001.1",986.4,975.5,967.5,970.0,935.4,"10,108.8","10,768.7","10,580.4","10,411.1","10,267.2","10,152.0","9,993.2","10,053.5","9,904.4","9,785.4","9,646.4","9,660.1","9,521.4","9,379.7","9,234.5","9,232.6","8,882.6","8,723.8","8,599.5","8,397.4","8,195.2","8,014.6","7,852.2","7,685.5","-2,287.1","-2,299.8","-2,353.2","-2,425.7","-2,441.2","-2,471.3", , ,,,,,,,,
28,        Retained earnings  ,"14,537.2","14,356.9","14,138.4","13,891.9","13,662.0","13,497.9","13,409.9","13,200.2","12,966.5","12,792.3","12,846.6","12,584.2","12,692.5","10,771.7","10,475.5","10,268.7","-2,314.5","-2,344.3","-2,359.6","-2,385.4","-2,399.7","-2,432.1","-2,476.9","-2,510.5","-2,561.5","-2,608.9","-2,632.3","-2,737.9","-2,827.2","-2,876.7","-2,468.4","-2,522.0","-2,541.4","-2,583.4","-2,605.3","-2,349.3","-2,430.9","-2,131.6","-2,197.5","-2,276.0","4,210.7","4,012.4","3,751.4","3,938.8","3,738.6","3,949.2", , ,,,,,,,,
29,        Treasury stock  ,"-2,011.1","-2,023.4","-2,029.5","-2,033.7","-2,048.6","-2,083.6","-2,089.2","-2,105.8","-2,111.1","-2,128.9","-2,163.5","-2,190.5","-2,206.3","-2,215.4","-2,227.0","-2,282.4","5,402.6","5,892.6","5,741.5","6,303.9","6,047.5","6,006.1","5,955.5","5,919.5","5,583.3","5,438.0","5,203.6","4,731.2","4,586.1","4,476.4","4,655.8","5,362.7","5,299.6","4,929.8","4,882.0","5,132.9","4,764.9","4,787.9","4,497.3","4,265.5",,,,,,,,,,,,,,,,
30,Tangible shareholders' equity  ,"10,560.5","10,697.8","10,171.7","10,465.1","10,272.9","10,006.1","9,948.9","9,566.9","9,433.8","9,101.3","9,095.7","8,441.0","8,215.4","6,073.3","5,980.4","5,553.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
