,0,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31,2004-10-31,2004-07-31,2004-04-30,2004-01-31,2003-10-31
1,Assets  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cash and equivalents  ,"1,199.0","1,290.0","1,137.0","1,076.0",775.0,946.0,825.0,782.0,611.0,795.0,627.0,770.0,417.2,792.9,492.5,"1,391.2","1,192.0","1,435.5","1,334.3",0.0,984.7,"1,204.5","1,264.1","1,060.4",823.1,932.5,"1,461.3","1,369.7",872.0,"1,533.4","1,415.8","1,035.1",633.4,738.4,633.8,887.7,258.4,"1,204.7","1,245.4",910.7,691.9,883.5,"1,017.7",804.7,734.7,875.1,977.8,770.3,681.7,816.2,997.3,"1,113.5",876.7,389.8,457.5,"1,048.6"
3,"Accounts receivable, net  ","1,342.0","1,342.0","1,337.0","1,865.0","1,808.0","1,846.0","1,543.0","1,967.0","1,862.0","1,865.0","1,928.0","1,964.6","1,841.6","1,849.1","1,838.7","1,895.7","1,699.5","1,744.1","1,815.6","1,892.4","1,855.9","1,953.5","2,033.7","2,125.0","1,965.9","1,977.6","1,970.5","1,995.1","1,781.3","1,791.8","1,811.4","1,957.8", , , , , ,17.0,27.0,121.5,165.2,403.9,457.8,516.2,306.7,498.3,593.1,558.9,511.8,456.1,472.2,528.8,394.1,"1,028.5",934.3, 
4,Inventories  ,"1,870.0","1,623.0","1,644.0","2,019.0","2,233.0","2,082.0","1,791.0","2,156.0","2,360.0","2,211.0","2,144.0","2,349.7","2,541.2","2,336.4","2,328.3","2,421.9","2,515.7","2,388.1","2,314.1","2,417.4","2,629.6","2,502.8","2,431.8","2,527.0","2,683.9","2,569.4","2,359.2","2,432.3","2,514.0","2,292.5","2,261.1","2,375.9","1,798.4","1,783.5","1,841.2","2,096.7","2,230.0",894.7,822.3,873.5,790.5,738.8,720.8,717.8,631.2,606.6,576.7,568.4,517.7,523.5,485.1,477.1,401.4,411.5,410.3,408.9
5,Other current assets  ,343.0,330.0,"1,148.0",374.0,432.0,415.0,953.0,534.0,541.0,510.0,252.0,514.4,631.9,552.0,580.0,540.6,707.0,755.6,736.5,"1,773.6",651.7,585.0,561.1,622.0,712.6,666.5,677.3,638.3,699.2,619.2,686.4,643.9,"2,523.2","2,350.9","2,404.2","2,668.3","2,934.9","2,044.5","2,053.2","2,142.5","2,252.3","1,997.6","1,919.7","1,909.3","1,903.7","1,751.3","1,706.4","1,708.7","1,729.9","1,565.0","1,602.5","1,633.8","1,591.2","1,377.4","1,466.0","1,619.3"
6,Total current assets  ,"4,754.0","4,585.0","5,266.0","5,334.0","5,248.0","5,289.0","5,112.0","5,439.0","5,374.0","5,381.0","4,951.0","5,598.6","5,431.9","5,530.3","5,239.6","6,249.4","6,114.2","6,323.2","6,200.4","6,083.3","6,121.9","6,245.8","6,290.8","6,334.4","6,185.4","6,145.9","6,468.2","6,435.4","5,866.5","6,236.9","6,174.8","6,012.7",761.7,839.6,918.1,527.2,436.8,395.2,407.5,340.6,335.9,313.5,315.4,283.6,292.0,295.0,290.6,248.1,230.9,233.6,224.4,230.0,196.7,199.7,210.8,236.8
7,"Property, plant, and equipment, net  ","1,057.0","1,071.0","1,121.0","1,412.0","1,465.0","1,552.0","1,286.0","1,570.0","1,597.0","1,644.0","1,706.0","1,730.1","1,776.1","1,825.7","1,870.7","1,826.6","1,840.2","1,881.3","1,963.2","1,916.4","1,970.7","2,031.0","2,080.4","2,090.7","2,130.2","2,158.6","2,147.8","2,104.4","2,082.2","2,094.0","2,164.5","2,200.1","5,716.7","5,712.4","5,797.3","6,179.8","5,860.1","4,556.1","4,555.4","4,388.7","4,235.9","4,337.4","4,431.4","4,231.6","3,868.2","4,026.3","4,144.5","3,854.4","3,672.0","3,594.4","3,781.6","3,983.1","3,460.1","3,406.9","3,478.9","3,313.5"
8,Intangibles  ,163.0,170.0,181.0,202.0,246.0,264.0,235.0,292.0,310.0,326.0,335.0,359.6,383.4,370.4,382.7,396.0,352.7,364.8,384.6,395.5,412.3,439.7,449.8,481.5,500.1,524.3,522.7,537.1,538.5,551.7,579.9,620.0,"2,240.2","2,225.9","2,290.6","2,341.7","2,589.5","2,144.7","2,161.1","2,113.8","2,050.3","1,978.0","1,974.1","1,885.3","1,866.0","1,803.1","1,758.4","1,661.6","1,602.7","1,588.7","1,600.9","1,533.3","1,496.0","1,475.3","1,505.3","1,476.2"
9,Goodwill  ,"1,294.0","1,290.0","1,290.0","2,010.0","2,014.0","2,668.0","2,032.0","2,663.0","2,662.0","2,681.0","2,680.0","3,182.0","3,248.9","3,253.9","3,233.6","3,250.6","3,185.4","3,182.3","3,221.2","3,169.3","3,861.6","3,996.3","3,982.1","4,138.0","4,171.5","4,239.9","4,073.2","4,108.1","3,985.2","3,993.0","4,084.1","4,245.0",631.7,642.0,701.9,766.1,"1,075.1",227.2,231.3,246.2,250.7,223.4,232.4,223.2,226.7,230.6,240.4,232.3,221.8,230.5,222.5,219.1,206.0,207.6,209.5,211.5
10,Other fixed assets  ,398.0,394.0,401.0,429.0,510.0,542.0,497.0,354.0,383.0,406.0,636.0,434.1,437.7,463.2,448.3,457.0,507.1,504.5,510.6,587.5,626.6,645.5,627.5,570.4,694.0,705.0,699.8,672.7,738.0,646.7,714.0,569.9,"4,157.7","3,932.1","3,780.2","3,724.0","4,443.5","1,815.3","1,764.9","1,725.5","1,669.6","1,505.5","1,455.1","1,381.3","1,378.8","1,378.8","1,378.8","1,383.4","1,326.6","1,335.4","1,321.5","1,290.4","1,202.0","1,202.0","1,202.0","1,209.8"
