,0,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2006-10-31
1,Assets  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cash and equivalents  ,25.8,11.8,14.9,9.5,18.2,43.9,65.4,37.5,27.3,31.9,41.7,38.0,39.9,39.2,45.6,196.1,112.2,99.4,91.0,11.5,12.0,8.8,5.7,4.3,3.7,83.7,177.8,11.0,21.9,22.3,11.3,5.4,42.3,32.7,9.6,37.0,45.5,9.7,16.0,52.1,31.7,23.3,133.5,56.3,94.1,216.1,97.5,59.7,94.1,216.1,97.5,59.7,64.2,120.0,85.2,82.7
3,"Accounts receivable, net  ",230.4,273.3,287.7,326.6,300.3,289.4,321.9,326.3, ,294.3,266.7,268.4,219.1,227.4,216.8,246.9,187.9,157.0,141.0,137.6,151.2,165.5,145.3,185.8,167.3,195.1,171.8,196.0,173.2,185.1,180.0,204.1,141.3,131.4,118.4, ,109.6, , , ,611.0,515.2,407.9,365.9,252.2,401.3,443.8,274.8,252.2,401.3,443.8,274.8,372.6,404.7,304.5,156.5
4,Other current assets  ,743.0,811.5,812.4,800.6,710.0,806.7,"1,398.8","1,373.1","1,507.0","1,395.2","1,387.7","1,388.1","1,284.1","1,147.5","1,177.3","1,177.3","1,256.4","1,067.0","1,692.6","1,572.8","1,359.6","1,420.7","1,434.8","1,333.8","1,458.1","1,337.7","1,249.1","1,402.2","1,267.6","1,329.5",971.7,"1,084.7","1,014.5",998.4,"1,013.9",956.1,"1,042.9",649.2,546.0,628.9,642.8,538.5,541.4,422.2,346.4,617.5,541.3,334.4,346.4,617.5,541.3,334.4,436.8,524.7,389.7,239.2
5,Total current assets  ,999.2,"1,096.6","1,115.1","1,136.7","1,028.5","1,140.0","1,786.1","1,736.8","1,534.3","1,721.4","1,696.2","1,694.5","1,543.1","1,414.1","1,439.6","1,620.3","1,556.5","1,323.3","1,924.6","1,721.9","1,522.9","1,595.1","1,585.8","1,523.9","1,629.2","1,616.5","1,598.8","1,609.1","1,462.8","1,536.9","1,162.9","1,294.2","1,198.0","1,162.5","1,141.9",993.1,"1,198.0",658.9,562.0,681.0,"1,634.4","1,466.4","1,312.7","1,128.8",958.0,"1,116.7","1,260.0","1,058.7",958.0,"1,116.7","1,260.0","1,058.7","1,094.1","1,106.6","1,002.8",518.6
6,Long-term investments  ,240.1,228.2,238.8,246.4,235.6, , , ,152.1, , , , , , , ,1.1, , , ,1.5,1.6,1.7,1.8,1.9,1.7,1.1,1.2,1.2,1.3,1.3, ,1.5, , , , , , , ,,,,,,,,,,,,,,,,
7,Other fixed assets  ,2.2,3.1,2.6,2.8,2.6,4.1,4.3,3.8, ,5.7,6.2,3.7,4.3,4.9,7.1,7.2,6.9,6.0,8.7,6.0,5.5,7.5,8.1,5.5,4.6,4.0,6.3,3.4,3.6,3.6,4.8,2.8,5.5,3.6,5.4, ,3.9, , , ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Total assets  ,"1,355.2","1,422.2","1,455.8","1,479.3","1,435.4","1,704.3","2,778.8","2,876.6","3,357.4","3,170.7","3,012.2","3,008.8","2,664.7","2,593.8","2,704.8","2,929.8","2,712.5","2,514.4","3,424.8","3,253.2","2,995.3","3,030.9","3,130.8","2,941.3","3,095.3","2,933.9","2,755.3","3,020.2","2,722.8","2,857.7","2,477.4","2,603.4","2,343.5","2,279.2","2,284.7","2,336.5","2,338.0","1,861.5","1,651.6","1,762.2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , , , , ,1.5,2.7, 
9,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905.1,817.7,698.2,608.3,466.6,598.4,624.3,457.3,0.0,0.0,0.0,0.0,0.0,1.5,2.7,0.0
10,Accounts payable  , , , , , ,43.7,520.2,574.8, , , , ,319.8, , , ,18.3,18.7,16.6,11.9,40.4,43.1,43.9,43.4,38.8,38.9,35.3,35.3,35.3,36.3,37.9,39.9,32.2,35.7,28.2, ,20.2, , , ,905.1,817.7,698.2,608.3,466.6,598.4,624.3,457.3,466.6,598.4,624.3,457.3,488.6,528.9,422.6,206.4
