,0,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2009-10-31
1,Assets  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cash and equivalents  ,422.9,638.0,650.7,452.9,499.7,454.1,606.7,632.8,861.1,601.9,660.1,541.5,665.5,653.0,670.8,736.8,445.3,450.6,488.6,458.4,560.5,805.6,739.6,827.1,894.9,210.8,213.2,200.5,229.2,272.9,254.3,210.0,210.0,227.6,293.4,276.0,280.5,284.7,2.8,3.2
3,"Accounts receivable, net  ",12.3,17.2,20.0,16.0,12.6,15.4,13.5,14.4,13.0,9.7,12.0,10.2,9.9,38.2,40.2,29.1,10.0,32.1,36.1,37.3,28.2,25.8,25.2,24.3, ,19.7,18.7,16.6,13.9,13.4,15.3,14.0,14.0,20.1,15.6,7.0,7.1,8.2,14.1,9.1
4,Other current assets  ,798.0,698.5,696.9,388.0,"1,047.8",444.7,391.8,342.4,473.3,796.0,752.6,714.4,666.5,820.2,692.6,550.9,463.4,323.6,278.3,293.2,310.1,314.3,282.9,216.3,173.9,151.4,125.8,154.2,143.5,124.8,120.0,130.6,130.6,131.0,130.0,141.1,137.2,100.1,132.8,135.0
5,Total current assets  ,"1,233.2","1,353.7","1,367.6",857.0,"1,560.1",914.2,"1,012.0",989.7,"1,347.4","1,407.6","1,424.6","1,266.1","1,341.9","1,511.5","1,403.6","1,316.9",918.7,806.3,803.0,788.8,898.8,"1,145.7","1,047.6","1,067.7","1,068.9",381.9,357.7,371.4,386.6,411.0,389.6,354.6,354.6,378.6,438.9,424.1,424.8,392.9,149.7,147.4
6,"Property, plant, and equipment, net  ","6,760.4","12,392.4","12,158.7","12,156.9","5,782.4","11,910.5","11,503.5","10,805.6","10,143.6","10,003.4","9,901.5","9,765.0","4,734.0","9,297.4","9,108.6","8,882.1","9,141.1","8,954.1","8,704.4","8,440.1","7,972.4","7,160.9","6,745.6","6,197.4","5,887.2","5,650.6","5,494.4","5,400.8","5,300.4","5,243.8","5,194.8","5,069.4","5,069.4","5,055.0","5,041.4","4,307.9","4,311.4","4,315.6","3,549.2","5,343.8"
7,Goodwill  ,1.3, , , ,1.3, , , ,1.3, , , ,1.3, , , ,57.8,56.2,56.0,56.1,53.7,85.3,77.3,67.3, ,57.7,56.7,33.6,32.2,36.2,32.6,63.1,63.1,58.8, , , , , , 
8,Long-term investments  , ,121.6,117.8,106.8, ,107.7,99.4,85.9,76.6,89.2,81.8,70.4,76.4,78.9,65.8,56.3,"5,721.6","5,544.5","5,405.8","5,248.8","5,105.3","5,311.2","4,980.6","4,699.7","4,567.9","3,719.2","3,604.6","3,546.4","3,503.0","3,524.1","3,467.7","3,390.3","3,390.3","3,399.6","3,477.0","3,025.4","3,026.5","3,022.7","2,892.4","2,905.2"
9,Total assets  ,"8,413.8","7,947.9","7,709.2","7,416.0","7,355.8","7,296.9","7,133.7","6,738.0","6,729.1","6,723.7","6,667.4","6,408.1","6,367.4","6,470.4","6,217.6","6,032.0",,,,,,,,,,,,,,,,,,,,,,,,
10,   ,,,,,,,,,,,,,,,,,31.3,22.9,16.8,10.6,25.8, , , , ,13.0,9.1,5.9,11.5,10.2,5.7, , ,9.7, , , , , , 
11,Accrued expenses  ,44.1,31.4,26.3,17.1,42.6,29.7,25.8,18.2,41.2,26.7,22.1,13.5,36.9,24.3,20.1,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Short-term debt  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.1,515.3,479.2,506.0,505.3,516.5,451.2,354.1,284.0,295.7,250.6,259.5,225.5,193.6,172.7,113.9,113.9,183.4,122.1,65.8,149.3,78.8,941.4,850.9
13,Other current liabilities  ,754.1,729.0,719.0,650.9,801.6,735.3,717.1,638.6,538.7,491.2,498.6,542.3,584.8,641.0,603.3,598.9,564.4,538.2,496.0,516.6,531.1,516.5,451.2,354.1,284.0,308.8,259.6,265.4,237.0,203.8,178.5,113.9,113.9,193.1,122.1,65.8,149.3,78.8,941.4,850.9
14,Total current liabilities  ,798.2,760.4,745.2,668.0,844.2,765.0,742.9,656.9,579.9,517.8,520.8,555.8,621.8,665.3,623.4,614.5,"2,444.0","2,322.3","2,286.2","2,123.6","1,978.8","1,880.9","1,639.1","1,559.4","1,514.6",766.0,715.5,696.8,688.3,683.8,659.4,598.3,598.3,606.5,708.2,306.7, ,318.7, , 
15,Long-term debt  ,"4,096.5","3,624.7","3,422.5","3,242.0","3,181.2","3,261.2","3,137.8","2,895.8","2,857.9","2,993.4","3,002.8","2,750.3","2,690.7","2,847.0","2,651.8","2,543.6",349.3,348.5,446.7,484.9,367.9,717.6,742.4,625.6,524.1,418.9,412.1,291.5,266.7,434.5,377.4,459.4,459.4,270.4,347.9,522.0,812.6,446.1,410.9,550.8
