,0,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31,2004-10-31,2004-01-31,2003-10-31,2003-07-31,2005-07-31,2005-04-30,2005-01-31,2004-10-31,2004-01-31,2003-10-31,2003-07-31,2002-10-31
1,Assets  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cash and equivalents  ,277.2,171.2,313.1,65.1,365.7,147.5,109.3,88.5,218.3,475.9,287.4,269.2,811.5,671.2,416.3,289.7,417.2,260.1,264.6,240.1,163.3, ,160.7,179.4,203.7,285.3,150.8,187.3,182.7,218.5,214.9,175.0,93.6,207.3,133.9,121.6,85.1,152.1,44.1,161.7,207.3,133.9,121.6,85.1,152.1,44.1,161.7,15.4
3,"Accounts receivable, net  ",403.8,451.8,460.4,447.0,411.0,442.7,411.6,373.2,364.8,743.7,887.1,"1,078.9",400.9,920.3,"1,014.8",942.6,906.7,969.0,"1,055.5",843.5,856.4, ,"1,212.3","1,079.8",177.5,"1,206.2","1,316.2","1,139.5",194.4,"1,267.4","1,379.8","1,151.0",142.6,"1,114.0",952.8,848.9,133.3,"1,048.9",112.9,942.3,"1,114.0",952.8,848.9,133.3,"1,048.9",112.9,942.3,103.4
4,Inventories  ,"1,843.3","1,871.3","1,819.1","1,764.3","1,763.0","1,733.7","1,688.3","1,683.1","1,551.5","1,949.3","1,973.8","2,171.4","1,523.1","2,109.8","1,960.8","2,052.7","2,016.6","2,024.2","1,987.3",464.2,"1,975.4", ,497.0,519.6,"2,047.6",595.7,564.5,586.9,"1,937.8",570.9,459.4,561.8,"1,663.1",467.5,357.1,389.6,915.7,444.2,800.0,396.3,467.5,357.1,389.6,915.7,444.2,800.0,396.3,835.8
5,Other current assets  ,365.8,292.5,323.1,282.1,362.9,304.0,275.5,257.8,299.8,452.8,"1,197.7",457.3,"1,607.5",469.1,471.8,498.6,531.2,445.6,449.0,"1,946.0",473.0, ,"2,098.1","2,113.1","1,352.1","2,132.7","2,110.7","2,107.4","1,615.2","1,922.4","2,042.3","1,894.0","1,293.4","1,518.8","1,334.9","1,386.4","1,507.8",800.2,"1,324.6",754.0,"1,518.8","1,334.9","1,386.4","1,507.8",800.2,"1,324.6",754.0,948.5
6,Total current assets  ,"2,890.1","2,786.8","2,915.7","2,558.5","2,902.6","2,627.9","2,484.7","2,402.6","2,434.4","3,621.7","4,346.0","3,976.8","4,343.0","4,170.4","3,863.7","3,783.6","3,871.7","3,698.9","3,756.4","3,493.8","3,468.1", ,"3,968.1","3,891.9","3,780.9","4,219.9","4,142.2","4,021.1","3,930.1","3,979.2","4,096.4","3,781.8","3,192.7","3,307.6","2,778.7","2,746.5","2,641.9","2,445.4","2,281.6","2,254.3","3,307.6","2,778.7","2,746.5","2,641.9","2,445.4","2,281.6","2,254.3","1,903.1"
7,"Property, plant, and equipment, net  ",815.7,808.3,790.6,781.4,787.9,769.7,758.1,754.4,729.7,"1,240.2","1,253.0","1,437.2",668.2,"1,403.0","1,406.5","1,449.4","1,467.9","1,463.5","1,475.6","1,482.2","1,553.9", ,"1,676.7","1,701.2","1,698.2","1,938.7","1,949.1","1,940.7","1,708.2","1,926.1","1,897.3","1,830.7","1,679.6","1,691.4","1,226.5","1,221.6","1,219.5","1,347.9","1,187.9","1,191.0","1,691.4","1,226.5","1,221.6","1,219.5","1,347.9","1,187.9","1,191.0","1,189.6"
8,Intangibles  ,"2,224.4","2,263.9","2,237.9","2,268.2","2,308.1","2,313.5","2,279.2","2,184.2","2,099.0","2,948.4","3,109.3","3,107.8","2,226.8","3,063.0","3,002.5","3,169.1","3,188.4","3,279.2","3,265.6", ,"3,211.4", , , ,"3,866.7", , , ,"3,772.3", , , ,"1,153.5","1,375.2", , ,63.9, , , ,"1,375.2", , ,63.9, , , , 
9,Goodwill  ,"2,557.8","2,549.8","2,524.7","2,539.2","2,571.0","2,561.3","2,544.7","2,160.0","2,103.9","3,572.7","3,677.7","3,685.2","2,137.5","3,590.0","3,545.4","3,593.0","3,576.5","3,588.1","3,624.8", ,"3,571.8", , , ,110.0,182.4,183.1,182.7,82.8,80.7,88.3,79.9,205.3,301.0,364.3,410.4,280.0,460.9,326.2,398.4,301.0,364.3,410.4,280.0,460.9,326.2,398.4,320.8
10,Long-term investments  ,57.3,53.2,50.6,53.0,51.5,48.6,45.8,45.8,42.2, , , ,51.9, , , ,49.8, , , ,55.1, ,85.1,200.8,304.6,283.4,273.0,165.3,166.1,318.3,367.8,312.7,"13,201.5","13,148.6","7,956.4","7,976.5","7,883.6","7,599.7","7,444.9","6,244.4","13,148.6","7,956.4","7,976.5","7,883.6","7,599.7","7,444.9","6,244.4","5,822.2"
