,0,2020-01-31,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30
1,Assets  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cash and equivalents  ,"1,226","1,382","1,765","2,155","2,057","2,247","2,131","3,011","2,887","2,678","2,563","2,389","2,241","2,289","2,199","2,139","1,931","2,003","2,075","2,197","2,118","2,218","2,391","2,950","2,742","2,675","2,330","2,519","2,450","2,351","1,923","3,896","3,662","3,527","3,101","2,975","2,638","2,649","2,317","2,646","2,481","2,479","1,479","1,400","1,362","1,405","1,640","1,710","1,385","1,826","1,486","2,050","2,090","2,262","2,249","2,657"
3,"Accounts receivable, net  ",966,930,856,819,833,776,733,754,751,724,678,677,653,631,590,602,617,606,584,576,615,626,891,903, , , , , ,11, , , , , , , , , ,11,12,14,20,12,18,24,29,30,172, , , , , , , 
4,Inventories  ,706,679,660,657,653,638,623,594,608,575,566,548,551,533,543,555,554,541,545,556,560,574,"1,099","1,100",849,899,875,916,874,923,950,909,814,860,917,918,854,869,790,669,628,595,544,569,630,770,761,791,726,735,738,718,671,692,853,845
5,Other current assets  ,204,198,176,181,169,187,180,166,151,192,189,186,190,182,198,192,297,536,274,291,361,"2,091",453,424,"1,088","1,066","1,054","1,042","1,040","1,014","1,036",947,937,898,897,853,797,716,688,546,548,552,571,608,655,646,674,674,674,643,674,650,648,627,705,713
6,Total current assets  ,"3,102","3,189","3,457","3,812","3,712","3,848","3,667","4,525","4,397","4,169","3,996","3,800","3,635","3,635","3,530","3,488","3,399","3,686","3,478","3,620","3,654","5,509","4,834","5,377",394,343,325,341,348,330,302,258,302,284,308,350,309,"1,935","1,940","1,840","1,850",321,283,"4,749","4,929",337,"7,056","7,177","7,194","5,753","5,281","5,768","5,693","5,941","6,236","6,539"
7,"Property, plant, and equipment, net  ",844,850,839,827,829,822,801,798,792,757,716,675,653,639,623,610,594,604,587,593,610,631,"1,142","1,139","5,073","4,983","4,584","4,818","4,712","4,629","4,211","6,010","5,715","5,569","5,223","5,096","4,598","6,169","5,735","5,712","5,519","3,961","2,897","7,338","7,594","3,182","10,160","10,382","10,151","8,957","8,179","9,186","9,102","9,522","10,043","10,754"
8,Intangibles  ,"1,059","1,107",511,538,566,491,515,314,341,361,375,373,411,416,442,490,513,445,484,516,559,649,758,825,"1,129","1,134","1,139","1,147","1,163","1,164","1,139",996,"1,007","1,006","1,000","1,004",982,980,957,831,837,845,839,821,831,824,816,809,801,801,787,777,775,775,822,853
9,Goodwill  ,"3,589","3,593","3,107","3,112","3,133","2,973","2,933","2,618","2,633","2,607","2,612","2,568","2,563","2,517","2,525","2,556","2,478","2,366","2,366","2,341","2,352","2,507","3,012","3,067",859,916,945,995,"1,069","1,086","1,085",394,414,429,462,493,467,494,513,126,148,167,178,189,206,228,241,237,236,178, , , , , , 
10,Long-term investments  ,118,102,99,96,77,68,70,139,140,138,137,134,133,135,155,157,76,86,88,91,90,96,164,133,"3,017","3,047","2,995","3,006","3,071","3,025","2,950","1,597","1,598","1,567","1,580","1,555","1,448","1,456","1,399",644,657,655,642,648,666,646,642,630,605,558, , , , , , 
11,Other fixed assets  ,789,611,612,637,635,339,363,390,395,394,425,466,477,452,459,339,242,292,248,251,254,268,470,485,129,164,124,120,128,109,104,111,110,120,122,123,134,152,136,158,154,194,153,167,169,206,251,274, ,194, , , , , , 
12,Total assets  ,"9,501","9,452","8,625","9,022","8,952","8,541","8,349","8,784","8,698","8,426","8,261","8,016","7,872","7,794","7,734","7,640","7,302","7,479","7,251","7,412","7,519","10,815","10,380","11,026",431,467,491,501,510,523,268,305,255,369,366,378,415,455,349,285,248,255,296,296,704,339,505,527,736,537,607,594,548,562,602,545
13,   ,,,,,,,,,,,,,,,,,,,,,,,,,"10,638","10,686","10,278","10,587","10,653","10,536","9,757","9,413","9,099","9,057","8,753","8,649","8,044","9,696","9,100","7,767","7,574","7,612","6,573","6,576","7,162","7,007","7,541","7,674","7,459","7,554","7,024","7,283","7,193","7,369","7,729","8,057"
14,Accounts payable  ,329,354,316,314,315,340,273,271,292,305,289,265,268,257,261,220,250,279,248,261,257,302,402,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Accrued expenses  ,253,334,270,292,237,507,251,271,221,276,230,241,189,235,209,211,171,221,186,208,183,228,365,406,430,432,407,448,454,461,492,457,426,472,470,486,444,499,459,362,315,307,250,252,257,308,293,312,303,323,346,332,312,378,425,422
