,0,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31
1,Assets  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cash and equivalents  ,"2,856.0","3,361.0","2,935.0","2,565.0","2,873.0","2,741.0","2,135.0","2,103.0","2,362.0","2,433.0","2,517.0","1,918.0","1,868.0","2,498.0","1,784.0","1,499.0","1,629.0","1,569.0","1,937.0","1,823.0","1,758.0","1,933.0","1,827.0","2,490.0","2,241.0","2,058.0","1,762.0","1,227.0","1,151.0","1,608.0","1,232.0","1,315.0","1,474.0","1,542.0","2,590.0","1,801.0","1,558.0","1,668.0","2,840.0","2,133.0","4,400.0","4,957.0","5,802.0","4,029.0","8,642.0","18,570.0","2,229.0","2,489.0","2,284.0","2,249.0","1,635.0","1,702.0","1,590.0","1,425.0","2,140.0","1,248.0"
3,Short-term investments  ,"13,230.0","14,113.0","15,016.0","11,133.0","9,674.0","8,863.0","17,010.0","14,616.0","10,386.0","9,775.0","12,094.0","11,073.0","12,302.0","10,745.0","12,334.0","10,914.0","10,132.0","12,408.0","13,865.0","11,961.0","11,243.0","17,852.0","20,888.0","17,658.0","21,617.0","22,457.0","20,215.0","23,336.0","28,808.0","22,557.0","24,365.0","20,789.0","22,572.0","29,098.0","30,489.0","38,872.0","43,738.0","34,462.0","39,109.0","38,800.0","47,263.0","55,170.0","59,336.0","53,410.0","46,666.0","52,484.0","69,492.0","52,298.0","51,351.0","86,803.0","75,902.0","73,509.0","74,688.0","63,948.0","59,864.0","55,568.0"
4,"Accounts receivable, net  ","10,274.0","11,786.0","12,614.0","12,655.0","11,011.0","12,238.0","10,860.0","11,107.0","10,248.0","11,156.0","10,921.0","11,130.0","10,465.0","11,606.0","12,078.0","12,414.0","11,451.0","12,078.0","13,258.0","13,450.0","12,031.0","13,236.0","14,077.0","14,269.0","12,939.0","13,715.0","14,203.0","15,310.0","13,989.0","14,564.0","14,550.0","15,648.0","14,721.0","15,590.0","16,629.0","17,509.0","15,713.0","17,035.0","18,329.0","18,718.0","16,549.0","15,481.0","17,382.0","1,108.0","21,088.0","4,617.0","2,294.0","8,896.0",672.0,"6,548.0","7,138.0","3,883.0","4,317.0", , , 
5,Other current assets  ,"49,648.0","47,739.0","46,200.0","46,578.0","45,797.0","44,557.0","42,663.0","41,172.0","39,634.0","38,916.0","72,786.0","71,265.0","36,258.0","68,502.0","66,235.0","65,059.0","62,808.0","50,834.0","49,696.0","47,670.0","53,234.0","47,468.0","47,312.0","47,725.0","47,260.0","46,109.0","45,622.0","43,612.0","43,673.0","25,939.0","26,169.0","26,905.0","46,711.0","57,642.0","40,192.0","38,512.0","29,114.0","36,315.0","35,975.0","36,641.0","36,707.0","39,447.0","39,133.0", ,"43,267.0", , ,"2,762.0", , , , , ,"2,194.0","1,345.0","1,411.0"
6,Total current assets  ,"76,008.0","76,999.0","76,765.0","72,931.0","69,355.0","68,399.0","72,668.0","68,998.0","62,630.0","62,280.0","98,318.0","95,386.0","60,893.0","93,351.0","92,431.0","89,886.0","86,020.0","76,889.0","78,756.0","74,904.0","78,266.0","80,489.0","84,104.0","82,142.0","84,057.0","84,339.0","81,802.0","83,485.0","87,621.0","64,668.0","66,316.0","64,657.0","85,478.0","103,872.0","89,900.0","96,694.0","90,123.0","89,480.0","96,253.0","96,292.0","104,919.0","115,055.0","121,653.0","58,547.0","119,663.0","75,671.0","74,015.0","66,445.0","54,307.0","95,600.0","84,675.0","79,094.0","80,595.0","67,567.0","63,349.0","58,227.0"
7,"Property, plant, and equipment, net  ","1,953.0", , , ,"2,172.0", , , ,"2,522.0", , , ,"2,660.0", , , ,"3,135.0", , , ,"2,700.0", , , ,"2,315.0", , , ,"2,213.0", , , ,"2,307.0", , , ,"2,845.0","3,237.0","3,608.0","3,259.0","4,142.0","4,543.0","4,984.0", ,"5,566.0", , , ,"9,414.0","8,909.0","8,590.0","8,687.0","8,628.0","8,576.0","8,425.0","8,208.0"
8,Intangibles  ,333.0, , , ,360.0, , , ,106.0, , , , , , , ,"1,613.0", , , , , , , ,"1,475.0", , , ,"1,469.0", , , ,"1,373.0", , , ,"1,333.0","1,447.0","2,640.0","2,565.0","6,195.0","5,847.0","6,439.0","6,798.0","6,952.0","10,334.0","10,661.0","10,182.0", ,"23,886.0","20,458.0","17,680.0","16,089.0","16,209.0","16,141.0","14,376.0"
9,Goodwill  ,"4,038.0","4,100.0", , ,"4,082.0", , , ,"1,594.0", , , ,"1,528.0", , , ,"11,289.0","11,515.0","9,894.0","12,203.0","12,153.0","10,239.0","9,399.0","8,738.0","9,366.0","8,736.0","9,298.0","10,069.0","10,399.0","11,698.0","13,725.0","14,103.0","11,663.0","13,352.0","14,158.0","14,594.0","44,520.0","16,607.0","18,309.0","17,072.0","18,976.0","26,371.0","28,570.0", ,"29,333.0", ,"17,115.0","20,989.0","1,048,361.0","1,072,105.0","1,033,866.0","999,747.0","979,410.0","941,544.0","900,670.0","879,798.0"
10,Other fixed assets  ,"16,383.0","13,929.0","13,879.0","14,308.0","13,568.0","13,300.0","9,634.0","9,646.0","10,194.0","10,324.0","9,852.0","10,606.0","10,815.0","11,546.0","12,188.0","11,581.0","496,842.0","501,985.0","509,987.0","520,701.0","515,581.0","527,190.0","529,109.0","547,111.0","541,329.0","540,744.0","537,438.0","548,880.0","548,633.0","550,723.0","555,383.0","554,403.0","553,054.0","544,257.0","616,798.0","611,247.0","683,443.0","871,965.0","850,531.0","863,697.0","847,585.0","844,344.0","830,412.0","819,758.0","860,418.0","1,022,237.0","1,049,876.0","1,051,086.0",,,,,,,,
