,0,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31
1,Assets  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cash and equivalents  ,"6,988.0","5,101.0","5,691.0","5,857.0","6,682.0","6,871.0","6,210.0","6,890.0","5,933.0","5,559.0","5,177.0","6,006.0","6,721.0","5,205.0","5,176.0","4,894.0","5,747.0","3,877.0","3,361.0","4,207.0","5,137.0","4,462.0","2,878.0","4,019.0","3,599.0","3,413.0","2,348.0","1,984.0","2,052.0","3,045.0","3,153.0","3,684.0","3,734.0","3,753.0","2,764.0","2,954.0","3,067.0","2,479.0","2,323.0","2,119.0","2,055.0","2,316.4","2,048.2","1,678.2","1,505.2","2,071.5","1,769.2","1,872.6","1,659.3","1,687.4","1,520.3","1,209.8","1,185.1","1,421.1","1,209.9",494.8
3,Short-term investments  ,688.0, ,809.0, , , , , ,"1,969.0","1,858.0","1,708.0","1,553.0","1,416.0","1,298.0","1,203.0","1,186.0", , , ,"1,589.0", ,"1,857.0","2,836.0","2,543.0","2,696.0","2,594.0","2,742.0","3,036.0","2,987.0","2,630.0","1,839.0","1,493.0","1,215.0",639.0,840.0,985.0,"1,131.0","1,137.0","1,130.0",982.0,824.0,629.7,605.4,788.9,742.1,898.7,943.2,"1,026.9","1,308.1","1,585.3","1,304.9","1,294.3","1,286.6",884.6,853.6,793.7
4,"Accounts receivable, net  ","2,514.0","2,500.0","2,607.0","2,577.0","2,276.0","2,277.0","2,164.0","2,122.0","5,895.0","5,814.0","5,657.0","5,326.0","5,091.0","5,273.0","4,619.0","4,526.0","1,079.0","1,081.0","1,128.0","1,072.0","1,109.0","1,071.0","1,134.0",995.0,966.0,990.0,949.0,941.0,925.0,912.0,844.0,812.0,808.0,763.0,713.0,642.0,650.0,580.0,517.0,505.0,536.0,503.5,545.3,533.7,639.5,610.8,575.5,527.1,532.6,536.4,480.9,450.4,451.3,444.9,410.3,324.5
5,Other current assets  ,"6,712.0","7,246.0","5,058.0","5,962.0","7,213.0","5,916.0","5,931.0","5,695.0","13,797.0","13,231.0","12,542.0","12,885.0","13,228.0","11,776.0","10,998.0","10,606.0","4,158.0","4,667.0","5,728.0","3,480.0","4,751.0","3,566.0","3,729.0","3,785.0","3,689.0","3,562.0","2,923.0","2,822.0","3,393.0","2,485.0","2,447.0","2,124.0","1,984.0","1,598.0","1,694.0","1,492.0","1,606.0","2,037.0","1,573.0","1,500.0","1,588.0","1,303.1","1,491.4","5,514.1","1,424.8","6,812.0","5,885.5",997.9,"1,091.7","5,233.0","4,807.2","4,407.1","4,249.9","4,043.4","3,907.0","2,975.1"
6,Total current assets  ,"16,902.0","14,847.0","14,165.0","14,396.0","16,171.0","15,064.0","14,305.0","14,707.0",829.0,901.0,845.0,748.0,733.0,698.0,680.0,669.0,"10,984.0","9,625.0","10,217.0","10,348.0","10,997.0","10,956.0","10,577.0","11,342.0","10,950.0","10,559.0","8,962.0","8,783.0","9,357.0","9,072.0","8,283.0","8,113.0","7,741.0","6,753.0","6,011.0","6,073.0","6,454.0","6,233.0","5,543.0","5,106.0","5,003.0","4,752.7","4,690.2","8,514.9","4,311.5","10,392.9","9,173.4","4,424.4","4,591.7","9,042.1","8,113.4","7,361.6","7,172.8","6,794.1","6,380.7","4,588.0"
7,"Property, plant, and equipment, net  ", ,"1,492.0", ,"1,305.0",921.0,876.0,860.0,839.0,"1,120.0","1,147.0","1,126.0",702.0,722.0,747.0,762.0,788.0,675.0,641.0,632.0,602.0,615.0,553.0,539.0,528.0,526.0,474.0,471.0,468.0,472.0,465.0,458.0,450.0,449.0,450.0,454.0,436.0,439.0,433.0,435.0,433.0,449.0,450.9,456.8, ,306.8, , , , ,303.9,286.3,281.8,271.4,268.7,272.3,270.6
8,Intangibles  ,"1,417.0","1,310.0","1,232.0","1,025.0",991.0,"1,023.0","1,043.0","1,118.0","3,035.0","3,015.0","2,759.0","1,775.0","1,756.0","1,814.0","1,834.0","1,886.0",803.0,820.0,862.0,648.0,714.0,705.0,759.0,723.0,672.0,655.0,637.0,637.0,672.0,676.0,656.0,682.0,665.0,677.0,700.0,539.0,530.0,412.0,390.0,408.0,415.0,410.5,397.3,375.5,394.3,371.0,374.9,345.4,239.6,233.1,222.5,220.3,217.0,210.3,208.1,201.8
9,Goodwill  ,"4,021.0","3,724.0","3,524.0","2,944.0","2,904.0","2,950.0","2,974.0","3,104.0", , ,233.0,136.0, ,149.0,172.0,169.0,"1,891.0","1,907.0","1,940.0","1,469.0","1,522.0","1,456.0","1,527.0","1,286.0","1,122.0","1,101.0","1,050.0","1,042.0","1,092.0","1,087.0","1,009.0","1,042.0","1,014.0","1,032.0","1,068.0",710.0,677.0,297.0,267.0,293.0,309.0,314.4,300.4,281.3,298.0,239.3,259.6,256.0, ,234.9,-6.0,-2.6, , , , 
10,Other fixed assets  ,"4,525.0","4,090.0","3,984.0","3,346.0","3,303.0","2,925.0","2,894.0","2,826.0","2,298.0","2,195.0","2,192.0","2,147.0","1,929.0","1,961.0","1,671.0","1,603.0",166.0,234.0,233.0,242.0,245.0,163.0,164.0,173.0,229.0,249.0,265.0,275.0,281.0,204.0,206.0,232.0,266.0,114.0,117.0,129.0,142.0,154.0,170.0,359.0,518.0,232.8,223.9, ,229.2, , , ,87.1,89.0,106.0,106.8,118.2,153.9,150.5,152.1
11,Total assets  ,"29,236.0","25,981.0","24,731.0","23,520.0","24,860.0","23,340.0","22,471.0","22,944.0","21,329.0","20,914.0","19,839.0","18,570.0","18,675.0","17,323.0","16,282.0","15,905.0","1,580.0","1,619.0","1,589.0","1,490.0","1,385.0",887.0,887.0,858.0,902.0,852.0,816.0,820.0,809.0,719.0,718.0,751.0,736.0,259.0,279.0,237.0,590.0,160.0,148.0,159.0,184.0,97.3,106.4,99.5,66.4,81.7,60.8,110.8,"6,260.0","6,135.0","5,606.5","5,206.2","5,082.5","4,872.0","4,641.9","3,711.0"
12,   ,,,,,,,,,,,,,,,,,"16,250.0","14,634.0","15,272.0","14,633.0","15,329.0","14,659.0","14,375.0","14,802.0","14,242.0","13,730.0","12,021.0","11,809.0","12,462.0","12,120.0","11,240.0","11,131.0","10,693.0","9,674.0","9,025.0","8,502.0","8,837.0","8,166.0","7,432.0","7,286.0","7,470.0","6,939.3","6,983.9","6,415.3","6,475.8","7,273.0","6,860.2","6,425.6",,,,,,,,
13,Accounts payable  ,489.0,505.0,432.0,508.0,537.0,382.0,345.0,370.0,933.0,722.0,654.0,680.0,609.0,437.0,452.0,409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.4,246.3,236.7,231.4,278.7,193.2,202.8,173.3
14,Accrued expenses  ,"5,489.0","4,985.0","4,752.0","4,329.0","4,747.0","4,745.0","4,418.0","4,501.0","3,931.0","3,685.0","3,306.0","3,158.0","3,318.0","3,214.0","2,753.0","2,876.0",472.0,381.0,481.0,406.0,419.0,319.0,420.0,297.0,338.0,280.0,259.0,262.0,357.0,319.0,330.0,274.0,360.0,289.0,336.0,283.0,272.0,243.0,244.0,251.0,290.0,277.7,259.5,262.6,253.3,224.3,260.7,266.4,"1,071.6",968.9,889.3,802.7,936.4,852.0,754.8,713.6
15,Current portion of long-term debt  ,0.0,0.0,0.0,500.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,763.0","2,512.0","2,385.0","2,169.0","2,439.0","2,098.0","1,903.0","2,128.0","2,101.0","2,004.0","1,616.0","1,703.0","1,748.0","1,620.0","1,475.0","1,575.0","1,610.0","1,451.0","1,280.0","1,196.0","1,315.0","1,122.0",927.0,935.0,"1,225.0","1,048.1",955.3,898.2,"1,032.1","1,061.3",904.0,"1,046.1",80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0
16,        Current portion of long-term debt  , , , ,500.0,500.0,500.0, , ,"3,929.0","3,577.0","3,623.0","3,257.0","3,279.0","3,470.0","3,257.0","3,155.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.4,149.4,0.0,80.0,80.0,80.0,80.0, , , , , 
17,Other current liabilities  ,"5,926.0","5,224.0","4,313.0","4,909.0","5,809.0","4,082.0","4,692.0","4,077.0","8,793.0","7,984.0","7,583.0","7,095.0","7,206.0","7,121.0","6,462.0","6,440.0","3,034.0","3,050.0","3,610.0","3,362.0","3,364.0","3,432.0","3,467.0","3,569.0","3,593.0","3,136.0","2,452.0","2,449.0","2,801.0","2,609.0","2,502.0","2,243.0","2,247.0","1,365.0","1,348.0","1,312.0","1,556.0","1,467.0","1,647.0","1,636.0", , , , , ,149.4, ,80.0,959.4,701.6,621.7,577.6,596.5,509.5,605.8,531.3
18,Total current liabilities  ,"11,904.0","10,714.0","9,497.0","10,246.0","11,593.0","9,709.0","9,455.0","8,948.0","5,424.0","5,393.0","5,326.0","5,216.0","5,180.0","3,326.0","3,306.0","3,333.0","6,269.0","5,943.0","6,476.0","5,937.0","6,222.0","5,849.0","5,790.0","5,994.0","6,032.0","5,420.0","4,327.0","4,414.0","4,906.0","4,548.0","4,307.0","4,092.0","4,217.0","3,105.0","2,964.0","2,791.0","3,143.0","2,832.0","2,818.0","2,822.0", , , , ,149.4, , , ,"2,363.3","1,996.7","1,827.6","1,611.7","1,811.6","1,554.7","1,563.4","1,418.2"
19,Long-term debt  ,"8,527.0","7,735.0","7,806.0","5,799.0","5,834.0","5,858.0","5,858.0","6,469.0","1,544.0",999.0,982.0,621.0,605.0,627.0,645.0,621.0,"3,268.0","1,495.0","1,495.0","1,495.0","1,494.0","1,494.0","1,494.0","1,494.0",715.0,642.0,665.0,639.0,627.0,648.0,657.0,660.0, , , , , ,1.0,19.0,21.0,"1,652.0","1,465.6","1,766.9","1,590.5","1,555.7","2,365.5","1,635.9",972.6,149.8,149.7,149.6,229.7,229.7,229.6,229.6,229.6
20,Other liabilities  ,"2,814.0","2,483.0","2,319.0","2,212.0","1,944.0","1,906.0","1,808.0","1,725.0","15,761.0","14,376.0","13,891.0","12,932.0","12,991.0","11,074.0","10,413.0","10,394.0",651.0,898.0,865.0,867.0,789.0,768.0,777.0,736.0,"6,747.0","6,062.0","4,992.0","5,053.0","5,533.0","5,196.0","4,964.0","4,752.0",599.0,587.0,580.0,509.0,478.0,482.0,470.0,611.0,"3,167.0","2,791.3","2,981.6","2,751.3","2,990.5","3,800.4","2,800.6","2,365.2",714.9,811.2,770.7,758.9,672.2,762.9,727.3,750.8
21,Total liabilities  ,"23,245.0","20,932.0","19,622.0","18,257.0","19,371.0","17,473.0","17,121.0","17,142.0",,,,,,,,,"10,188.0","8,336.0","8,836.0","8,299.0","8,505.0","8,111.0","8,061.0","8,224.0",,,,,,,,,"4,816.0","3,692.0","3,544.0","3,300.0","3,621.0","3,315.0","3,307.0","3,454.0",22.0,21.7,20.6,18.4,19.4,19.6,170.6,150.0,"3,228.1","2,957.6","2,747.9","2,600.3","2,713.5","2,547.1","2,520.3","2,398.6"
22,   ,,,,,,,,,"5,568.0","6,538.0","5,948.0","5,638.0","5,684.0","6,249.0","5,869.0","5,511.0",,,,,,,,,"7,495.0","7,668.0","7,029.0","6,756.0","6,929.0","6,924.0","6,276.0","6,379.0",,,,,,,,,769.0,901.1,"1,307.7","1,416.3","1,534.0","1,683.3","1,836.3",747.8,,,,,,,,
23,Shareholders' equity   [+],"5,991.0","5,049.0","5,109.0","5,263.0","5,489.0","5,867.0","5,350.0","5,802.0","4,365.0","4,318.0","4,257.0","4,191.0","4,183.0","4,135.0","4,072.0","4,009.0","6,062.0","6,298.0","6,436.0","6,334.0","6,824.0","6,548.0","6,314.0","6,578.0","3,762.0","3,733.0","3,692.0","3,648.0","3,641.0","3,619.0","3,571.0","3,546.0","5,877.0","5,982.0","5,481.0","5,202.0","5,216.0","4,851.0","4,125.0","3,832.0","3,958.0","3,714.1","4,309.9","4,186.0","4,543.9","5,503.2","4,807.5","3,263.0","3,031.9","3,177.3","2,858.6","2,605.9","2,369.0","2,324.8","2,121.6","1,312.3"
24,        Paid-in capital  ,"4,787.0","4,725.0","4,675.0","4,569.0","4,580.0","4,526.0","4,453.0","4,367.0","22,364.0","22,401.0","21,205.0","20,263.0","19,418.0","18,722.0","17,746.0","16,972.0","4,004.0","3,973.0","3,936.0","3,883.0","3,876.0","3,843.0","3,811.0","3,769.0","10,121.0","9,630.0","8,823.0","8,047.0","7,354.0","6,786.0","6,052.0","5,389.0","3,519.0","3,489.0","3,465.0","3,435.0","3,445.0","3,431.0","3,417.0","3,403.0",,,,,,,,,"3,312.4","3,261.5","3,268.5","3,275.4","3,289.9","3,296.7","3,302.3",973.6
