"Date","AEM","ANTM","APA","AXP","BK","BOL","BRK","BRO","CHRW","CINF","CL","CMCSA","CMTL","CNQ","COP","COST","CPRT","CSCO","CTAS","DE","DVN","FE","FLS","FTI","FWONA","GOOGL","HD","HP","INTC","JNJ","LMT","MCD","MMM","MSFT","MUR","NEM","NOC","NOV","NTR","NYT","OA","OMC","ORCL","PCL","PM","QRTEA","RYN","SJT","SLB","SNY","SYF","SYY","TDC","TFC","TXN","UNP","USB","VAR","WLTW","WMT","WRB","WY","XLNX","XOM","Y"
2006-07-01,0,0,2.69,0,0,2.02,6.34,0,0,0,0,0,0,0,2.45,4.68,0,0,3.51,0,0,0,0,0,2.6,0,3.6,0,3.5,3.12,0,3.34,0,4.35,0,0,0,0,0,0,0,2.15,0,2.71,0,4.13,2.25,0,0,0,0,0,0,0,0,0,0,0,0,2.99,0,0,0,0,0
2006-08-01,0,0,2.69,0,0,2.02,6.34,0,0,0,0,0,0,0,2.45,4.68,0,0,3.51,0,0,0,0,0,2.6,0,3.6,0,3.5,3.12,0,3.34,0,4.35,0,0,0,0,0,0,0,2.15,0,2.71,0,4.13,2.25,0,0,0,0,0,0,0,0,0,0,0,0,2.99,0,0,0,0,0
2006-09-01,0,0,2.69,0,0,2.02,6.34,0,0,0,0,0,0,0,2.45,4.68,0,0,3.51,0,0,0,0,0,2.6,0,3.6,0,3.5,3.12,0,3.34,0,4.35,0,0,0,0,0,0,0,2.15,0,2.71,0,4.13,2.25,0,0,0,0,0,0,0,0,0,0,0,0,2.99,0,0,0,0,0
2006-10-01,0,2.2,2.61,0,0,0,5.74,0,0,0,0,0,0,0,2.35,4.28,0,0,3.02,0,0,0,0,0,2.6,0,3.41,0,2.99,3.52,0,3.07,0,4.05,0,0,0,0,0,0,0,0,0,2.63,0,3.96,2.06,0,0,0,0,0,0,0,0,0,0,0,0,2.51,0,0,0,0,0
2006-11-01,0,2.2,2.61,0,0,0,5.74,0,0,0,0,0,0,0,2.35,4.28,0,0,3.02,0,0,0,0,0,2.6,0,3.41,0,2.99,3.52,0,3.07,0,4.05,0,0,0,0,0,0,0,0,0,2.63,0,3.96,2.06,0,0,0,0,0,0,0,0,0,0,0,0,2.51,0,0,0,0,0
2006-12-01,0,2.2,2.61,0,0,0,5.74,0,0,0,0,0,0,0,2.35,4.28,0,0,3.02,0,0,0,0,0,2.6,0,3.41,0,2.99,3.52,0,3.07,0,4.05,0,0,0,0,0,0,0,0,0,2.63,0,3.96,2.06,0,0,0,0,0,0,0,0,0,0,0,0,2.51,0,0,0,0,0
2007-01-01,0,1.95,3.7,0,0,0,5.02,0,0,0,0,0,0,0,2.16,4.54,0,0,3.43,0,0,0,0,0,2.53,0,0,0,3.73,5.17,0,2.95,0,3.62,1.83,0,0,0,0,0,0,0,0,2.29,0,3.59,1.82,0,0,0,0,0,0,0,0,0,0,0,0,2.56,0,0,0,0,0
2007-02-01,0,1.95,3.7,0,0,0,5.02,0,0,0,0,0,0,0,2.16,4.54,0,0,3.43,0,0,0,0,0,2.53,0,0,0,3.73,5.17,0,2.95,0,3.62,1.83,0,0,0,0,0,0,0,0,2.29,0,3.59,1.82,0,0,0,0,0,0,0,0,0,0,0,0,2.56,0,0,0,0,0
2007-03-01,0,1.95,3.7,0,0,0,5.02,0,0,0,0,0,0,0,2.16,4.54,0,0,3.43,0,0,0,0,0,2.53,0,0,0,3.73,5.17,0,2.95,0,3.62,1.83,0,0,0,0,0,0,0,0,2.29,0,3.59,1.82,0,0,0,0,0,0,0,0,0,0,0,0,2.56,0,0,0,0,0
2007-04-01,0,0,4.75,0,0,0,5.82,0,0,0,0,0,0,0,2.9,5.5,0,0,3.99,0,0,0,0,0,0,0,0,0,2.41,5.96,0,3.36,0,4.03,2.36,0,0,0,0,1.81,0,0,0,2.58,0,0,2.05,0,0,4.67,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0
