"Date","ABT","AXP","BAX","CEN","CHRW","COR","DCI","DIS","ECL","EMR","FAST","FISV","FUL","GE","GGG","GIS","GOOG","HON","HRL","JNJ","MDT","MMM","MSFT","MTSC","NVDA","PFE","PFG","PNR","RHHBY","SLB","TCF","TECH","TGT","TTC","UNH","USB","V","VAL","WFC","ZBH"
2006-10-01,0,0,2.72,3.13,0,0,3.02,0,3.64,4.26,0,0,3.39,3.35,3.16,3.42,0,2.94,0,3.41,4.37,4.15,0,0,0,0,0,0,0,0,3.2,0,4.23,3.1,0,3.74,0,3.68,4.39,0
2006-11-01,0,0,2.72,3.13,0,0,3.02,0,3.64,4.26,0,0,3.39,3.35,3.16,3.42,0,2.94,0,3.41,4.37,4.15,0,0,0,0,0,0,0,0,3.2,0,4.23,3.1,0,3.74,0,3.68,4.39,0
2006-12-01,0,0,2.72,3.13,0,0,3.02,0,3.64,4.26,0,0,3.39,3.35,3.16,3.42,0,2.94,0,3.41,4.37,4.15,0,0,0,0,0,0,0,0,3.2,0,4.23,3.1,0,3.74,0,3.68,4.39,0
2007-01-01,0,0,3.08,3.2,0,0,3.18,0,3.46,4.16,0,0,3.44,3.18,3.12,3.45,0,2.99,0,3.11,4.1,4.07,0,0,0,0,0,0,0,0,3.07,0,4.39,3.41,0,3.61,0,3.7,4.25,0
2007-02-01,0,0,3.08,3.2,0,0,3.18,0,3.46,4.16,0,0,3.44,3.18,3.12,3.45,0,2.99,0,3.11,4.1,4.07,0,0,0,0,0,0,0,0,3.07,0,4.39,3.41,0,3.61,0,3.7,4.25,0
2007-03-01,0,0,3.08,3.2,0,0,3.18,0,3.46,4.16,0,0,3.44,3.18,3.12,3.45,0,2.99,0,3.11,4.1,4.07,0,0,0,0,0,0,0,0,3.07,0,4.39,3.41,0,3.61,0,3.7,4.25,0
2007-04-01,0,0,3.14,0,0,0,3.03,0,3.31,4.35,0,0,3.56,3.34,3.09,3.34,0,3.35,0,3.07,4.18,4.45,0,0,0,0,0,3.21,0,0,3.12,0,4.54,3.77,0,3.28,0,3.64,4.18,0
2007-05-01,0,0,3.14,0,0,0,3.03,0,3.31,4.35,0,0,3.56,3.34,3.09,3.34,0,3.35,0,3.07,4.18,4.45,0,0,0,0,0,3.21,0,0,3.12,0,4.54,3.77,0,3.28,0,3.64,4.18,0
2007-06-01,0,0,3.14,0,0,0,3.03,0,3.31,4.35,0,0,3.56,3.34,3.09,3.34,0,3.35,0,3.07,4.18,4.45,0,0,0,0,0,3.21,0,0,3.12,0,4.54,3.77,0,3.28,0,3.64,4.18,0
2007-07-01,0,0,3.13,0,0,0,3.56,0,3.66,4.94,0,0,3.47,3.6,3,3.31,0,3.44,0,3.27,4.54,4.79,0,0,0,0,0,2.81,0,0,2.94,0,4.53,3.76,0,3.23,0,3.48,4.21,0
