"Date","ABC","ABT","AET","AIG","ALA","ALL","AMGN","ANTM","AXS","BA","BAC","BAX","BDX","BEN","BHI","BKR","BMY","BP","C","CA","CAH","CB","CI","CMA","COF","CSC","CTSH","DELL","DLPH","DOV","EIX","EQH","ESRX","ETR","F","FMCC","FNF","FNMA","FO","GE","GL","GM","GOOGL","GS","HAL","HD","HLT","HPE","HPQ","INTC","IPG","IVZ","JCP","JNJ","JPM","KMB","LH","MAS","MAT","MCK","MET","MGA","MHK","MRK","MS","MSFT","MUR","MYL","NOC","NOV","NWL","NWSA","OMC","ORCL","PFE","PH","PNC","PPG","PVH","RDS","RF","SHW","SRE","STT","STX","SWK","TAP","TEL","TJX","TRW","UBS","VOYA","WAB","WB","WEC","WFC","WHR","WLTW","WMT","XL","XOM","ZBH"
2007-04-01,0,0,0,0,4.57,3.92,0,0,0,0,3,0,0,0,0,0,2.27,0,4.36,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79,0,4.53,0,0,3.11,0,0,0,0,2.64,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,2.66,2.51,0,0,0,2.49,0,0,0,0,0,0,0,2.32,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,0,0,0,0,0,0,0,3.2,0,4.03,4.16,0,0
2007-05-01,0,0,0,0,4.57,3.92,0,0,0,0,3,0,0,0,0,0,2.27,0,4.36,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79,0,4.53,0,0,3.11,0,0,0,0,2.64,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,2.66,2.51,0,0,0,2.49,0,0,0,0,0,0,0,2.32,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,0,0,0,0,0,0,0,3.2,0,4.03,4.16,0,0
2007-06-01,0,0,0,0,4.57,3.92,0,0,0,0,3,0,0,0,0,0,2.27,0,4.36,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79,0,4.53,0,0,3.11,0,0,0,0,2.64,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,2.66,2.51,0,0,0,2.49,0,0,0,0,0,0,0,2.32,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,0,0,0,0,0,0,0,3.2,0,4.03,4.16,0,0
2007-07-01,0,0,0,0,4.43,4.56,0,0,0,0,3.09,0,0,0,0,0,2.29,2.29,4.58,2.88,0,0,0,0,3.14,0,0,0,0,0,0,0,0,0,0,4.49,0,3.78,0,0,3.2,0,0,0,0,2.68,0,0,0,0,0,0,0,3.34,0,0,0,0,0,0,0,2.93,0,0,0,2.75,0,0,0,0,0,0,0,0,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0,2.81,0,4.05,4.18,0,0
2007-08-01,0,0,0,0,4.43,4.56,0,0,0,0,3.09,0,0,0,0,0,2.29,2.29,4.58,2.88,0,0,0,0,3.14,0,0,0,0,0,0,0,0,0,0,4.49,0,3.78,0,0,3.2,0,0,0,0,2.68,0,0,0,0,0,0,0,3.34,0,0,0,0,0,0,0,2.93,0,0,0,2.75,0,0,0,0,0,0,0,0,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0,2.81,0,4.05,4.18,0,0
2007-09-01,0,0,0,0,4.43,4.56,0,0,0,0,3.09,0,0,0,0,0,2.29,2.29,4.58,2.88,0,0,0,0,3.14,0,0,0,0,0,0,0,0,0,0,4.49,0,3.78,0,0,3.2,0,0,0,0,2.68,0,0,0,0,0,0,0,3.34,0,0,0,0,0,0,0,2.93,0,0,0,2.75,0,0,0,0,0,0,0,0,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0,2.81,0,4.05,4.18,0,0
2007-10-01,2.69,0,0,0,4.56,3.86,2.48,0,0,0,3.11,0,0,0,0,0,2.43,0,4.75,2.61,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,5.61,0,4.1,0,0,3.86,0,0,0,0,3.19,0,0,0,0,0,0,0,2.98,0,0,0,0,0,0,0,0,0,0,0,2.47,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,3.69,0,4.46,3.65,0,0
2007-11-01,2.69,0,0,0,4.56,3.86,2.48,0,0,0,3.11,0,0,0,0,0,2.43,0,4.75,2.61,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,5.61,0,4.1,0,0,3.86,0,0,0,0,3.19,0,0,0,0,0,0,0,2.98,0,0,0,0,0,0,0,0,0,0,0,2.47,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,3.69,0,4.46,3.65,0,0
2007-12-01,2.69,0,0,0,4.56,3.86,2.48,0,0,0,3.11,0,0,0,0,0,2.43,0,4.75,2.61,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,5.61,0,4.1,0,0,3.86,0,0,0,0,3.19,0,0,0,0,0,0,0,2.98,0,0,0,0,0,0,0,0,0,0,0,2.47,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,3.69,0,4.46,3.65,0,0
2008-01-01,2.49,0,0,0,5.24,4.33,2.73,0,0,0,3.44,0,0,0,0,0,2.49,0,4.41,2.96,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,4.63,0,3.94,0,0,4.01,0,0,0,0,3.25,0,0,0,0,0,0,0,3.39,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58,0,0,0,0,0,0,0,3.37,0,2.64,2.64,0,0
