"Date","AAPL","ABBV","ADBE","AER","AET","AGN","ALNY","ALSN","ANDV","ANTM","ARMK","ARRS","ASH","AVGO","AXP","BABA","BHC","BIDU","BKNG","BTI","BUD","CBS","CCI","CCK","CHTR","CI","CIT","CMCSA","CNC","COF","COMM","CPN","CSC","CTSH","CTVA","CTXS","CYH","DD","DG","DIS","DLTR","DOW","EVHC","EXP","FB","FIS","FISV","FLT","FOXA","FTNT","GOOG","GPK","HCA","HD","HUM","INTC","IPXL","KAR","KHC","KSU","LBTYK","LOW","LRCX","MA","MCK","MGM","MHK","MLM","MNST","MON","MSFT","MTG","MU","NFLX","NKE","NOC","NWL","OC","ORLY","PANW","PF","PFE","PM","PRSP","QCOM","RDN","RL","SABR","SC","SCHW","SHPG","SNAP","SSNC","ST","STNE","STZ","SWI","TAP","TDG","TMUS","UHS","UNH","USB","USFD","V","VMC","WCN","WLK","WYNN"
2014-01-01,0,0,3.32,0,0,0,0,0,0,0,0,0,3.1,2.53,0,0,4.48,3.4,0,0,0,0,3.91,0,0,0,0,0,0,3.53,0,3.3,0,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72,0,0,3.6,3.97,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0,4.12,0,0,0,0,0,2.37,4.55,0,0,0,0,0,0,0,0,0,3.86,0,4.37,0,0,0,0,0,0,0,0,0,0
2014-02-01,0,0,3.32,0,0,0,0,0,0,0,0,0,3.1,2.53,0,0,4.48,3.4,0,0,0,0,3.91,0,0,0,0,0,0,3.53,0,3.3,0,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72,0,0,3.6,3.97,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0,4.12,0,0,0,0,0,2.37,4.55,0,0,0,0,0,0,0,0,0,3.86,0,4.37,0,0,0,0,0,0,0,0,0,0
2014-03-01,0,0,3.32,0,0,0,0,0,0,0,0,0,3.1,2.53,0,0,4.48,3.4,0,0,0,0,3.91,0,0,0,0,0,0,3.53,0,3.3,0,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72,0,0,3.6,3.97,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0,4.12,0,0,0,0,0,2.37,4.55,0,0,0,0,0,0,0,0,0,3.86,0,4.37,0,0,0,0,0,0,0,0,0,0
2014-04-01,0,2.87,5.18,0,0,0,0,3.11,0,0,0,0,2.14,0,0,0,5.2,3.39,0,0,0,0,5.26,0,0,0,0,0,0,0,0,3.78,0,0,0,0,2.09,0,5.24,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,4.36,0,0,0,5.03,0,0,0,0,0,0,2.21,0,0,0,0,0,0,0,2.71,0,0,0,0,0,2.98,0,2.02,3.43,0,0,0,0,0,0,0,3.52,0,5.26,0,0,0,0,0,0,0,0,0,0
2014-05-01,0,2.87,5.18,0,0,0,0,3.11,0,0,0,0,2.14,0,0,0,5.2,3.39,0,0,0,0,5.26,0,0,0,0,0,0,0,0,3.78,0,0,0,0,2.09,0,5.24,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,4.36,0,0,0,5.03,0,0,0,0,0,0,2.21,0,0,0,0,0,0,0,2.71,0,0,0,0,0,2.98,0,2.02,3.43,0,0,0,0,0,0,0,3.52,0,5.26,0,0,0,0,0,0,0,0,0,0
2014-06-01,0,2.87,5.18,0,0,0,0,3.11,0,0,0,0,2.14,0,0,0,5.2,3.39,0,0,0,0,5.26,0,0,0,0,0,0,0,0,3.78,0,0,0,0,2.09,0,5.24,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,4.36,0,0,0,5.03,0,0,0,0,0,0,2.21,0,0,0,0,0,0,0,2.71,0,0,0,0,0,2.98,0,2.02,3.43,0,0,0,0,0,0,0,3.52,0,5.26,0,0,0,0,0,0,0,0,0,0
2014-07-01,0,4.13,5.15,2.79,0,0,0,3.12,0,0,0,0,0,0,0,2.96,5.02,0,0,0,0,3.91,0,0,0,0,0,0,0,0,0,3.18,0,2.29,0,0,0,0,4.95,0,0,0,0,0,0,0,0,0,2.74,0,0,0,4.44,0,0,0,0,0,0,0,4.23,0,0,0,5.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59,0,0,3.23,0,0,0,0,0,0,0,3.11,0,4.34,0,0,0,0,0,0,0,2.15,0,0
2014-08-01,0,4.13,5.15,2.79,0,0,0,3.12,0,0,0,0,0,0,0,2.96,5.02,0,0,0,0,3.91,0,0,0,0,0,0,0,0,0,3.18,0,2.29,0,0,0,0,4.95,0,0,0,0,0,0,0,0,0,2.74,0,0,0,4.44,0,0,0,0,0,0,0,4.23,0,0,0,5.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59,0,0,3.23,0,0,0,0,0,0,0,3.11,0,4.34,0,0,0,0,0,0,0,2.15,0,0
2014-09-01,0,4.13,5.15,2.79,0,0,0,3.12,0,0,0,0,0,0,0,2.96,5.02,0,0,0,0,3.91,0,0,0,0,0,0,0,0,0,3.18,0,2.29,0,0,0,0,4.95,0,0,0,0,0,0,0,0,0,2.74,0,0,0,4.44,0,0,0,0,0,0,0,4.23,0,0,0,5.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59,0,0,3.23,0,0,0,0,0,0,0,3.11,0,4.34,0,0,0,0,0,0,0,2.15,0,0
2014-10-01,0,0,3.22,3.15,0,0,0,0,0,0,0,0,0,0,0,0,5.44,0,0,0,0,3.82,0,0,0,0,0,0,0,0,2.53,3.01,0,0,0,0,0,0,5.39,0,0,0,0,0,0,0,0,2.13,0,0,5.44,0,3.78,0,0,0,0,0,0,0,4.98,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91,0,2.11,4.44,0,0,0,0,0,0,0,2.9,0,4.41,0,0,0,0,0,0,2.91,2.02,0,0
