"Date","AA","ABH","ABT","AGX","ALR","ALTR","AZN","BB","BCE","BNS","BRK","BRO","C","CBI","CRESY","CSX","CTB","CTL","DELL","DRC","DSSI","DXM","EROS","FIT","FLR","FTR","GCI","GE","GM","GSK","HP","IBM","IBN","ICO","INTC","IPI","JEC","JEF","JNJ","KG","KLIC","KW","LRN","MCFT","MDLZ","MGA","MHK","MMI","MON","MU","MYRG","NEU","NTES","NWPX","NXY","NYCB","NYT","ORI","OSTK","PFE","PGH","PGR","PKX","RAIL","RE","RFP","RPXC","RYAAY","RYAM","SBNY","SD","SLCA","SPMD","STEI","TRQ","TSM","USB","VRUS","WFC","WMT"
2008-04-01,0,0,0.07,0,0,0,0.02,0,0,0,0,0.01,0,0,0.2,0,0,0,6.98,0,0,0,0,0,0,5.95,0,0,0,0.02,0,0,0,7.75,0,0,0,0,10.76,2.99,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,2.48,8.78,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0.84,0,0,0,0,0,0.36
2008-05-01,0,0,0.07,0,0,0,0.02,0,0,0,0,0.01,0,0,0.2,0,0,0,6.98,0,0,0,0,0,0,5.95,0,0,0,0.02,0,0,0,7.75,0,0,0,0,10.76,2.99,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,2.48,8.78,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0.84,0,0,0,0,0,0.36
2008-06-01,0,0,0.07,0,0,0,0.02,0,0,0,0,0.01,0,0,0.2,0,0,0,6.98,0,0,0,0,0,0,5.95,0,0,0,0.02,0,0,0,7.75,0,0,0,0,10.76,2.99,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,2.48,8.78,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0.84,0,0,0,0,0,0.36
2008-07-01,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,7.19,0,0,0,0,0,0,5.68,0,0,0,0.02,0,0,0,3.45,0,0,0,0,10.91,2.56,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,1.79,8.7,0,0,0,0,0,0,0,0.09,0,0,0.14,0,0,0.85,0,0,0,0,0,0.36
2008-08-01,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,7.19,0,0,0,0,0,0,5.68,0,0,0,0.02,0,0,0,3.45,0,0,0,0,10.91,2.56,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,1.79,8.7,0,0,0,0,0,0,0,0.09,0,0,0.14,0,0,0.85,0,0,0,0,0,0.36
2008-09-01,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,7.19,0,0,0,0,0,0,5.68,0,0,0,0.02,0,0,0,3.45,0,0,0,0,10.91,2.56,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,1.79,8.7,0,0,0,0,0,0,0,0.09,0,0,0.14,0,0,0.85,0,0,0,0,0,0.36
2008-10-01,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,3.16,1.26,3.79,0,0,0,0,0,1.34,4.55,0,0,0,8.92,1.91,0,0,0,0,5.7,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0.71,6.16,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0
2008-11-01,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,3.16,1.26,3.79,0,0,0,0,0,1.34,4.55,0,0,0,8.92,1.91,0,0,0,0,5.7,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0.71,6.16,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0
2008-12-01,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,3.16,1.26,3.79,0,0,0,0,0,1.34,4.55,0,0,0,8.92,1.91,0,0,0,0,5.7,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0.71,6.16,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0
2009-01-01,1.53,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0,0,5.22,0,0,0,0,0,0,2.59,0,2.39,0,0,0,0,0,1.36,2.43,0,0,0,8.38,1.36,0,0,0,0,5.13,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0.72,5.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36,0,6.6,0
