"Date","AN","AVP","AZO","BAC","BIG","C","CIT","COF","CSCO","CTX","FNMA","FOSL","GNW","GPS","HD","HIG","HOS","HRB","IBM","KBH","LE","NFLX","PHH","SFI","SHLDQ","SLM","SRG","STX","WFC"
2008-10-01,10.1,0,42.02,0,0,1.65,0.9,4.06,0,0.08,0.34,0,0.42,0,5.85,0.16,0,0,0,0.06,0,0,0.23,0,33.09,0.69,0,0,0
2008-11-01,10.1,0,42.02,0,0,1.65,0.9,4.06,0,0.08,0.34,0,0.42,0,5.85,0.16,0,0,0,0.06,0,0,0.23,0,33.09,0.69,0,0,0
2008-12-01,10.1,0,42.02,0,0,1.65,0.9,4.06,0,0.08,0.34,0,0.42,0,5.85,0.16,0,0,0,0.06,0,0,0.23,0,33.09,0.69,0,0,0
2009-01-01,12.72,0,43.67,0,0,0.55,0.5,1.58,0,0.05,0.24,0,0.25,0,4.81,0.07,0,0,0,0.05,0,0,0.23,0,34.68,0.31,0,0,0
2009-02-01,12.72,0,43.67,0,0,0.55,0.5,1.58,0,0.05,0.24,0,0.25,0,4.81,0.07,0,0,0,0.05,0,0,0.23,0,34.68,0.31,0,0,0
2009-03-01,12.72,0,43.67,0,0,0.55,0.5,1.58,0,0.05,0.24,0,0.25,0,4.81,0.07,0,0,0,0.05,0,0,0.23,0,34.68,0.31,0,0,0
2009-04-01,14.25,0,32.55,0,0,0.58,0.34,2.27,0,0.02,0.13,0,1.06,0,2.42,0.09,0,0,0,0,0,0,0.23,0,45.24,0.53,0,0,0
2009-05-01,14.25,0,32.55,0,0,0.58,0.34,2.27,0,0.02,0.13,0,1.06,0,2.42,0.09,0,0,0,0,0,0,0.23,0,45.24,0.53,0,0,0
2009-06-01,14.25,0,32.55,0,0,0.58,0.34,2.27,0,0.02,0.13,0,1.06,0,2.42,0.09,0,0,0,0,0,0,0.23,0,45.24,0.53,0,0,0
2009-07-01,15.48,0,31.66,0,0,0.97,0,3.76,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,46.3,0.4,0,0,0
2009-08-01,15.48,0,31.66,0,0,0.97,0,3.76,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,46.3,0.4,0,0,0
