"Date","BAC","PKX","USB","WFC"
2013-10-01,30.15,4.24,4.76,60.84
2013-11-01,30.15,4.24,4.76,60.84
2013-12-01,30.15,4.24,4.76,60.84
2014-01-01,30.61,3.47,4.64,61.27
2014-02-01,30.61,3.47,4.64,61.27
2014-03-01,30.61,3.47,4.64,61.27
2014-04-01,27.22,3.7,4.67,64.41
2014-05-01,27.22,3.7,4.67,64.41
2014-06-01,27.22,3.7,4.67,64.41
2014-07-01,29.59,3.7,4.42,62.3
2014-08-01,29.59,3.7,4.42,62.3
2014-09-01,29.59,3.7,4.42,62.3
2014-10-01,30.41,0.46,4.65,64.48
2014-11-01,30.41,0.46,4.65,64.48
2014-12-01,30.41,0.46,4.65,64.48
2015-01-01,27.52,0.41,4.75,67.32
2015-02-01,27.52,0.41,4.75,67.32
2015-03-01,27.52,0.41,4.75,67.32
2015-04-01,28.95,0.35,4.49,66.2
2015-05-01,28.95,0.35,4.49,66.2
2015-06-01,28.95,0.35,4.49,66.2
2015-07-01,28.98,0.28,4.64,66.1
2015-08-01,28.98,0.28,4.64,66.1
2015-09-01,28.98,0.28,4.64,66.1
2015-10-01,29.42,0.26,4.54,65.77
2015-11-01,29.42,0.26,4.54,65.77
2015-12-01,29.42,0.26,4.54,65.77
2016-01-01,27.22,0.4,4.98,67.4
2016-02-01,27.22,0.4,4.98,67.4
2016-03-01,27.22,0.4,4.98,67.4
2016-04-01,27.27,0.39,5.04,67.3
2016-05-01,27.27,0.39,5.04,67.3
2016-06-01,27.27,0.39,5.04,67.3
2016-07-01,31.86,0.44,5.31,62.39
2016-08-01,31.86,0.44,5.31,62.39
2016-09-01,31.86,0.44,5.31,62.39
2016-10-01,34.75,0.35,4.92,59.98
2016-11-01,34.75,0.35,4.92,59.98
2016-12-01,34.75,0.35,4.92,59.98
2017-01-01,36,0.42,4.78,58.79
2017-02-01,36,0.42,4.78,58.79
2017-03-01,36,0.42,4.78,58.79
2017-04-01,36.74,0.4,4.79,58.07
2017-05-01,36.74,0.4,4.79,58.07
2017-06-01,36.74,0.4,4.79,58.07
2017-07-01,37.78,0.44,4.86,56.91
2017-08-01,37.78,0.44,4.86,56.91
2017-09-01,37.78,0.44,4.86,56.91
2017-10-01,39.31,0.44,4.34,55.91
2017-11-01,39.31,0.44,4.34,55.91
2017-12-01,39.31,0.44,4.34,55.91
2018-01-01,43.05,0.48,4.41,52.06
2018-02-01,43.05,0.48,4.41,52.06
2018-03-01,43.05,0.48,4.41,52.06
2018-04-01,40.32,0.45,4.35,54.88
2018-05-01,40.32,0.45,4.35,54.88
2018-06-01,40.32,0.45,4.35,54.88
2018-07-01,42.49,0.4,4.64,52.47
2018-08-01,42.49,0.4,4.64,52.47
2018-09-01,42.49,0.4,4.64,52.47
2018-10-01,41.38,0.39,4.67,53.56
2018-11-01,41.38,0.39,4.67,53.56
2018-12-01,41.38,0.39,4.67,53.56
2019-01-01,42.98,0.36,4.57,52.09
2019-02-01,42.98,0.36,4.57,52.09
2019-03-01,42.98,0.36,4.57,52.09
2019-04-01,44.5,0.34,4.89,50.26
2019-05-01,44.5,0.34,4.89,50.26
2019-06-01,44.5,0.34,4.89,50.26
2019-07-01,43.12,0.3,4.98,51.6
2019-08-01,43.12,0.3,4.98,51.6
2019-09-01,43.12,0.3,4.98,51.6
2019-10-01,46.17,0.28,4.73,48.81
2019-11-01,46.17,0.28,4.73,48.81
2019-12-01,46.17,0.28,4.73,48.81
2020-01-01,49,0.32,4.84,45.84
2020-02-01,49,0.32,4.84,45.84
2020-03-01,49,0.32,4.84,45.84
