"Date","ANSS","AVLR","AYX","BAM","CHGG","CMPR","DESP","DG","DSGX","EBAY","FB","GOOG","PYPL","ROKU","ROP","SITE","TTD","WIX","WK","YELP"
2016-10-01,13.35,0,0,16.2,0,19.53,0,0,15.01,0,20.12,0,0,0,15.79,0,0,0,0,0
2016-11-01,13.35,0,0,16.2,0,19.53,0,0,15.01,0,20.12,0,0,0,15.79,0,0,0,0,0
2016-12-01,13.35,0,0,16.2,0,19.53,0,0,15.01,0,20.12,0,0,0,15.79,0,0,0,0,0
2017-01-01,9.41,0,0,10.73,0,12.54,0,10.98,10.89,0,18.36,10.82,0,0,10.54,0,0,0,5.72,0
2017-02-01,9.41,0,0,10.73,0,12.54,0,10.98,10.89,0,18.36,10.82,0,0,10.54,0,0,0,5.72,0
2017-03-01,9.41,0,0,10.73,0,12.54,0,10.98,10.89,0,18.36,10.82,0,0,10.54,0,0,0,5.72,0
2017-04-01,8.89,0,0,9.58,0,11.41,0,9.42,7.5,0,18.72,9.83,0,0,8.51,0,0,0,5.77,10.37
2017-05-01,8.89,0,0,9.58,0,11.41,0,9.42,7.5,0,18.72,9.83,0,0,8.51,0,0,0,5.77,10.37
2017-06-01,8.89,0,0,9.58,0,11.41,0,9.42,7.5,0,18.72,9.83,0,0,8.51,0,0,0,5.77,10.37
2017-07-01,8.28,0,0,0,7.73,10.9,0,9.78,7.77,0,19.57,9.59,0,0,8.26,0,0,0,10.3,7.83
2017-08-01,8.28,0,0,0,7.73,10.9,0,9.78,7.77,0,19.57,9.59,0,0,8.26,0,0,0,10.3,7.83
2017-09-01,8.28,0,0,0,7.73,10.9,0,9.78,7.77,0,19.57,9.59,0,0,8.26,0,0,0,10.3,7.83
2017-10-01,7.5,0,0,0,10.6,11.66,0,9.79,0,0,23.55,9.12,0,0,7.67,4.29,0,0,9.21,6.61
2017-11-01,7.5,0,0,0,10.6,11.66,0,9.79,0,0,23.55,9.12,0,0,7.67,4.29,0,0,9.21,6.61
2017-12-01,7.5,0,0,0,10.6,11.66,0,9.79,0,0,23.55,9.12,0,0,7.67,4.29,0,0,9.21,6.61
2018-01-01,7.99,0,0,0,0,9.68,0,9.88,0,12.33,23.9,10.31,0,0,7.05,10.82,0,0,8.05,0
2018-02-01,7.99,0,0,0,0,9.68,0,9.88,0,12.33,23.9,10.31,0,0,7.05,10.82,0,0,8.05,0
2018-03-01,7.99,0,0,0,0,9.68,0,9.88,0,12.33,23.9,10.31,0,0,7.05,10.82,0,0,8.05,0
2018-04-01,6.93,0,0,0,0,7.08,0,12.12,0,3.37,21.68,11.02,9.5,0,7.49,9.21,7.1,0,4.5,0
2018-05-01,6.93,0,0,0,0,7.08,0,12.12,0,3.37,21.68,11.02,9.5,0,7.49,9.21,7.1,0,4.5,0
2018-06-01,6.93,0,0,0,0,7.08,0,12.12,0,3.37,21.68,11.02,9.5,0,7.49,9.21,7.1,0,4.5,0
2018-07-01,6.06,0,0,0,0,6.22,0,10.13,0,2.86,18.58,9,9.36,0,6.98,6.84,8.77,8.24,6.95,0
2018-08-01,6.06,0,0,0,0,6.22,0,10.13,0,2.86,18.58,9,9.36,0,6.98,6.84,8.77,8.24,6.95,0
2018-09-01,6.06,0,0,0,0,6.22,0,10.13,0,2.86,18.58,9,9.36,0,6.98,6.84,8.77,8.24,6.95,0
2018-10-01,6.16,0,0,0,0,6.25,0,7.28,0,3.23,23.38,9.89,11.17,0,4.39,0,10.89,15,2.37,0
2018-11-01,6.16,0,0,0,0,6.25,0,7.28,0,3.23,23.38,9.89,11.17,0,4.39,0,10.89,15,2.37,0
2018-12-01,6.16,0,0,0,0,6.25,0,7.28,0,3.23,23.38,9.89,11.17,0,4.39,0,10.89,15,2.37,0
2019-01-01,4.13,0,0,0,0,8.13,8.7,0,0,7.99,20.43,10.67,13.14,0,0,0,7.73,19.09,0,0
2019-02-01,4.13,0,0,0,0,8.13,8.7,0,0,7.99,20.43,10.67,13.14,0,0,0,7.73,19.09,0,0
2019-03-01,4.13,0,0,0,0,8.13,8.7,0,0,7.99,20.43,10.67,13.14,0,0,0,7.73,19.09,0,0
2019-04-01,4.15,17.64,0,0,0,5.73,9.65,0,0,7.61,21.2,8.81,8.04,0,0,0,3.82,13.36,0,0
2019-05-01,4.15,17.64,0,0,0,5.73,9.65,0,0,7.61,21.2,8.81,8.04,0,0,0,3.82,13.36,0,0
2019-06-01,4.15,17.64,0,0,0,5.73,9.65,0,0,7.61,21.2,8.81,8.04,0,0,0,3.82,13.36,0,0
2019-07-01,0,14.98,5.41,0,0,5.86,10.99,0,0,7.91,20.6,10.46,9.8,0,0,0,0,13.99,0,0
2019-08-01,0,14.98,5.41,0,0,5.86,10.99,0,0,7.91,20.6,10.46,9.8,0,0,0,0,13.99,0,0
2019-09-01,0,14.98,5.41,0,0,5.86,10.99,0,0,7.91,20.6,10.46,9.8,0,0,0,0,13.99,0,0
2019-10-01,0,17.75,9.41,0,0,0,13.26,0,0,6.64,18.1,2.72,9.26,9.58,0,0,0,13.28,0,0
2019-11-01,0,17.75,9.41,0,0,0,13.26,0,0,6.64,18.1,2.72,9.26,9.58,0,0,0,13.28,0,0
2019-12-01,0,17.75,9.41,0,0,0,13.26,0,0,6.64,18.1,2.72,9.26,9.58,0,0,0,13.28,0,0
