"Date","ABT","ACN","AFL","APA","ATGE","AXP","BAX","BBBY","BDK","BEN","BK","BOKF","BRK","BWA","BX","C","CAH","CBS","CCL","CHK","COV","CVS","DELL","DIS","EBAY","FAF","GCI","GOLD","GS","HD","HES","HNGR","HRB","IBM","IGT","IPG","ITW","JNJ","JPM","KKR","KMT","LAZ","LH","LMT","LOW","MOS","MRK","MS","MSFT","NLSN","NOV","NTRS","NWL","OMC","ORCL","PFE","PGR","PIR","SJM","SNA","SRCL","STZ","SWK","TGT","TIF","TM","UBS","VIAC","WBA","WM","WU","XOM","ZBH","ZBRA"
2006-10-01,0,4.82,4.37,0,0,0,0,0,4.94,0,0,0,7.91,0,0,4.99,0,0,4.57,0,0,0,5.81,0,0,0,4.19,0,0,4.81,0,0,6.09,6.98,0,0,0,0,4.58,0,0,0,0,0,0,0,0,4.23,0,0,0,0,0,4.15,0,4.8,0,0,0,0,0,0,0,0,0,6.73,0,0,0,0,0,0,0,0
2006-11-01,0,4.82,4.37,0,0,0,0,0,4.94,0,0,0,7.91,0,0,4.99,0,0,4.57,0,0,0,5.81,0,0,0,4.19,0,0,4.81,0,0,6.09,6.98,0,0,0,0,4.58,0,0,0,0,0,0,0,0,4.23,0,0,0,0,0,4.15,0,4.8,0,0,0,0,0,0,0,0,0,6.73,0,0,0,0,0,0,0,0
2006-12-01,0,4.82,4.37,0,0,0,0,0,4.94,0,0,0,7.91,0,0,4.99,0,0,4.57,0,0,0,5.81,0,0,0,4.19,0,0,4.81,0,0,6.09,6.98,0,0,0,0,4.58,0,0,0,0,0,0,0,0,4.23,0,0,0,0,0,4.15,0,4.8,0,0,0,0,0,0,0,0,0,6.73,0,0,0,0,0,0,0,0
2007-01-01,0,4.64,4.31,0,0,0,0,0,4.95,0,0,0,8.02,0,0,4.49,0,0,5.07,0,0,0,5.42,0,0,0,0,0,0,4.47,0,0,6.58,7.13,0,0,0,4.74,4.78,0,0,0,0,0,0,0,0,3.07,0,0,0,0,0,2.11,0,3.12,0,0,0,0,0,4.88,0,0,0,6.55,0,0,0,0,0,0,0,0
2007-02-01,0,4.64,4.31,0,0,0,0,0,4.95,0,0,0,8.02,0,0,4.49,0,0,5.07,0,0,0,5.42,0,0,0,0,0,0,4.47,0,0,6.58,7.13,0,0,0,4.74,4.78,0,0,0,0,0,0,0,0,3.07,0,0,0,0,0,2.11,0,3.12,0,0,0,0,0,4.88,0,0,0,6.55,0,0,0,0,0,0,0,0
2007-03-01,0,4.64,4.31,0,0,0,0,0,4.95,0,0,0,8.02,0,0,4.49,0,0,5.07,0,0,0,5.42,0,0,0,0,0,0,4.47,0,0,6.58,7.13,0,0,0,4.74,4.78,0,0,0,0,0,0,0,0,3.07,0,0,0,0,0,2.11,0,3.12,0,0,0,0,0,4.88,0,0,0,6.55,0,0,0,0,0,0,0,0
2007-04-01,0,3.73,4.43,0,0,0,0,0,4.63,0,0,0,7.25,0,0,4.16,0,0,4.78,0,0,0,6.05,0,0,0,0,0,0,4.35,0,0,4.52,7.18,0,0,0,4.47,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,2.92,0,0,0,0,0,5.86,0,0,0,5.77,0,0,0,0,0,0,0,0
2007-05-01,0,3.73,4.43,0,0,0,0,0,4.63,0,0,0,7.25,0,0,4.16,0,0,4.78,0,0,0,6.05,0,0,0,0,0,0,4.35,0,0,4.52,7.18,0,0,0,4.47,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,2.92,0,0,0,0,0,5.86,0,0,0,5.77,0,0,0,0,0,0,0,0
2007-06-01,0,3.73,4.43,0,0,0,0,0,4.63,0,0,0,7.25,0,0,4.16,0,0,4.78,0,0,0,6.05,0,0,0,0,0,0,4.35,0,0,4.52,7.18,0,0,0,4.47,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,2.92,0,0,0,0,0,5.86,0,0,0,5.77,0,0,0,0,0,0,0,0
2007-07-01,0,3.4,4.78,0,0,0,0,0,4.97,0,0,0,7.82,0,0,3.68,0,0,5.02,0,3.95,0,5.58,0,0,0,0,0,0,3.93,0,0,3.98,7.05,0,0,2.79,4.63,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,0,0,0,0,0,0,0,5.89,0,0,0,6.33,4.4,0,0,0,0,0,0,0
2007-08-01,0,3.4,4.78,0,0,0,0,0,4.97,0,0,0,7.82,0,0,3.68,0,0,5.02,0,3.95,0,5.58,0,0,0,0,0,0,3.93,0,0,3.98,7.05,0,0,2.79,4.63,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,0,0,0,0,0,0,0,5.89,0,0,0,6.33,4.4,0,0,0,0,0,0,0
2007-09-01,0,3.4,4.78,0,0,0,0,0,4.97,0,0,0,7.82,0,0,3.68,0,0,5.02,0,3.95,0,5.58,0,0,0,0,0,0,3.93,0,0,3.98,7.05,0,0,2.79,4.63,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,0,0,0,0,0,0,0,5.89,0,0,0,6.33,4.4,0,0,0,0,0,0,0
2007-10-01,0,4.84,4.21,0,0,0,0,0,4.29,0,0,0,6.2,0,0,3.86,0,0,4.76,0,4.36,0,5.69,0,0,0,0,0,0,3.79,0,0,3.6,6.68,0,0,3.47,5.23,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0,6.97,4.54,0,0,0,0,0,0,0
2007-11-01,0,4.84,4.21,0,0,0,0,0,4.29,0,0,0,6.2,0,0,3.86,0,0,4.76,0,4.36,0,5.69,0,0,0,0,0,0,3.79,0,0,3.6,6.68,0,0,3.47,5.23,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0,6.97,4.54,0,0,0,0,0,0,0
2007-12-01,0,4.84,4.21,0,0,0,0,0,4.29,0,0,0,6.2,0,0,3.86,0,0,4.76,0,4.36,0,5.69,0,0,0,0,0,0,3.79,0,0,3.6,6.68,0,0,3.47,5.23,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0,6.97,4.54,0,0,0,0,0,0,0
2008-01-01,0,4.91,4.53,0,0,0,0,0,3.61,0,0,0,7.62,0,0,0,0,0,4.5,0,4.52,0,4.8,3.08,0,0,0,0,0,0,0,0,0,7.4,0,0,3.24,5.29,4.54,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,4.19,0,0,0,0,0,0,0,0,0,0,3.28,6.89,0,0,0,0,0,0,0,0
2008-02-01,0,4.91,4.53,0,0,0,0,0,3.61,0,0,0,7.62,0,0,0,0,0,4.5,0,4.52,0,4.8,3.08,0,0,0,0,0,0,0,0,0,7.4,0,0,3.24,5.29,4.54,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,4.19,0,0,0,0,0,0,0,0,0,0,3.28,6.89,0,0,0,0,0,0,0,0
