"Date","ABT","ADM","AMX","AN","APD","ARCO","BAX","BP","BRK","BYND","CAT","CCI","CNI","CNR","COST","CSX","CX","DDAIF","ECL","EXPD","FDX","FMX","GS","JNJ","KO","KOF","LBTYA","LBTYK","LILA","LILAK","MCD","MRK","MSFT","MTB","PFE","PG","RSG","SGP","TM","TSCO","TTF","TV","UPS","WBA","WM","WMT","XOM"
2007-04-01,2.8,2.17,0,0,0,0,1.7,5.03,27.14,0,2.35,2.73,4.45,0,4.3,0,0,1.39,0,0,1.92,0,0,0,1.52,2.19,0,0,0,0,0,4.75,0,0,0,0,0,5.05,0,0,0,2.47,0,0,3.72,0,4.46
2007-05-01,2.8,2.17,0,0,0,0,1.7,5.03,27.14,0,2.35,2.73,4.45,0,4.3,0,0,1.39,0,0,1.92,0,0,0,1.52,2.19,0,0,0,0,0,4.75,0,0,0,0,0,5.05,0,0,0,2.47,0,0,3.72,0,4.46
2007-06-01,2.8,2.17,0,0,0,0,1.7,5.03,27.14,0,2.35,2.73,4.45,0,4.3,0,0,1.39,0,0,1.92,0,0,0,1.52,2.19,0,0,0,0,0,4.75,0,0,0,0,0,5.05,0,0,0,2.47,0,0,3.72,0,4.46
2007-07-01,2.04,1.58,0,0,0,0,1.23,3.52,42.23,0,1.84,2.23,3.69,0,3.28,0,0,0,0,0,1.32,0,0,1.81,1.37,1.74,0,0,0,0,0,4.57,0,0,0.91,0,0,5.19,0,0,0,1.59,0,0,2.61,0,3.59
2007-08-01,2.04,1.58,0,0,0,0,1.23,3.52,42.23,0,1.84,2.23,3.69,0,3.28,0,0,0,0,0,1.32,0,0,1.81,1.37,1.74,0,0,0,0,0,4.57,0,0,0.91,0,0,5.19,0,0,0,1.59,0,0,2.61,0,3.59
2007-09-01,2.04,1.58,0,0,0,0,1.23,3.52,42.23,0,1.84,2.23,3.69,0,3.28,0,0,0,0,0,1.32,0,0,1.81,1.37,1.74,0,0,0,0,0,4.57,0,0,0.91,0,0,5.19,0,0,0,1.59,0,0,2.61,0,3.59
2007-10-01,1.93,2,0,0,0,0,1.15,3.35,45.65,0,2.25,2.06,3.46,0,3.54,0,0,0,0,0,0,0,0,1.66,1.32,1.84,0,0,0,0,2.07,4.63,0,0,0,0,0,3.94,0,0,0,1.45,0,0,2.2,2.12,3.51
2007-11-01,1.93,2,0,0,0,0,1.15,3.35,45.65,0,2.25,2.06,3.46,0,3.54,0,0,0,0,0,0,0,0,1.66,1.32,1.84,0,0,0,0,2.07,4.63,0,0,0,0,0,3.94,0,0,0,1.45,0,0,2.2,2.12,3.51
2007-12-01,1.93,2,0,0,0,0,1.15,3.35,45.65,0,2.25,2.06,3.46,0,3.54,0,0,0,0,0,0,0,0,1.66,1.32,1.84,0,0,0,0,2.07,4.63,0,0,0,0,0,3.94,0,0,0,1.45,0,0,2.2,2.12,3.51
2008-01-01,2.02,1.89,0,0,0,0,0,2.96,46,0,2.59,1.94,3.8,0,3.51,0,0,0,0,0,1.25,0,0,1.72,1.4,2.25,0,0,0,0,2.54,3.23,0,0,0,0,0,2.27,0,0,0,1.58,0,0,2.41,2.64,3.38
2008-02-01,2.02,1.89,0,0,0,0,0,2.96,46,0,2.59,1.94,3.8,0,3.51,0,0,0,0,0,1.25,0,0,1.72,1.4,2.25,0,0,0,0,2.54,3.23,0,0,0,0,0,2.27,0,0,0,1.58,0,0,2.41,2.64,3.38
2008-03-01,2.02,1.89,0,0,0,0,0,2.96,46,0,2.59,1.94,3.8,0,3.51,0,0,0,0,0,1.25,0,0,1.72,1.4,2.25,0,0,0,0,2.54,3.23,0,0,0,0,0,2.27,0,0,0,1.58,0,0,2.41,2.64,3.38
2008-04-01,2.01,0,0,0,0,0,1.4,3.52,41.58,0,2.53,2.25,4.12,0,3.92,0,0,0,0,0,1.31,0,0,1.77,1.24,2.53,0,0,0,0,2.99,3.31,0,0,0,0,0,3.21,0,0,0,1.6,0,0,2.81,2.91,3.64
2008-05-01,2.01,0,0,0,0,0,1.4,3.52,41.58,0,2.53,2.25,4.12,0,3.92,0,0,0,0,0,1.31,0,0,1.77,1.24,2.53,0,0,0,0,2.99,3.31,0,0,0,0,0,3.21,0,0,0,1.6,0,0,2.81,2.91,3.64
2008-06-01,2.01,0,0,0,0,0,1.4,3.52,41.58,0,2.53,2.25,4.12,0,3.92,0,0,0,0,0,1.31,0,0,1.77,1.24,2.53,0,0,0,0,2.99,3.31,0,0,0,0,0,3.21,0,0,0,1.6,0,0,2.81,2.91,3.64
2008-07-01,1.78,0,0,0,0,0,1.17,2.07,53.97,0,2.15,1.38,3.35,0,3.26,0,0,0,0,0,1.08,0,0,1.55,1.27,2.05,0,0,0,0,2.68,2.27,0,0,0,0,0,2.47,0,0,0,1.21,0,0,1.92,2.54,2.62
2008-08-01,1.78,0,0,0,0,0,1.17,2.07,53.97,0,2.15,1.38,3.35,0,3.26,0,0,0,0,0,1.08,0,0,1.55,1.27,2.05,0,0,0,0,2.68,2.27,0,0,0,0,0,2.47,0,0,0,1.21,0,0,1.92,2.54,2.62
2008-09-01,1.78,0,0,0,0,0,1.17,2.07,53.97,0,2.15,1.38,3.35,0,3.26,0,0,0,0,0,1.08,0,0,1.55,1.27,2.05,0,0,0,0,2.68,2.27,0,0,0,0,0,2.47,0,0,0,1.21,0,0,1.92,2.54,2.62
2008-10-01,2.04,0,0,1.11,0,0,1.18,2.39,47.83,0,2.5,0,3.4,0,3.54,0,0,0,0,0,1.08,0,0,1.66,2.83,2.19,0,0,0,0,4.36,2.7,0,0,0,0,0,2.81,0,0,0,1.1,0,0,2.85,2.93,3.77
2008-11-01,2.04,0,0,1.11,0,0,1.18,2.39,47.83,0,2.5,0,3.4,0,3.54,0,0,0,0,0,1.08,0,0,1.66,2.83,2.19,0,0,0,0,4.36,2.7,0,0,0,0,0,2.81,0,0,0,1.1,0,0,2.85,2.93,3.77
2008-12-01,2.04,0,0,1.11,0,0,1.18,2.39,47.83,0,2.5,0,3.4,0,3.54,0,0,0,0,0,1.08,0,0,1.66,2.83,2.19,0,0,0,0,4.36,2.7,0,0,0,0,0,2.81,0,0,0,1.1,0,0,2.85,2.93,3.77
