"Date","AAL","ADT","ALXN","AMZN","AVP","BAC","BHC","BHF","C","CTL","DAL","DISCA","EIGI","ENDP","FB","FCAU","FL","FLXN","GILD","GME","GNW","JPM","KBH","MED","MNK","MTG","MU","NXPI","OMF","P","PHM","QUOT","RH","TEVA","TMHC","TVTY","TWTR","UAL","W"
2016-01-01,4.82,0,0,0,0,2.86,0,0,2.28,0,5.72,0,3,0,0,2.45,0,0,2.39,2.29,0,0,2.71,0,0,3.38,0,3.75,3.6,2.7,4.28,3.54,0,0,0,0,0,4.89,0
2016-02-01,4.82,0,0,0,0,2.86,0,0,2.28,0,5.72,0,3,0,0,2.45,0,0,2.39,2.29,0,0,2.71,0,0,3.38,0,3.75,3.6,2.7,4.28,3.54,0,0,0,0,0,4.89,0
2016-03-01,4.82,0,0,0,0,2.86,0,0,2.28,0,5.72,0,3,0,0,2.45,0,0,2.39,2.29,0,0,2.71,0,0,3.38,0,3.75,3.6,2.7,4.28,3.54,0,0,0,0,0,4.89,0
2016-04-01,3.69,0,0,0,0,3.35,2.62,0,2.76,0,4.75,0,3.24,0,0,2.15,0,0,2.6,0,2.61,0,0,0,0,3.12,0,4.09,4.19,4.47,5,5.59,0,0,0,0,0,3.57,0
2016-05-01,3.69,0,0,0,0,3.35,2.62,0,2.76,0,4.75,0,3.24,0,0,2.15,0,0,2.6,0,2.61,0,0,0,0,3.12,0,4.09,4.19,4.47,5,5.59,0,0,0,0,0,3.57,0
2016-06-01,3.69,0,0,0,0,3.35,2.62,0,2.76,0,4.75,0,3.24,0,0,2.15,0,0,2.6,0,2.61,0,0,0,0,3.12,0,4.09,4.19,4.47,5,5.59,0,0,0,0,0,3.57,0
2016-07-01,4.2,0,0,0,0,3.48,3.21,0,2.71,0,4.52,0,3.08,0,0,0,0,0,0,0,4.44,0,0,0,0,3.71,0,4.69,5,4.49,4.45,4.77,0,0,2.24,0,2.42,4.02,0
2016-08-01,4.2,0,0,0,0,3.48,3.21,0,2.71,0,4.52,0,3.08,0,0,0,0,0,0,0,4.44,0,0,0,0,3.71,0,4.69,5,4.49,4.45,4.77,0,0,2.24,0,2.42,4.02,0
2016-09-01,4.2,0,0,0,0,3.48,3.21,0,2.71,0,4.52,0,3.08,0,0,0,0,0,0,0,4.44,0,0,0,0,3.71,0,4.69,5,4.49,4.45,4.77,0,0,2.24,0,2.42,4.02,0
2016-10-01,4.77,0,0,4.39,0,4.15,3.76,0,2.89,0,4.87,0,3.6,2.97,0,0,0,0,0,0,3.19,0,0,0,0,4.2,0,0,3.95,3.79,3.4,3.58,2.63,0,0,0,0,4.88,0
2016-11-01,4.77,0,0,4.39,0,4.15,3.76,0,2.89,0,4.87,0,3.6,2.97,0,0,0,0,0,0,3.19,0,0,0,0,4.2,0,0,3.95,3.79,3.4,3.58,2.63,0,0,0,0,4.88,0
2016-12-01,4.77,0,0,4.39,0,4.15,3.76,0,2.89,0,4.87,0,3.6,2.97,0,0,0,0,0,0,3.19,0,0,0,0,4.2,0,0,3.95,3.79,3.4,3.58,2.63,0,0,0,0,4.88,0
2017-01-01,3.88,0,0,5.68,0,3.27,3.28,0,0,0,4.15,0,3.01,2.73,0,0,0,0,0,0,3.94,0,0,0,0,3.65,0,0,4.78,3.3,3.52,3.06,6.35,0,0,0,0,4.1,2.78
2017-02-01,3.88,0,0,5.68,0,3.27,3.28,0,0,0,4.15,0,3.01,2.73,0,0,0,0,0,0,3.94,0,0,0,0,3.65,0,0,4.78,3.3,3.52,3.06,6.35,0,0,0,0,4.1,2.78
2017-03-01,3.88,0,0,5.68,0,3.27,3.28,0,0,0,4.15,0,3.01,2.73,0,0,0,0,0,0,3.94,0,0,0,0,3.65,0,0,4.78,3.3,3.52,3.06,6.35,0,0,0,0,4.1,2.78
