"Date","ACF","AIG","ANF","ANTM","ARGKF","AVP","AXP","BBBY","BDX","BK","BKNG","BNTGF","BOIVF","CHRW","CL","CLX","CMCSA","COP","COV","CSCO","CTSH","DELL","DIS","DISH","EBAY","FBN","FMCC","FOX","FOXA","FWONA","GLW","GOOG","HD","HEGIF","HENKY","HPQ","HRB","INFY","IPG","JNJ","KO","L","LANC","M","MBI","MDLZ","MSFT","NWSA","ORCL","PEP","PFE","PG","PHM","QRTEA","S","SLM","STT","SYK","SYY","TBBK","TYIDF","UN","UNH","USB","WMT","WWY","XOM"
2006-10-01,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,2.76,0,0,0,0,0,0,0,0,0,0,3.6,0,0,4.7,0,0,0,0,4.64,0,2.31,0,3.39,2.36,15.55,0,6.35,0,0,4.6,8.12,0,0,5.37,3.34,0,0,4.63,0,0,0,0,0,0,0,0,0,0,2.31,2.96,0
2006-11-01,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,2.76,0,0,0,0,0,0,0,0,0,0,3.6,0,0,4.7,0,0,0,0,4.64,0,2.31,0,3.39,2.36,15.55,0,6.35,0,0,4.6,8.12,0,0,5.37,3.34,0,0,4.63,0,0,0,0,0,0,0,0,0,0,2.31,2.96,0
2006-12-01,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,2.76,0,0,0,0,0,0,0,0,0,0,3.6,0,0,4.7,0,0,0,0,4.64,0,2.31,0,3.39,2.36,15.55,0,6.35,0,0,4.6,8.12,0,0,5.37,3.34,0,0,4.63,0,0,0,0,0,0,0,0,0,0,2.31,2.96,0
2007-01-01,8.43,1.98,0,0,0,0,0,0,0,0,0,0,0,0,2.19,3.13,0,0,0,0,0,0,0,0,2.72,0,3.6,0,0,1.81,0,0,0,0,3.07,0,0,0,0,2.47,17.69,0,7.24,0,0,3.63,8.67,0,0,9.37,3.72,0,0,4.29,0,0,0,0,0,0,0,0,0,0,2.69,3.34,0
2007-02-01,8.43,1.98,0,0,0,0,0,0,0,0,0,0,0,0,2.19,3.13,0,0,0,0,0,0,0,0,2.72,0,3.6,0,0,1.81,0,0,0,0,3.07,0,0,0,0,2.47,17.69,0,7.24,0,0,3.63,8.67,0,0,9.37,3.72,0,0,4.29,0,0,0,0,0,0,0,0,0,0,2.69,3.34,0
2007-03-01,8.43,1.98,0,0,0,0,0,0,0,0,0,0,0,0,2.19,3.13,0,0,0,0,0,0,0,0,2.72,0,3.6,0,0,1.81,0,0,0,0,3.07,0,0,0,0,2.47,17.69,0,7.24,0,0,3.63,8.67,0,0,9.37,3.72,0,0,4.29,0,0,0,0,0,0,0,0,0,0,2.69,3.34,0
2007-04-01,7.89,2.04,0,0,0,0,0,0,0,0,0,0,0,0,2.1,3.01,0,0,0,0,0,0,0,0,5.2,0.96,3.63,0,0,0,0,0,1.21,0,0,0,0,0,0,2.49,19.03,0,6.77,0,0,3.99,9.05,0,0,9.96,3.72,3.96,0,3.97,0,0,0,0,0,0,0,0,0,0,2.72,3.58,0
2007-05-01,7.89,2.04,0,0,0,0,0,0,0,0,0,0,0,0,2.1,3.01,0,0,0,0,0,0,0,0,5.2,0.96,3.63,0,0,0,0,0,1.21,0,0,0,0,0,0,2.49,19.03,0,6.77,0,0,3.99,9.05,0,0,9.96,3.72,3.96,0,3.97,0,0,0,0,0,0,0,0,0,0,2.72,3.58,0
2007-06-01,7.89,2.04,0,0,0,0,0,0,0,0,0,0,0,0,2.1,3.01,0,0,0,0,0,0,0,0,5.2,0.96,3.63,0,0,0,0,0,1.21,0,0,0,0,0,0,2.49,19.03,0,6.77,0,0,3.99,9.05,0,0,9.96,3.72,3.96,0,3.97,0,0,0,0,0,0,0,0,0,0,2.72,3.58,0
2007-07-01,5.85,2,0,0,0,0,0,0,0,0,0,0,0,0,2.35,3.81,0,0,2.39,0,0,0,0,0,6.42,1.24,3.59,0,0,0,0,0,0,0,0,0,0,0,0,2.7,17.97,0,6.28,0,0,0,9.21,0,0,11.45,3.62,4.63,2.42,3.48,0,0,0,0,0,0,0,0,0,0,2.51,4.23,0
