"Date","AAPL","ADBE","ALRM","AMT","AMTD","ANSS","BAC","BAM","BDX","BRK","CFX","CSGP","CSX","DG","DHIL","DHR","DISCA","DLTR","EQIX","ESGR","FDS","FOCS","FTV","GSHD","HIG","JEF","KKR","KMX","LAMR","LKQ","LPLA","LYV","MA","MCO","MKL","MNRO","MSCI","NDN","NLY","NS","OLLI","ORLY","PENN","PRMW","ROP","ROST","SBAC","SHLDQ","TECH","TJX","TRH","TROW","UI","V","VRSK","WMS"
2009-10-01,0,0,0,19,1.95,0,0,0,0,5.1,0,0,0.29,0,0,0,0,0,0,8.96,3.87,0,0,0,0,0,0,5.57,10.42,0,0,0,0,0,14.52,0,1.6,3.62,0,0,0,4.83,8.01,0,0,0,0,0,0,0,0,3.82,0,0,0,1.36
2009-11-01,0,0,0,19,1.95,0,0,0,0,5.1,0,0,0.29,0,0,0,0,0,0,8.96,3.87,0,0,0,0,0,0,5.57,10.42,0,0,0,0,0,14.52,0,1.6,3.62,0,0,0,4.83,8.01,0,0,0,0,0,0,0,0,3.82,0,0,0,1.36
2009-12-01,0,0,0,19,1.95,0,0,0,0,5.1,0,0,0.29,0,0,0,0,0,0,8.96,3.87,0,0,0,0,0,0,5.57,10.42,0,0,0,0,0,14.52,0,1.6,3.62,0,0,0,4.83,8.01,0,0,0,0,0,0,0,0,3.82,0,0,0,1.36
2010-01-01,0,0,0,14.18,1.75,0,0,0,0,5.15,0,0,0,0,0,0,0,2.72,0,6.98,5.07,0,0,0,1.96,0,0,4.03,9.33,0,0,0,0,0,12.34,0,1.66,0,0,0,0,6.09,6.47,0,0,3.61,0,0,0,3.04,3.4,2.68,0,0,0,2.57
2010-02-01,0,0,0,14.18,1.75,0,0,0,0,5.15,0,0,0,0,0,0,0,2.72,0,6.98,5.07,0,0,0,1.96,0,0,4.03,9.33,0,0,0,0,0,12.34,0,1.66,0,0,0,0,6.09,6.47,0,0,3.61,0,0,0,3.04,3.4,2.68,0,0,0,2.57
2010-03-01,0,0,0,14.18,1.75,0,0,0,0,5.15,0,0,0,0,0,0,0,2.72,0,6.98,5.07,0,0,0,1.96,0,0,4.03,9.33,0,0,0,0,0,12.34,0,1.66,0,0,0,0,6.09,6.47,0,0,3.61,0,0,0,3.04,3.4,2.68,0,0,0,2.57
2010-04-01,0,0,0,14.28,1.84,0,0,0,0,4.8,0,0,0,0,0,0,0,7.63,0,7.9,3.3,0,0,0,0,0,0,2.73,8.38,0,0,0,1.8,0,11.75,0,1.23,0,0,0,0,6.75,2.57,0,0,6.86,0,0,0,2.94,2.16,1.1,0,0,0,2.36
2010-05-01,0,0,0,14.28,1.84,0,0,0,0,4.8,0,0,0,0,0,0,0,7.63,0,7.9,3.3,0,0,0,0,0,0,2.73,8.38,0,0,0,1.8,0,11.75,0,1.23,0,0,0,0,6.75,2.57,0,0,6.86,0,0,0,2.94,2.16,1.1,0,0,0,2.36
2010-06-01,0,0,0,14.28,1.84,0,0,0,0,4.8,0,0,0,0,0,0,0,7.63,0,7.9,3.3,0,0,0,0,0,0,2.73,8.38,0,0,0,1.8,0,11.75,0,1.23,0,0,0,0,6.75,2.57,0,0,6.86,0,0,0,2.94,2.16,1.1,0,0,0,2.36
2010-07-01,0,0,0,14.56,1.71,0,0,0,0,4.38,0,0,0,0,0,0,0,7.89,0,7.61,3.53,0,0,0,0,0,0,3.62,10.44,0,0,0,3.56,0,10.51,0,1.32,1.12,0,0,0,6.67,2.27,0,0,7.08,0,0,0,2.76,0,1.17,0,0,0,2.02
2010-08-01,0,0,0,14.56,1.71,0,0,0,0,4.38,0,0,0,0,0,0,0,7.89,0,7.61,3.53,0,0,0,0,0,0,3.62,10.44,0,0,0,3.56,0,10.51,0,1.32,1.12,0,0,0,6.67,2.27,0,0,7.08,0,0,0,2.76,0,1.17,0,0,0,2.02
2010-09-01,0,0,0,14.56,1.71,0,0,0,0,4.38,0,0,0,0,0,0,0,7.89,0,7.61,3.53,0,0,0,0,0,0,3.62,10.44,0,0,0,3.56,0,10.51,0,1.32,1.12,0,0,0,6.67,2.27,0,0,7.08,0,0,0,2.76,0,1.17,0,0,0,2.02
2010-10-01,0,0,0,14.51,1.66,0,0,0,0.92,3.58,0,0,0,0,0,0,0,7.52,0,8.57,3.36,0,0,0,0,0,0,3.42,10.79,0,0,0,6.85,0,9.55,0,1.28,0,0,0,0,6.25,2.23,0,0,7.79,0,0,0,2.34,0,1.24,0,0,0,1.98
2010-11-01,0,0,0,14.51,1.66,0,0,0,0.92,3.58,0,0,0,0,0,0,0,7.52,0,8.57,3.36,0,0,0,0,0,0,3.42,10.79,0,0,0,6.85,0,9.55,0,1.28,0,0,0,0,6.25,2.23,0,0,7.79,0,0,0,2.34,0,1.24,0,0,0,1.98
2010-12-01,0,0,0,14.51,1.66,0,0,0,0.92,3.58,0,0,0,0,0,0,0,7.52,0,8.57,3.36,0,0,0,0,0,0,3.42,10.79,0,0,0,6.85,0,9.55,0,1.28,0,0,0,0,6.25,2.23,0,0,7.79,0,0,0,2.34,0,1.24,0,0,0,1.98
2011-01-01,0,0,0,14.53,1.69,0,0,0,0.8,3.28,0,0,0,0,0,0,0,7.97,0,9.25,3.25,0,0,0,0,0,0,3.2,9.38,0,0,0,8.09,0,9.38,0,0,0,0.73,0,0,5.85,2.16,0,0,9.08,0,0,0,2.47,0,1.18,0,0,0,1.43
2011-02-01,0,0,0,14.53,1.69,0,0,0,0.8,3.28,0,0,0,0,0,0,0,7.97,0,9.25,3.25,0,0,0,0,0,0,3.2,9.38,0,0,0,8.09,0,9.38,0,0,0,0.73,0,0,5.85,2.16,0,0,9.08,0,0,0,2.47,0,1.18,0,0,0,1.43
2011-03-01,0,0,0,14.53,1.69,0,0,0,0.8,3.28,0,0,0,0,0,0,0,7.97,0,9.25,3.25,0,0,0,0,0,0,3.2,9.38,0,0,0,8.09,0,9.38,0,0,0,0.73,0,0,5.85,2.16,0,0,9.08,0,0,0,2.47,0,1.18,0,0,0,1.43
2011-04-01,0,0,0,12.91,1.45,0,0,0,0.8,2.78,0,0,0,0,0,0,0,8.86,0,9.09,2.92,0,0,0,0,0,0,4.9,8.07,0,0,0,10.37,0,8.22,0,0,0,0,0,0,7.41,2.15,0,0,9.39,0,0,0.77,2.45,0,1.13,0,0,0,1.14
2011-05-01,0,0,0,12.91,1.45,0,0,0,0.8,2.78,0,0,0,0,0,0,0,8.86,0,9.09,2.92,0,0,0,0,0,0,4.9,8.07,0,0,0,10.37,0,8.22,0,0,0,0,0,0,7.41,2.15,0,0,9.39,0,0,0.77,2.45,0,1.13,0,0,0,1.14
2011-06-01,0,0,0,12.91,1.45,0,0,0,0.8,2.78,0,0,0,0,0,0,0,8.86,0,9.09,2.92,0,0,0,0,0,0,4.9,8.07,0,0,0,10.37,0,8.22,0,0,0,0,0,0,7.41,2.15,0,0,9.39,0,0,0.77,2.45,0,1.13,0,0,0,1.14
2011-07-01,0,0,0,13.36,1.69,0,0,0,0.69,4.32,0,0,0,0,1.06,0,0,10.15,0,7.62,2.7,0,0,0,1.02,0,0,4.28,5.72,0,1.48,0,11.48,0,9.02,0,0,0,0,0,0,7.26,1.81,0,0,9.94,0,0,0,2.66,0,1.03,0,0,0,0
