"Date","ABR","ACT","ADBE","AER","AGN","AIG","AMCX","APL","ASH","ASPS","ATLS","BKNG","BLL","BSX","C","CCL","CI","CIM","COF","CVS","CZR","DD","DISH","DOW","DVMT","EBAY","EMN","ESRX","ET","ETE","ETFC","ETP","FANG","FB","FISV","FNF","FOXA","GCI","GLPI","GM","GOOGL","HAL","HCA","HES","HUM","KAR","KEA","KMI","LORL","LYB","MCK","MET","MGM","MMR","MPC","MSFT","MSI","MXL","NAVI","NBR","NLSN","NRG","NRZ","NYX","OCN","OMF","PE","PFE","PFSI","PVH","PYPL","QCOM","RIG","RLGY","S","SBGI","SD","SHPG","SIRI","SLM","SNR","SYF","TMO","TRGP","TRN","TRWH","UAL","UNH","VVV","WBA","WPX","XL"
2013-01-01,0,0,0,0,0,4.68,0,2.73,0,0,2.67,0,0,2,0,0,0,2.42,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,0,0,0,0,0,3.04,0,0,0,0,0,2.44,0,0,2.07,0,0,0,0,0,0,2.48,0,0,0,0,0,0,0,3.44,2.57,0,6.31,0,2.18,0,3.45,4.78,0,0,0,0,0,0,0,0,0,0,0,1.9
2013-02-01,0,0,0,0,0,4.68,0,2.73,0,0,2.67,0,0,2,0,0,0,2.42,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,0,0,0,0,0,3.04,0,0,0,0,0,2.44,0,0,2.07,0,0,0,0,0,0,2.48,0,0,0,0,0,0,0,3.44,2.57,0,6.31,0,2.18,0,3.45,4.78,0,0,0,0,0,0,0,0,0,0,0,1.9
2013-03-01,0,0,0,0,0,4.68,0,2.73,0,0,2.67,0,0,2,0,0,0,2.42,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,0,0,0,0,0,3.04,0,0,0,0,0,2.44,0,0,2.07,0,0,0,0,0,0,2.48,0,0,0,0,0,0,0,3.44,2.57,0,6.31,0,2.18,0,3.45,4.78,0,0,0,0,0,0,0,0,0,0,0,1.9
2013-04-01,0,0,0,0,0,3.98,0,2.52,0,0,2.98,0,0,2.34,0,0,0,2.62,0,0,0,0,2.36,0,0,0,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,0,0,0,0,0,2.95,0,0,0,2.07,0,0,0,0,2.93,0,0,0,0,0,0,2.62,0,0,0,0,0,0,0,3.51,2.56,0,10.23,0,2.13,0,3.69,4.6,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,0,0,0,0,0,3.98,0,2.52,0,0,2.98,0,0,2.34,0,0,0,2.62,0,0,0,0,2.36,0,0,0,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,0,0,0,0,0,2.95,0,0,0,2.07,0,0,0,0,2.93,0,0,0,0,0,0,2.62,0,0,0,0,0,0,0,3.51,2.56,0,10.23,0,2.13,0,3.69,4.6,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-01,0,0,0,0,0,3.98,0,2.52,0,0,2.98,0,0,2.34,0,0,0,2.62,0,0,0,0,2.36,0,0,0,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,0,0,0,0,0,2.95,0,0,0,2.07,0,0,0,0,2.93,0,0,0,0,0,0,2.62,0,0,0,0,0,0,0,3.51,2.56,0,10.23,0,2.13,0,3.69,4.6,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,0,0,0,0,0,4.28,0,2.53,0,2.16,3.32,0,0,2.39,2.82,0,0,2.85,0,0,0,0,2.39,0,0,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,3.29,0,0,0,0,0,0,2.62,0,0,0,0,0,0,0,2.88,2.35,0,3.32,0,3.04,0,4.22,4.87,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-01,0,0,0,0,0,4.28,0,2.53,0,2.16,3.32,0,0,2.39,2.82,0,0,2.85,0,0,0,0,2.39,0,0,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,3.29,0,0,0,0,0,0,2.62,0,0,0,0,0,0,0,2.88,2.35,0,3.32,0,3.04,0,4.22,4.87,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-01,0,0,0,0,0,4.28,0,2.53,0,2.16,3.32,0,0,2.39,2.82,0,0,2.85,0,0,0,0,2.39,0,0,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,3.29,0,0,0,0,0,0,2.62,0,0,0,0,0,0,0,2.88,2.35,0,3.32,0,3.04,0,4.22,4.87,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-01,0,0,0,0,0,4.23,0,0,0,2.08,2.24,0,0,0,2.9,0,0,2.73,1.75,0,0,0,3.23,0,0,0,2.37,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0,0,0,1.85,0,2.16,0,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76,2.02,0,6.19,0,3.49,0,3.89,3.95,0,0,0,0,0,0,0,0,0,0,0,0
