"Date","ACN","AFL","ATGE","BAX","BDK","BEN","BOKF","BWA","BX","CAH","CBRE","CBS","CCL","CHK","CLX","CRL","DELL","DNB","EFX","FAF","GCI","HLI","HRB","IGT","IPG","ITW","JLL","JWN","KEYS","KKR","KMT","LAZ","LH","MAT","MHK","MSGN","NLSN","NOV","NTRS","OMC","PBI","PGR","SJM","SNA","SRCL","STZ","SWK","TIF","TMO","TPR","TRB","TROW","TW","VIAC","WLTW","WU","YUM","ZBH"
2006-10-01,5.99,0,0,3.39,3.8,3.27,0,0,0,0,0,3.99,4.64,0,0,0,0,0,0,0,4.01,0,3.14,0,3.1,0,0,0,0,0,0,0,0,0,3.75,0,0,0,4.92,4,5.03,0,0,0,0,0,0,0,3.02,0,4.91,3.2,0,0,0,0,4.19,0
2006-11-01,5.99,0,0,3.39,3.8,3.27,0,0,0,0,0,3.99,4.64,0,0,0,0,0,0,0,4.01,0,3.14,0,3.1,0,0,0,0,0,0,0,0,0,3.75,0,0,0,4.92,4,5.03,0,0,0,0,0,0,0,3.02,0,4.91,3.2,0,0,0,0,4.19,0
2006-12-01,5.99,0,0,3.39,3.8,3.27,0,0,0,0,0,3.99,4.64,0,0,0,0,0,0,0,4.01,0,3.14,0,3.1,0,0,0,0,0,0,0,0,0,3.75,0,0,0,4.92,4,5.03,0,0,0,0,0,0,0,3.02,0,4.91,3.2,0,0,0,0,4.19,0
2007-01-01,5.34,0,0,3.86,3.38,3.12,0,0,0,0,0,3.93,4.69,0,0,0,0,0,2.59,0,3.75,0,3.04,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,0,4.52,3.38,4.39,0,0,0,0,0,0,0,3.13,0,4.89,2.99,0,0,0,0,3.19,0
2007-02-01,5.34,0,0,3.86,3.38,3.12,0,0,0,0,0,3.93,4.69,0,0,0,0,0,2.59,0,3.75,0,3.04,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,0,4.52,3.38,4.39,0,0,0,0,0,0,0,3.13,0,4.89,2.99,0,0,0,0,3.19,0
2007-03-01,5.34,0,0,3.86,3.38,3.12,0,0,0,0,0,3.93,4.69,0,0,0,0,0,2.59,0,3.75,0,3.04,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,0,4.52,3.38,4.39,0,0,0,0,0,0,0,3.13,0,4.89,2.99,0,0,0,0,3.19,0
2007-04-01,4.82,0,0,4.02,3.56,3.15,0,0,0,0,0,4.17,4.29,0,0,0,0,0,3.07,0,3.57,0,2.93,0,0,0,0,0,0,0,0,0,0,0,4.47,0,0,0,4.11,3.22,4.33,0,0,0,0,3.1,0,0,3.37,0,0,3.2,0,0,0,0,3.51,0
2007-05-01,4.82,0,0,4.02,3.56,3.15,0,0,0,0,0,4.17,4.29,0,0,0,0,0,3.07,0,3.57,0,2.93,0,0,0,0,0,0,0,0,0,0,0,4.47,0,0,0,4.11,3.22,4.33,0,0,0,0,3.1,0,0,3.37,0,0,3.2,0,0,0,0,3.51,0
2007-06-01,4.82,0,0,4.02,3.56,3.15,0,0,0,0,0,4.17,4.29,0,0,0,0,0,3.07,0,3.57,0,2.93,0,0,0,0,0,0,0,0,0,0,0,4.47,0,0,0,4.11,3.22,4.33,0,0,0,0,3.1,0,0,3.37,0,0,3.2,0,0,0,0,3.51,0
2007-07-01,3.97,3.17,0,4,3.09,0,0,0,0,0,0,3.11,3.55,0,3.83,0,0,0,2.95,0,3.25,0,3.22,0,0,0,0,0,0,0,0,0,0,0,2.99,0,0,0,4.29,0,3.75,0,0,0,0,3.76,0,0,3.93,0,0,3.32,0,0,0,0,3.27,0
