"Date","AAPL","ABM","ABT","ADBE","ADSK","AIG","AIN","AIZ","AJG","ALEX","AMD","AMTD","APA","AT","ATR","AVA","AVP","BAX","BBY","BDK","BEC","BEN","BG","BKC","BOH","BOKF","BR","BUD","C","CACI","CBT","CCL","CFG","CLH","CMP","COST","COV","CRI","CRL","CSCO","CSL","CTAS","CTXS","CVA","CVBF","CVS","CVX","CW","DBD","DENN","DEO","DKS","DYN","EA","EAT","EBAY","EFX","ENS","EOG","FELE","FEYE","FII","FLIR","FLO","FLS","FST","FTNT","GFI","GIL","GPK","GWR","GWW","HAE","HBI","HE","HEES","HOLX","HUM","HURN","ICLR","IFF","INTC","IPXL","IRDM","JPM","KBR","KMB","KMI","KSS","KW","LAZ","LECO","LII","LIZ","LKQ","LOGM","LVS","MASI","MAT","MATX","MDLZ","MDU","MLNX","MON","MSA","MSFT","MU","MVL","NEM","NKTR","NLC","NLY","NOK","NOMD","NSC","NTR","NUAN","NVDA","NWL","OI","ORI","OXY","PENN","PFE","PHG","PII","PLCE","POWI","PTV","QCOM","RAMP","RBA","RBC","RF","RIG","RYN","SCHN","SCS","SEE","SEIC","SERV","SHW","SKX","SMG","STE","STT","SUM","SWK","SYF","SYNA","SYY","TAP","TERP","THS","TOT","TRMB","TRV","UMPQ","UNP","USB","UVV","VICI","VRNT","VRSN","VZ","WDC","WFC","WLTW","WM","WWW","XYL","YUM","ZBRA"
2006-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37,0,0,0,2.66,0,0,2.1,0,2.11,0,0,0,0,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0,2.67,0,0,0,0,0,0,0,0,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,0,0,0,0,0,2.16,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,2.05,0,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,2.86,0,0,0,0
2006-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37,0,0,0,2.66,0,0,2.1,0,2.11,0,0,0,0,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0,2.67,0,0,0,0,0,0,0,0,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,0,0,0,0,0,2.16,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,2.05,0,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,2.86,0,0,0,0
2006-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37,0,0,0,2.66,0,0,2.1,0,2.11,0,0,0,0,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0,2.67,0,0,0,0,0,0,0,0,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,0,0,0,0,0,2.16,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,2.05,0,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,2.86,0,0,0,0
2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,2.22,2.62,0,0,2.29,0,2.06,0,0,0,0,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49,0,0,2.14,0,0,0,0,0,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58,0,0,0,0,0,0,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,2.09,0,0,0,0,0,0,0,0,0,2.26,0,0,0,0,0,0,3.08,0,0,0,0,0
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,2.22,2.62,0,0,2.29,0,2.06,0,0,0,0,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49,0,0,2.14,0,0,0,0,0,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58,0,0,0,0,0,0,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,2.09,0,0,0,0,0,0,0,0,0,2.26,0,0,0,0,0,0,3.08,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,2.22,2.62,0,0,2.29,0,2.06,0,0,0,0,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49,0,0,2.14,0,0,0,0,0,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58,0,0,0,0,0,0,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,2.09,0,0,0,0,0,0,0,0,0,2.26,0,0,0,0,0,0,3.08,0,0,0,0,0
2007-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,2.77,0,0,2.68,0,0,0,0,0,0,2.41,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92,0,0,0,2.21,0,0,0,0,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,2.21,0,0,2.39,0,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,0,1.94,0,0,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,0,0,0,0,0,0,3.38,0,0,0,0,0
2007-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,2.77,0,0,2.68,0,0,0,0,0,0,2.41,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92,0,0,0,2.21,0,0,0,0,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,2.21,0,0,2.39,0,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,0,1.94,0,0,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,0,0,0,0,0,0,3.38,0,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,2.77,0,0,2.68,0,0,0,0,0,0,2.41,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92,0,0,0,2.21,0,0,0,0,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,2.21,0,0,2.39,0,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,0,1.94,0,0,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,0,0,0,0,0,0,3.38,0,0,0,0,0
2007-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93,3.26,0,0,3.19,0,0,0,0,0,0,2.64,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0,0,0,0,1.94,0,0,0,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,2.76,0,0,0,0,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,0,0,0,0,0,0,0,2.07,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11,0,1.96,0,0,0,0,0
