"Date","AAP","ADS","AN","ARES","AWI","BAC","BRK","CHEF","CHRW","CHTR","CMPR","CPRT","CVET","DNOW","DSWL","FFH","FL","FWONK","GLIBA","GRUB","HBI","HEI","IBKR","IBM","INWK","JEF","LB","LBTYK","LTRPA","MCO","MNRO","MSM","RAVN","RBA","RCII","RUE","SAM","SAVE","SD","SNE","SPB","ST","TAP","TRIP","VMI","WFC","XPO","XRAY","Y"
2012-10-01,0,0,0,0,0,17.7,62.48,0,0,0,7.62,0,0,0,0.15,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04,0,0,0,0,0,0,0,3.5,0,0
2012-11-01,0,0,0,0,0,17.7,62.48,0,0,0,7.62,0,0,0,0.15,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04,0,0,0,0,0,0,0,3.5,0,0
2012-12-01,0,0,0,0,0,17.7,62.48,0,0,0,7.62,0,0,0,0.15,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04,0,0,0,0,0,0,0,3.5,0,0
2013-01-01,0,0,0,0,0,17.28,62.29,0,0,0,12.98,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57,0,0
2013-02-01,0,0,0,0,0,17.28,62.29,0,0,0,12.98,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57,0,0
2013-03-01,0,0,0,0,0,17.28,62.29,0,0,0,12.98,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57,0,0
2013-04-01,0,0,0,0,0,16.25,52.74,0,4.5,0,16.55,0,0,0,0.1,0,0,0,0,0,0,0,0,0,2.69,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,0,0
2013-05-01,0,0,0,0,0,16.25,52.74,0,4.5,0,16.55,0,0,0,0.1,0,0,0,0,0,0,0,0,0,2.69,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,0,0
2013-06-01,0,0,0,0,0,16.25,52.74,0,4.5,0,16.55,0,0,0,0.1,0,0,0,0,0,0,0,0,0,2.69,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,0,0
2013-07-01,0,0,0,0,0,16.63,43.09,0,7.84,0,19.22,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0.6,1.04,0,0,0,0,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,5.94,0,0
2013-08-01,0,0,0,0,0,16.63,43.09,0,7.84,0,19.22,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0.6,1.04,0,0,0,0,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,5.94,0,0
2013-09-01,0,0,0,0,0,16.63,43.09,0,7.84,0,19.22,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0.6,1.04,0,0,0,0,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,5.94,0,0
2013-10-01,0,0,0,0,0,17.32,40.34,0,7.08,0,17.38,0,0,0,0.06,0,0,0,0,0,0,0,0,6.92,0.35,1,0,0,0,0,0,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0
2013-11-01,0,0,0,0,0,17.32,40.34,0,7.08,0,17.38,0,0,0,0.06,0,0,0,0,0,0,0,0,6.92,0.35,1,0,0,0,0,0,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0
2013-12-01,0,0,0,0,0,17.32,40.34,0,7.08,0,17.38,0,0,0,0.06,0,0,0,0,0,0,0,0,6.92,0.35,1,0,0,0,0,0,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0
2014-01-01,0,0,0,0,0,15.08,38.75,0,11.77,0,15.45,1.69,0,0,0.05,0,0,0,0,0,0,0,0,7.45,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69
2014-02-01,0,0,0,0,0,15.08,38.75,0,11.77,0,15.45,1.69,0,0,0.05,0,0,0,0,0,0,0,0,7.45,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69
2014-03-01,0,0,0,0,0,15.08,38.75,0,11.77,0,15.45,1.69,0,0,0.05,0,0,0,0,0,0,0,0,7.45,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69
2014-04-01,0,0,0,0.92,0,16.13,28.35,4.31,10.72,0,11.08,0.09,0,0,0.05,0,0,0,0,0,0,0,0,6.16,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26,0,0,0,0,0,0,0,0,7.13
2014-05-01,0,0,0,0.92,0,16.13,28.35,4.31,10.72,0,11.08,0.09,0,0,0.05,0,0,0,0,0,0,0,0,6.16,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26,0,0,0,0,0,0,0,0,7.13
2014-06-01,0,0,0,0.92,0,16.13,28.35,4.31,10.72,0,11.08,0.09,0,0,0.05,0,0,0,0,0,0,0,0,6.16,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26,0,0,0,0,0,0,0,0,7.13
2014-07-01,0,0,0,0.65,0,23.09,14.05,6.61,0,0,17.11,0.59,0,1.47,0.05,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,7.59
2014-08-01,0,0,0,0.65,0,23.09,14.05,6.61,0,0,17.11,0.59,0,1.47,0.05,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,7.59
2014-09-01,0,0,0,0.65,0,23.09,14.05,6.61,0,0,17.11,0.59,0,1.47,0.05,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,7.59
2014-10-01,0,0,0,0.15,0,18.76,5.61,5.54,0,0,14.46,0.55,0,8.26,0.03,0,0,0,0,0,0,0,6.58,0,0,9.53,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62,0,0,0,0,0,0,0,0,6.86
2014-11-01,0,0,0,0.15,0,18.76,5.61,5.54,0,0,14.46,0.55,0,8.26,0.03,0,0,0,0,0,0,0,6.58,0,0,9.53,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62,0,0,0,0,0,0,0,0,6.86
2014-12-01,0,0,0,0.15,0,18.76,5.61,5.54,0,0,14.46,0.55,0,8.26,0.03,0,0,0,0,0,0,0,6.58,0,0,9.53,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62,0,0,0,0,0,0,0,0,6.86
2015-01-01,0,0,0,0,0,14.35,4.78,4.13,0,0,14.02,0.51,0,12.7,0.03,0,0,0,0,0,0,0.05,8.3,0,0,8.39,0,0,0,0,0,4.83,0,0,0,0,0,0,0,11.64,0,0,0,0,0,0,0,0,6.4
2015-02-01,0,0,0,0,0,14.35,4.78,4.13,0,0,14.02,0.51,0,12.7,0.03,0,0,0,0,0,0,0.05,8.3,0,0,8.39,0,0,0,0,0,4.83,0,0,0,0,0,0,0,11.64,0,0,0,0,0,0,0,0,6.4
2015-03-01,0,0,0,0,0,14.35,4.78,4.13,0,0,14.02,0.51,0,12.7,0.03,0,0,0,0,0,0,0.05,8.3,0,0,8.39,0,0,0,0,0,4.83,0,0,0,0,0,0,0,11.64,0,0,0,0,0,0,0,0,6.4
2015-04-01,0,0,0,0,0,13.87,8.71,3.52,0,0,13.99,0.51,0,10.13,0.03,0,0,0,0,0,0,0.05,10.59,0,0,9.67,0,0,0,0,0,8.73,0,0,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0
2015-05-01,0,0,0,0,0,13.87,8.71,3.52,0,0,13.99,0.51,0,10.13,0.03,0,0,0,0,0,0,0.05,10.59,0,0,9.67,0,0,0,0,0,8.73,0,0,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0
2015-06-01,0,0,0,0,0,13.87,8.71,3.52,0,0,13.99,0.51,0,10.13,0.03,0,0,0,0,0,0,0.05,10.59,0,0,9.67,0,0,0,0,0,8.73,0,0,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0
2015-07-01,0,0,0,0,0,0,16.5,2.17,0,0,22.87,0.47,0,11,0.02,0,0,1.17,0,0,0,0.04,10.21,0,0,8.11,0,0,0.09,0,0,9.93,0,0,0,0,0,0,0,7.31,0,0,0,1.31,0,0,0,0,0
2015-08-01,0,0,0,0,0,0,16.5,2.17,0,0,22.87,0.47,0,11,0.02,0,0,1.17,0,0,0,0.04,10.21,0,0,8.11,0,0,0.09,0,0,9.93,0,0,0,0,0,0,0,7.31,0,0,0,1.31,0,0,0,0,0
2015-09-01,0,0,0,0,0,0,16.5,2.17,0,0,22.87,0.47,0,11,0.02,0,0,1.17,0,0,0,0.04,10.21,0,0,8.11,0,0,0.09,0,0,9.93,0,0,0,0,0,0,0,7.31,0,0,0,1.31,0,0,0,0,0
2015-10-01,0,0,0,0,0,0,18.7,1.4,0,0,24.16,0.55,0,12.13,0.02,0,0,0,0,0,0,0.18,10.05,0,0,10.26,0,0,0.13,0,0,8.44,0,0,0,0,0,0,0,4.13,0,0,0,3.48,0,0,0,0,0
2015-11-01,0,0,0,0,0,0,18.7,1.4,0,0,24.16,0.55,0,12.13,0.02,0,0,0,0,0,0,0.18,10.05,0,0,10.26,0,0,0.13,0,0,8.44,0,0,0,0,0,0,0,4.13,0,0,0,3.48,0,0,0,0,0
2015-12-01,0,0,0,0,0,0,18.7,1.4,0,0,24.16,0.55,0,12.13,0.02,0,0,0,0,0,0,0.18,10.05,0,0,10.26,0,0,0.13,0,0,8.44,0,0,0,0,0,0,0,4.13,0,0,0,3.48,0,0,0,0,0
2016-01-01,0,0,0,0,0,0,24.44,1.27,0,0,24.17,0.53,0,10.27,0.02,0,0,0,0,0,0,0.18,9.19,0,0,12.7,0,0,0.09,2.99,0,8.88,0.04,0,0,0,0,0,0,0,0,0,0,1.62,0,0,0,0,0
2016-02-01,0,0,0,0,0,0,24.44,1.27,0,0,24.17,0.53,0,10.27,0.02,0,0,0,0,0,0,0.18,9.19,0,0,12.7,0,0,0.09,2.99,0,8.88,0.04,0,0,0,0,0,0,0,0,0,0,1.62,0,0,0,0,0
2016-03-01,0,0,0,0,0,0,24.44,1.27,0,0,24.17,0.53,0,10.27,0.02,0,0,0,0,0,0,0.18,9.19,0,0,12.7,0,0,0.09,2.99,0,8.88,0.04,0,0,0,0,0,0,0,0,0,0,1.62,0,0,0,0,0
2016-04-01,0,0,0,0,0,3.99,21.63,0.91,0,0,18.55,0.59,0,9.31,0.02,0,0,0,0,0,0,0.18,8.26,0,0,12.18,3.58,0,0.08,2.68,0,7.46,0.05,0,0,0,0,0,0,0,0,0,0,1.47,0.31,3.91,0,0,0
2016-05-01,0,0,0,0,0,3.99,21.63,0.91,0,0,18.55,0.59,0,9.31,0.02,0,0,0,0,0,0,0.18,8.26,0,0,12.18,3.58,0,0.08,2.68,0,7.46,0.05,0,0,0,0,0,0,0,0,0,0,1.47,0.31,3.91,0,0,0
2016-06-01,0,0,0,0,0,3.99,21.63,0.91,0,0,18.55,0.59,0,9.31,0.02,0,0,0,0,0,0,0.18,8.26,0,0,12.18,3.58,0,0.08,2.68,0,7.46,0.05,0,0,0,0,0,0,0,0,0,0,1.47,0.31,3.91,0,0,0
2016-07-01,0,0,0,0,0.78,6.27,23.26,0,0,0,20.98,0.71,0,8.79,0.02,0,0,0,0,0,0,0.22,8.68,0,0,12.89,0,0.12,0,1.81,0,7.84,0.06,0,0,0,0,0,0,0,0,0,0,0,0.33,6.24,0,0,0
2016-08-01,0,0,0,0,0.78,6.27,23.26,0,0,0,20.98,0.71,0,8.79,0.02,0,0,0,0,0,0,0.22,8.68,0,0,12.89,0,0.12,0,1.81,0,7.84,0.06,0,0,0,0,0,0,0,0,0,0,0,0.33,6.24,0,0,0
2016-09-01,0,0,0,0,0.78,6.27,23.26,0,0,0,20.98,0.71,0,8.79,0.02,0,0,0,0,0,0,0.22,8.68,0,0,12.89,0,0.12,0,1.81,0,7.84,0.06,0,0,0,0,0,0,0,0,0,0,0,0.33,6.24,0,0,0
2016-10-01,0,0,2.31,0,0.95,4.59,26.22,0,0,0,18.57,0.9,0,8.14,0.02,0,0,0,0,0,0,0.29,9.35,0,0,12.95,0,0,0,1.91,0,7.92,0.08,0,0,0,0,0,0,0,0,0.64,0,0,0.37,4.8,0,0,0
2016-11-01,0,0,2.31,0,0.95,4.59,26.22,0,0,0,18.57,0.9,0,8.14,0.02,0,0,0,0,0,0,0.29,9.35,0,0,12.95,0,0,0,1.91,0,7.92,0.08,0,0,0,0,0,0,0,0,0.64,0,0,0.37,4.8,0,0,0
2016-12-01,0,0,2.31,0,0.95,4.59,26.22,0,0,0,18.57,0.9,0,8.14,0.02,0,0,0,0,0,0,0.29,9.35,0,0,12.95,0,0,0,1.91,0,7.92,0.08,0,0,0,0,0,0,0,0,0.64,0,0,0.37,4.8,0,0,0
2017-01-01,0,0,3.29,0,0.26,4.1,23.37,0,0,0,21.75,1.09,0,6.88,0,0,0,0,0,0,0,0.34,9.2,0,0,13.22,0,0.04,0,0.8,0,6.61,0.1,0,1.86,0,0,0,0,0,0,1.26,0,1.58,0.51,3.72,0,0,0
2017-02-01,0,0,3.29,0,0.26,4.1,23.37,0,0,0,21.75,1.09,0,6.88,0,0,0,0,0,0,0,0.34,9.2,0,0,13.22,0,0.04,0,0.8,0,6.61,0.1,0,1.86,0,0,0,0,0,0,1.26,0,1.58,0.51,3.72,0,0,0
2017-03-01,0,0,3.29,0,0.26,4.1,23.37,0,0,0,21.75,1.09,0,6.88,0,0,0,0,0,0,0,0.34,9.2,0,0,13.22,0,0.04,0,0.8,0,6.61,0.1,0,1.86,0,0,0,0,0,0,1.26,0,1.58,0.51,3.72,0,0,0
2017-04-01,0,0,10.12,0,0.21,3.43,19.37,0,0,0,22.65,0.92,0,4.88,0,0,0,0,0,0,0.19,0.3,8.08,0,0,10.9,0,0,0,0,4.84,4.52,0,0,3.65,0,0.72,0,0,0,0,1.28,0.43,0.55,0,2.76,0,0,0
