"Date","AGO","ASTE","BB","BMY","BP","C","GNE","GSK","HOLX","IDT","IDWM","MBI","MRK","NAVI","NTP","NVS","NYCB","NYT","ORI","PFE","PTEN","RFL","SEB","SLM","STL","STRP","TPHS","VOXX"
2012-01-01,0,0.84,0,7.11,0,7.18,1.18,0,6.12,1.14,0,5.27,8.21,0,2.95,0,9.17,5.11,5.23,10.34,3.56,0,5.09,5.46,0,0,0,5.73
2012-02-01,0,0.84,0,7.11,0,7.18,1.18,0,6.12,1.14,0,5.27,8.21,0,2.95,0,9.17,5.11,5.23,10.34,3.56,0,5.09,5.46,0,0,0,5.73
2012-03-01,0,0.84,0,7.11,0,7.18,1.18,0,6.12,1.14,0,5.27,8.21,0,2.95,0,9.17,5.11,5.23,10.34,3.56,0,5.09,5.46,0,0,0,5.73
2012-04-01,0,0.75,0,5.35,0,6.1,1,0,5.4,1.27,0,6.2,9.17,0,3.44,0,8.79,6.92,4.64,11.17,3.71,0,5.73,5.84,0,0,0,4.14
2012-05-01,0,0.75,0,5.35,0,6.1,1,0,5.4,1.27,0,6.2,9.17,0,3.44,0,8.79,6.92,4.64,11.17,3.71,0,5.73,5.84,0,0,0,4.14
2012-06-01,0,0.75,0,5.35,0,6.1,1,0,5.4,1.27,0,6.2,9.17,0,3.44,0,8.79,6.92,4.64,11.17,3.71,0,5.73,5.84,0,0,0,4.14
2012-07-01,0,0.72,0,4.21,0.58,7.89,0.85,0,5.56,1.22,0,5.34,9,0,5.55,0,9.15,8.16,5.49,11.06,4.46,0,5.62,5.29,0,0,0,3.07
2012-08-01,0,0.72,0,4.21,0.58,7.89,0.85,0,5.56,1.22,0,5.34,9,0,5.55,0,9.15,8.16,5.49,11.06,4.46,0,5.62,5.29,0,0,0,3.07
2012-09-01,0,0.72,0,4.21,0.58,7.89,0.85,0,5.56,1.22,0,5.34,9,0,5.55,0,9.15,8.16,5.49,11.06,4.46,0,5.62,5.29,0,0,0,3.07
2012-10-01,0,0.74,0,3.72,0,9.23,0.81,0,5.3,1.09,0,4.06,7.75,0,6.91,0,8.18,7.07,6.15,10.75,6.08,0,6.1,5.77,0,0,0,2.71
2012-11-01,0,0.74,0,3.72,0,9.23,0.81,0,5.3,1.09,0,4.06,7.75,0,6.91,0,8.18,7.07,6.15,10.75,6.08,0,6.1,5.77,0,0,0,2.71
2012-12-01,0,0.74,0,3.72,0,9.23,0.81,0,5.3,1.09,0,4.06,7.75,0,6.91,0,8.18,7.07,6.15,10.75,6.08,0,6.1,5.77,0,0,0,2.71
2013-01-01,0,0.65,0,2.52,0.48,8.97,0.91,0,5.2,1.19,0,4.58,7.58,0,6.86,0,8.17,7.44,6.45,10.94,6.78,0,5.78,5.52,0,0,0,3.69
2013-02-01,0,0.65,0,2.52,0.48,8.97,0.91,0,5.2,1.19,0,4.58,7.58,0,6.86,0,8.17,7.44,6.45,10.94,6.78,0,5.78,5.52,0,0,0,3.69
2013-03-01,0,0.65,0,2.52,0.48,8.97,0.91,0,5.2,1.19,0,4.58,7.58,0,6.86,0,8.17,7.44,6.45,10.94,6.78,0,5.78,5.52,0,0,0,3.69
2013-04-01,0,0.67,0,0,0.49,10.07,0.94,0,4.59,1.93,0,6.09,8.71,0,3.23,0,8.65,9.19,6.78,10.99,5.79,0,6.05,5.28,0,0,0,4.43
2013-05-01,0,0.67,0,0,0.49,10.07,0.94,0,4.59,1.93,0,6.09,8.71,0,3.23,0,8.65,9.19,6.78,10.99,5.79,0,6.05,5.28,0,0,0,4.43
2013-06-01,0,0.67,0,0,0.49,10.07,0.94,0,4.59,1.93,0,6.09,8.71,0,3.23,0,8.65,9.19,6.78,10.99,5.79,0,6.05,5.28,0,0,0,4.43
2013-07-01,0,0.66,0,0,2.99,9.7,0.94,0,4.66,1.73,0,4.44,8.51,0,2.93,0,9.12,9.95,7.67,10.48,6.13,0,5.35,3.86,0,0,0,4.66
2013-08-01,0,0.66,0,0,2.99,9.7,0.94,0,4.66,1.73,0,4.44,8.51,0,2.93,0,9.12,9.95,7.67,10.48,6.13,0,5.35,3.86,0,0,0,4.66
2013-09-01,0,0.66,0,0,2.99,9.7,0.94,0,4.66,1.73,0,4.44,8.51,0,2.93,0,9.12,9.95,7.67,10.48,6.13,0,5.35,3.86,0,0,0,4.66
2013-10-01,0,0,0,0,3.74,8.27,0.72,0,4.45,1.28,0,3.77,18.67,0,2.9,0.32,8.14,9.99,6.28,8.59,5.27,0,3.71,3.8,2.24,0.3,1.01,4.14
2013-11-01,0,0,0,0,3.74,8.27,0.72,0,4.45,1.28,0,3.77,18.67,0,2.9,0.32,8.14,9.99,6.28,8.59,5.27,0,3.71,3.8,2.24,0.3,1.01,4.14
2013-12-01,0,0,0,0,3.74,8.27,0.72,0,4.45,1.28,0,3.77,18.67,0,2.9,0.32,8.14,9.99,6.28,8.59,5.27,0,3.71,3.8,2.24,0.3,1.01,4.14
2014-01-01,0,0,0.52,0,5.9,8.38,0.94,0,4.78,1.59,0,5.08,9.14,0,3.17,0.34,8.67,11.66,6.39,9.69,5.96,0,4.31,3.25,2.42,0,1.07,4.07
2014-02-01,0,0,0.52,0,5.9,8.38,0.94,0,4.78,1.59,0,5.08,9.14,0,3.17,0.34,8.67,11.66,6.39,9.69,5.96,0,4.31,3.25,2.42,0,1.07,4.07
2014-03-01,0,0,0.52,0,5.9,8.38,0.94,0,4.78,1.59,0,5.08,9.14,0,3.17,0.34,8.67,11.66,6.39,9.69,5.96,0,4.31,3.25,2.42,0,1.07,4.07
2014-04-01,0,0,2.49,0,6.96,9.49,0.75,0,5.69,1.69,0,4.05,9.43,2.35,4.14,0,8.66,9.98,5.02,9.04,4.59,0,4.99,1.1,2.44,0,1.13,2.83
2014-05-01,0,0,2.49,0,6.96,9.49,0.75,0,5.69,1.69,0,4.05,9.43,2.35,4.14,0,8.66,9.98,5.02,9.04,4.59,0,4.99,1.1,2.44,0,1.13,2.83
2014-06-01,0,0,2.49,0,6.96,9.49,0.75,0,5.69,1.69,0,4.05,9.43,2.35,4.14,0,8.66,9.98,5.02,9.04,4.59,0,4.99,1.1,2.44,0,1.13,2.83
2014-07-01,0,0,2.52,0,6.04,10.36,0,0,6.1,1.72,0,3.49,10.69,2.59,3.68,0,9.1,8.08,4.92,9.55,3.31,0,4.64,1.25,2.89,0.85,1.17,2.93
2014-08-01,0,0,2.52,0,6.04,10.36,0,0,6.1,1.72,0,3.49,10.69,2.59,3.68,0,9.1,8.08,4.92,9.55,3.31,0,4.64,1.25,2.89,0.85,1.17,2.93
2014-09-01,0,0,2.52,0,6.04,10.36,0,0,6.1,1.72,0,3.49,10.69,2.59,3.68,0,9.1,8.08,4.92,9.55,3.31,0,4.64,1.25,2.89,0.85,1.17,2.93
2014-10-01,0,0,3.49,0,5.7,11.1,0,0,2.04,1.85,0,3.26,10.31,3.16,2.41,0,9.32,9.41,4.95,10.11,2.55,0,7.1,1.25,3.18,0.87,1.4,2.57
2014-11-01,0,0,3.49,0,5.7,11.1,0,0,2.04,1.85,0,3.26,10.31,3.16,2.41,0,9.32,9.41,4.95,10.11,2.55,0,7.1,1.25,3.18,0.87,1.4,2.57
2014-12-01,0,0,3.49,0,5.7,11.1,0,0,2.04,1.85,0,3.26,10.31,3.16,2.41,0,9.32,9.41,4.95,10.11,2.55,0,7.1,1.25,3.18,0.87,1.4,2.57
2015-01-01,0,0,3.56,0,5.99,9.84,0.57,0,7.69,1.49,0,3.08,10,2.08,1.95,0,9.15,9.3,4.73,10.64,3.11,0,6.24,0,2.43,0.84,1.38,2.42
2015-02-01,0,0,3.56,0,5.99,9.84,0.57,0,7.69,1.49,0,3.08,10,2.08,1.95,0,9.15,9.3,4.73,10.64,3.11,0,6.24,0,2.43,0.84,1.38,2.42
2015-03-01,0,0,3.56,0,5.99,9.84,0.57,0,7.69,1.49,0,3.08,10,2.08,1.95,0,9.15,9.3,4.73,10.64,3.11,0,6.24,0,2.43,0.84,1.38,2.42
2015-04-01,0,0,4.56,0,6.15,10.5,0.75,0,8.73,1.49,0,3.51,9.76,1.03,2.37,0,9.48,9.08,2.94,10.03,3.24,0,5.32,0,2.63,1.33,1.55,2.14
