"Date","ACN","ADI","AGN","AIG","AMZN","ANTM","AON","APA","AXP","AZO","BHC","BKNG","BRK","BUD","CFC","CMCSA","COP","COV","CRM","CSGP","CVS","DELL","DEO","DHR","DIS","DISCA","DISCK","DLTR","EBAY","ENDP","EOG","ESRX","EXPE","FB","FNMA","FOX","FOXA","FWONA","FWONK","GHC","GOOG","GOOGL","HPQ","IAC","JPM","KMX","LBRDK","LBTYK","LH","LMT","LOW","LSXMK","MA","MLM","MON","MSFT","MSI","NWSA","OMC","ORCL","PCP","PX","PXD","QRTEA","RRC","RWT","SCHW","SWN","TDG","TDS","TGT","TMO","TXN","UNH","UPS","V","VMC","WFC","WMT"
2006-10-01,0,0,0,4.68,0,2.89,0,0,0,0,0,0,8.39,0,8.21,3.57,0,0,0,0,0,2.95,0,0,0,0,0,0,0,0,0,0,2.67,0,4.49,0,0,4.57,0,4.44,0,0,0,2.3,0,0,0,3.49,0,0,0,0,0,0,0,0,0,2.73,0,0,0,0,0,4.86,0,4.91,0,0,0,3.19,0,0,0,6.44,0,0,0,0,4.63
2006-11-01,0,0,0,4.68,0,2.89,0,0,0,0,0,0,8.39,0,8.21,3.57,0,0,0,0,0,2.95,0,0,0,0,0,0,0,0,0,0,2.67,0,4.49,0,0,4.57,0,4.44,0,0,0,2.3,0,0,0,3.49,0,0,0,0,0,0,0,0,0,2.73,0,0,0,0,0,4.86,0,4.91,0,0,0,3.19,0,0,0,6.44,0,0,0,0,4.63
2006-12-01,0,0,0,4.68,0,2.89,0,0,0,0,0,0,8.39,0,8.21,3.57,0,0,0,0,0,2.95,0,0,0,0,0,0,0,0,0,0,2.67,0,4.49,0,0,4.57,0,4.44,0,0,0,2.3,0,0,0,3.49,0,0,0,0,0,0,0,0,0,2.73,0,0,0,0,0,4.86,0,4.91,0,0,0,3.19,0,0,0,6.44,0,0,0,0,4.63
2007-01-01,0,0,0,4.58,0,3.03,0,0,2.6,0,0,0,8.44,0,7.12,2.91,0,0,0,0,0,2.77,0,0,0,0,0,0,0,0,0,0,1.79,0,4.19,0,0,5.23,0,4.61,0,0,0,2.01,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44,0,4.51,0,0,0,3.39,0,0,0,6.44,0,0,0,0,4.77
2007-02-01,0,0,0,4.58,0,3.03,0,0,2.6,0,0,0,8.44,0,7.12,2.91,0,0,0,0,0,2.77,0,0,0,0,0,0,0,0,0,0,1.79,0,4.19,0,0,5.23,0,4.61,0,0,0,2.01,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44,0,4.51,0,0,0,3.39,0,0,0,6.44,0,0,0,0,4.77
2007-03-01,0,0,0,4.58,0,3.03,0,0,2.6,0,0,0,8.44,0,7.12,2.91,0,0,0,0,0,2.77,0,0,0,0,0,0,0,0,0,0,1.79,0,4.19,0,0,5.23,0,4.61,0,0,0,2.01,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44,0,4.51,0,0,0,3.39,0,0,0,6.44,0,0,0,0,4.77
2007-04-01,0,0,0,4.75,0,2.97,0,0,2.81,0,0,0,8.33,0,7.67,3.15,0,0,0,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,4.79,0,0,5.55,0,4.56,0,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59,0,4.36,0,0,0,3.48,0,0,0,6.19,0,0,0,0,4.87
2007-05-01,0,0,0,4.75,0,2.97,0,0,2.81,0,0,0,8.33,0,7.67,3.15,0,0,0,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,4.79,0,0,5.55,0,4.56,0,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59,0,4.36,0,0,0,3.48,0,0,0,6.19,0,0,0,0,4.87
2007-06-01,0,0,0,4.75,0,2.97,0,0,2.81,0,0,0,8.33,0,7.67,3.15,0,0,0,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,4.79,0,0,5.55,0,4.56,0,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59,0,4.36,0,0,0,3.48,0,0,0,6.19,0,0,0,0,4.87
2007-07-01,0,0,0,5.33,0,3.35,0,0,3.48,0,0,0,10.06,0,6.14,2.98,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,5.44,0,4.86,0,0,0,0,0,0,0,3.11,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,4.34,0,3.29,0,0,0,4.13,0,0,0,6.45,0,0,0,0,4.87
2007-08-01,0,0,0,5.33,0,3.35,0,0,3.48,0,0,0,10.06,0,6.14,2.98,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,5.44,0,4.86,0,0,0,0,0,0,0,3.11,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,4.34,0,3.29,0,0,0,4.13,0,0,0,6.45,0,0,0,0,4.87
2007-09-01,0,0,0,5.33,0,3.35,0,0,3.48,0,0,0,10.06,0,6.14,2.98,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,5.44,0,4.86,0,0,0,0,0,0,0,3.11,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,4.34,0,3.29,0,0,0,4.13,0,0,0,6.45,0,0,0,0,4.87
2007-10-01,0,0,0,5.87,0,4.53,0,0,3.89,0,0,0,11.97,0,0,2.87,0,2.34,0,0,0,3.41,0,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0,6.49,0,4.29,0,0,0,0,0,0,0,3.76,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,5.51,0,4.34,0,0,0,4.9,0,0,0,4.65,0,0,0,2.49,4.66
2007-11-01,0,0,0,5.87,0,4.53,0,0,3.89,0,0,0,11.97,0,0,2.87,0,2.34,0,0,0,3.41,0,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0,6.49,0,4.29,0,0,0,0,0,0,0,3.76,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,5.51,0,4.34,0,0,0,4.9,0,0,0,4.65,0,0,0,2.49,4.66
2007-12-01,0,0,0,5.87,0,4.53,0,0,3.89,0,0,0,11.97,0,0,2.87,0,2.34,0,0,0,3.41,0,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0,6.49,0,4.29,0,0,0,0,0,0,0,3.76,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,5.51,0,4.34,0,0,0,4.9,0,0,0,4.65,0,0,0,2.49,4.66
2008-01-01,0,0,0,5.07,0,3.52,0,0,4.42,0,0,0,11.9,0,0,4.33,0,2.44,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,3.85,0,0,0,0,0,0,0,3.96,0,0,2.67,0,0,0,0,0,0,0,0,0,0,0,0,5.05,0,5.31,0,0,0,3.96,0,0,0,3.29,0,0,0,2.32,0
