"Date","AABA","ALEX","BABA","BB","BBBY","BIIB","CAH","CLF","CNQ","CPLG","CVE","CVET","DIS","FB","FDX","FPH","GME","GOOG","GOOGL","GSKY","JD","MAXR","MCK","MHK","NVTRQ","PETQ","QRVO","SPWH","TLRD","WDC"
2018-10-01,3.26,8.88,0,0,0,2.91,0,7.74,0,10.71,0,0,8.47,8.23,0,8.87,6.54,0,8.08,0,0,0,4.27,2.13,0,0,0,5.15,8.41,3.57
2018-11-01,3.26,8.88,0,0,0,2.91,0,7.74,0,10.71,0,0,8.47,8.23,0,8.87,6.54,0,8.08,0,0,0,4.27,2.13,0,0,0,5.15,8.41,3.57
2018-12-01,3.26,8.88,0,0,0,2.91,0,7.74,0,10.71,0,0,8.47,8.23,0,8.87,6.54,0,8.08,0,0,0,4.27,2.13,0,0,0,5.15,8.41,3.57
2019-01-01,7.93,0,0,0,0,0,0,7.63,0,7.48,0,0,7.92,7.64,0,9.09,6.73,0,8.99,3.59,9.21,0,0,0,0,3.4,0,6.11,6.94,7.34
2019-02-01,7.93,0,0,0,0,0,0,7.63,0,7.48,0,0,7.92,7.64,0,9.09,6.73,0,8.99,3.59,9.21,0,0,0,0,3.4,0,6.11,6.94,7.34
2019-03-01,7.93,0,0,0,0,0,0,7.63,0,7.48,0,0,7.92,7.64,0,9.09,6.73,0,8.99,3.59,9.21,0,0,0,0,3.4,0,6.11,6.94,7.34
2019-04-01,0,0,9.06,0,0,0,10.07,12.54,0,0,0,0,8.95,0,10.53,0,0,10.4,0,7.88,0,0,0,0,0,0,0,6.45,11.41,12.71
2019-05-01,0,0,9.06,0,0,0,10.07,12.54,0,0,0,0,8.95,0,10.53,0,0,10.4,0,7.88,0,0,0,0,0,0,0,6.45,11.41,12.71
2019-06-01,0,0,9.06,0,0,0,10.07,12.54,0,0,0,0,8.95,0,10.53,0,0,10.4,0,7.88,0,0,0,0,0,0,0,6.45,11.41,12.71
2019-07-01,0,0,0,0,13.39,0,0,0,6.7,0,0,0,0,0,0,0,27.78,16.36,0,0,0,0,0,0,0.44,0,0,14.12,21.22,0
2019-08-01,0,0,0,0,13.39,0,0,0,6.7,0,0,0,0,0,0,0,27.78,16.36,0,0,0,0,0,0,0.44,0,0,14.12,21.22,0
2019-09-01,0,0,0,0,13.39,0,0,0,6.7,0,0,0,0,0,0,0,27.78,16.36,0,0,0,0,0,0,0.44,0,0,14.12,21.22,0
2019-10-01,0,0,0,7.02,0,0,0,0,0,0,7.4,8.92,0,0,0,0,17.36,13,0,0,0,12.38,0,0,0,0,10.59,6.74,16.6,0
2019-11-01,0,0,0,7.02,0,0,0,0,0,0,7.4,8.92,0,0,0,0,17.36,13,0,0,0,12.38,0,0,0,0,10.59,6.74,16.6,0
2019-12-01,0,0,0,7.02,0,0,0,0,0,0,7.4,8.92,0,0,0,0,17.36,13,0,0,0,12.38,0,0,0,0,10.59,6.74,16.6,0
