"Date","ACBI","ADES","ADS","AIG","AJRD","ALC","ALLY","AM","AWI","BAC","BANC","BCBP","BDX","BEN","BG","BHF","BMCH","BPOP","BRK","BSX","BUD","C","CAB","CACH","CARE","CBS","CCE","CF","CIT","CLR","CNO","COLB","COP","COT","COV","CPB","DAL","DD","DLB","DO","DOW","ECPG","EMC","EP","EQ","ESGR","FARM","FLA","FMC","FOSL","FTI","GBL","GLBR","GLF","GR","GT","HES","HPQ","HTH","HTV","HURN","INTC","IR","ISBC","ITT","JCP","JEF","KALU","KRNY","MDLZ","MDP","MVC","NFG","NPK","NWA","OABC","OKE","PAA","PAY","PFE","PM","PNC","RF","RUTH","SANW","SFD","SHLDQ","SLM","SNE","SPGI","T","TCO","TDS","TEL","TEVA","TFSL","TIF","TOWN","TPHS","TRA","TRB","TRC","TRH","TT","TWX","VPHM","WBC","WCBO","WLK","WMGI","WSBF","WWY","XPO","Y"
2006-10-01,0,0,0,5.15,0,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,1.62,0,3.72,0,0,0,0,0,0,0,2.4,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,2.18,0,0,0,0,0,0,0,0,0,2.78,0,0,0,0,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,0,0,0,2.28,0,0,0,0,0,0,0,0,0
2006-11-01,0,0,0,5.15,0,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,1.62,0,3.72,0,0,0,0,0,0,0,2.4,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,2.18,0,0,0,0,0,0,0,0,0,2.78,0,0,0,0,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,0,0,0,2.28,0,0,0,0,0,0,0,0,0
2006-12-01,0,0,0,5.15,0,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,1.62,0,3.72,0,0,0,0,0,0,0,2.4,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,2.18,0,0,0,0,0,0,0,0,0,2.78,0,0,0,0,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,0,0,0,2.28,0,0,0,0,0,0,0,0,0
2007-01-01,0,0,0,4.65,0,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,3.76,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,2.03,0,0,0,0,6.96,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53,0,0,4.16,1.98,0,0,0,0,0,0,0,0,0
2007-02-01,0,0,0,4.65,0,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,3.76,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,2.03,0,0,0,0,6.96,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53,0,0,4.16,1.98,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,4.65,0,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,3.76,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,2.03,0,0,0,0,6.96,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53,0,0,4.16,1.98,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,0,4.75,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82,0,2.48,0,0,0,2.73,0,0,1.88,0,0,0,0,0,1.93,0,1.85,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,1.99,0,0,0,0,6.43,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,2.08,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,4.75,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82,0,2.48,0,0,0,2.73,0,0,1.88,0,0,0,0,0,1.93,0,1.85,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,1.99,0,0,0,0,6.43,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,2.08,0,0,0,0,0,0,0,0,0
2007-06-01,0,0,0,4.75,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82,0,2.48,0,0,0,2.73,0,0,1.88,0,0,0,0,0,1.93,0,1.85,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,1.99,0,0,0,0,6.43,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,2.08,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,5.76,0,0,0,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,3.44,0,1.91,0,2.74,0,0,2.31,0,0,0,0,0,0,0,0,0,0,0,1.95,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,2,0,0,0,0,0,0,0,0,0
2007-08-01,0,0,0,5.76,0,0,0,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,3.44,0,1.91,0,2.74,0,0,2.31,0,0,0,0,0,0,0,0,0,0,0,1.95,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,2,0,0,0,0,0,0,0,0,0
2007-09-01,0,0,0,5.76,0,0,0,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,3.44,0,1.91,0,2.74,0,0,2.31,0,0,0,0,0,0,0,0,0,0,0,1.95,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,2,0,0,0,0,0,0,0,0,0
