,A,ACT,ADP,AGN,AIG,AIV,ALEX,ALX,APD,BEAM,BGP,BHC,BKS,BKW-OLD,BRK.B,C,CBY,CEN,CMG,CP,CSG,CXW,DPS,EMC,FBHS,FDO,FO,GGP,GLRE,GM,H,HHC,HLT,HME,JCP,LDG,LNY,LOW,MA,MATX,MCD,MDLZ,NKE,NOMD,PAH,PG,QSR,RTX,SBUX,SHLDQ,SKS,SPLS,TGT,V,WB-OLD,WEN,YUM,ZTS
2019 Q4,4.23,,,,,,,,,,,,,,13.88,4.25,,,22.03,,,,,,,,,,,,4.25,4.25,17.87,,,,,15.74,,,,,,,,,14.68,,7.32,,,,,,,,,
2019 Q3,3.44,,,,,,,,,,,,,,12.87,2.39,,,22.33,,,,,,,,,,,,2.39,2.39,15.15,,,,,14.59,,,,,,,,,16.54,,12.69,,,,,,,,,
2019 Q2,9.93,,9.93,,,,,,,,,,,,11.16,2.21,,,19.48,,,,,,,,,,,,2.21,2.21,15.98,,,,,13.39,,,,,,,,,16.21,,11.64,,,,,,,,,
2019 Q1,9.58,,9.58,,,,,,,,,,,,,1.96,,,19.7,,,,,,,,,,,,1.96,1.96,13.57,,,,,15.18,,,,,,,,,17.78,11.17,11.06,,,,,,,,,
2018 Q4,7.01,,8.96,,,,,,,,,,,,,2.02,,,14.07,,,,,,,,,,,,2.02,2.02,13.19,,,,,14.79,,,,,,,7.01,,17.28,9.97,12.71,,,,,,,,,
2018 Q3,9.68,,11.65,,,,,,,,,,,,,5.09,,,17.97,,,,,,,,,,,,5.09,5.09,,,,,,18.6,,,,,,,9.68,,23.72,13.28,,,,,,,,,,
2018 Q2,8.08,,9.76,,,,,,,,,,,,,5.03,,,21.42,,,,,,,,,,,,5.03,5.03,,,,,,12.7,,,,11.56,,,8.08,,21.65,9.78,,,,,,,,,,
2018 Q1,8.06,,18.65,,,,,,,,,,,,,5.06,,,19.27,,,,,,,,,,,,6.35,6.35,,,,,,,,,,13.95,,,8.06,,28.65,5.06,,,,,,,,,,
2017 Q4,6.83,,17.56,,,,,,,,,,,,,6.83,,,14.19,,,,,,,,,,,,6.83,10.52,,,,,,,,,,16.95,6.22,,6.83,,27.74,,,,,,,,,,,
2017 Q3,8.82,,18.81,,,,,,,,,,,,,8.82,,,17.35,,,,,,,,,,,,8.82,10.85,,,,,,,,,,11.07,,,8.82,,33.1,,,,,,,,,,,
2017 Q2,2.98,,2.98,,,,,,,,,,,,,8.53,,,19.94,,,,,,,,,,,,8.53,9.61,,,,,,,,,,10.41,,7.82,8.53,,40.71,,,,,,,,,,,
2017 Q1,5.18,,,,,,,,5.18,,,,,,,5.18,,,21.54,,,,,,,,,,,,7.02,7.02,,,,,,,,,,14.41,,6.4,8.84,,36.61,,,,,,,,,,,
2016 Q4,6.71,,,,,,,,9.41,,,4.45,,,,4.45,,,18.39,,,,,,,,,,,,4.45,6.88,,,,,,,,,,17.2,,5.39,6.71,,31.56,,,,,,,,,,,
2016 Q3,6.4,,,,,,,,11.18,,,9.79,,,,4.34,,,4.34,,,,,,,,,,,,6.4,7.55,,,,,,,,,,18.61,,7.28,6.4,,32.24,,,,,,,,,,,2.61
2016 Q2,5.05,,,,,,,,14.37,,,5.79,,,,5.05,,,,16.87,,,,,,,,,,,5.05,5.43,,,,,,,,,,13.9,,3.54,5.05,,21.68,,,,,,,,,,,13.38
2016 Q1,4.15,,,,,,,,12.37,,,6.41,,,,4.15,,,,20.89,,,,,,,,,,,4.15,4.27,,,,,,,,,,10.4,,3.39,4.15,,17.17,,,,,,,,,,,20.94
2015 Q4,4.4,,,,,,,,21.46,,,13.54,,,,3.24,,,,14.28,,,,,,,,,,,3.24,3.24,,,,,,,,,,15.61,,,4.4,,11.4,,,,,,,,,,,16.09
2015 Q3,3.88,,,,,,,,18.79,,,24.9,,,,2.93,,,,14.35,,,,,,,,,,,2.93,2.93,,,,,,,,,,13.02,,,3.88,,9.79,,,,,,,,,,,12.35
2015 Q2,7.57,,,,,,,,19.46,,,29.95,,,,3.55,,,,15.46,,,,,,,,,,,3.55,3.55,,,,,,,,,,,,,7.57,,10.05,,,,,,,,,,,13.96
2015 Q1,2.68,2.68,,,,,,,20.77,,,25.84,,,,2.68,,,,17.01,,,,,,,,,,,3.69,3.69,,,,,,,,,,,,,7.33,,9.75,,,,,,,,,,,12.93
